加盟商ID,加盟商名称,加盟商类型,联系人,手机号Hash,签约省份,入网日期,合作状态,信用等级,保证金金额,门店数量
F0059,加盟商0059,个体投资人,联系人0059,H8482516443,四川,2023-02-24,续约预警,A,50000,0
F0060,加盟商0060,区域代理,联系人0060,H6459730495,北京,2023-02-13,正常合作,C,150000,0
F0061,加盟商0061,个体投资人,联系人0061,H7458585391,湖北,2023-01-14,正常合作,B,80000,0
F0062,加盟商0062,区域代理,联系人0062,H3967379859,重庆,2023-08-05,续约预警,C,150000,0
F0063,加盟商0063,个体投资人,联系人0063,H5034027963,重庆,2023-10-12,正常合作,A,200000,0
F0064,加盟商0064,区域代理,联系人0064,H4797164940,重庆,2024-02-09,正常合作,B,200000,0
F0065,加盟商0065,个体投资人,联系人0065,H6998955786,山东,2022-03-15,正常合作,B,150000,0
F0066,加盟商0066,区域代理,联系人0066,H4896966656,广东,2025-06-14,正常合作,A,100000,0
F0067,加盟商0067,个体投资人,联系人0067,H8699100403,江苏,2023-06-16,正常合作,B,200000,0
F0068,加盟商0068,区域代理,联系人0068,H3632913160,湖北,2024-08-03,纠纷处理,A,50000,0
F0069,加盟商0069,个体投资人,联系人0069,H7788508738,江苏,2021-11-28,正常合作,A,80000,0
F0070,加盟商0070,个体投资人,联系人0070,H6797821521,上海,2022-10-17,正常合作,A,150000,0
F0071,加盟商0071,区域代理,联系人0071,H5892559100,北京,2021-07-24,正常合作,B,150000,0
F0072,加盟商0072,个体投资人,联系人0072,H6865094826,山东,2022-11-27,正常合作,B,100000,0
F0073,加盟商0073,个体投资人,联系人0073,H2966600063,陕西,2023-12-02,正常合作,B,50000,0
F0074,加盟商0074,个体投资人,联系人0074,H8717720415,重庆,2022-01-20,正常合作,D,100000,0
F0075,加盟商0075,个体投资人,联系人0075,H6212306589,江苏,2022-01-11,正常合作,B,200000,0
F0076,加盟商0076,投资公司,联系人0076,H2055790513,湖北,2023-04-04,正常合作,B,100000,0
F0077,加盟商0077,个体投资人,联系人0077,H8794274910,重庆,2023-03-24,关注名单,A,200000,0
F0078,加盟商0078,区域代理,联系人0078,H7059833825,北京,2024-07-19,正常合作,A,200000,0
F0079,加盟商0079,投资公司,联系人0079,H4413101237,浙江,2024-02-01,正常合作,B,80000,0
F0080,加盟商0080,个体投资人,联系人0080,H2759037558,湖北,2024-09-10,正常合作,A,80000,0
F0081,加盟商0081,区域代理,联系人0081,H1025263443,四川,2024-12-03,正常合作,C,80000,0
F0082,加盟商0082,个体投资人,联系人0082,H2198590607,山东,2022-11-12,正常合作,B,80000,0
F0083,加盟商0083,个体投资人,联系人0083,H8996885903,湖北,2022-12-18,续约预警,B,50000,0
F0084,加盟商0084,餐饮集团子公司,联系人0084,H8576105386,北京,2024-11-18,正常合作,B,200000,0
F0085,加盟商0085,个体投资人,联系人0085,H8469959447,江苏,2024-06-19,正常合作,A,100000,0
F0086,加盟商0086,投资公司,联系人0086,H9000123462,重庆,2022-08-03,续约预警,A,80000,0
F0087,加盟商0087,个体投资人,联系人0087,H9963266863,陕西,2022-03-30,正常合作,D,100000,0
F0088,加盟商0088,个体投资人,联系人0088,H5299550228,重庆,2022-11-29,正常合作,A,200000,0
F0089,加盟商0089,个体投资人,联系人0089,H5157730314,重庆,2024-06-28,正常合作,A,150000,0
F0090,加盟商0090,个体投资人,联系人0090,H3673922044,广东,2021-04-24,正常合作,B,80000,0
F0091,加盟商0091,个体投资人,联系人0091,H4311941144,湖北,2023-08-31,正常合作,A,150000,0
F0092,加盟商0092,区域代理,联系人0092,H7324171988,重庆,2023-10-20,正常合作,D,80000,0
F0093,加盟商0093,个体投资人,联系人0093,H8617911504,陕西,2023-03-05,正常合作,B,50000,0
F0094,加盟商0094,投资公司,联系人0094,H5499916407,陕西,2022-06-08,正常合作,C,200000,0
F0095,加盟商0095,区域代理,联系人0095,H4594224051,上海,2021-05-05,正常合作,A,50000,0
F0096,加盟商0096,餐饮集团子公司,联系人0096,H4074715097,上海,2025-01-27,正常合作,D,80000,0
F0097,加盟商0097,区域代理,联系人0097,H5975890240,湖北,2021-03-04,正常合作,B,80000,0
F0098,加盟商0098,个体投资人,联系人0098,H3215608312,四川,2023-08-21,正常合作,A,80000,0
F0099,加盟商0099,区域代理,联系人0099,H7943037866,山东,2022-08-04,正常合作,B,80000,0
F0100,加盟商0100,餐饮集团子公司,联系人0100,H8723572731,北京,2022-01-30,正常合作,B,100000,0
F0101,加盟商0101,区域代理,联系人0101,H5138795730,北京,2022-09-28,正常合作,A,150000,0
F0102,加盟商0102,个体投资人,联系人0102,H3912820934,陕西,2023-07-04,关注名单,A,150000,0
F0103,加盟商0103,区域代理,联系人0103,H3505036409,四川,2024-10-29,正常合作,D,50000,0
F0104,加盟商0104,个体投资人,联系人0104,H1757343763,北京,2021-05-22,正常合作,A,50000,0
F0105,加盟商0105,个体投资人,联系人0105,H6935646539,陕西,2025-06-10,正常合作,B,150000,0
F0106,加盟商0106,区域代理,联系人0106,H4392362757,北京,2023-04-15,正常合作,A,80000,0
F0107,加盟商0107,个体投资人,联系人0107,H5327945708,上海,2021-09-21,正常合作,B,50000,0
F0108,加盟商0108,个体投资人,联系人0108,H5131160797,四川,2023-03-27,正常合作,B,80000,0
F0109,加盟商0109,区域代理,联系人0109,H3579066471,四川,2021-03-18,纠纷处理,C,80000,0
F0110,加盟商0110,投资公司,联系人0110,H9559288820,北京,2022-09-27,关注名单,B,200000,0
F0111,加盟商0111,个体投资人,联系人0111,H7975588321,上海,2024-08-05,正常合作,C,200000,0
F0112,加盟商0112,个体投资人,联系人0112,H2764816507,浙江,2024-08-14,正常合作,C,50000,0
F0113,加盟商0113,投资公司,联系人0113,H1381420613,山东,2022-02-15,正常合作,B,100000,0
F0114,加盟商0114,区域代理,联系人0114,H7963181330,浙江,2023-07-28,正常合作,B,200000,0
F0115,加盟商0115,个体投资人,联系人0115,H9642385198,四川,2024-03-10,续约预警,C,80000,0
F0116,加盟商0116,个体投资人,联系人0116,H4111093605,上海,2025-01-03,正常合作,B,100000,0
F0117,加盟商0117,个体投资人,联系人0117,H7198422571,北京,2023-12-17,正常合作,C,80000,0
F0118,加盟商0118,个体投资人,联系人0118,H8586228417,山东,2022-05-17,正常合作,B,50000,0
F0119,加盟商0119,个体投资人,联系人0119,H2527405332,江苏,2023-04-04,正常合作,A,150000,0
F0120,加盟商0120,餐饮集团子公司,联系人0120,H5507444792,北京,2024-12-12,正常合作,B,50000,0
F0121,加盟商0121,区域代理,联系人0121,H9530357607,江苏,2021-10-27,正常合作,C,50000,0
F0122,加盟商0122,个体投资人,联系人0122,H5788973122,山东,2025-07-30,正常合作,A,200000,0
F0123,加盟商0123,区域代理,联系人0123,H7385728298,山东,2024-01-22,正常合作,A,80000,0
F0124,加盟商0124,个体投资人,联系人0124,H2509326188,山东,2023-10-24,纠纷处理,C,50000,0
F0125,加盟商0125,区域代理,联系人0125,H9885835012,江苏,2022-03-25,正常合作,B,80000,0
F0126,加盟商0126,个体投资人,联系人0126,H9892299931,北京,2022-03-05,正常合作,B,50000,0
F0127,加盟商0127,区域代理,联系人0127,H3790331356,湖北,2024-02-10,续约预警,B,50000,0
F0128,加盟商0128,区域代理,联系人0128,H9287144861,山东,2021-04-16,续约预警,D,150000,0
F0129,加盟商0129,区域代理,联系人0129,H7119475611,浙江,2025-05-05,续约预警,C,80000,0
F0130,加盟商0130,个体投资人,联系人0130,H8236847647,四川,2024-02-05,续约预警,B,150000,0
F0131,加盟商0131,个体投资人,联系人0131,H9611792784,四川,2023-08-16,续约预警,B,50000,0
F0132,加盟商0132,区域代理,联系人0132,H6488799812,陕西,2022-09-22,续约预警,B,150000,0
F0133,加盟商0133,个体投资人,联系人0133,H1553077907,上海,2024-03-24,正常合作,C,50000,0
F0134,加盟商0134,个体投资人,联系人0134,H7618645162,四川,2024-10-02,正常合作,D,50000,0
F0135,加盟商0135,区域代理,联系人0135,H5441782385,江苏,2023-01-25,正常合作,B,150000,0
F0136,加盟商0136,个体投资人,联系人0136,H2086123913,湖北,2024-01-17,正常合作,B,80000,0
F0137,加盟商0137,餐饮集团子公司,联系人0137,H1227827603,江苏,2025-07-29,正常合作,A,200000,0
F0138,加盟商0138,个体投资人,联系人0138,H5776176742,陕西,2025-07-29,正常合作,B,50000,0
F0139,加盟商0139,区域代理,联系人0139,H6013616211,重庆,2025-08-02,续约预警,B,150000,0
F0140,加盟商0140,个体投资人,联系人0140,H1153233514,江苏,2024-02-05,续约预警,A,50000,0
F0141,加盟商0141,个体投资人,联系人0141,H9181499314,广东,2022-07-06,续约预警,A,200000,0
