触达ID,触达时间,触达日期,会员ID,员工ID,触达渠道,内容类型,内容ID,活动ID,是否查看,触达状态
TC000000044,2026-02-19 10:21:00,2026-02-19,M0057348,E000023,短信,活动邀请,CT0002,,0,已发送
TC000000045,2026-03-25 13:59:00,2026-03-25,M0078458,E000015,朋友圈,会员日提醒,CT0085,CMP0029,1,已发送
TC000000046,2026-05-01 21:34:00,2026-05-01,M0013018,E000412,小程序消息,会员日提醒,CT0046,CMP0015,0,已发送
TC000000047,2026-04-05 10:22:00,2026-04-05,M0062265,E000272,小程序消息,优惠提醒,CT0091,CMP0010,1,已发送
TC000000048,2026-03-25 12:21:00,2026-03-25,M0030565,E000598,朋友圈,活动邀请,CT0147,CMP0026,1,已发送
TC000000049,2026-03-20 19:29:00,2026-03-20,M0050611,E000055,小程序消息,优惠提醒,CT0084,,1,已发送
TC000000050,2026-05-17 11:24:00,2026-05-17,M0042051,E000522,企微1V1,会员日提醒,CT0005,CMP0039,0,已发送
TC000000051,2026-04-07 10:38:00,2026-04-07,M0075196,E000245,短信,复购召回,CT0157,CMP0015,0,已发送
TC000000052,2026-04-04 21:41:00,2026-04-04,M0025427,E000428,企微1V1,生日祝福,CT0145,CMP0024,1,已发送
TC000000053,2026-03-16 09:27:00,2026-03-16,M0071117,E000480,社群,会员日提醒,CT0122,CMP0041,0,已发送
TC000000054,2026-03-27 16:20:00,2026-03-27,M0078835,E000430,社群,会员日提醒,CT0145,CMP0018,1,已发送
TC000000055,2026-04-16 08:14:00,2026-04-16,M0001808,E000169,小程序消息,生日祝福,CT0034,,1,已发送
TC000000056,2026-04-05 10:12:00,2026-04-05,M0079328,E000189,短信,新品推荐,CT0112,CMP0044,1,已发送
TC000000057,2026-03-20 19:30:00,2026-03-20,M0041435,E000464,朋友圈,会员日提醒,CT0055,CMP0049,0,已发送
TC000000058,2026-05-05 15:31:00,2026-05-05,M0015681,E000091,小程序消息,优惠提醒,CT0195,CMP0034,1,已发送
TC000000059,2026-04-05 16:49:00,2026-04-05,M0003702,E000588,小程序消息,活动邀请,CT0005,CMP0048,1,已发送
TC000000060,2026-04-04 21:58:00,2026-04-04,M0025660,E000129,小程序消息,复购召回,CT0135,CMP0027,1,已发送
TC000000061,2026-04-20 20:47:00,2026-04-20,M0059939,E000533,企微1V1,复购召回,CT0096,,0,已发送
TC000000062,2026-03-18 19:03:00,2026-03-18,M0021586,E000516,企微1V1,生日祝福,CT0010,,0,已发送
TC000000063,2026-05-13 09:25:00,2026-05-13,M0014120,E000174,企微1V1,优惠提醒,CT0058,CMP0015,1,已发送
TC000000064,2026-03-06 09:19:00,2026-03-06,M0012181,E000062,朋友圈,会员日提醒,CT0171,CMP0022,1,已发送
TC000000065,2026-03-24 21:28:00,2026-03-24,M0054700,E000034,朋友圈,活动邀请,CT0139,CMP0031,0,已发送
TC000000066,2026-04-16 11:15:00,2026-04-16,M0035820,E000517,社群,复购召回,CT0014,,0,已发送
TC000000067,2026-04-05 15:18:00,2026-04-05,M0077087,E000522,朋友圈,新品推荐,CT0097,CMP0045,1,已发送
TC000000068,2026-04-16 14:27:00,2026-04-16,M0066955,E000422,小程序消息,复购召回,CT0014,,0,已发送
TC000000069,2026-03-23 08:34:00,2026-03-23,M0020612,E000438,小程序消息,复购召回,CT0154,CMP0027,0,已发送
TC000000070,2026-05-15 18:55:00,2026-05-15,M0010385,E000228,企微1V1,生日祝福,CT0126,,1,已发送
TC000000071,2026-04-29 10:45:00,2026-04-29,M0078081,E000279,小程序消息,活动邀请,CT0187,,0,已发送
TC000000072,2026-04-23 14:54:00,2026-04-23,M0030586,E000586,短信,复购召回,CT0122,CMP0022,1,已发送
TC000000073,2026-03-29 21:12:00,2026-03-29,M0060454,E000365,社群,新品推荐,CT0141,CMP0006,0,已发送
TC000000074,2026-03-05 19:39:00,2026-03-05,M0036988,E000399,企微1V1,生日祝福,CT0176,CMP0031,1,已发送
TC000000075,2026-04-07 13:21:00,2026-04-07,M0050229,E000597,小程序消息,会员日提醒,CT0180,,0,已发送
TC000000076,2026-04-26 20:35:00,2026-04-26,M0053136,E000553,企微1V1,会员日提醒,CT0081,CMP0045,0,已发送
TC000000077,2026-05-11 20:21:00,2026-05-11,M0067268,E000591,小程序消息,会员日提醒,CT0158,,1,已发送
TC000000078,2026-04-14 10:47:00,2026-04-14,M0012827,E000555,小程序消息,活动邀请,CT0051,CMP0007,0,已发送
TC000000079,2026-05-02 08:49:00,2026-05-02,M0061392,E000115,视频号,活动邀请,CT0080,CMP0036,0,已发送
TC000000080,2026-05-20 18:53:00,2026-05-20,M0042158,E000344,社群,复购召回,CT0068,CMP0037,1,已发送
TC000000081,2026-04-18 18:00:00,2026-04-18,M0067097,E000031,朋友圈,复购召回,CT0075,CMP0044,0,已发送
TC000000082,2026-04-02 17:28:00,2026-04-02,M0009782,E000165,小程序消息,新品推荐,CT0021,,1,已发送
TC000000083,2026-04-26 19:54:00,2026-04-26,M0066439,E000347,社群,活动邀请,CT0120,CMP0045,1,已发送
TC000000084,2026-04-19 20:57:00,2026-04-19,M0058782,E000363,企微1V1,活动邀请,CT0168,CMP0044,1,已发送
TC000000085,2026-04-21 14:15:00,2026-04-21,M0042907,E000366,朋友圈,会员日提醒,CT0080,CMP0043,0,已发送
TC000000086,2026-05-02 21:02:00,2026-05-02,M0014803,E000119,企微1V1,复购召回,CT0012,,0,已发送
TC000000087,2026-05-01 11:51:00,2026-05-01,M0013730,E000496,小程序消息,生日祝福,CT0045,,0,已发送
TC000000088,2026-03-21 10:02:00,2026-03-21,M0049217,E000023,朋友圈,新品推荐,CT0119,CMP0011,1,已发送
TC000000089,2026-03-06 21:50:00,2026-03-06,M0000952,E000189,视频号,会员日提醒,CT0026,CMP0008,0,已发送
TC000000090,2026-04-11 15:05:00,2026-04-11,M0052628,E000486,朋友圈,复购召回,CT0175,,1,已发送
TC000000091,2026-04-13 18:57:00,2026-04-13,M0070066,E000349,小程序消息,优惠提醒,CT0182,CMP0034,1,已发送
TC000000092,2026-05-20 08:51:00,2026-05-20,M0051282,E000141,短信,会员日提醒,CT0019,,1,已发送
TC000000093,2026-04-02 08:49:00,2026-04-02,M0043673,E000144,视频号,优惠提醒,CT0122,CMP0006,1,已发送
TC000000094,2026-03-15 11:17:00,2026-03-15,M0051021,E000488,社群,新品推荐,CT0110,CMP0031,0,已发送
TC000000095,2026-05-17 13:29:00,2026-05-17,M0049232,E000212,企微1V1,优惠提醒,CT0033,CMP0039,1,已发送
TC000000096,2026-03-24 17:42:00,2026-03-24,M0025154,E000009,视频号,生日祝福,CT0001,,1,已发送
TC000000097,2026-02-22 17:48:00,2026-02-22,M0074582,E000270,社群,会员日提醒,CT0050,CMP0012,1,已发送
TC000000098,2026-03-23 14:19:00,2026-03-23,M0073353,E000037,社群,优惠提醒,CT0078,,0,已发送
TC000000099,2026-03-29 14:51:00,2026-03-29,M0020266,E000543,企微1V1,新品推荐,CT0159,,0,已发送
TC000000100,2026-04-11 14:32:00,2026-04-11,M0028232,E000404,社群,生日祝福,CT0120,CMP0017,1,已发送
TC000000101,2026-03-08 17:02:00,2026-03-08,M0077958,E000532,企微1V1,生日祝福,CT0192,CMP0002,1,已发送
TC000000102,2026-04-05 09:54:00,2026-04-05,M0030790,E000389,社群,新品推荐,CT0191,CMP0016,0,已发送
TC000000103,2026-04-03 17:10:00,2026-04-03,M0007357,E000469,社群,活动邀请,CT0070,CMP0035,0,已发送
TC000000104,2026-03-11 11:21:00,2026-03-11,M0054509,E000064,视频号,优惠提醒,CT0140,CMP0006,0,已发送
TC000000105,2026-04-26 09:30:00,2026-04-26,M0071615,E000204,社群,生日祝福,CT0141,,1,已发送
TC000000106,2026-04-28 14:51:00,2026-04-28,M0011437,E000548,社群,会员日提醒,CT0168,CMP0048,1,已发送
TC000000107,2026-04-20 11:54:00,2026-04-20,M0011339,E000564,朋友圈,生日祝福,CT0001,CMP0009,0,已发送
TC000000108,2026-04-16 16:23:00,2026-04-16,M0016108,E000498,小程序消息,生日祝福,CT0112,CMP0025,0,已发送
TC000000109,2026-03-26 17:08:00,2026-03-26,M0020696,E000084,企微1V1,活动邀请,CT0107,CMP0007,1,已发送
TC000000110,2026-05-18 20:45:00,2026-05-18,M0004040,E000154,企微1V1,复购召回,CT0021,CMP0024,1,已发送
TC000000111,2026-05-13 19:48:00,2026-05-13,M0019639,E000223,小程序消息,复购召回,CT0095,CMP0042,1,已发送
TC000000112,2026-03-09 17:26:00,2026-03-09,M0031955,E000180,社群,优惠提醒,CT0042,CMP0028,0,已发送
TC000000113,2026-04-03 11:47:00,2026-04-03,M0036208,E000234,朋友圈,活动邀请,CT0015,,1,已发送
TC000000114,2026-03-10 08:11:00,2026-03-10,M0015470,E000227,企微1V1,活动邀请,CT0050,CMP0024,0,已发送
TC000000115,2026-03-10 18:13:00,2026-03-10,M0056862,E000136,视频号,新品推荐,CT0173,CMP0013,0,已发送
TC000000116,2026-02-23 09:51:00,2026-02-23,M0061241,E000055,社群,复购召回,CT0162,CMP0037,0,已发送
TC000000117,2026-03-29 08:04:00,2026-03-29,M0048860,E000157,社群,复购召回,CT0063,CMP0001,0,已发送
TC000000118,2026-04-24 19:34:00,2026-04-24,M0008384,E000213,社群,优惠提醒,CT0023,CMP0022,1,已发送
TC000000119,2026-05-09 19:05:00,2026-05-09,M0037651,E000294,朋友圈,会员日提醒,CT0022,CMP0015,0,已发送
TC000000120,2026-05-17 18:39:00,2026-05-17,M0004268,E000246,小程序消息,会员日提醒,CT0165,,0,已发送
TC000000121,2026-05-18 20:17:00,2026-05-18,M0017061,E000066,社群,活动邀请,CT0028,CMP0043,1,已发送
TC000000122,2026-05-15 12:21:00,2026-05-15,M0067222,E000427,朋友圈,会员日提醒,CT0077,,0,已发送
TC000000123,2026-02-21 16:17:00,2026-02-21,M0028034,E000059,小程序消息,新品推荐,CT0155,CMP0022,1,已发送
TC000000124,2026-03-14 14:17:00,2026-03-14,M0042175,E000335,社群,新品推荐,CT0102,,1,已发送
TC000000125,2026-04-05 15:18:00,2026-04-05,M0055500,E000374,小程序消息,新品推荐,CT0061,,0,已发送
TC000000126,2026-04-06 18:47:00,2026-04-06,M0008004,E000408,企微1V1,新品推荐,CT0186,CMP0025,0,已发送
TC000000127,2026-03-26 21:39:00,2026-03-26,M0021216,E000136,企微1V1,复购召回,CT0079,,1,已发送
TC000000128,2026-04-24 19:33:00,2026-04-24,M0003494,E000289,视频号,复购召回,CT0044,,0,已发送
TC000000129,2026-05-05 11:15:00,2026-05-05,M0017127,E000500,视频号,会员日提醒,CT0142,CMP0013,1,已发送
TC000000130,2026-05-15 20:13:00,2026-05-15,M0009232,E000021,社群,生日祝福,CT0012,,1,已发送
TC000000131,2026-05-03 10:27:00,2026-05-03,M0051613,E000407,社群,活动邀请,CT0195,CMP0035,0,已发送
TC000000132,2026-04-06 17:38:00,2026-04-06,M0060092,E000066,社群,复购召回,CT0110,,1,已发送
TC000000133,2026-03-20 18:08:00,2026-03-20,M0018134,E000282,社群,会员日提醒,CT0186,,0,已发送
TC000000134,2026-03-29 14:55:00,2026-03-29,M0010703,E000298,社群,复购召回,CT0129,CMP0034,0,已发送
TC000000135,2026-05-12 08:59:00,2026-05-12,M0056818,E000154,朋友圈,生日祝福,CT0048,CMP0038,1,已发送
TC000000136,2026-05-11 12:46:00,2026-05-11,M0073208,E000435,企微1V1,新品推荐,CT0198,CMP0008,0,已发送
TC000000137,2026-02-24 12:04:00,2026-02-24,M0046186,E000170,视频号,会员日提醒,CT0193,,0,已发送
TC000000138,2026-05-11 20:20:00,2026-05-11,M0026887,E000390,企微1V1,活动邀请,CT0036,,1,已发送
TC000000139,2026-04-13 09:53:00,2026-04-13,M0041528,E000359,社群,活动邀请,CT0149,,0,已发送
TC000000140,2026-04-13 15:09:00,2026-04-13,M0054612,E000356,社群,活动邀请,CT0179,CMP0022,0,已发送
TC000000141,2026-03-04 14:59:00,2026-03-04,M0025961,E000550,社群,会员日提醒,CT0041,CMP0020,1,已发送
TC000000142,2026-05-13 11:00:00,2026-05-13,M0068373,E000445,社群,优惠提醒,CT0027,CMP0035,0,已发送
TC000000143,2026-05-15 20:51:00,2026-05-15,M0071544,E000186,企微1V1,活动邀请,CT0193,CMP0015,1,已发送
TC000000144,2026-02-27 10:23:00,2026-02-27,M0031743,E000095,企微1V1,生日祝福,CT0130,CMP0006,1,已发送
TC000000145,2026-03-13 08:23:00,2026-03-13,M0030398,E000105,小程序消息,优惠提醒,CT0131,,0,已发送
TC000000146,2026-04-01 14:07:00,2026-04-01,M0037170,E000084,企微1V1,优惠提醒,CT0065,,1,已发送
TC000000147,2026-03-23 08:56:00,2026-03-23,M0076077,E000545,短信,复购召回,CT0196,CMP0015,0,已发送
TC000000148,2026-05-15 19:37:00,2026-05-15,M0020688,E000165,企微1V1,生日祝福,CT0164,CMP0043,0,已发送
TC000000149,2026-05-08 17:08:00,2026-05-08,M0058060,E000505,短信,活动邀请,CT0137,CMP0001,1,已发送
TC000000150,2026-03-01 21:41:00,2026-03-01,M0003639,E000059,社群,活动邀请,CT0149,CMP0047,1,已发送
TC000000151,2026-05-07 17:25:00,2026-05-07,M0028881,E000341,企微1V1,活动邀请,CT0015,CMP0009,0,已发送
TC000000152,2026-05-09 10:54:00,2026-05-09,M0024062,E000155,企微1V1,会员日提醒,CT0101,,0,已发送
TC000000153,2026-04-13 16:06:00,2026-04-13,M0059149,E000122,社群,生日祝福,CT0061,,1,已发送
TC000000154,2026-03-30 12:12:00,2026-03-30,M0056742,E000074,社群,新品推荐,CT0073,CMP0009,0,已发送
TC000000155,2026-04-25 21:54:00,2026-04-25,M0020549,E000457,社群,优惠提醒,CT0003,CMP0046,0,已发送
TC000000156,2026-03-03 09:12:00,2026-03-03,M0020436,E000465,企微1V1,复购召回,CT0008,CMP0042,0,已发送
TC000000157,2026-04-13 10:12:00,2026-04-13,M0011468,E000554,社群,优惠提醒,CT0149,CMP0021,1,已发送
TC000000158,2026-04-24 15:26:00,2026-04-24,M0031384,E000465,小程序消息,活动邀请,CT0175,CMP0041,1,已发送
TC000000159,2026-05-07 11:31:00,2026-05-07,M0028500,E000378,朋友圈,优惠提醒,CT0132,CMP0035,0,已发送
TC000000160,2026-04-02 17:40:00,2026-04-02,M0011817,E000020,社群,生日祝福,CT0198,CMP0042,0,已发送
TC000000161,2026-04-01 19:23:00,2026-04-01,M0021319,E000154,短信,优惠提醒,CT0157,CMP0009,1,已发送
TC000000162,2026-03-23 14:24:00,2026-03-23,M0079854,E000405,社群,优惠提醒,CT0034,CMP0031,0,已发送
TC000000163,2026-03-14 17:51:00,2026-03-14,M0014550,E000234,社群,会员日提醒,CT0153,CMP0020,1,已发送
TC000000164,2026-04-11 19:41:00,2026-04-11,M0060225,E000450,社群,复购召回,CT0087,CMP0050,1,已发送
TC000000165,2026-04-26 09:27:00,2026-04-26,M0018345,E000052,小程序消息,会员日提醒,CT0188,CMP0008,0,已发送
TC000000166,2026-05-08 16:31:00,2026-05-08,M0012451,E000478,社群,活动邀请,CT0119,CMP0010,0,已发送
TC000000167,2026-05-02 16:02:00,2026-05-02,M0074516,E000011,企微1V1,优惠提醒,CT0170,CMP0016,1,已发送
TC000000168,2026-05-07 15:45:00,2026-05-07,M0022342,E000008,视频号,会员日提醒,CT0125,CMP0032,1,已发送
TC000000169,2026-04-14 10:15:00,2026-04-14,M0035822,E000219,小程序消息,复购召回,CT0158,,1,已发送
TC000000170,2026-04-05 13:32:00,2026-04-05,M0065006,E000065,社群,会员日提醒,CT0015,,1,已发送
TC000000171,2026-03-05 15:23:00,2026-03-05,M0010477,E000487,企微1V1,活动邀请,CT0029,CMP0014,0,已发送
TC000000172,2026-02-23 15:21:00,2026-02-23,M0009784,E000261,小程序消息,新品推荐,CT0188,CMP0013,0,已发送
TC000000173,2026-03-11 15:37:00,2026-03-11,M0041326,E000408,社群,会员日提醒,CT0126,CMP0025,0,已发送
TC000000174,2026-04-22 10:16:00,2026-04-22,M0024642,E000502,企微1V1,优惠提醒,CT0195,CMP0040,1,已发送
TC000000175,2026-04-09 19:24:00,2026-04-09,M0013561,E000279,小程序消息,优惠提醒,CT0151,,1,已发送
TC000000176,2026-03-11 17:13:00,2026-03-11,M0065573,E000408,朋友圈,优惠提醒,CT0114,,1,已发送
TC000000177,2026-05-05 15:40:00,2026-05-05,M0043343,E000248,短信,生日祝福,CT0041,CMP0036,1,已发送
TC000000178,2026-03-16 09:21:00,2026-03-16,M0052027,E000108,社群,生日祝福,CT0105,CMP0048,0,已发送
TC000000179,2026-05-12 09:20:00,2026-05-12,M0022834,E000290,社群,会员日提醒,CT0076,,1,已发送
TC000000180,2026-04-20 15:06:00,2026-04-20,M0001947,E000228,社群,生日祝福,CT0085,,1,已发送
TC000000181,2026-04-11 14:16:00,2026-04-11,M0047121,E000219,小程序消息,活动邀请,CT0126,CMP0041,1,已发送
TC000000182,2026-04-01 16:39:00,2026-04-01,M0070499,E000070,企微1V1,生日祝福,CT0169,CMP0043,1,已发送
TC000000183,2026-05-16 14:24:00,2026-05-16,M0076257,E000186,社群,新品推荐,CT0115,CMP0021,1,已发送
TC000000184,2026-05-12 20:31:00,2026-05-12,M0019705,E000564,企微1V1,活动邀请,CT0058,CMP0014,1,已发送
TC000000185,2026-05-09 11:04:00,2026-05-09,M0029339,E000233,社群,会员日提醒,CT0077,,0,已发送
TC000000186,2026-04-02 20:52:00,2026-04-02,M0032632,E000134,企微1V1,生日祝福,CT0186,CMP0027,1,已发送
TC000000187,2026-03-09 14:34:00,2026-03-09,M0024740,E000224,社群,会员日提醒,CT0092,,1,已发送
TC000000188,2026-04-18 15:43:00,2026-04-18,M0053513,E000078,社群,生日祝福,CT0150,CMP0009,0,已发送
TC000000189,2026-02-28 12:38:00,2026-02-28,M0069805,E000535,小程序消息,复购召回,CT0061,,1,已发送
TC000000190,2026-03-18 21:14:00,2026-03-18,M0049956,E000095,朋友圈,生日祝福,CT0061,CMP0014,1,已发送
TC000000191,2026-03-30 20:00:00,2026-03-30,M0009415,E000165,短信,活动邀请,CT0009,CMP0022,1,已发送
TC000000192,2026-03-02 18:28:00,2026-03-02,M0058382,E000213,小程序消息,活动邀请,CT0187,CMP0046,0,已发送
TC000000193,2026-04-04 09:29:00,2026-04-04,M0009111,E000229,小程序消息,复购召回,CT0082,CMP0004,1,已发送
TC000000194,2026-03-28 08:50:00,2026-03-28,M0034083,E000449,企微1V1,新品推荐,CT0113,CMP0026,0,已发送
TC000000195,2026-04-01 13:24:00,2026-04-01,M0053700,E000017,企微1V1,新品推荐,CT0107,CMP0024,0,已发送
TC000000196,2026-02-25 17:23:00,2026-02-25,M0008814,E000246,企微1V1,活动邀请,CT0161,,1,已发送
TC000000197,2026-03-04 17:32:00,2026-03-04,M0012734,E000141,企微1V1,生日祝福,CT0094,CMP0018,1,已发送
TC000000198,2026-05-13 17:20:00,2026-05-13,M0019402,E000532,朋友圈,复购召回,CT0192,CMP0035,1,已发送
TC000000199,2026-04-20 20:22:00,2026-04-20,M0064991,E000530,小程序消息,复购召回,CT0028,,1,已发送
TC000000200,2026-03-21 13:39:00,2026-03-21,M0053815,E000253,社群,复购召回,CT0024,CMP0035,1,已发送
