目标ID,门店ID,年月,目标指标,目标值
TG0000127,S00011,2026-04-01,销售额,83591
TG0000128,S00011,2026-04-01,新增会员,687
TG0000129,S00011,2026-04-01,会员订单数,1076
TG0000130,S00011,2026-05-01,销售额,124536
TG0000131,S00011,2026-05-01,新增会员,561
TG0000132,S00011,2026-05-01,会员订单数,1059
TG0000133,S00012,2026-02-01,销售额,86567
TG0000134,S00012,2026-02-01,新增会员,601
TG0000135,S00012,2026-02-01,会员订单数,344
TG0000136,S00012,2026-03-01,销售额,154296
TG0000137,S00012,2026-03-01,新增会员,608
TG0000138,S00012,2026-03-01,会员订单数,1167
TG0000139,S00012,2026-04-01,销售额,59684
TG0000140,S00012,2026-04-01,新增会员,367
TG0000141,S00012,2026-04-01,会员订单数,319
TG0000142,S00012,2026-05-01,销售额,96600
TG0000143,S00012,2026-05-01,新增会员,254
TG0000144,S00012,2026-05-01,会员订单数,1033
TG0000145,S00013,2026-02-01,销售额,61111
TG0000146,S00013,2026-02-01,新增会员,639
TG0000147,S00013,2026-02-01,会员订单数,1251
TG0000148,S00013,2026-03-01,销售额,197592
TG0000149,S00013,2026-03-01,新增会员,230
TG0000150,S00013,2026-03-01,会员订单数,1372
TG0000151,S00013,2026-04-01,销售额,77802
TG0000152,S00013,2026-04-01,新增会员,596
TG0000153,S00013,2026-04-01,会员订单数,1290
TG0000154,S00013,2026-05-01,销售额,52515
TG0000155,S00013,2026-05-01,新增会员,122
TG0000156,S00013,2026-05-01,会员订单数,1128
TG0000157,S00014,2026-02-01,销售额,81961
TG0000158,S00014,2026-02-01,新增会员,138
TG0000159,S00014,2026-02-01,会员订单数,940
TG0000160,S00014,2026-03-01,销售额,94749
TG0000161,S00014,2026-03-01,新增会员,703
TG0000162,S00014,2026-03-01,会员订单数,252
TG0000163,S00014,2026-04-01,销售额,111498
TG0000164,S00014,2026-04-01,新增会员,289
TG0000165,S00014,2026-04-01,会员订单数,848
TG0000166,S00014,2026-05-01,销售额,63534
TG0000167,S00014,2026-05-01,新增会员,101
TG0000168,S00014,2026-05-01,会员订单数,511
TG0000169,S00015,2026-02-01,销售额,166913
TG0000170,S00015,2026-02-01,新增会员,407
TG0000171,S00015,2026-02-01,会员订单数,1402
TG0000172,S00015,2026-03-01,销售额,151760
TG0000173,S00015,2026-03-01,新增会员,274
TG0000174,S00015,2026-03-01,会员订单数,792
TG0000175,S00015,2026-04-01,销售额,95617
TG0000176,S00015,2026-04-01,新增会员,221
TG0000177,S00015,2026-04-01,会员订单数,704
TG0000178,S00015,2026-05-01,销售额,64452
TG0000179,S00015,2026-05-01,新增会员,399
TG0000180,S00015,2026-05-01,会员订单数,1354
TG0000181,S00016,2026-02-01,销售额,160688
TG0000182,S00016,2026-02-01,新增会员,226
TG0000183,S00016,2026-02-01,会员订单数,507
TG0000184,S00016,2026-03-01,销售额,99909
TG0000185,S00016,2026-03-01,新增会员,776
TG0000186,S00016,2026-03-01,会员订单数,306
TG0000187,S00016,2026-04-01,销售额,185661
TG0000188,S00016,2026-04-01,新增会员,205
TG0000189,S00016,2026-04-01,会员订单数,856
TG0000190,S00016,2026-05-01,销售额,54524
TG0000191,S00016,2026-05-01,新增会员,178
TG0000192,S00016,2026-05-01,会员订单数,275
TG0000193,S00017,2026-02-01,销售额,143274
TG0000194,S00017,2026-02-01,新增会员,544
TG0000195,S00017,2026-02-01,会员订单数,927
TG0000196,S00017,2026-03-01,销售额,88994
TG0000197,S00017,2026-03-01,新增会员,277
TG0000198,S00017,2026-03-01,会员订单数,716
TG0000199,S00017,2026-04-01,销售额,180673
TG0000200,S00017,2026-04-01,新增会员,309
