任务ID,任务优先级,任务类型,任务来源,会员ID,会员等级,会员城市,归属门店ID,门店名称,门店城市,店型,门店类型,员工导购ID,员工姓名,岗位,角色标签,人群标签,推荐动作,推荐权益,推荐原因,预计价值,任务生成时间,任务截止时间,任务失效时间,触达状态,触达时间,触达方式,触达后下单,触达后下单金额,任务结果,执行状态,转化阶段
T00000011,P1,沉睡召回,模型生成,M0050927,普卡,佛山,S00209,佛山街边店0209店,佛山,校园店,学校店,E000593,普通导购0593,普通导购,普通导购,沉睡,强召回权益+低频触达,拉新返券,60 天未消费,41.15,2026-04-16 09:33:42,2026-04-19 09:33:42,2026-04-23 09:33:42,未触达,,,0,0.0,已失效,已过期,未触达
T00000012,P2,外卖转到店,规则生成,M0067726,普卡,珠海,S00057,珠海购物中心0057店,珠海,标准店,商场店,E000449,金牌导购0449,金牌导购,金牌导购,流失,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,47.17,2026-04-18 09:54:19,2026-04-22 09:54:19,2026-04-25 09:54:19,已触达,1776521413000000000,社群,1,60.6,已完成-有转化,已完结,有转化
T00000013,P0,负评修复,模型生成,M0040753,普卡,郑州,S00380,郑州写字楼0380店,郑州,标准店,写字楼店,E000115,普通导购0115,普通导购,普通导购,高价值,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,33.72,2026-02-26 09:48:53,2026-02-28 09:48:53,2026-03-05 09:48:53,已触达,1772176813000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000014,P1,沉睡召回,模型生成,M0051639,普卡,武汉,S00967,武汉CBD0967店,武汉,标准店,写字楼店,E000182,金牌导购0182,金牌导购,金牌导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,42.3,2026-03-09 08:39:02,2026-03-16 08:39:02,2026-03-16 08:39:02,未触达,,,0,0.0,已失效,已过期,未触达
T00000015,P1,首单后二单,人工指派,M0064634,金卡,宁波,S00476,宁波社区0476店,宁波,快取店,快取店,E000346,金牌导购0346,金牌导购,金牌导购,活跃,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,35.67,2026-03-21 08:32:25,2026-03-26 08:32:25,2026-03-28 08:32:25,已触达,1774106893000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000016,P1,新会员首单,模型生成,M0078788,银卡,长沙,S00032,长沙校园0032店,长沙,外卖店,外卖卫星店,E000395,普通导购0395,普通导购,普通导购,沉睡,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,32.29,2026-04-28 08:07:37,2026-05-04 08:07:37,2026-05-05 08:07:37,已触达,1777386187000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000017,P0,负评修复,规则生成,M0024166,普卡,广州,S01107,广州社区1107店,广州,标准店,社区店,E000372,新人导购0372,新人导购,新人导购,活跃,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,31.46,2026-03-29 09:31:50,2026-04-05 09:31:50,2026-04-05 09:31:50,已触达,1774783390000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000018,P1,新会员首单,规则生成,M0053554,金卡,海口,S00862,海口校园0862店,海口,快取店,快取店,E000136,金牌导购0136,金牌导购,金牌导购,沉睡,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,29.95,2026-03-11 07:09:49,2026-03-18 07:09:49,2026-03-18 07:09:49,未触达,,,0,0.0,已失效,已过期,未触达
T00000019,P2,领券未核销,规则生成,M0073016,普卡,北京,S00510,北京社区0510店,北京,标准店,社区店,E000291,普通导购0291,普通导购,普通导购,新客,到期提醒+门店引导,原券提醒,领券 5 天未核销,33.84,2026-03-24 08:14:05,2026-03-30 08:14:05,2026-03-31 08:14:05,已触达,1774486235000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000020,P1,首单后二单,规则生成,M0056172,普卡,三亚,S00577,三亚校园0577店,三亚,外卖店,外卖卫星店,E000218,新人导购0218,新人导购,新人导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,33.4,2026-04-10 09:20:42,2026-04-16 09:20:42,2026-04-17 09:20:42,未触达,,,0,0.0,已失效,已过期,未触达
T00000021,P0,流失预警,模型生成,M0016477,黑卡,郑州,S00759,郑州街边店0759店,郑州,标准店,社区店,E000412,普通导购0412,普通导购,普通导购,流失,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,67.1,2026-03-23 09:07:47,2026-03-28 09:07:47,2026-03-30 09:07:47,未触达,,,0,0.0,已失效,已过期,未触达
T00000022,P1,沉睡召回,规则生成,M0060253,普卡,泉州,S00775,泉州购物中心0775店,泉州,外卖店,外卖卫星店,E000556,新人导购0556,新人导购,新人导购,活跃,强召回权益+低频触达,拉新返券,60 天未消费,40.07,2026-03-04 09:31:36,2026-03-10 09:31:36,2026-03-11 09:31:36,未触达,,,0,0.0,已失效,已过期,未触达
T00000023,P2,堂食老客召回,人工指派,M0076109,银卡,重庆,S00252,重庆写字楼0252店,重庆,旗舰店,旗舰店,E000551,普通导购0551,普通导购,普通导购,新客,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,50.86,2026-03-11 09:46:47,2026-03-13 09:46:47,2026-03-18 09:46:47,已触达,1773472956000000000,企微1V1,1,40.41,已完成-有转化,已完结,有转化
T00000024,P1,首单后二单,规则生成,M0052205,普卡,北京,S00705,北京写字楼0705店,北京,快取店,快取店,E000055,金牌导购0055,金牌导购,金牌导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,28.88,2026-02-25 08:31:29,2026-03-02 08:31:29,2026-03-04 08:31:29,已触达,1772158591000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000025,P1,首单后二单,人工指派,M0041318,银卡,常州,S00842,常州社区0842店,常州,标准店,社区店,E000575,金牌导购0575,金牌导购,金牌导购,活跃,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,36.35,2026-04-21 08:57:44,2026-04-28 08:57:44,2026-04-28 08:57:44,未触达,,,0,0.0,已失效,已过期,未触达
T00000026,P1,首单后二单,模型生成,M0044633,银卡,深圳,S00116,深圳CBD0116店,深圳,快取店,快取店,E000293,金牌导购0293,金牌导购,金牌导购,沉睡,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,34.36,2026-04-10 08:24:29,2026-04-16 08:24:29,2026-04-17 08:24:29,已触达,1776049559000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000027,P2,外卖转到店,模型生成,M0038240,普卡,绵阳,S00868,绵阳社区0868店,绵阳,外卖店,外卖卫星店,E000210,金牌导购0210,金牌导购,金牌导购,流失,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,45.71,2026-03-27 07:49:43,2026-03-29 07:49:43,2026-04-03 07:49:43,已触达,1774680744000000000,电话,1,52.99,已完成-有转化,已完结,有转化
T00000028,P1,新会员首单,规则生成,M0070248,普卡,西安,S00559,西安街边店0559店,西安,快取店,快取店,E000250,普通导购0250,普通导购,普通导购,沉睡,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,29.27,2026-05-20 08:57:14,2026-05-24 08:57:14,2026-05-27 08:57:14,已触达,1779325747000000000,企微1V1,1,32.28,已完成-有转化,已完结,有转化
T00000029,P0,负评修复,规则生成,M0016027,银卡,佛山,S00361,佛山社区0361店,佛山,外卖店,外卖卫星店,E000309,金牌导购0309,金牌导购,金牌导购,流失,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,47.05,2026-05-09 09:39:08,2026-05-16 09:39:08,2026-05-16 09:39:08,已触达,1778526309000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000030,P1,沉睡召回,人工指派,M0075001,金卡,大连,S00385,大连写字楼0385店,大连,标准店,写字楼店,E000135,普通导购0135,普通导购,普通导购,活跃,强召回权益+低频触达,拉新返券,60 天未消费,43.53,2026-03-02 09:34:39,2026-03-05 09:34:39,2026-03-09 09:34:39,已触达,1772651137000000000,企微1V1,1,51.85,已完成-有转化,已完结,有转化
T00000031,P2,高价值维护,人工指派,M0050609,普卡,武汉,S00019,武汉校园0019店,武汉,快取店,快取店,E000228,金牌导购0228,金牌导购,金牌导购,流失,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,83.47,2026-05-15 09:30:11,2026-05-20 09:30:11,2026-05-22 09:30:11,已触达,1778876691000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000032,P1,首单后二单,规则生成,M0009317,普卡,佛山,S00778,佛山交通枢纽0778店,佛山,外卖店,外卖卫星店,E000339,金牌导购0339,金牌导购,金牌导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,25.69,2026-03-19 08:48:06,2026-03-24 08:48:06,2026-03-26 08:48:06,已触达,1774050655000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000033,P2,高价值维护,规则生成,M0069110,普卡,沈阳,S01046,沈阳CBD1046店,沈阳,快取店,快取店,E000219,金牌导购0219,金牌导购,金牌导购,流失,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,86.85,2026-02-24 08:17:02,2026-02-28 08:17:02,2026-03-03 08:17:02,未触达,,,0,0.0,已失效,已过期,未触达
T00000034,P1,沉睡召回,规则生成,M0015927,普卡,厦门,S01075,厦门写字楼1075店,厦门,标准店,写字楼店,E000193,普通导购0193,普通导购,普通导购,沉睡,强召回权益+低频触达,拉新返券,60 天未消费,33.99,2026-05-16 08:30:32,2026-05-20 08:30:32,2026-05-23 08:30:32,已触达,1778966533000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000035,P1,新会员首单,规则生成,M0055473,银卡,佛山,S00778,佛山交通枢纽0778店,佛山,外卖店,外卖卫星店,E000395,普通导购0395,普通导购,普通导购,流失,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,23.51,2026-02-24 07:24:12,2026-02-26 07:24:12,2026-03-03 07:24:12,已触达,1772058413000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000036,P1,沉睡召回,规则生成,M0033178,普卡,大连,S00343,大连写字楼0343店,大连,外卖店,外卖卫星店,E000250,普通导购0250,普通导购,普通导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,40.61,2026-05-19 08:22:13,2026-05-23 08:22:13,2026-05-26 08:22:13,已触达,1779342118000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000037,P1,新会员首单,模型生成,M0010842,普卡,福州,S00095,福州购物中心0095店,福州,快取店,快取店,E000213,金牌导购0213,金牌导购,金牌导购,活跃,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,28.44,2026-03-17 08:22:31,2026-03-23 08:22:31,2026-03-24 08:22:31,已触达,1773909210000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000038,P1,沉睡召回,规则生成,M0043915,普卡,厦门,S00916,厦门写字楼0916店,厦门,快取店,快取店,E000237,普通导购0237,普通导购,普通导购,高价值,强召回权益+低频触达,拉新返券,60 天未消费,44.19,2026-04-27 09:43:13,2026-05-03 09:43:13,2026-05-04 09:43:13,已触达,1777458260000000000,社群,1,37.31,已完成-有转化,已完结,有转化
T00000039,P1,沉睡召回,规则生成,M0049735,普卡,苏州,S01065,苏州购物中心1065店,苏州,快取店,快取店,E000448,普通导购0448,普通导购,普通导购,高价值,强召回权益+低频触达,拉新返券,60 天未消费,48.6,2026-03-14 08:34:34,2026-03-21 08:34:34,2026-03-21 08:34:34,已触达,1773591146000000000,电话,1,47.85,已完成-有转化,已完结,有转化
T00000040,P1,新会员首单,规则生成,M0033455,银卡,中山,S00468,中山CBD0468店,中山,标准店,写字楼店,E000353,店长0353,店长,店长,高价值,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,20.13,2026-04-13 07:17:24,2026-04-17 07:17:24,2026-04-20 07:17:24,已触达,1776294472000000000,电话,1,23.1,已完成-有转化,已完结,有转化
T00000041,P2,外卖转到店,模型生成,M0007684,银卡,贵阳,S00569,贵阳校园0569店,贵阳,校园店,学校店,E000280,普通导购0280,普通导购,普通导购,活跃,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,59.08,2026-04-27 07:01:05,2026-05-03 07:01:05,2026-05-04 07:01:05,已触达,1777449588000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000042,P2,高价值维护,规则生成,M0014569,普卡,嘉兴,S00081,嘉兴CBD0081店,嘉兴,校园店,学校店,E000021,金牌导购0021,金牌导购,金牌导购,活跃,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,98.85,2026-03-23 09:11:17,2026-03-30 09:11:17,2026-03-30 09:11:17,已触达,1774311735000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000043,P1,沉睡召回,规则生成,M0051663,普卡,北京,S00807,北京购物中心0807店,北京,快取店,快取店,E000533,普通导购0533,普通导购,普通导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,55.33,2026-04-27 08:10:03,2026-05-03 08:10:03,2026-05-04 08:10:03,已触达,1777352667000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000044,P1,沉睡召回,模型生成,M0057046,普卡,常州,S00852,常州社区0852店,常州,快取店,快取店,E000303,普通导购0303,普通导购,普通导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,34.93,2026-04-28 08:19:24,2026-04-30 08:19:24,2026-05-05 08:19:24,未触达,,,0,0.0,已失效,已过期,未触达
T00000045,P2,领券未核销,规则生成,M0069466,银卡,北京,S00096,北京购物中心0096店,北京,标准店,商场店,E000597,金牌导购0597,金牌导购,金牌导购,高价值,到期提醒+门店引导,原券提醒,领券 5 天未核销,10.65,2026-02-20 08:43:22,2026-02-25 08:43:22,2026-02-27 08:43:22,已触达,1771667054000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000046,P1,首单后二单,模型生成,M0047628,金卡,北京,S00688,北京CBD0688店,北京,外卖店,外卖卫星店,E000227,金牌导购0227,金牌导购,金牌导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,26.73,2026-04-27 07:29:09,2026-04-29 07:29:09,2026-05-04 07:29:09,已触达,1777408762000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000047,P2,堂食老客召回,人工指派,M0065398,银卡,郑州,S00664,郑州购物中心0664店,郑州,标准店,商场店,E000544,金牌导购0544,金牌导购,金牌导购,流失,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,60.34,2026-04-07 07:12:45,2026-04-12 07:12:45,2026-04-14 07:12:45,已触达,1775675825000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000048,P1,新会员首单,规则生成,M0059861,普卡,南宁,S01087,南宁校园1087店,南宁,外卖店,外卖卫星店,E000129,金牌导购0129,金牌导购,金牌导购,活跃,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,23.49,2026-05-03 09:33:47,2026-05-06 09:33:47,2026-05-10 09:33:47,未触达,,,0,0.0,已失效,已过期,未触达
T00000049,P1,沉睡召回,规则生成,M0072549,普卡,郑州,S00403,郑州社区0403店,郑州,校园店,学校店,E000010,普通导购0010,普通导购,普通导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,40.11,2026-03-01 07:29:38,2026-03-06 07:29:38,2026-03-08 07:29:38,已触达,1772362968000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000050,P1,首单后二单,规则生成,M0034355,金卡,三亚,S01038,三亚校园1038店,三亚,标准店,学校店,E000446,普通导购0446,普通导购,普通导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,38.43,2026-04-24 09:34:02,2026-04-27 09:34:02,2026-05-01 09:34:02,已触达,1777201957000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000051,P2,外卖转到店,规则生成,M0022969,银卡,成都,S00784,成都CBD0784店,成都,外卖店,外卖卫星店,E000480,金牌导购0480,金牌导购,金牌导购,高价值,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,41.89,2026-05-01 07:19:38,2026-05-04 07:19:38,2026-05-08 07:19:38,已触达,1777707898000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000052,P1,首单后二单,规则生成,M0078078,普卡,天津,S01054,天津街边店1054店,天津,标准店,社区店,E000457,金牌导购0457,金牌导购,金牌导购,沉睡,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,44.96,2026-02-21 08:50:05,2026-02-28 08:50:05,2026-02-28 08:50:05,已触达,1771813471000000000,企微1V1,1,64.23,已完成-有转化,已完结,有转化
T00000053,P0,负评修复,模型生成,M0041830,金卡,成都,S00581,成都购物中心0581店,成都,标准店,商场店,E000459,普通导购0459,普通导购,普通导购,活跃,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,23.96,2026-03-17 09:56:25,2026-03-23 09:56:25,2026-03-24 09:56:25,未触达,,,0,0.0,已失效,已过期,未触达
T00000054,P2,外卖转到店,规则生成,M0028556,银卡,天津,S01023,天津购物中心1023店,天津,标准店,商场店,E000418,普通导购0418,普通导购,普通导购,新客,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,36.27,2026-04-05 07:10:30,2026-04-10 07:10:30,2026-04-12 07:10:30,未触达,,,0,0.0,已失效,已过期,未触达
T00000055,P0,负评修复,规则生成,M0023370,普卡,无锡,S00153,无锡校园0153店,无锡,标准店,学校店,E000586,普通导购0586,普通导购,普通导购,新客,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,33.8,2026-05-18 07:43:12,2026-05-21 07:43:12,2026-05-25 07:43:12,未触达,,,0,0.0,进行中,进行中,未触达
T00000056,P1,沉睡召回,规则生成,M0055785,普卡,广州,S00736,广州写字楼0736店,广州,快取店,快取店,E000599,普通导购0599,普通导购,普通导购,高价值,强召回权益+低频触达,拉新返券,60 天未消费,39.1,2026-04-02 08:02:31,2026-04-08 08:02:31,2026-04-09 08:02:31,未触达,,,0,0.0,已失效,已过期,未触达
T00000057,P1,首单后二单,规则生成,M0069230,金卡,青岛,S00357,青岛购物中心0357店,青岛,快取店,快取店,E000070,金牌导购0070,金牌导购,金牌导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,32.45,2026-03-03 08:59:05,2026-03-09 08:59:05,2026-03-10 08:59:05,未触达,,,0,0.0,已失效,已过期,未触达
T00000058,P2,高价值维护,规则生成,M0062415,银卡,珠海,S00905,珠海购物中心0905店,珠海,标准店,商场店,E000364,普通导购0364,普通导购,普通导购,活跃,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,69.93,2026-05-12 07:58:40,2026-05-17 07:58:40,2026-05-19 07:58:40,已触达,1778813196000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000059,P2,外卖转到店,人工指派,M0027015,黑卡,苏州,S00063,苏州交通枢纽0063店,苏州,外卖店,外卖卫星店,E000320,新人导购0320,新人导购,新人导购,新客,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,42.44,2026-03-05 08:48:47,2026-03-10 08:48:47,2026-03-12 08:48:47,已触达,1772854064000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000060,P1,新会员首单,人工指派,M0043244,普卡,青岛,S00194,青岛校园0194店,青岛,快取店,快取店,E000370,普通导购0370,普通导购,普通导购,新客,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,23.65,2026-04-30 08:40:53,2026-05-07 08:40:53,2026-05-07 08:40:53,已触达,1777659474000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000061,P1,新会员首单,规则生成,M0074841,普卡,重庆,S00748,重庆写字楼0748店,重庆,标准店,写字楼店,E000155,金牌导购0155,金牌导购,金牌导购,沉睡,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,27.05,2026-04-13 07:26:32,2026-04-17 07:26:32,2026-04-20 07:26:32,已触达,1776207757000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000062,P1,首单后二单,规则生成,M0050043,银卡,天津,S00108,天津交通枢纽0108店,天津,外卖店,外卖卫星店,E000213,金牌导购0213,金牌导购,金牌导购,活跃,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,38.26,2026-04-09 07:56:01,2026-04-15 07:56:01,2026-04-16 07:56:01,已触达,1775818686000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000063,P2,堂食老客召回,规则生成,M0060311,黑卡,温州,S00206,温州购物中心0206店,温州,快取店,快取店,E000206,普通导购0206,普通导购,普通导购,活跃,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,40.9,2026-05-03 07:57:02,2026-05-06 07:57:02,2026-05-10 07:57:02,未触达,,,0,0.0,已失效,已过期,未触达
T00000064,P2,堂食老客召回,人工指派,M0017179,金卡,广州,S00254,广州社区0254店,广州,校园店,学校店,E000299,普通导购0299,普通导购,普通导购,高价值,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,66.34,2026-03-19 08:52:20,2026-03-25 08:52:20,2026-03-26 08:52:20,已触达,1773997022000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000065,P1,新会员首单,规则生成,M0025733,普卡,广州,S00742,广州CBD0742店,广州,外卖店,外卖卫星店,E000089,普通导购0089,普通导购,普通导购,活跃,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,39.12,2026-05-13 09:49:54,2026-05-19 09:49:54,2026-05-20 09:49:54,已触达,1778703287000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000066,P1,首单后二单,规则生成,M0027795,普卡,乌鲁木齐,S00191,乌鲁木齐交通枢纽0191店,乌鲁木齐,快取店,快取店,E000106,金牌导购0106,金牌导购,金牌导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,30.68,2026-02-28 08:23:27,2026-03-04 08:23:27,2026-03-07 08:23:27,未触达,,,0,0.0,已失效,已过期,未触达
T00000067,P1,沉睡召回,规则生成,M0040047,普卡,广州,S00717,广州CBD0717店,广州,标准店,写字楼店,E000570,普通导购0570,普通导购,普通导购,活跃,强召回权益+低频触达,拉新返券,60 天未消费,58.42,2026-04-17 09:10:07,2026-04-19 09:10:07,2026-04-24 09:10:07,未触达,,,0,0.0,已失效,已过期,未触达
T00000068,P1,沉睡召回,规则生成,M0025007,银卡,深圳,S00980,深圳写字楼0980店,深圳,外卖店,外卖卫星店,E000563,普通导购0563,普通导购,普通导购,沉睡,强召回权益+低频触达,拉新返券,60 天未消费,32.61,2026-05-10 08:16:21,2026-05-17 08:16:21,2026-05-17 08:16:21,已触达,1778404007000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000069,P2,外卖转到店,人工指派,M0042474,普卡,常州,S00247,常州购物中心0247店,常州,快取店,快取店,E000063,金牌导购0063,金牌导购,金牌导购,活跃,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,45.9,2026-02-19 09:53:02,2026-02-26 09:53:02,2026-02-26 09:53:02,已触达,1771551234000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000070,P0,流失预警,模型生成,M0013369,普卡,福州,S00155,福州写字楼0155店,福州,快取店,快取店,E000419,普通导购0419,普通导购,普通导购,新客,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,62.19,2026-03-31 07:36:36,2026-04-05 07:36:36,2026-04-07 07:36:36,已触达,1775048067000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
