订单ID,门店ID,会员ID,顾客识别键,身份匹配置信度,下单时间,业务日期,原价金额,折扣金额,实付金额,收入口径金额,支付方式,销售渠道,履约方式,是否到店,订单状态,是否用券,是否会员首单,商品件数
O2026030800991306,S00883,M0059589,M0059589,1.0,2026-03-08 10:18:00,2026-03-08,50.0,0.0,50.0,50.0,微信,外带,外带,1,已完成,0,0,2
O2026030800991307,S00883,,GK1f4af0930811,0.0,2026-03-08 09:46:00,2026-03-08,64.0,0.0,64.0,57.6,会员卡,外卖-美团,外卖配送,0,已完成,0,0,2
O2026030800991308,S00883,M0036117,M0036117,1.0,2026-03-08 16:33:00,2026-03-08,28.0,9.02,18.98,18.98,微信,堂食,堂食,1,已完成,1,0,1
O2026030800991309,S00883,M0056323,M0056323,1.0,2026-03-08 12:13:00,2026-03-08,80.0,0.0,80.0,80.0,微信,外带,外带,1,已完成,0,1,3
O2026030800991310,S00883,,GK47f65c9b6169,0.0,2026-03-08 08:52:00,2026-03-08,26.0,0.0,26.0,26.0,支付宝,外带,外带,1,已完成,0,0,1
O2026030800991311,S00883,,GKd874ca3178d7,0.0,2026-03-08 07:00:00,2026-03-08,32.0,0.0,32.0,32.0,微信,堂食,堂食,1,已完成,0,0,1
O2026030800991312,S00883,M0049457,M0049457,1.0,2026-03-08 21:47:00,2026-03-08,142.0,0.0,142.0,142.0,微信,堂食,堂食,1,已完成,0,0,3
O2026030800991313,S00883,,GK490123eb2da8,0.0,2026-03-08 13:17:00,2026-03-08,26.0,0.0,26.0,26.0,饿了么,堂食,堂食,1,已完成,0,0,1
O2026030800991314,S00883,,GK96ae951d74b5,0.0,2026-03-08 08:08:00,2026-03-08,54.0,0.0,54.0,54.0,会员卡,堂食,堂食,1,已完成,0,0,2
O2026030800991315,S00883,M0076373,M0076373,1.0,2026-03-08 12:56:00,2026-03-08,54.0,0.0,54.0,54.0,支付宝,堂食,堂食,1,已完成,0,1,2
O2026030800991316,S00883,,GKe073526447d8,0.0,2026-03-08 15:05:00,2026-03-08,123.0,0.0,123.0,123.0,支付宝,堂食,堂食,1,已完成,0,0,4
O2026030800991317,S00883,M0067885,M0067885,1.0,2026-03-08 09:44:00,2026-03-08,24.0,3.88,20.12,18.11,支付宝,外卖-饿了么,外卖配送,0,已完成,1,0,1
O2026030800991318,S00883,,GK535b805c6c8e,0.0,2026-03-08 13:25:00,2026-03-08,56.0,0.0,56.0,56.0,微信,堂食,堂食,1,已完成,0,0,2
O2026030800991319,S00883,M0017901,M0017901,1.0,2026-03-08 15:49:00,2026-03-08,50.0,0.0,50.0,45.0,抖音,外卖-自有App,外卖配送,0,已完成,0,0,2
O2026030900991320,S00883,M0044584,M0044584,1.0,2026-03-09 10:14:00,2026-03-09,116.0,0.0,116.0,116.0,支付宝,堂食,堂食,1,已完成,0,0,4
O2026030900991321,S00883,M0030132,M0030132,1.0,2026-03-09 09:02:00,2026-03-09,30.0,0.0,30.0,30.0,微信,堂食,堂食,1,已完成,0,1,1
O2026030900991322,S00883,,GK357823a53f80,0.0,2026-03-09 18:43:00,2026-03-09,64.0,0.0,64.0,64.0,微信,外带,外带,1,已完成,0,0,2
O2026030900991323,S00883,M0043316,M0043316,1.0,2026-03-09 13:37:00,2026-03-09,74.0,0.0,74.0,74.0,微信,外带,外带,1,已完成,0,0,3
O2026030900991324,S00883,,GK8a599c5162d4,0.0,2026-03-09 12:42:00,2026-03-09,41.0,0.0,41.0,36.9,支付宝,外卖-美团,外卖配送,0,已完成,0,0,2
O2026030900991325,S00883,M0037195,M0037195,1.0,2026-03-09 20:34:00,2026-03-09,26.0,0.0,26.0,23.4,会员卡,外卖-饿了么,外卖配送,0,已完成,0,0,1
O2026030900991326,S00883,,GK698dba90b852,0.0,2026-03-09 10:28:00,2026-03-09,2590.0,0.0,2590.0,2590.0,支付宝,堂食,堂食,1,已完成,0,0,3
O2026030900991327,S00883,M0017051,M0017051,1.0,2026-03-09 18:22:00,2026-03-09,78.0,0.0,78.0,78.0,支付宝,外带,外带,1,已完成,0,1,3
O2026030900991328,S00883,M0038976,M0038976,1.0,2026-03-09 13:39:00,2026-03-09,26.0,0.0,26.0,23.4,支付宝,外卖-饿了么,外卖配送,0,已完成,0,0,1
O2026030900991329,S00883,,GK25aa4b437509,0.0,2026-03-09 22:57:00,2026-03-09,26.0,0.0,26.0,23.4,微信,外卖-自有App,外卖配送,0,已完成,0,0,1
O2026030900991330,S00883,,GK5d9a1c30f051,0.0,2026-03-09 19:56:00,2026-03-09,18.0,0.0,18.0,16.2,微信,外卖-美团,外卖配送,0,已完成,0,0,1
O2026030900991331,S00883,,GKa8c92e1e2f45,0.0,2026-03-09 08:36:00,2026-03-09,52.0,0.0,52.0,46.8,微信,外卖-饿了么,外卖配送,0,已完成,0,0,2
O2026030900991332,S00883,M0063134,M0063134,1.0,2026-03-09 15:13:00,2026-03-09,98.0,22.59,75.41,75.41,微信,堂食,堂食,1,已完成,1,0,3
O2026030900991333,S00883,M0009166,M0009166,1.0,2026-03-09 15:39:00,2026-03-09,146.0,0.0,146.0,146.0,微信,堂食,堂食,1,已完成,0,1,4
O2026030900991334,S00883,,GK2f2fb5d49cc4,0.0,2026-03-09 10:45:00,2026-03-09,88.0,0.0,88.0,88.0,美团,堂食,堂食,1,已完成,0,0,3
O2026030900991335,S00883,,GK776a8042faf9,0.0,2026-03-09 10:30:00,2026-03-09,28.0,0.0,28.0,28.0,会员卡,外带,外带,1,已完成,0,0,1
O2026031000991336,S00883,,GK66efbb5bc55d,0.0,2026-03-10 18:26:00,2026-03-10,252.0,0.0,252.0,226.8,微信,外卖-美团,外卖配送,0,已完成,0,0,4
O2026031000991337,S00883,M0052128,M0052128,1.0,2026-03-10 13:34:00,2026-03-10,114.0,0.0,114.0,102.6,支付宝,外卖-饿了么,外卖配送,0,已完成,0,0,3
O2026031000991338,S00883,M0000167,M0000167,1.0,2026-03-10 08:15:00,2026-03-10,88.0,27.12,60.88,60.88,美团,堂食,堂食,1,已完成,1,0,3
O2026031000991339,S00883,,GKbc7bde784463,0.0,2026-03-10 18:24:00,2026-03-10,52.0,0.0,52.0,46.8,美团,外卖-自有App,外卖配送,0,已完成,0,0,2
O2026031000991340,S00883,,GK99ac0c7d5f24,0.0,2026-03-10 20:46:00,2026-03-10,24.0,0.0,24.0,21.6,支付宝,外卖-美团,外卖配送,0,已完成,0,0,1
O2026031000991341,S00883,M0027750,M0027750,1.0,2026-03-10 09:49:00,2026-03-10,33.0,8.42,24.58,22.12,支付宝,外卖-美团,外卖配送,0,已完成,1,0,2
O2026031000991342,S00883,M0062767,M0062767,1.0,2026-03-10 19:05:00,2026-03-10,62.0,0.0,62.0,62.0,微信,团购到店,团购到店,1,已完成,0,0,2
O2026031000991343,S00883,M0063873,M0063873,1.0,2026-03-10 10:47:00,2026-03-10,116.0,38.75,77.25,77.25,支付宝,堂食,堂食,1,已完成,1,0,4
O2026031000991344,S00883,M0060130,M0060130,1.0,2026-03-10 10:05:00,2026-03-10,82.0,0.0,82.0,82.0,微信,外带,外带,1,已完成,0,1,3
O2026031000991345,S00883,,GK61778ecd9d1d,0.0,2026-03-10 08:51:00,2026-03-10,50.0,0.0,50.0,50.0,会员卡,堂食,堂食,1,已完成,0,0,2
O2026031000991346,S00883,M0038080,M0038080,1.0,2026-03-10 17:32:00,2026-03-10,42.0,0.0,42.0,37.8,抖音,外卖-自有App,外卖配送,0,已完成,0,0,2
O2026031000991347,S00883,,GKe113dec5e888,0.0,2026-03-10 16:12:00,2026-03-10,28.0,0.0,28.0,25.2,会员卡,外卖-自有App,外卖配送,0,已完成,0,0,1
O2026031000991348,S00883,,GKe435b029ea05,0.0,2026-03-10 15:56:00,2026-03-10,30.0,0.0,30.0,30.0,微信,堂食,堂食,1,已完成,0,0,1
O2026031100991349,S00883,,GK61ac18b2c2d0,0.0,2026-03-11 08:59:00,2026-03-11,52.0,0.0,52.0,52.0,微信,堂食,堂食,1,已完成,0,0,1
O2026031100991350,S00883,,GK98aee134ac8a,0.0,2026-03-11 08:17:00,2026-03-11,52.0,0.0,52.0,46.8,抖音,外卖-美团,外卖配送,0,已完成,0,0,2
O2026031100991351,S00883,M0039205,M0039205,1.0,2026-03-11 16:10:00,2026-03-11,86.0,0.0,86.0,86.0,微信,外带,外带,1,已完成,0,0,3
O2026031100991352,S00883,M0069848,M0069848,1.0,2026-03-11 11:42:00,2026-03-11,50.0,0.0,50.0,50.0,支付宝,堂食,堂食,1,已完成,0,0,2
O2026031100991353,S00883,M0063873,M0063873,1.0,2026-03-11 16:10:00,2026-03-11,48.0,0.0,48.0,48.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031100991354,S00883,,GKb7ba66375867,0.0,2026-03-11 16:40:00,2026-03-11,43.0,0.0,43.0,43.0,会员卡,堂食,堂食,1,已完成,0,0,2
O2026031100991355,S00883,,GKf8b7869e65e5,0.0,2026-03-11 18:25:00,2026-03-11,108.0,0.0,108.0,108.0,微信,堂食,堂食,1,已完成,0,0,3
O2026031100991356,S00883,M0066849,M0066849,1.0,2026-03-11 08:15:00,2026-03-11,52.0,0.0,52.0,46.8,会员卡,外卖-自有App,外卖配送,0,已完成,0,0,3
O2026031100991357,S00883,,GK735d23babcf5,0.0,2026-03-11 14:48:00,2026-03-11,74.0,0.0,74.0,66.6,支付宝,外卖-美团,外卖配送,0,已完成,0,0,2
O2026031100991358,S00883,,GK039cfe2eca64,0.0,2026-03-11 18:19:00,2026-03-11,26.0,0.0,26.0,26.0,支付宝,堂食,堂食,1,已完成,0,0,1
O2026031100991359,S00883,,GKdd4ae0c4447a,0.0,2026-03-11 16:28:00,2026-03-11,24.0,3.16,20.84,20.84,微信,堂食,堂食,1,已完成,1,0,1
O2026031100991360,S00883,M0011043,M0011043,1.0,2026-03-11 15:50:00,2026-03-11,60.0,0.0,60.0,60.0,美团,堂食,堂食,1,已完成,0,0,1
O2026031100991361,S00883,M0034228,M0034228,1.0,2026-03-11 10:53:00,2026-03-11,118.0,29.35,88.65,88.65,会员卡,堂食,堂食,1,已完成,1,0,3
O2026031100991362,S00883,,GK7fbe77eba458,0.0,2026-03-11 14:20:00,2026-03-11,56.0,0.0,56.0,56.0,支付宝,外带,外带,1,已完成,0,0,2
O2026031100991363,S00883,M0036962,M0036962,1.0,2026-03-11 14:54:00,2026-03-11,52.0,0.0,52.0,46.8,会员卡,外卖-饿了么,外卖配送,0,已完成,0,0,2
O2026031200991364,S00883,M0014944,M0014944,1.0,2026-03-12 08:23:00,2026-03-12,46.0,0.0,46.0,46.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031200991365,S00883,M0057226,M0057226,1.0,2026-03-12 11:14:00,2026-03-12,88.0,0.0,88.0,88.0,支付宝,堂食,堂食,1,已完成,0,0,2
O2026031200991366,S00883,,GK99da736463ac,0.0,2026-03-12 13:04:00,2026-03-12,90.0,0.0,90.0,90.0,美团,外带,外带,1,已完成,0,0,2
O2026031200991367,S00883,,GK5e0f62590dc6,0.0,2026-03-12 14:00:00,2026-03-12,88.0,0.0,88.0,79.2,支付宝,外卖-饿了么,外卖配送,0,已完成,0,0,3
O2026031200991368,S00883,M0060667,M0060667,1.0,2026-03-12 17:52:00,2026-03-12,34.0,6.85,27.15,24.44,微信,外卖-自有App,外卖配送,0,已完成,1,0,2
O2026031200991369,S00883,,GK3a11665d70ef,0.0,2026-03-12 15:43:00,2026-03-12,50.0,5.53,44.47,40.02,微信,外卖-饿了么,外卖配送,0,已完成,1,0,2
O2026031200991370,S00883,,GK8a2dbdac43c4,0.0,2026-03-12 08:51:00,2026-03-12,66.0,0.0,66.0,66.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031200991371,S00883,M0065899,M0065899,1.0,2026-03-12 10:15:00,2026-03-12,15.0,0.0,15.0,15.0,微信,堂食,堂食,1,已完成,0,0,1
O2026031200991372,S00883,M0075161,M0075161,1.0,2026-03-12 15:49:00,2026-03-12,166.0,0.0,166.0,149.4,微信,外卖-美团,外卖配送,0,已完成,0,0,5
O2026031200991373,S00883,,GK44a83ffdbcd8,0.0,2026-03-12 13:34:00,2026-03-12,52.0,0.0,52.0,46.8,饿了么,外卖-美团,外卖配送,0,已完成,0,0,1
O2026031200991374,S00883,,GKe0837dc8ff17,0.0,2026-03-12 08:22:00,2026-03-12,22.0,4.28,17.72,15.95,支付宝,外卖-自有App,外卖配送,0,已完成,1,0,1
O2026031200991375,S00883,,GK833a4079e489,0.0,2026-03-12 10:17:00,2026-03-12,58.0,0.0,58.0,58.0,会员卡,堂食,堂食,1,已完成,0,0,2
O2026031200991376,S00883,M0017857,M0017857,1.0,2026-03-12 17:48:00,2026-03-12,73.0,0.0,73.0,73.0,抖音,堂食,堂食,1,已完成,0,0,3
O2026031200991377,S00883,M0006102,M0006102,1.0,2026-03-12 19:30:00,2026-03-12,62.0,0.0,62.0,55.8,微信,外卖-美团,外卖配送,0,已完成,0,0,2
O2026031200991378,S00883,M0025327,M0025327,1.0,2026-03-12 08:27:00,2026-03-12,64.0,0.0,64.0,57.6,微信,外卖-饿了么,外卖配送,0,已完成,0,0,2
O2026031200991379,S00883,,GK9749fdb40ccc,0.0,2026-03-12 18:05:00,2026-03-12,44.0,0.0,44.0,44.0,支付宝,堂食,堂食,1,已完成,0,0,2
O2026031300991380,S00883,M0030812,M0030812,1.0,2026-03-13 12:41:00,2026-03-13,56.0,0.0,56.0,50.4,美团,外卖-美团,外卖配送,0,已完成,0,1,2
O2026031300991381,S00883,,GK71fffbcea5d9,0.0,2026-03-13 14:29:00,2026-03-13,110.0,0.0,110.0,99.0,微信,外卖-饿了么,外卖配送,0,已完成,0,0,3
O2026031300991382,S00883,,GKf693969b93d0,0.0,2026-03-13 09:03:00,2026-03-13,32.0,0.0,32.0,32.0,微信,堂食,堂食,1,已完成,0,0,1
O2026031300991383,S00883,M0077168,M0077168,1.0,2026-03-13 13:04:00,2026-03-13,330.0,0.0,330.0,330.0,微信,外带,外带,1,已完成,0,0,3
O2026031300991384,S00883,,GKf7fa785d2758,0.0,2026-03-13 14:38:00,2026-03-13,58.0,0.0,58.0,58.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031300991385,S00883,,GK285a5a632a70,0.0,2026-03-13 17:21:00,2026-03-13,26.0,0.0,26.0,26.0,微信,堂食,堂食,1,已完成,0,0,1
O2026031300991386,S00883,,GKed5211143326,0.0,2026-03-13 09:47:00,2026-03-13,37.0,0.0,37.0,33.3,微信,外卖-饿了么,外卖配送,0,已完成,0,0,2
O2026031300991387,S00883,M0016790,M0016790,1.0,2026-03-13 15:19:00,2026-03-13,52.0,8.78,43.22,38.9,微信,外卖-自有App,外卖配送,0,已完成,1,0,2
O2026031300991388,S00883,,GK46a5dfa7db0d,0.0,2026-03-13 13:27:00,2026-03-13,32.0,0.0,32.0,32.0,支付宝,团购到店,团购到店,1,已完成,0,0,1
O2026031300991389,S00883,M0064243,M0064243,1.0,2026-03-13 08:43:00,2026-03-13,338.0,91.1,246.9,222.21,微信,外卖-自有App,外卖配送,0,已完成,1,0,3
O2026031300991390,S00883,M0032928,M0032928,1.0,2026-03-13 15:46:00,2026-03-13,118.0,34.11,83.89,83.89,支付宝,团购到店,团购到店,1,已完成,1,0,3
O2026031300991391,S00883,,GK00b3859666dc,0.0,2026-03-13 20:14:00,2026-03-13,86.0,0.0,86.0,86.0,支付宝,堂食,堂食,1,已完成,0,0,2
O2026031300991392,S00883,,GK8e48237e72e5,0.0,2026-03-13 18:59:00,2026-03-13,98.0,0.0,98.0,98.0,抖音,外带,外带,1,已完成,0,0,4
O2026031300991393,S00883,,GK02eaae3f3691,0.0,2026-03-13 08:30:00,2026-03-13,128.0,0.0,128.0,128.0,微信,堂食,堂食,1,已完成,0,0,4
O2026031300991394,S00883,M0011758,M0011758,1.0,2026-03-13 16:43:00,2026-03-13,90.0,14.72,75.28,75.28,支付宝,堂食,堂食,1,已完成,1,0,3
O2026031300991395,S00883,,GKfeb0a5a8e588,0.0,2026-03-13 10:25:00,2026-03-13,28.0,0.0,28.0,28.0,会员卡,外带,外带,1,已完成,0,0,1
O2026031300991396,S00883,M0039874,M0039874,1.0,2026-03-13 10:18:00,2026-03-13,64.0,0.0,64.0,57.6,抖音,外卖-美团,外卖配送,0,已完成,0,0,2
O2026031400991397,S00883,,GKdb2bbeea2c89,0.0,2026-03-14 14:57:00,2026-03-14,58.0,0.0,58.0,52.2,饿了么,外卖-自有App,外卖配送,0,已完成,0,0,2
O2026031400991398,S00883,M0051769,M0051769,1.0,2026-03-14 08:03:00,2026-03-14,12.0,2.45,9.55,9.55,微信,堂食,堂食,1,已完成,1,0,1
O2026031400991399,S00883,,GK18a8d6e9840b,0.0,2026-03-14 13:31:00,2026-03-14,90.0,0.0,90.0,81.0,美团,外卖-饿了么,外卖配送,0,已完成,0,0,3
O2026031400991400,S00883,,GKb37086311ba0,0.0,2026-03-14 18:23:00,2026-03-14,60.0,0.0,60.0,60.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031400991401,S00883,,GK50a4fd041197,0.0,2026-03-14 20:51:00,2026-03-14,41.0,0.0,41.0,41.0,微信,外带,外带,1,已完成,0,0,2
O2026031400991402,S00883,,GK9c8185269b2d,0.0,2026-03-14 15:41:00,2026-03-14,30.0,0.0,30.0,30.0,微信,外带,外带,1,已完成,0,0,1
O2026031400991403,S00883,M0003804,M0003804,1.0,2026-03-14 11:50:00,2026-03-14,22.0,3.55,18.45,18.45,微信,堂食,堂食,1,已完成,1,0,1
O2026031400991404,S00883,M0064012,M0064012,1.0,2026-03-14 12:41:00,2026-03-14,82.0,0.0,82.0,82.0,微信,堂食,堂食,1,已完成,0,0,3
O2026031400991405,S00883,M0050496,M0050496,1.0,2026-03-14 19:19:00,2026-03-14,86.0,0.0,86.0,86.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031400991406,S00883,M0065513,M0065513,1.0,2026-03-14 14:09:00,2026-03-14,48.0,0.0,48.0,48.0,支付宝,外带,外带,1,已完成,0,0,2
O2026031400991407,S00883,M0031421,M0031421,1.0,2026-03-14 17:11:00,2026-03-14,62.0,0.0,62.0,62.0,支付宝,外带,外带,1,已完成,0,0,2
O2026031400991408,S00883,,GK7201d63e873b,0.0,2026-03-14 15:30:00,2026-03-14,28.0,0.0,28.0,28.0,会员卡,外带,外带,1,已完成,0,0,1
O2026031400991409,S00883,,GK474ddb76d1b5,0.0,2026-03-14 18:48:00,2026-03-14,86.0,0.0,86.0,77.4,微信,外卖-美团,外卖配送,0,已完成,0,0,2
O2026031400991410,S00883,,GK0016d30d6fb9,0.0,2026-03-14 15:14:00,2026-03-14,43.0,0.0,43.0,38.7,支付宝,外卖-美团,外卖配送,0,已完成,0,0,2
O2026031400991411,S00883,,GKe0bad0a1f283,0.0,2026-03-14 10:00:00,2026-03-14,60.0,0.0,60.0,60.0,会员卡,外带,外带,1,已完成,0,0,2
O2026031400991412,S00883,,GKd80c5c79ead8,0.0,2026-03-14 13:45:00,2026-03-14,30.0,6.68,23.32,20.99,微信,外卖-美团,外卖配送,0,已完成,1,0,1
O2026031500991413,S00883,M0079876,M0079876,1.0,2026-03-15 09:17:00,2026-03-15,92.0,0.0,92.0,92.0,微信,外带,外带,1,已完成,0,0,3
O2026031500991414,S00883,M0023926,M0023926,1.0,2026-03-15 10:39:00,2026-03-15,26.0,0.0,26.0,23.4,会员卡,外卖-美团,外卖配送,0,已完成,0,1,1
O2026031500991415,S00883,,GK51220f760287,0.0,2026-03-15 08:47:00,2026-03-15,44.0,0.0,44.0,44.0,支付宝,外带,外带,1,已完成,0,0,1
O2026031500991416,S00883,,GK58f14ba7dff6,0.0,2026-03-15 10:03:00,2026-03-15,96.0,0.0,96.0,96.0,支付宝,堂食,堂食,1,已完成,0,0,3
O2026031500991417,S00883,M0020207,M0020207,1.0,2026-03-15 10:26:00,2026-03-15,1298.0,399.87,898.13,808.32,微信,外卖-美团,外卖配送,0,已完成,1,0,2
O2026031500991418,S00883,M0063117,M0063117,1.0,2026-03-15 10:42:00,2026-03-15,146.0,0.0,146.0,131.4,饿了么,外卖-美团,外卖配送,0,已完成,0,1,5
O2026031500991419,S00883,,GK70820ad1c7fc,0.0,2026-03-15 18:03:00,2026-03-15,54.0,0.0,54.0,54.0,微信,堂食,堂食,1,已完成,0,0,2
