活动ID,活动名称,活动类型,活动渠道,开始日期,结束日期,预算,券发放数,券核销数,已记录权益成本,核销订单数,核销订单GMV,触达人数,查看人数,活动参与人数,触达后关联下单人数,触达后关联订单数,触达后关联GMV,参与后关联下单人数,参与后关联订单数,参与后关联GMV,券核销率,打开率,触达后关联下单率,参与后关联下单率,核销GMV成本比,增量GMV,增量ROI,增量测算状态,归因窗口天数,触达归因规则,活动参与归因规则,数据快照日期
CMP0040,私域专享-0415,私域专享,门店,2026-04-15,2026-04-21,5000,23605,5932,128311.91,4627,190632.4,6114,3485,2293,459,459,21481.2,335,335,17587.5,0.251303,0.570003,0.075074,0.146097,1.485695,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0030,复购唤醒-0402,复购唤醒,门店,2026-04-02,2026-04-06,5000,23600,5844,137072.51,4704,205094.4,6296,3600,2581,548,549,27175.5,423,424,23489.6,0.247627,0.571792,0.087039,0.16389,1.496247,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0016,私域专享-0402,私域专享,外卖平台,2026-04-02,2026-04-12,10000,23677,5962,137927.23,4948,227608,6194,3547,1239,613,615,32103,225,225,8550,0.251806,0.572651,0.098967,0.181598,1.650204,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0005,新品上市-0424,新品上市,外卖平台,2026-04-24,2026-05-07,30000,23502,5875,127499.56,5023,243113.2,6088,3427,1431,676,676,37112.4,157,158,6462.2,0.249979,0.562911,0.111038,0.109713,1.906777,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0026,拉新活动-0313,拉新活动,企微,2026-03-13,2026-03-24,30000,23377,5798,129542.44,5102,259181.6,6260,3620,1690,770,771,27756,216,216,9460.8,0.248022,0.578275,0.123003,0.127811,2.000747,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0043,复购唤醒-0426,复购唤醒,门店,2026-04-26,2026-05-02,5000,23842,6032,133147.01,5459,290418.8,6196,3562,1890,836,838,32430.6,276,277,12935.9,0.252999,0.574887,0.134926,0.146032,2.181189,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0034,会员日-0429,会员日,App,2026-04-29,2026-05-03,30000,23531,5982,138184.76,4666,158644,6278,3554,2135,471,471,19499.4,350,350,17360,0.254218,0.566104,0.075024,0.163934,1.148057,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0017,私域专享-0224,私域专享,App,2026-02-24,2026-03-01,300000,23678,5934,130115.58,4777,173882.8,6248,3554,2343,544,545,24034.5,426,427,22417.5,0.250612,0.568822,0.087068,0.181818,1.336372,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0024,节日活动-0223,节日活动,小程序,2026-02-23,2026-03-08,5000,23593,5836,127278.41,4844,187947.2,6294,3586,2581,623,625,29250,284,284,15733.6,0.247362,0.569749,0.098983,0.110035,1.476662,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0047,新品上市-0403,新品上市,小程序,2026-04-03,2026-04-11,30000,23840,5950,131942.2,5087,209584.4,6291,3640,1258,698,698,34551,161,162,6156,0.249581,0.578604,0.110952,0.127981,1.588456,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0001,拉新活动-0322,拉新活动,小程序,2026-03-22,2026-04-03,30000,23647,5878,131106.67,5173,225542.8,6261,3571,1471,770,771,40246.2,215,215,8793.5,0.248573,0.570356,0.122984,0.146159,1.7203,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0018,私域专享-0429,私域专享,外卖平台,2026-04-29,2026-05-08,5000,23804,5985,123810.8,5416,249136,6287,3596,1697,849,851,46719.9,278,279,12220.2,0.251428,0.571974,0.135041,0.163819,2.012232,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0003,新品上市-0425,新品上市,企微,2026-04-25,2026-05-04,30000,23484,5921,132478.93,4618,223511.2,6227,3555,1899,467,467,16812,346,346,16158.2,0.252129,0.570901,0.074996,0.182201,1.687145,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0031,会员日-0225,会员日,小程序,2026-02-25,2026-03-06,30000,23825,5893,128251.45,4744,240995.2,6417,3657,2182,558,559,21633.3,240,241,11953.6,0.247345,0.569892,0.086957,0.109991,1.879084,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0046,会员日-0316,会员日,App,2026-03-16,2026-03-29,30000,23628,5897,130254.15,4895,260414,6301,3628,2363,624,626,25916.4,302,302,15855,0.249577,0.575782,0.099032,0.127804,1.999276,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0037,拉新活动-0428,拉新活动,外卖平台,2026-04-28,2026-05-09,5000,23855,6008,131273.31,5137,174658,6220,3530,2550,690,690,30429,372,373,20664.2,0.251855,0.567524,0.110932,0.145882,1.330491,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0009,复购唤醒-0303,复购唤醒,小程序,2026-03-03,2026-03-15,80000,23496,5819,131806.8,5121,186404.4,6224,3635,1245,766,767,35895.6,204,204,7752,0.247659,0.58403,0.123072,0.163855,1.414224,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0035,复购唤醒-0302,复购唤醒,App,2026-03-02,2026-03-06,5000,23766,5898,131294,5338,207114.4,6253,3535,1469,844,846,41877,267,268,10961.2,0.24817,0.565329,0.134975,0.181756,1.577486,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0015,新品上市-0316,新品上市,外卖平台,2026-03-16,2026-03-28,80000,23860,5923,124067.09,4620,190344,6145,3531,1659,461,461,24064.2,182,182,7971.6,0.24824,0.574614,0.07502,0.109705,1.534202,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0007,复购唤醒-0407,复购唤醒,外卖平台,2026-04-07,2026-04-10,30000,23827,5985,130457.97,4818,210064.8,6119,3465,1866,532,533,29261.7,239,240,11208,0.251186,0.566269,0.086942,0.128081,1.610211,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0019,新品上市-0503,新品上市,App,2026-05-03,2026-05-13,30000,23414,5839,127735.53,4846,222916,6175,3536,2100,611,613,22068,307,307,15227.2,0.249381,0.572632,0.098947,0.14619,1.745137,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0042,会员日-0409,会员日,小程序,2026-04-09,2026-04-15,10000,23585,5968,139331.84,5103,246985.2,6212,3541,2330,690,690,26703,382,383,20107.5,0.253042,0.570026,0.111075,0.163948,1.77264,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0008,新品上市-0308,新品上市,小程序,2026-03-08,2026-03-20,30000,23630,6016,132565.19,5294,268935.2,6326,3723,2594,778,779,32250.6,472,472,26148.8,0.254592,0.588524,0.122985,0.181958,2.028702,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0011,私域专享-0326,私域专享,企微,2026-03-26,2026-04-05,30000,23697,5991,128796.93,5422,288450.4,6360,3571,1272,859,861,37970.1,140,141,5358,0.252817,0.561478,0.135063,0.110063,2.239575,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0036,复购唤醒-0309,复购唤醒,门店,2026-03-09,2026-03-12,300000,23695,6004,137357.74,4683,159222,6257,3568,1470,469,469,21949.2,188,188,7689.2,0.253387,0.570241,0.074956,0.127891,1.159177,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0045,新品上市-0305,新品上市,外卖平台,2026-03-05,2026-03-15,30000,23524,5943,126366.35,4784,174137.6,6328,3696,1709,551,552,27324,250,251,10993.8,0.252636,0.584071,0.087073,0.146284,1.378038,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0049,拉新活动-0418,拉新活动,外卖平台,2026-04-18,2026-05-01,10000,23793,5975,133173.94,4959,192409.2,6287,3561,1918,622,624,32572.8,315,315,14710.5,0.251124,0.566407,0.098934,0.164234,1.444796,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0038,拉新活动-0320,拉新活动,小程序,2026-03-20,2026-03-24,30000,23651,5889,135609.64,5035,207442,6230,3573,2118,692,692,37990.8,385,386,19145.6,0.248996,0.573515,0.111075,0.181775,1.5297,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0004,拉新活动-0413,拉新活动,外卖平台,2026-04-13,2026-04-23,5000,23497,5829,132768.02,5130,223668,6167,3495,2313,759,760,27360,254,254,13335,0.248074,0.566726,0.123074,0.109814,1.684653,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0010,复购唤醒-0403,复购唤醒,小程序,2026-04-03,2026-04-13,80000,23536,5862,124625.85,5305,244030,6214,3591,2548,839,841,32546.7,326,327,18115.8,0.249065,0.577889,0.135018,0.127943,1.958101,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0039,会员日-0422,会员日,企微,2026-04-22,2026-05-03,5000,23715,5970,142591.95,4657,225398.8,6277,3653,1255,471,471,19499.4,183,183,6954,0.251739,0.581966,0.075036,0.145817,1.580726,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0048,私域专享-0406,私域专享,全渠道,2026-04-06,2026-04-18,80000,23653,5940,131430.42,4782,242925.6,6426,3641,1510,559,560,24696,248,249,10184.1,0.251131,0.566604,0.08699,0.164238,1.848321,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0041,拉新活动-0317,拉新活动,企微,2026-03-17,2026-03-27,10000,23732,5877,133821.32,4878,259509.6,6266,3608,1692,620,622,29109.6,308,308,13490.4,0.24764,0.575806,0.098947,0.182033,1.939225,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0013,复购唤醒-0428,复购唤醒,外卖平台,2026-04-28,2026-05-02,30000,23781,6078,136939.53,5197,176698,6396,3610,1951,710,710,35145,215,216,10087.2,0.255582,0.564415,0.111007,0.1102,1.290336,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0012,节日活动-0416,节日活动,外卖平台,2026-04-16,2026-04-28,10000,23853,5993,133023.97,5274,191973.6,6421,3688,2183,790,791,41290.2,279,279,13838.4,0.251247,0.574365,0.123034,0.127806,1.44315,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0050,新品上市-0226,新品上市,App,2026-02-26,2026-03-07,10000,23603,6010,129958.22,5439,211033.2,6162,3540,2311,832,834,45786.6,337,338,17745,0.254629,0.574489,0.135021,0.145824,1.623854,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0002,新品上市-0307,新品上市,小程序,2026-03-07,2026-03-11,80000,23686,5933,130054.26,4628,190673.6,6170,3581,2530,463,463,16668,415,415,22991,0.250486,0.580389,0.075041,0.164032,1.466108,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
CMP0032,节日活动-0327,节日活动,门店,2026-03-27,2026-04-07,300000,23900,6015,136500.21,4842,211111.2,6217,3566,1243,541,542,20975.4,226,227,8626,0.251674,0.573589,0.087019,0.181818,1.5466,,,未接入对照组及完整成本；关联GMV不等于增量GMV,7,下单前最近一次有效触达；每订单唯一,下单前最近一次成功活动参与；每订单唯一,2026-06-24
