参与ID,会员ID,活动ID,参与时间,参与日期,行为类型,结果
AJ00000048,M0029498,CMP0032,2026-05-12 17:51:46,2026-05-12,参与,成功
AJ00000049,M0067612,CMP0043,2026-04-18 08:33:25,2026-04-18,参与,成功
AJ00000050,M0071648,CMP0038,2026-05-17 16:15:22,2026-05-17,兑换,已兑换
AJ00000051,M0059278,CMP0017,2026-04-02 23:42:17,2026-04-02,参与,成功
AJ00000052,M0074263,CMP0037,2026-03-31 18:51:58,2026-03-31,参与,成功
AJ00000053,M0009848,CMP0003,2026-05-09 20:08:44,2026-05-09,参与,成功
AJ00000054,M0076812,CMP0025,2026-03-17 03:56:14,2026-03-17,报名,成功
AJ00000055,M0078147,CMP0050,2026-02-23 16:38:15,2026-02-23,报名,成功
AJ00000056,M0042190,CMP0013,2026-02-24 23:22:37,2026-02-24,报名,成功
AJ00000057,M0034011,CMP0046,2026-03-05 11:08:04,2026-03-05,兑换,已兑换
AJ00000058,M0010005,CMP0035,2026-04-23 04:55:51,2026-04-23,抽奖,成功
AJ00000059,M0034081,CMP0029,2026-04-08 14:59:25,2026-04-08,参与,成功
AJ00000060,M0063154,CMP0033,2026-05-18 17:21:06,2026-05-18,抽奖,成功
AJ00000061,M0016999,CMP0026,2026-04-20 11:21:56,2026-04-20,报名,成功
AJ00000062,M0026441,CMP0017,2026-04-05 04:46:26,2026-04-05,参与,成功
AJ00000063,M0063672,CMP0034,2026-03-18 15:16:18,2026-03-18,参与,成功
AJ00000064,M0010990,CMP0005,2026-03-04 00:48:39,2026-03-04,兑换,已兑换
AJ00000065,M0041864,CMP0004,2026-03-07 05:23:15,2026-03-07,参与,成功
AJ00000066,M0069259,CMP0039,2026-04-03 08:49:54,2026-04-03,抽奖,成功
AJ00000067,M0039668,CMP0042,2026-02-27 06:36:45,2026-02-27,参与,成功
AJ00000068,M0000371,CMP0010,2026-03-14 09:04:49,2026-03-14,参与,成功
AJ00000069,M0057674,CMP0048,2026-05-06 07:10:22,2026-05-06,报名,成功
AJ00000070,M0034358,CMP0030,2026-04-29 01:05:24,2026-04-29,抽奖,成功
AJ00000071,M0050764,CMP0027,2026-03-27 22:50:54,2026-03-27,报名,成功
AJ00000072,M0042258,CMP0033,2026-03-28 03:49:57,2026-03-28,参与,成功
AJ00000073,M0023724,CMP0023,2026-05-09 06:08:57,2026-05-09,抽奖,成功
AJ00000074,M0069315,CMP0041,2026-03-06 16:54:49,2026-03-06,报名,成功
AJ00000075,M0050748,CMP0046,2026-05-05 20:42:39,2026-05-05,报名,成功
AJ00000076,M0034524,CMP0005,2026-03-24 02:53:04,2026-03-24,参与,成功
AJ00000077,M0007010,CMP0020,2026-04-06 04:22:41,2026-04-06,报名,成功
AJ00000078,M0036463,CMP0025,2026-03-07 07:27:12,2026-03-07,抽奖,成功
AJ00000079,M0020919,CMP0045,2026-03-31 05:07:54,2026-03-31,抽奖,成功
AJ00000080,M0016401,CMP0048,2026-03-08 11:44:45,2026-03-08,报名,成功
AJ00000081,M0073367,CMP0015,2026-02-26 02:17:20,2026-02-26,报名,成功
AJ00000082,M0041886,CMP0006,2026-03-02 12:53:31,2026-03-02,抽奖,成功
AJ00000083,M0053849,CMP0021,2026-04-19 01:36:46,2026-04-19,报名,成功
AJ00000084,M0039681,CMP0043,2026-03-28 10:30:01,2026-03-28,兑换,已兑换
AJ00000085,M0019593,CMP0010,2026-04-01 21:41:42,2026-04-01,兑换,已兑换
AJ00000086,M0060455,CMP0037,2026-03-06 07:10:54,2026-03-06,参与,成功
AJ00000087,M0076350,CMP0024,2026-03-12 13:52:10,2026-03-12,参与,成功
AJ00000088,M0069873,CMP0037,2026-04-02 18:49:22,2026-04-02,参与,成功
AJ00000089,M0011429,CMP0050,2026-04-21 18:38:07,2026-04-21,报名,成功
AJ00000090,M0028830,CMP0021,2026-04-14 14:38:00,2026-04-14,报名,成功
AJ00000091,M0048244,CMP0008,2026-02-28 13:23:47,2026-02-28,中奖,中奖
AJ00000092,M0026505,CMP0018,2026-04-11 06:32:57,2026-04-11,参与,成功
AJ00000093,M0076648,CMP0047,2026-04-20 16:47:41,2026-04-20,参与,成功
AJ00000094,M0049316,CMP0027,2026-02-27 20:08:53,2026-02-27,参与,成功
AJ00000095,M0011188,CMP0011,2026-04-05 18:58:21,2026-04-05,参与,成功
AJ00000096,M0075961,CMP0008,2026-04-20 15:06:32,2026-04-20,参与,成功
AJ00000097,M0032390,CMP0042,2026-02-19 06:57:07,2026-02-19,参与,成功
AJ00000098,M0073622,CMP0040,2026-03-19 08:36:54,2026-03-19,中奖,中奖
AJ00000099,M0046217,CMP0047,2026-04-14 15:12:30,2026-04-14,报名,成功
AJ00000100,M0027799,CMP0029,2026-04-09 15:46:16,2026-04-09,报名,成功
AJ00000101,M0016030,CMP0009,2026-02-19 23:08:38,2026-02-19,报名,成功
AJ00000102,M0000796,CMP0038,2026-03-07 18:49:07,2026-03-07,报名,成功
AJ00000103,M0036389,CMP0029,2026-04-22 15:32:09,2026-04-22,参与,成功
AJ00000104,M0044412,CMP0014,2026-03-25 12:12:09,2026-03-25,报名,成功
AJ00000105,M0024171,CMP0035,2026-04-19 18:42:37,2026-04-19,参与,成功
AJ00000106,M0006777,CMP0019,2026-04-13 10:22:55,2026-04-13,报名,成功
AJ00000107,M0053661,CMP0028,2026-04-25 20:37:31,2026-04-25,抽奖,成功
AJ00000108,M0015055,CMP0014,2026-02-21 21:15:00,2026-02-21,抽奖,成功
AJ00000109,M0041353,CMP0043,2026-02-25 19:34:41,2026-02-25,参与,成功
AJ00000110,M0005537,CMP0022,2026-02-27 14:16:12,2026-02-27,中奖,中奖
AJ00000111,M0061253,CMP0017,2026-04-28 15:09:14,2026-04-28,参与,成功
AJ00000112,M0077448,CMP0033,2026-05-06 10:36:47,2026-05-06,参与,成功
AJ00000113,M0077054,CMP0018,2026-03-29 15:49:31,2026-03-29,抽奖,成功
AJ00000114,M0013902,CMP0010,2026-04-04 07:42:26,2026-04-04,抽奖,成功
AJ00000115,M0062373,CMP0050,2026-02-20 16:52:45,2026-02-20,参与,成功
AJ00000116,M0053695,CMP0008,2026-04-10 13:24:14,2026-04-10,参与,成功
AJ00000117,M0003179,CMP0004,2026-05-11 02:48:19,2026-05-11,报名,成功
AJ00000118,M0048159,CMP0012,2026-03-24 06:05:44,2026-03-24,报名,成功
AJ00000119,M0012167,CMP0041,2026-03-14 02:25:14,2026-03-14,兑换,已兑换
AJ00000120,M0066019,CMP0017,2026-03-27 01:59:48,2026-03-27,报名,成功
AJ00000121,M0077620,CMP0018,2026-04-29 15:40:27,2026-04-29,抽奖,成功
AJ00000122,M0018679,CMP0027,2026-02-19 05:30:36,2026-02-19,抽奖,成功
AJ00000123,M0018245,CMP0011,2026-03-10 20:31:08,2026-03-10,抽奖,成功
AJ00000124,M0057730,CMP0031,2026-05-17 02:53:41,2026-05-17,参与,成功
AJ00000125,M0020716,CMP0030,2026-05-14 10:31:09,2026-05-14,参与,成功
AJ00000126,M0049654,CMP0036,2026-04-18 20:36:09,2026-04-18,抽奖,成功
AJ00000127,M0035661,CMP0010,2026-02-22 12:48:39,2026-02-22,抽奖,成功
AJ00000128,M0022847,CMP0006,2026-03-11 13:06:40,2026-03-11,报名,成功
AJ00000129,M0022771,CMP0014,2026-03-26 00:37:41,2026-03-26,报名,成功
AJ00000130,M0012350,CMP0040,2026-04-13 05:25:28,2026-04-13,参与,成功
AJ00000131,M0003832,CMP0011,2026-03-13 11:51:36,2026-03-13,中奖,中奖
AJ00000132,M0073937,CMP0036,2026-05-10 13:39:30,2026-05-10,参与,成功
AJ00000133,M0076035,CMP0050,2026-02-23 00:39:11,2026-02-23,参与,成功
AJ00000134,M0079862,CMP0031,2026-03-07 07:37:27,2026-03-07,兑换,已兑换
AJ00000135,M0006382,CMP0048,2026-02-26 05:14:41,2026-02-26,参与,成功
AJ00000136,M0037351,CMP0042,2026-04-26 12:35:52,2026-04-26,参与,成功
AJ00000137,M0007165,CMP0029,2026-04-18 14:05:08,2026-04-18,报名,成功
AJ00000138,M0006126,CMP0002,2026-03-14 22:04:09,2026-03-14,参与,成功
AJ00000139,M0046360,CMP0024,2026-05-08 16:52:37,2026-05-08,中奖,中奖
AJ00000140,M0000491,CMP0001,2026-05-02 10:26:51,2026-05-02,报名,成功
AJ00000141,M0035768,CMP0050,2026-05-05 08:26:39,2026-05-05,兑换,已兑换
AJ00000142,M0029584,CMP0013,2026-03-09 15:50:44,2026-03-09,报名,成功
AJ00000143,M0032998,CMP0009,2026-04-07 23:48:14,2026-04-07,报名,成功
AJ00000144,M0020192,CMP0040,2026-05-06 06:01:31,2026-05-06,兑换,已兑换
AJ00000145,M0058030,CMP0008,2026-05-20 22:46:06,2026-05-20,兑换,已兑换
AJ00000146,M0045350,CMP0038,2026-04-04 16:00:12,2026-04-04,报名,成功
AJ00000147,M0033984,CMP0040,2026-03-18 21:18:36,2026-03-18,抽奖,成功
AJ00000148,M0040833,CMP0012,2026-03-25 03:38:05,2026-03-25,兑换,已兑换
AJ00000149,M0005156,CMP0025,2026-05-09 01:31:06,2026-05-09,抽奖,成功
AJ00000150,M0033009,CMP0005,2026-03-18 23:36:23,2026-03-18,抽奖,成功
AJ00000151,M0065801,CMP0045,2026-03-19 10:51:05,2026-03-19,兑换,已兑换
AJ00000152,M0000259,CMP0045,2026-04-24 19:53:02,2026-04-24,参与,成功
AJ00000153,M0035482,CMP0027,2026-04-04 03:23:46,2026-04-04,抽奖,成功
AJ00000154,M0028031,CMP0003,2026-03-13 00:00:40,2026-03-13,参与,成功
AJ00000155,M0026619,CMP0017,2026-03-29 21:13:46,2026-03-29,参与,成功
AJ00000156,M0019920,CMP0036,2026-04-15 03:33:28,2026-04-15,报名,成功
AJ00000157,M0041713,CMP0029,2026-04-05 12:09:56,2026-04-05,报名,成功
AJ00000158,M0074193,CMP0006,2026-02-19 08:43:36,2026-02-19,参与,成功
AJ00000159,M0056003,CMP0046,2026-02-26 13:34:40,2026-02-26,参与,成功
AJ00000160,M0030301,CMP0016,2026-04-07 21:14:19,2026-04-07,参与,成功
AJ00000161,M0073621,CMP0036,2026-03-07 09:13:00,2026-03-07,报名,成功
AJ00000162,M0059049,CMP0008,2026-03-23 00:50:11,2026-03-23,报名,成功
AJ00000163,M0025045,CMP0026,2026-05-07 10:23:57,2026-05-07,报名,成功
AJ00000164,M0028950,CMP0033,2026-05-12 09:17:10,2026-05-12,报名,成功
AJ00000165,M0000427,CMP0036,2026-03-16 10:52:36,2026-03-16,抽奖,成功
AJ00000166,M0056009,CMP0013,2026-03-08 10:33:34,2026-03-08,报名,成功
AJ00000167,M0076766,CMP0028,2026-04-24 19:13:42,2026-04-24,报名,成功
AJ00000168,M0036098,CMP0021,2026-05-13 13:01:01,2026-05-13,报名,成功
AJ00000169,M0056098,CMP0048,2026-05-20 10:24:38,2026-05-20,报名,成功
AJ00000170,M0052268,CMP0017,2026-04-04 23:01:08,2026-04-04,参与,成功
AJ00000171,M0055810,CMP0009,2026-03-25 04:59:07,2026-03-25,参与,成功
AJ00000172,M0032331,CMP0025,2026-03-07 02:26:22,2026-03-07,参与,成功
AJ00000173,M0052373,CMP0038,2026-03-21 11:29:37,2026-03-21,兑换,已兑换
AJ00000174,M0005251,CMP0038,2026-03-22 17:11:58,2026-03-22,中奖,中奖
AJ00000175,M0048372,CMP0049,2026-03-11 10:30:03,2026-03-11,抽奖,成功
AJ00000176,M0006821,CMP0005,2026-03-29 10:06:51,2026-03-29,报名,成功
AJ00000177,M0047626,CMP0049,2026-05-05 19:23:43,2026-05-05,兑换,已兑换
AJ00000178,M0008015,CMP0033,2026-04-29 11:09:33,2026-04-29,报名,成功
AJ00000179,M0001047,CMP0029,2026-03-26 16:43:18,2026-03-26,报名,成功
AJ00000180,M0064529,CMP0001,2026-03-08 14:55:43,2026-03-08,兑换,已兑换
AJ00000181,M0041751,CMP0016,2026-05-18 10:31:49,2026-05-18,兑换,已兑换
AJ00000182,M0046967,CMP0011,2026-05-08 04:35:21,2026-05-08,参与,成功
AJ00000183,M0038471,CMP0005,2026-05-04 00:47:04,2026-05-04,兑换,已兑换
AJ00000184,M0016505,CMP0046,2026-03-23 12:06:53,2026-03-23,参与,成功
AJ00000185,M0037933,CMP0015,2026-04-18 08:20:04,2026-04-18,参与,成功
AJ00000186,M0045307,CMP0045,2026-03-15 05:51:41,2026-03-15,参与,成功
AJ00000187,M0065042,CMP0012,2026-04-02 03:05:10,2026-04-02,报名,成功
AJ00000188,M0053852,CMP0033,2026-05-20 09:22:54,2026-05-20,参与,成功
AJ00000189,M0000304,CMP0042,2026-03-08 16:19:13,2026-03-08,抽奖,成功
AJ00000190,M0063775,CMP0019,2026-03-26 13:46:45,2026-03-26,参与,成功
AJ00000191,M0048593,CMP0026,2026-04-18 09:33:30,2026-04-18,抽奖,成功
AJ00000192,M0075036,CMP0020,2026-05-14 13:31:47,2026-05-14,参与,成功
AJ00000193,M0003088,CMP0018,2026-05-07 18:33:41,2026-05-07,抽奖,成功
AJ00000194,M0029810,CMP0023,2026-05-11 16:24:00,2026-05-11,报名,成功
AJ00000195,M0013150,CMP0001,2026-04-24 14:55:08,2026-04-24,兑换,已兑换
AJ00000196,M0027792,CMP0014,2026-04-28 19:55:55,2026-04-28,参与,成功
AJ00000197,M0077599,CMP0041,2026-03-10 12:28:11,2026-03-10,参与,成功
AJ00000198,M0061110,CMP0011,2026-04-20 09:57:33,2026-04-20,参与,成功
AJ00000199,M0021871,CMP0006,2026-03-22 17:38:26,2026-03-22,抽奖,成功
AJ00000200,M0028070,CMP0010,2026-05-03 06:48:23,2026-05-03,报名,成功
