门店类型,月份,成本科目ID,成本科目名称,成本大类,门店数,成本总额,营收总额,平均占比,中位数占比,P90占比,最低占比,最高占比,科目营收占比,离散度,P90vsP50差异
交通店,2026-04-01,CST_RENT,房租物业,固定成本,40,486473.17000000004,1332751.32,0.3587275,0.3534,0.4285,0.2823,0.4568,0.365014209852743,0.1745,0.0751
交通店,2026-04-01,CST_UTL,能耗水电气,半固定成本,40,44503.19,1332751.32,0.033025,0.0307,0.0422,0.0239,0.0478,0.033391968428139,0.0239,0.0115
交通店,2026-05-01,CST_DEP,设备折旧摊销,固定成本,41,23496.959999999995,924537.19,0.025570731707317,0.026,0.0293,0.0201,0.0298,0.02541483485375,0.0097,0.0033
交通店,2026-05-01,CST_HQ,总部分摊,固定成本,41,31814.799999999996,924537.19,0.034421951219512,0.0418,0.0486,0.0153,0.0497,0.034411595708768,0.0344,0.0068
交通店,2026-05-01,CST_LBR,门店人工成本,半固定成本,41,166122.15999999997,924537.19,0.179917073170732,0.1802,0.1963,0.1611,0.1987,0.17968142525451,0.0376,0.0161
交通店,2026-05-01,CST_PKG,包材成本,变动成本,41,13413.25,924537.19,0.014543902439024,0.0145,0.0162,0.0111,0.0178,0.014508069707829,0.0067,0.0017
交通店,2026-05-01,CST_PLAT,平台抽佣,变动成本,41,64155.340000000004,924537.19,0.069014634146341,0.0686,0.0837,0.0368,0.1318,0.06939184350172,0.095,0.0151
交通店,2026-05-01,CST_RAW,原材料成本,变动成本,41,352959.98999999993,924537.19,0.382024390243902,0.3825,0.4127,0.3409,0.4196,0.381769380202001,0.0787,0.0302
交通店,2026-05-01,CST_RENT,房租物业,固定成本,41,337782.41,924537.19,0.361595121951219,0.3585,0.4076,0.2863,0.4681,0.365352971901541,0.1818,0.0491
交通店,2026-05-01,CST_UTL,能耗水电气,半固定成本,41,30101.579999999998,924537.19,0.032846341463415,0.0335,0.0416,0.0214,0.0431,0.032558538829574,0.0217,0.0081
写字楼店,2026-02-01,CST_DEP,设备折旧摊销,固定成本,194,67530.69,2689207.849999999,0.025031443298969,0.0252,0.0293,0.02,0.03,0.025111740619082,0.01,0.0041
写字楼店,2026-02-01,CST_HQ,总部分摊,固定成本,194,88025.96999999997,2689207.849999999,0.032636597938144,0.0402,0.048,0.015,0.05,0.032733048135346,0.035,0.0078
写字楼店,2026-02-01,CST_LBR,门店人工成本,半固定成本,194,551088.8299999998,2689207.849999999,0.205218041237113,0.2048,0.2247,0.1801,0.2298,0.204926082600867,0.0497,0.0199
写字楼店,2026-02-01,CST_PKG,包材成本,变动成本,194,38523.54999999999,2689207.849999999,0.014302577319588,0.0141,0.0161,0.011,0.0188,0.014325240795352,0.0078,0.002
写字楼店,2026-02-01,CST_PLAT,平台抽佣,变动成本,194,176164.20999999996,2689207.849999999,0.064978350515464,0.0616,0.0874,0.0306,0.1344,0.065507844624208,0.1038,0.0258
写字楼店,2026-02-01,CST_RAW,原材料成本,变动成本,194,1015350.4600000003,2689207.849999999,0.37765618556701,0.3779,0.4095,0.3405,0.4197,0.377564887741943,0.0792,0.0316
写字楼店,2026-02-01,CST_RENT,房租物业,固定成本,194,422433.2100000001,2689207.849999999,0.155707216494845,0.1556,0.1791,0.1202,0.2147,0.1570846262404,0.0945,0.0235
写字楼店,2026-02-01,CST_UTL,能耗水电气,半固定成本,194,89757.65000000008,2689207.849999999,0.033423711340206,0.0337,0.043,0.0204,0.0468,0.033376984973475,0.0264,0.0093
写字楼店,2026-03-01,CST_DEP,设备折旧摊销,固定成本,198,201187.76999999996,8046490.880000002,0.025075252525253,0.0253,0.029,0.02,0.03,0.02500316883476,0.01,0.0037
写字楼店,2026-03-01,CST_HQ,总部分摊,固定成本,198,267772.3800000001,8046490.880000002,0.033167676767677,0.0404,0.0482,0.0151,0.0498,0.03327815615445,0.0347,0.0078
写字楼店,2026-03-01,CST_LBR,门店人工成本,半固定成本,198,1640844.87,8046490.880000002,0.203707575757576,0.2035,0.2248,0.1801,0.2294,0.203920553005088,0.0493,0.0213
写字楼店,2026-03-01,CST_PKG,包材成本,变动成本,198,117133.56999999993,8046490.880000002,0.014524242424242,0.0145,0.0162,0.0113,0.0181,0.01455709970307,0.0068,0.0017
写字楼店,2026-03-01,CST_PLAT,平台抽佣,变动成本,198,543473.37,8046490.880000002,0.067214141414141,0.0655,0.0836,0.0401,0.1037,0.067541662335172,0.0636,0.0181
写字楼店,2026-03-01,CST_RAW,原材料成本,变动成本,198,3060214.46,8046490.880000002,0.380284343434344,0.3807,0.4106,0.3402,0.4199,0.380316650529777,0.0797,0.0299
写字楼店,2026-03-01,CST_RENT,房租物业,固定成本,198,1267151.0100000002,8046490.880000002,0.155467676767677,0.1547,0.1795,0.1203,0.2145,0.157478710769383,0.0942,0.0248
写字楼店,2026-03-01,CST_UTL,能耗水电气,半固定成本,198,264571.13,8046490.880000002,0.03275202020202,0.0328,0.0418,0.0205,0.0473,0.032880311920518,0.0268,0.009
写字楼店,2026-04-01,CST_DEP,设备折旧摊销,固定成本,205,202678.63999999998,8189800.250000002,0.02484,0.0246,0.029,0.0201,0.03,0.024747690274864,0.0099,0.0044
写字楼店,2026-04-01,CST_HQ,总部分摊,固定成本,205,271258.6600000001,8189800.250000002,0.032823902439024,0.0405,0.048,0.015,0.0498,0.033121523324088,0.0348,0.0075
写字楼店,2026-04-01,CST_LBR,门店人工成本,半固定成本,205,1684157.71,8189800.250000002,0.205921463414634,0.2063,0.2251,0.18,0.23,0.205640877504918,0.05,0.0188
写字楼店,2026-04-01,CST_PKG,包材成本,变动成本,205,118215.27000000003,8189800.250000002,0.014493170731707,0.0145,0.0161,0.0116,0.018,0.014434450950132,0.0064,0.0016
写字楼店,2026-04-01,CST_PLAT,平台抽佣,变动成本,205,552873.28,8189800.250000002,0.067822926829268,0.0675,0.0858,0.0373,0.099,0.067507541469036,0.0617,0.0183
写字楼店,2026-04-01,CST_RAW,原材料成本,变动成本,205,3105451.0699999994,8189800.250000002,0.379138048780488,0.3776,0.4105,0.3403,0.4194,0.379185202960231,0.0791,0.0329
写字楼店,2026-04-01,CST_RENT,房租物业,固定成本,205,1278542.8500000006,8189800.250000002,0.154756585365854,0.1544,0.1778,0.1203,0.2132,0.156114045638659,0.0929,0.0234
写字楼店,2026-04-01,CST_UTL,能耗水电气,半固定成本,205,270640.12,8189800.250000002,0.033107804878049,0.0327,0.0426,0.0215,0.0478,0.033045997672532,0.0263,0.0099
写字楼店,2026-05-01,CST_DEP,设备折旧摊销,固定成本,207,144668.85,5713050.410000004,0.02528309178744,0.0254,0.029,0.0201,0.0299,0.025322522928692,0.0098,0.0036
写字楼店,2026-05-01,CST_HQ,总部分摊,固定成本,207,187760.18999999992,5713050.410000004,0.032973429951691,0.0403,0.0477,0.0151,0.0498,0.032865137978014,0.0347,0.0074
写字楼店,2026-05-01,CST_LBR,门店人工成本,半固定成本,207,1172803.2300000002,5713050.410000004,0.205924154589372,0.2064,0.2248,0.1803,0.2298,0.205284943389813,0.0495,0.0184
写字楼店,2026-05-01,CST_PKG,包材成本,变动成本,207,83390.61999999995,5713050.410000004,0.014542512077295,0.0145,0.0163,0.011,0.0181,0.014596513948842,0.0071,0.0018
写字楼店,2026-05-01,CST_PLAT,平台抽佣,变动成本,207,385851.2100000002,5713050.410000004,0.06725845410628,0.0681,0.086,0.0362,0.1034,0.067538562118166,0.0672,0.0179
写字楼店,2026-05-01,CST_RAW,原材料成本,变动成本,207,2171259.62,5713050.410000004,0.379570048309179,0.3761,0.4127,0.3403,0.4199,0.380052592604377,0.0796,0.0366
写字楼店,2026-05-01,CST_RENT,房租物业,固定成本,207,878809.1100000005,5713050.410000004,0.151839130434783,0.1483,0.1778,0.1202,0.2144,0.153824847836412,0.0942,0.0295
写字楼店,2026-05-01,CST_UTL,能耗水电气,半固定成本,207,195267.12000000005,5713050.410000004,0.034025603864734,0.0339,0.0428,0.0207,0.0476,0.034179134785544,0.0269,0.0089
商场店,2026-02-01,CST_DEP,设备折旧摊销,固定成本,136,40600.79999999999,1629387.399999999,0.024945588235294,0.0245,0.0291,0.02,0.0299,0.024917831081792,0.0099,0.0046
商场店,2026-02-01,CST_HQ,总部分摊,固定成本,136,55294.820000000014,1629387.399999999,0.034386764705882,0.0413,0.0486,0.0151,0.0498,0.033935956544159,0.0347,0.0073
商场店,2026-02-01,CST_LBR,门店人工成本,半固定成本,136,327321.9799999999,1629387.399999999,0.200572058823529,0.2015,0.216,0.1802,0.22,0.200886529501824,0.0398,0.0145
商场店,2026-02-01,CST_PKG,包材成本,变动成本,136,23814.570000000007,1629387.399999999,0.014466911764706,0.0146,0.0166,0.0097,0.0198,0.014615658621148,0.0101,0.002
商场店,2026-02-01,CST_PLAT,平台抽佣,变动成本,136,109603.27999999998,1629387.399999999,0.0663625,0.0636,0.0919,0.0238,0.1344,0.067266556743964,0.1106,0.0283
商场店,2026-02-01,CST_RAW,原材料成本,变动成本,136,617390.64,1629387.399999999,0.378352205882353,0.3758,0.4125,0.3401,0.4198,0.378909668750354,0.0797,0.0367
商场店,2026-02-01,CST_RENT,房租物业,固定成本,136,419028.87,1629387.399999999,0.254753676470588,0.2526,0.2786,0.2203,0.3325,0.257169577965314,0.1122,0.026
商场店,2026-02-01,CST_UTL,能耗水电气,半固定成本,136,55374.06999999999,1629387.399999999,0.033926470588235,0.0338,0.0424,0.0219,0.047,0.03398459445556,0.0251,0.0086
商场店,2026-03-01,CST_DEP,设备折旧摊销,固定成本,138,127268.09999999995,5037549.790000002,0.025397101449275,0.0253,0.0294,0.0203,0.03,0.025263889252795,0.0097,0.0041
商场店,2026-03-01,CST_HQ,总部分摊,固定成本,138,171335.04999999996,5037549.790000002,0.033878260869565,0.0403,0.0477,0.0152,0.0499,0.034011584429422,0.0347,0.0074
商场店,2026-03-01,CST_LBR,门店人工成本,半固定成本,138,1009041.5000000001,5037549.790000002,0.200188405797101,0.2005,0.2173,0.1804,0.22,0.20030402518364,0.0396,0.0168
商场店,2026-03-01,CST_PKG,包材成本,变动成本,138,73619.97,5037549.790000002,0.014538405797101,0.0146,0.0163,0.0111,0.0181,0.01461424165894,0.007,0.0017
商场店,2026-03-01,CST_PLAT,平台抽佣,变动成本,138,347824.83,5037549.790000002,0.068316666666667,0.0683,0.0868,0.0182,0.1027,0.06904643020908,0.0845,0.0185
商场店,2026-03-01,CST_RAW,原材料成本,变动成本,138,1909707.0199999989,5037549.790000002,0.379354347826087,0.3769,0.4109,0.34,0.4194,0.379094420821595,0.0794,0.034
商场店,2026-03-01,CST_RENT,房租物业,固定成本,138,1299684.54,5037549.790000002,0.25603115942029,0.2546,0.279,0.2201,0.3359,0.257999343764302,0.1158,0.0244
商场店,2026-03-01,CST_UTL,能耗水电气,半固定成本,138,165094.83000000005,5037549.790000002,0.032597826086957,0.0324,0.0419,0.021,0.047,0.032772843323103,0.026,0.0095
商场店,2026-04-01,CST_DEP,设备折旧摊销,固定成本,139,123807.45999999996,4964773.109999999,0.024971942446043,0.0246,0.029,0.02,0.0299,0.024937183886738,0.0099,0.0044
商场店,2026-04-01,CST_HQ,总部分摊,固定成本,139,166946.50999999998,4964773.109999999,0.033646043165468,0.0407,0.0477,0.0151,0.05,0.033626211369808,0.0349,0.007
商场店,2026-04-01,CST_LBR,门店人工成本,半固定成本,139,988205.5399999993,4964773.109999999,0.198861870503597,0.1984,0.2142,0.1804,0.2196,0.19904344430354,0.0392,0.0158
商场店,2026-04-01,CST_PKG,包材成本,变动成本,139,71824.44,4964773.109999999,0.014493525179856,0.0145,0.0164,0.0115,0.0173,0.014466812160123,0.0058,0.0019
商场店,2026-04-01,CST_PLAT,平台抽佣,变动成本,139,341136.2199999999,4964773.109999999,0.069105035971223,0.0675,0.0904,0.0371,0.1014,0.068711341372859,0.0643,0.0229
商场店,2026-04-01,CST_RAW,原材料成本,变动成本,139,1881611.9499999993,4964773.109999999,0.379141007194245,0.3794,0.4116,0.3404,0.4197,0.378992535672995,0.0793,0.0322
商场店,2026-04-01,CST_RENT,房租物业,固定成本,139,1280402.1899999992,4964773.109999999,0.256284172661871,0.2545,0.279,0.2203,0.3245,0.257897422829056,0.1042,0.0245
商场店,2026-04-01,CST_UTL,能耗水电气,半固定成本,139,165518.48999999996,4964773.109999999,0.033324460431655,0.0331,0.0425,0.0219,0.0471,0.033338580904455,0.0252,0.0094
商场店,2026-05-01,CST_DEP,设备折旧摊销,固定成本,142,83318.45000000003,3329354.5100000002,0.02503661971831,0.0249,0.0287,0.02,0.03,0.025025406501394,0.01,0.0038
商场店,2026-05-01,CST_HQ,总部分摊,固定成本,142,111484.51000000002,3329354.5100000002,0.033414084507042,0.0408,0.0487,0.0152,0.0499,0.033485322654931,0.0347,0.0079
商场店,2026-05-01,CST_LBR,门店人工成本,半固定成本,142,658529.0700000001,3329354.5100000002,0.197766197183099,0.1973,0.2133,0.1801,0.2194,0.19779481819135,0.0393,0.016
商场店,2026-05-01,CST_PKG,包材成本,变动成本,142,48314.90999999999,3329354.5100000002,0.014471830985915,0.0146,0.0161,0.0109,0.0172,0.014511794960519,0.0063,0.0015
商场店,2026-05-01,CST_PLAT,平台抽佣,变动成本,142,224050.40999999995,3329354.5100000002,0.067064084507042,0.0668,0.0848,0.0215,0.1038,0.06729545001202,0.0823,0.018
商场店,2026-05-01,CST_RAW,原材料成本,变动成本,142,1267341.2399999995,3329354.5100000002,0.380752816901408,0.3848,0.4096,0.3406,0.4188,0.380656741777853,0.0782,0.0248
商场店,2026-05-01,CST_RENT,房租物业,固定成本,142,858940.2800000005,3329354.5100000002,0.254669014084507,0.2505,0.2875,0.2206,0.3348,0.257990033028955,0.1142,0.037
商场店,2026-05-01,CST_UTL,能耗水电气,半固定成本,142,113403.90999999997,3329354.5100000002,0.034100704225352,0.0342,0.0443,0.0212,0.0477,0.034061830802151,0.0265,0.0101
外卖卫星店,2026-02-01,CST_DEP,设备折旧摊销,固定成本,177,34415.25000000001,1378135.1499999994,0.024956497175141,0.0247,0.029,0.0201,0.0298,0.024972333083588,0.0097,0.0043
外卖卫星店,2026-02-01,CST_HQ,总部分摊,固定成本,177,44726.179999999986,1378135.1499999994,0.031892655367232,0.0246,0.0483,0.0153,0.0499,0.032454131947799,0.0346,0.0237
外卖卫星店,2026-02-01,CST_LBR,门店人工成本,半固定成本,177,142958.58000000002,1378135.1499999994,0.103054802259887,0.1026,0.1231,0.0802,0.1293,0.103733353002425,0.0491,0.0205
外卖卫星店,2026-02-01,CST_PKG,包材成本,变动成本,177,31074.76,1378135.1499999994,0.022489265536723,0.0226,0.0251,0.018,0.0267,0.022548412613959,0.0087,0.0025
外卖卫星店,2026-02-01,CST_PLAT,平台抽佣,变动成本,177,261164.84000000014,1378135.1499999994,0.188906779661017,0.19,0.2155,0.111,0.2379,0.189505971166906,0.1269,0.0255
外卖卫星店,2026-02-01,CST_RAW,原材料成本,变动成本,177,527565.7300000002,1378135.1499999994,0.382338983050847,0.3835,0.4126,0.3407,0.42,0.382811315711671,0.0793,0.0291
外卖卫星店,2026-02-01,CST_RENT,房租物业,固定成本,177,94798.79999999999,1378135.1499999994,0.067807344632768,0.067,0.0895,0.0404,0.1073,0.068787738270807,0.0669,0.0225
外卖卫星店,2026-02-01,CST_UTL,能耗水电气,半固定成本,177,30124.779999999995,1378135.1499999994,0.021887005649718,0.0215,0.0285,0.0137,0.0321,0.02185908979972,0.0184,0.007
外卖卫星店,2026-03-01,CST_DEP,设备折旧摊销,固定成本,178,105647.34999999998,4226676.909999997,0.024929775280899,0.0249,0.0289,0.0201,0.03,0.024995369234409,0.0099,0.004
外卖卫星店,2026-03-01,CST_HQ,总部分摊,固定成本,178,136132.50000000003,4226676.909999997,0.031900561797753,0.0247,0.0484,0.0152,0.0499,0.0322079266759,0.0347,0.0237
外卖卫星店,2026-03-01,CST_LBR,门店人工成本,半固定成本,178,444020.09999999986,4226676.909999997,0.105408426966292,0.1064,0.1259,0.0803,0.1298,0.105051819539242,0.0495,0.0195
外卖卫星店,2026-03-01,CST_PKG,包材成本,变动成本,178,94662.17999999996,4226676.909999997,0.022401685393258,0.0223,0.0247,0.0185,0.0264,0.022396360548883,0.0079,0.0024
外卖卫星店,2026-03-01,CST_PLAT,平台抽佣,变动成本,178,792394.3800000001,4226676.909999997,0.18707808988764,0.1883,0.2085,0.1313,0.2254,0.187474556696126,0.0941,0.0202
外卖卫星店,2026-03-01,CST_RAW,原材料成本,变动成本,178,1614847.5099999998,4226676.909999997,0.381284831460674,0.383,0.4113,0.3406,0.4193,0.382060787797476,0.0787,0.0283
外卖卫星店,2026-03-01,CST_RENT,房租物业,固定成本,178,294862.6699999999,4226676.909999997,0.067973595505618,0.0683,0.0874,0.04,0.1057,0.069762292287442,0.0657,0.0191
外卖卫星店,2026-03-01,CST_UTL,能耗水电气,半固定成本,178,95209.52,4226676.909999997,0.022554494382022,0.0222,0.0289,0.0143,0.0317,0.022525857080474,0.0174,0.0067
外卖卫星店,2026-04-01,CST_DEP,设备折旧摊销,固定成本,187,105749.07999999999,4246103.38,0.024941176470588,0.0248,0.0287,0.0202,0.0299,0.024904970636867,0.0097,0.0039
外卖卫星店,2026-04-01,CST_HQ,总部分摊,固定成本,187,135776.14999999997,4246103.38,0.031749732620321,0.0243,0.0482,0.0151,0.05,0.031976647257232,0.0349,0.0239
外卖卫星店,2026-04-01,CST_LBR,门店人工成本,半固定成本,187,445904.6400000001,4246103.38,0.105455080213904,0.1069,0.1243,0.0801,0.1299,0.1050150220318,0.0498,0.0174
外卖卫星店,2026-04-01,CST_PKG,包材成本,变动成本,187,95530.69999999998,4246103.38,0.022425668449198,0.0225,0.0245,0.0184,0.0264,0.022498439498663,0.008,0.002
外卖卫星店,2026-04-01,CST_PLAT,平台抽佣,变动成本,187,798590.8299999995,4246103.38,0.187657754010695,0.1893,0.2074,0.1408,0.2252,0.188076162667523,0.0844,0.0181
外卖卫星店,2026-04-01,CST_RAW,原材料成本,变动成本,187,1610137.0000000002,4246103.38,0.379302673796792,0.3795,0.4119,0.34,0.4193,0.379203438047239,0.0793,0.0324
外卖卫星店,2026-04-01,CST_RENT,房租物业,固定成本,187,294462.92999999993,4246103.38,0.068108556149733,0.0679,0.0882,0.041,0.1074,0.069348978027002,0.0664,0.0203
外卖卫星店,2026-04-01,CST_UTL,能耗水电气,半固定成本,187,95626.84,4246103.38,0.022257754010695,0.0219,0.0287,0.0142,0.0318,0.022521081434433,0.0176,0.0068
外卖卫星店,2026-05-01,CST_DEP,设备折旧摊销,固定成本,189,75517.6,3004907.49,0.025105291005291,0.0253,0.0288,0.0201,0.03,0.025131422598304,0.0099,0.0035
外卖卫星店,2026-05-01,CST_HQ,总部分摊,固定成本,189,95268.23000000003,3004907.49,0.031693121693122,0.0243,0.0479,0.0151,0.0499,0.031704213962341,0.0348,0.0236
外卖卫星店,2026-05-01,CST_LBR,门店人工成本,半固定成本,189,318933.2800000001,3004907.49,0.105992063492063,0.1054,0.1256,0.0801,0.13,0.106137470475006,0.0499,0.0202
外卖卫星店,2026-05-01,CST_PKG,包材成本,变动成本,189,67541.13000000002,3004907.49,0.022465608465608,0.0223,0.0247,0.0189,0.0261,0.022476941544713,0.0072,0.0024
外卖卫星店,2026-05-01,CST_PLAT,平台抽佣,变动成本,189,569518.7799999998,3004907.49,0.18912328042328,0.1894,0.2137,0.1226,0.2335,0.189529555201049,0.1109,0.0243
外卖卫星店,2026-05-01,CST_RAW,原材料成本,变动成本,189,1143599.8200000003,3004907.49,0.380922222222222,0.3803,0.4126,0.3404,0.4199,0.380577380104304,0.0795,0.0323
外卖卫星店,2026-05-01,CST_RENT,房租物业,固定成本,189,207859.61000000002,3004907.49,0.067862433862434,0.0664,0.0896,0.0401,0.1067,0.069173380775193,0.0666,0.0232
外卖卫星店,2026-05-01,CST_UTL,能耗水电气,半固定成本,189,65670.03,3004907.49,0.021940211640212,0.0216,0.0281,0.0139,0.0315,0.021854260145626,0.0176,0.0065
夜市店,2026-02-01,CST_DEP,设备折旧摊销,固定成本,9,2399.9199999999996,95424.86,0.024888888888889,0.0245,0.0292,0.0209,0.0292,0.025149840408464,0.0083,0.0047
夜市店,2026-02-01,CST_HQ,总部分摊,固定成本,9,3163.1400000000003,95424.86,0.031944444444444,0.0407,0.0499,0.0151,0.0499,0.03314796584454,0.0348,0.0092
夜市店,2026-02-01,CST_LBR,门店人工成本,半固定成本,9,17536.11,95424.86,0.183033333333333,0.1837,0.1998,0.1693,0.1998,0.183768778911491,0.0305,0.0161
夜市店,2026-02-01,CST_PKG,包材成本,变动成本,9,1494.4400000000003,95424.86,0.0158,0.0166,0.018,0.013,0.018,0.015660908488627,0.005,0.0014
夜市店,2026-02-01,CST_PLAT,平台抽佣,变动成本,9,7428.580000000001,95424.86,0.079033333333333,0.084,0.114,0.0411,0.114,0.077847428856589,0.0729,0.03
夜市店,2026-02-01,CST_RAW,原材料成本,变动成本,9,35909.08,95424.86,0.377688888888889,0.3771,0.4143,0.3407,0.4143,0.376307389919147,0.0736,0.0372
夜市店,2026-02-01,CST_RENT,房租物业,固定成本,9,8572.96,95424.86,0.088866666666667,0.0951,0.1141,0.0604,0.1141,0.089839901258435,0.0537,0.019
夜市店,2026-02-01,CST_UTL,能耗水电气,半固定成本,9,3083.4399999999996,95424.86,0.032288888888889,0.0302,0.0417,0.0239,0.0417,0.032312753720571,0.0178,0.0115
夜市店,2026-03-01,CST_DEP,设备折旧摊销,固定成本,9,6346.51,279439.72000000003,0.022655555555556,0.0222,0.0287,0.0201,0.0287,0.022711552960331,0.0086,0.0065
夜市店,2026-03-01,CST_HQ,总部分摊,固定成本,9,9190.49,279439.72000000003,0.033266666666667,0.0404,0.0497,0.0158,0.0497,0.032888989439297,0.0339,0.0093
夜市店,2026-03-01,CST_LBR,门店人工成本,半固定成本,9,50478.17,279439.72000000003,0.181866666666667,0.1777,0.1999,0.1603,0.1999,0.180640640493055,0.0396,0.0222
夜市店,2026-03-01,CST_PKG,包材成本,变动成本,9,3925.96,279439.72000000003,0.014088888888889,0.014,0.0158,0.0116,0.0158,0.014049398560806,0.0042,0.0018
夜市店,2026-03-01,CST_PLAT,平台抽佣,变动成本,9,17255.25,279439.72000000003,0.062022222222222,0.0582,0.088,0.0429,0.088,0.061749453513624,0.0451,0.0298
夜市店,2026-03-01,CST_RAW,原材料成本,变动成本,9,109246.51,279439.72000000003,0.3913,0.3939,0.4151,0.3619,0.4151,0.390948394881014,0.0532,0.0212
夜市店,2026-03-01,CST_RENT,房租物业,固定成本,9,24440.73,279439.72000000003,0.087377777777778,0.0868,0.1154,0.0635,0.1154,0.087463335563033,0.0519,0.0286
夜市店,2026-03-01,CST_UTL,能耗水电气,半固定成本,9,9188.45,279439.72000000003,0.032477777777778,0.0328,0.0439,0.0249,0.0439,0.032881689117066,0.019,0.0111
夜市店,2026-04-01,CST_DEP,设备折旧摊销,固定成本,9,6804.949999999999,261883.32000000004,0.0259,0.0255,0.0291,0.0228,0.0291,0.025984663704431,0.0063,0.0036
夜市店,2026-04-01,CST_HQ,总部分摊,固定成本,9,8542.74,261883.32000000004,0.032944444444444,0.0408,0.0453,0.0186,0.0453,0.032620405148369,0.0267,0.0045
夜市店,2026-04-01,CST_LBR,门店人工成本,半固定成本,9,48088.049999999996,261883.32000000004,0.183311111111111,0.183,0.1966,0.1635,0.1966,0.183623951307781,0.0331,0.0136
夜市店,2026-04-01,CST_PKG,包材成本,变动成本,9,3734.86,261883.32000000004,0.014166666666667,0.014,0.0164,0.0128,0.0164,0.014261542124943,0.0036,0.0024
