门店ID,门店名称,省份,城市,城市层级,店型,门店类型,商圈,品牌线,直营加盟类型,是否90天内新店,新店标签,业务日期,订单数,销售额,原价销售额,折扣金额合计,商品件数合计,会员订单数,到店销售额,外卖销售额,到店订单数,外卖订单数,去重会员数,平均客单价,会员订单占比,折扣率,到店占比,外卖占比,平均件数
S00293,中山购物中心0293店,广东,中山,二线,标准店,商场店,购物中心,子品牌-便利,直营,FALSE,非新店,2026-03-23,11,943.66,987.0,43.339999999999996,29,9,677.02,266.64,8,3,9,85.78727272727272,0.818181818181818,0.043910840932118,0.727272727272727,0.272727272727273,2.636363636363636
S00293,中山购物中心0293店,广东,中山,二线,标准店,商场店,购物中心,子品牌-便利,直营,FALSE,非新店,2026-04-04,12,763.0,763.0,0.0,26,7,376.0,387.0,8,4,7,63.583333333333336,0.583333333333333,0.0,0.666666666666667,0.333333333333333,2.166666666666667
S00293,中山购物中心0293店,广东,中山,二线,标准店,商场店,购物中心,子品牌-便利,直营,FALSE,非新店,2026-04-22,10,588.31,635.0,46.69,25,4,421.05999999999995,167.25,6,4,4,58.830999999999996,0.4,0.073527559055118,0.6,0.4,2.5
S00294,沈阳校园0294店,辽宁,沈阳,新一线,快取店,快取店,校园,主品牌,加盟,FALSE,非新店,2026-05-07,9,828.89,864.0,35.11,24,6,470.0,358.89,4,5,6,92.0988888888889,0.666666666666667,0.040636574074074,0.444444444444444,0.555555555555556,2.666666666666667
S00294,沈阳校园0294店,辽宁,沈阳,新一线,快取店,快取店,校园,主品牌,加盟,FALSE,非新店,2026-05-08,8,479.92,561.0,81.07999999999998,16,5,381.92,98.0,6,2,5,59.99,0.625,0.144527629233512,0.75,0.25,2.0
S00295,东莞购物中心0295店,广东,东莞,新一线,外卖店,外卖卫星店,购物中心,主品牌,加盟,FALSE,非新店,2026-04-15,11,809.74,874.0,64.26,29,9,134.0,675.74,2,9,9,73.61272727272727,0.818181818181818,0.073524027459954,0.181818181818182,0.818181818181818,2.636363636363636
S00297,沈阳社区0297店,辽宁,沈阳,新一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-04-03,8,397.0,444.0,47.0,14,5,262.46000000000004,134.54000000000002,5,3,5,49.625,0.625,0.105855855855856,0.625,0.375,1.75
S00298,长春写字楼0298店,吉林,长春,二线,外卖店,外卖卫星店,写字楼,主品牌,加盟,FALSE,非新店,2026-03-18,7,398.0,398.0,0.0,15,2,90.0,308.0,1,6,2,56.857142857142854,0.285714285714286,0.0,0.142857142857143,0.857142857142857,2.142857142857143
S00299,泉州CBD0299店,福建,泉州,二线,标准店,写字楼店,CBD,主品牌,直营,FALSE,非新店,2026-03-15,15,1010.88,1026.0,15.12,29,5,466.0,544.88,8,7,5,67.392,0.333333333333333,0.014736842105263,0.533333333333333,0.466666666666667,1.933333333333333
S00299,泉州CBD0299店,福建,泉州,二线,标准店,写字楼店,CBD,主品牌,直营,FALSE,非新店,2026-04-19,11,446.76,513.0,66.24,19,6,243.9,202.86,7,4,6,40.61454545454546,0.545454545454545,0.129122807017544,0.636363636363636,0.363636363636364,1.727272727272727
S00300,重庆CBD0300店,重庆,重庆,新一线,外卖店,外卖卫星店,CBD,主品牌,加盟,FALSE,非新店,2026-03-02,7,555.69,562.0,6.31,15,3,112.0,443.69,2,5,3,79.38428571428572,0.428571428571429,0.011227758007117,0.285714285714286,0.714285714285714,2.142857142857143
S00300,重庆CBD0300店,重庆,重庆,新一线,外卖店,外卖卫星店,CBD,主品牌,加盟,FALSE,非新店,2026-03-05,8,680.78,708.0,27.22,24,5,274.0,406.78,3,5,5,85.0975,0.625,0.038446327683616,0.375,0.625,3.0
S00301,济南购物中心0301店,山东,济南,二线,标准店,商场店,购物中心,子品牌-便利,加盟,FALSE,非新店,2026-04-28,11,912.0,912.0,0.0,29,5,591.0,321.0,7,4,5,82.9090909090909,0.454545454545455,0.0,0.636363636363636,0.363636363636364,2.636363636363636
S00302,长沙购物中心0302店,湖南,长沙,新一线,标准店,商场店,购物中心,主品牌,加盟,FALSE,非新店,2026-04-09,11,2163.9300000000003,2196.0,32.07,25,6,315.92999999999995,1848.0,7,4,6,196.72090909090912,0.545454545454545,0.014603825136612,0.636363636363636,0.363636363636364,2.272727272727272
S00302,长沙购物中心0302店,湖南,长沙,新一线,标准店,商场店,购物中心,主品牌,加盟,FALSE,非新店,2026-04-23,12,642.79,652.0,9.21,22,6,532.79,110.0,10,2,6,53.56583333333333,0.5,0.014125766871166,0.833333333333333,0.166666666666667,1.833333333333333
S00304,哈尔滨写字楼0304店,黑龙江,哈尔滨,二线,快取店,快取店,写字楼,主品牌,直营,FALSE,非新店,2026-04-17,9,614.09,660.0,45.91,19,6,434.09000000000003,180.0,6,3,6,68.23222222222222,0.666666666666667,0.069560606060606,0.666666666666667,0.333333333333333,2.111111111111111
S00304,哈尔滨写字楼0304店,黑龙江,哈尔滨,二线,快取店,快取店,写字楼,主品牌,直营,FALSE,非新店,2026-05-10,10,644.54,676.0,31.46,23,8,476.53999999999996,168.0,6,4,8,64.454,0.8,0.046538461538462,0.6,0.4,2.3
S00304,哈尔滨写字楼0304店,黑龙江,哈尔滨,二线,快取店,快取店,写字楼,主品牌,直营,FALSE,非新店,2026-05-15,9,669.59,699.0,29.41,15,4,451.43,218.16,5,4,4,74.39888888888889,0.444444444444444,0.042074391988555,0.555555555555556,0.444444444444444,1.666666666666667
S00305,嘉兴校园0305店,浙江,嘉兴,二线,校园店,学校店,校园,主品牌,直营,FALSE,非新店,2026-04-02,5,271.34999999999997,322.0,50.650000000000006,11,1,60.29,211.05999999999997,1,4,1,54.269999999999996,0.2,0.157298136645963,0.2,0.8,2.2
S00305,嘉兴校园0305店,浙江,嘉兴,二线,校园店,学校店,校园,主品牌,直营,FALSE,非新店,2026-05-18,6,305.0,305.0,0.0,12,5,152.0,153.0,3,3,5,50.833333333333336,0.833333333333333,0.0,0.5,0.5,2.0
S00306,沈阳社区0306店,辽宁,沈阳,新一线,标准店,社区店,社区,主品牌,加盟,FALSE,非新店,2026-05-20,11,568.58,614.0,45.42,23,6,214.26,354.32,4,7,6,51.689090909090915,0.545454545454545,0.073973941368078,0.363636363636364,0.636363636363636,2.090909090909091
S00307,深圳写字楼0307店,广东,深圳,一线,快取店,快取店,写字楼,主品牌,加盟,FALSE,非新店,2026-03-14,19,1412.61,1550.0,137.39000000000001,42,11,747.0500000000002,665.56,13,6,11,74.3478947368421,0.578947368421053,0.088638709677419,0.684210526315789,0.315789473684211,2.210526315789474
S00307,深圳写字楼0307店,广东,深圳,一线,快取店,快取店,写字楼,主品牌,加盟,FALSE,非新店,2026-03-18,12,648.19,695.0,46.81,26,7,471.87,176.32,9,3,7,54.01583333333334,0.583333333333333,0.067352517985612,0.75,0.25,2.166666666666667
S00307,深圳写字楼0307店,广东,深圳,一线,快取店,快取店,写字楼,主品牌,加盟,FALSE,非新店,2026-04-05,25,5389.74,5502.0,112.26,57,14,2363.17,3026.57,16,9,14,215.5896,0.56,0.020403489640131,0.64,0.36,2.28
S00307,深圳写字楼0307店,广东,深圳,一线,快取店,快取店,写字楼,主品牌,加盟,FALSE,非新店,2026-04-15,15,1166.09,1241.0,74.91,34,12,843.89,322.2,10,5,12,77.73933333333333,0.8,0.060362610797744,0.666666666666667,0.333333333333333,2.266666666666667
S00308,苏州购物中心0308店,江苏,苏州,新一线,标准店,商场店,购物中心,主品牌,直营,FALSE,非新店,2026-04-26,18,1293.97,1384.0,90.03,36,11,460.0,833.97,10,8,11,71.88722222222222,0.611111111111111,0.065050578034682,0.555555555555556,0.444444444444444,2.0
S00308,苏州购物中心0308店,江苏,苏州,新一线,标准店,商场店,购物中心,主品牌,直营,FALSE,非新店,2026-05-10,20,1650.4,1758.0,107.6,48,15,1375.08,275.32,16,4,15,82.52000000000001,0.75,0.061205915813424,0.8,0.2,2.4
S00310,合肥社区0310店,安徽,合肥,二线,快取店,快取店,社区,主品牌,加盟,FALSE,非新店,2026-03-14,7,378.71,396.0,17.29,13,2,294.71,84.0,5,2,2,54.10142857142857,0.285714285714286,0.043661616161616,0.714285714285714,0.285714285714286,1.857142857142857
S00310,合肥社区0310店,安徽,合肥,二线,快取店,快取店,社区,主品牌,加盟,FALSE,非新店,2026-03-15,6,496.17,515.0,18.83,16,3,347.17,149.0,4,2,3,82.69500000000001,0.5,0.036563106796117,0.666666666666667,0.333333333333333,2.666666666666667
S00310,合肥社区0310店,安徽,合肥,二线,快取店,快取店,社区,主品牌,加盟,FALSE,非新店,2026-04-10,8,377.03000000000003,430.0,52.97,16,6,112.0,265.03,2,6,6,47.128750000000004,0.75,0.123186046511628,0.25,0.75,2.0
S00311,北京交通枢纽0311店,北京,北京,一线,标准店,交通店,交通枢纽,主品牌,加盟,FALSE,非新店,2026-04-02,16,813.63,836.0,22.369999999999997,30,10,659.63,154.0,14,2,10,50.851875,0.625,0.026758373205742,0.875,0.125,1.875
S00311,北京交通枢纽0311店,北京,北京,一线,标准店,交通店,交通枢纽,主品牌,加盟,FALSE,非新店,2026-05-09,19,1267.03,1320.0,52.97,40,14,487.23,779.8,9,10,14,66.68578947368421,0.736842105263158,0.040128787878788,0.473684210526316,0.526315789473684,2.105263157894737
S00312,青岛购物中心0312店,山东,青岛,新一线,快取店,快取店,购物中心,主品牌,直营,FALSE,非新店,2026-03-19,10,622.02,652.0,29.979999999999997,20,5,600.76,21.26,9,1,5,62.202,0.5,0.045981595092025,0.9,0.1,2.0
S00312,青岛购物中心0312店,山东,青岛,新一线,快取店,快取店,购物中心,主品牌,直营,FALSE,非新店,2026-04-14,14,793.39,819.0,25.61,28,9,375.13,418.26,6,8,9,56.67071428571428,0.642857142857143,0.031269841269841,0.428571428571429,0.571428571428571,2.0
S00312,青岛购物中心0312店,山东,青岛,新一线,快取店,快取店,购物中心,主品牌,直营,FALSE,非新店,2026-05-04,13,811.62,896.0,84.38,31,9,448.43,363.19,6,7,9,62.432307692307695,0.692307692307692,0.094174107142857,0.461538461538462,0.538461538461539,2.384615384615385
S00312,青岛购物中心0312店,山东,青岛,新一线,快取店,快取店,购物中心,主品牌,直营,FALSE,非新店,2026-05-08,13,762.4300000000001,828.0,65.57,27,9,324.39,438.03999999999996,8,5,9,58.64846153846155,0.692307692307692,0.079190821256039,0.615384615384615,0.384615384615385,2.076923076923077
S00312,青岛购物中心0312店,山东,青岛,新一线,快取店,快取店,购物中心,主品牌,直营,FALSE,非新店,2026-05-12,12,1364.0,1364.0,0.0,27,8,876.0,488.0,4,8,8,113.66666666666667,0.666666666666667,0.0,0.333333333333333,0.666666666666667,2.25
S00313,西安购物中心0313店,陕西,西安,新一线,外卖店,外卖卫星店,购物中心,主品牌,加盟,FALSE,非新店,2026-05-14,9,1765.1100000000001,1772.0,6.89,18,7,86.0,1679.1100000000001,2,7,7,196.12333333333333,0.777777777777778,0.003888261851016,0.222222222222222,0.777777777777778,2.0
S00313,西安购物中心0313店,陕西,西安,新一线,外卖店,外卖卫星店,购物中心,主品牌,加盟,FALSE,非新店,2026-05-16,12,987.98,1038.0,50.02,27,8,55.79,932.1899999999999,1,11,8,82.33166666666666,0.666666666666667,0.048188824662813,0.083333333333333,0.916666666666667,2.25
S00314,郑州写字楼0314店,河南,郑州,新一线,外卖店,外卖卫星店,写字楼,主品牌,直营,FALSE,非新店,2026-04-11,10,623.99,642.0,18.01,19,5,96.0,527.99,1,9,5,62.399,0.5,0.028052959501558,0.1,0.9,1.9
S00314,郑州写字楼0314店,河南,郑州,新一线,外卖店,外卖卫星店,写字楼,主品牌,直营,FALSE,非新店,2026-04-20,15,1027.58,1040.0,12.42,34,8,206.0,821.58,2,13,8,68.50533333333333,0.533333333333333,0.011942307692308,0.133333333333333,0.866666666666667,2.266666666666667
S00314,郑州写字楼0314店,河南,郑州,新一线,外卖店,外卖卫星店,写字楼,主品牌,直营,FALSE,非新店,2026-04-22,7,338.0,338.0,0.0,11,3,88.0,250.0,2,5,3,48.285714285714285,0.428571428571429,0.0,0.285714285714286,0.714285714285714,1.571428571428571
S00314,郑州写字楼0314店,河南,郑州,新一线,外卖店,外卖卫星店,写字楼,主品牌,直营,FALSE,非新店,2026-05-07,11,616.4599999999999,686.0,69.54,21,6,198.44,418.02000000000004,4,7,6,56.04181818181817,0.545454545454545,0.101370262390671,0.363636363636364,0.636363636363636,1.909090909090909
S00315,宁波校园0315店,浙江,宁波,新一线,外卖店,外卖卫星店,校园,子品牌-精品,加盟,FALSE,非新店,2026-04-12,6,1507.01,1528.0,20.99,11,4,39.01,1468.0,1,5,4,251.16833333333332,0.666666666666667,0.013736910994764,0.166666666666667,0.833333333333333,1.833333333333333
S00315,宁波校园0315店,浙江,宁波,新一线,外卖店,外卖卫星店,校园,子品牌-精品,加盟,FALSE,非新店,2026-04-14,6,533.1700000000001,556.0,22.83,15,4,58.0,475.17,1,5,4,88.86166666666668,0.666666666666667,0.041061151079137,0.166666666666667,0.833333333333333,2.5
S00315,宁波校园0315店,浙江,宁波,新一线,外卖店,外卖卫星店,校园,子品牌-精品,加盟,FALSE,非新店,2026-05-01,7,474.26,479.0,4.74,19,6,0.0,474.26,0,7,6,67.75142857142858,0.857142857142857,0.009895615866388,0.0,1.0,2.714285714285714
S00315,宁波校园0315店,浙江,宁波,新一线,外卖店,外卖卫星店,校园,子品牌-精品,加盟,FALSE,非新店,2026-05-05,7,579.27,626.0,46.730000000000004,19,5,160.0,419.27,1,6,5,82.75285714285714,0.714285714285714,0.074648562300319,0.142857142857143,0.857142857142857,2.714285714285714
S00315,宁波校园0315店,浙江,宁波,新一线,外卖店,外卖卫星店,校园,子品牌-精品,加盟,FALSE,非新店,2026-05-17,8,410.97999999999996,466.0,55.02,16,5,0.0,410.97999999999996,0,8,5,51.372499999999995,0.625,0.118068669527897,0.0,1.0,2.0
S00315,宁波校园0315店,浙江,宁波,新一线,外卖店,外卖卫星店,校园,子品牌-精品,加盟,FALSE,非新店,2026-05-19,6,374.24,439.0,64.76,16,5,0.0,374.24,0,6,5,62.373333333333335,0.833333333333333,0.14751708428246,0.0,1.0,2.666666666666667
S00317,沈阳社区0317店,辽宁,沈阳,新一线,外卖店,外卖卫星店,社区,主品牌,加盟,FALSE,非新店,2026-03-22,8,1351.46,1634.0,282.54,11,2,144.64,1206.82,3,5,2,168.9325,0.25,0.172913096695226,0.375,0.625,1.375
S00317,沈阳社区0317店,辽宁,沈阳,新一线,外卖店,外卖卫星店,社区,主品牌,加盟,FALSE,非新店,2026-05-09,7,486.32,539.0,52.68,18,4,42.0,444.32,1,6,4,69.47428571428571,0.571428571428571,0.097736549165121,0.142857142857143,0.857142857142857,2.571428571428572
S00318,中山社区0318店,广东,中山,二线,标准店,社区店,社区,子品牌-便利,加盟,FALSE,非新店,2026-05-15,6,739.81,764.0,24.19,15,5,637.81,102.0,5,1,5,123.30166666666666,0.833333333333333,0.031662303664921,0.833333333333333,0.166666666666667,2.5
S00320,合肥社区0320店,安徽,合肥,二线,快取店,快取店,社区,主品牌,加盟,FALSE,非新店,2026-03-02,8,342.21,356.0,13.79,12,2,118.0,224.21,3,5,2,42.77625,0.25,0.03873595505618,0.375,0.625,1.5
S00320,合肥社区0320店,安徽,合肥,二线,快取店,快取店,社区,主品牌,加盟,FALSE,非新店,2026-03-05,8,1226.63,1258.0,31.369999999999997,20,5,330.97,895.66,4,4,5,153.32875,0.625,0.024936406995231,0.5,0.5,2.5
S00320,合肥社区0320店,安徽,合肥,二线,快取店,快取店,社区,主品牌,加盟,FALSE,非新店,2026-03-29,6,227.54,244.0,16.46,9,4,168.0,59.54,4,2,4,37.92333333333333,0.666666666666667,0.067459016393443,0.666666666666667,0.333333333333333,1.5
S00320,合肥社区0320店,安徽,合肥,二线,快取店,快取店,社区,主品牌,加盟,FALSE,非新店,2026-05-09,6,1684.72,1704.0,19.28,14,4,1630.72,54.0,5,1,4,280.7866666666667,0.666666666666667,0.01131455399061,0.833333333333333,0.166666666666667,2.333333333333333
S00321,上海社区0321店,上海,上海,一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-04-12,9,473.46000000000004,480.0,6.54,17,7,415.46000000000004,58.0,7,2,7,52.60666666666667,0.777777777777778,0.013625,0.777777777777778,0.222222222222222,1.888888888888889
S00321,上海社区0321店,上海,上海,一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-04-25,12,643.47,654.0,10.53,25,6,542.0,101.47,9,3,6,53.6225,0.5,0.016100917431193,0.75,0.25,2.083333333333333
S00321,上海社区0321店,上海,上海,一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-05-04,15,1400.6,1414.0,13.399999999999999,33,10,1191.6100000000001,208.99,12,3,10,93.37333333333332,0.666666666666667,0.009476661951909,0.8,0.2,2.2
S00322,温州购物中心0322店,浙江,温州,二线,旗舰店,旗舰店,购物中心,主品牌,直营,FALSE,非新店,2026-04-21,22,1187.76,1258.0,70.24000000000001,44,15,979.76,208.0,19,3,15,53.98909090909091,0.681818181818182,0.055834658187599,0.863636363636364,0.136363636363636,2.0
S00322,温州购物中心0322店,浙江,温州,二线,旗舰店,旗舰店,购物中心,主品牌,直营,FALSE,非新店,2026-04-29,21,1416.38,1497.0,80.62,45,14,1039.3400000000001,377.03999999999996,15,6,14,67.44666666666667,0.666666666666667,0.053854375417502,0.714285714285714,0.285714285714286,2.142857142857143
S00323,兰州购物中心0323店,甘肃,兰州,三线,外卖店,外卖卫星店,购物中心,主品牌,加盟,FALSE,非新店,2026-03-29,5,332.0,332.0,0.0,12,2,74.0,258.0,1,4,2,66.4,0.4,0.0,0.2,0.8,2.4
S00324,长春CBD0324店,吉林,长春,二线,外卖店,外卖卫星店,CBD,主品牌,直营,FALSE,非新店,2026-03-20,12,1980.0000000000002,2026.0,46.0,23,7,164.6,1815.4,3,9,7,165.00000000000003,0.583333333333333,0.022704837117473,0.25,0.75,1.916666666666667
S00324,长春CBD0324店,吉林,长春,二线,外卖店,外卖卫星店,CBD,主品牌,直营,FALSE,非新店,2026-03-31,6,2856.0,2856.0,0.0,12,3,2592.0,264.0,1,5,3,476.0,0.5,0.0,0.166666666666667,0.833333333333333,2.0
S00324,长春CBD0324店,吉林,长春,二线,外卖店,外卖卫星店,CBD,主品牌,直营,FALSE,非新店,2026-05-12,7,530.3199999999999,546.0,15.68,17,5,98.0,432.32,1,6,5,75.75999999999999,0.714285714285714,0.028717948717949,0.142857142857143,0.857142857142857,2.428571428571428
S00325,石家庄交通枢纽0325店,河北,石家庄,二线,旗舰店,旗舰店,交通枢纽,主品牌,直营,FALSE,非新店,2026-04-29,15,888.3799999999999,917.0,28.62,32,8,614.9300000000001,273.45,12,3,8,59.225333333333325,0.533333333333333,0.031210468920393,0.8,0.2,2.133333333333333
S00325,石家庄交通枢纽0325店,河北,石家庄,二线,旗舰店,旗舰店,交通枢纽,主品牌,直营,FALSE,非新店,2026-05-08,15,938.73,1011.0,72.27,34,11,568.09,370.64,10,5,11,62.582,0.733333333333333,0.071483679525223,0.666666666666667,0.333333333333333,2.266666666666667
S00327,武汉社区0327店,湖北,武汉,新一线,标准店,社区店,社区,主品牌,加盟,FALSE,非新店,2026-04-01,12,622.99,684.0,61.01,23,6,513.29,109.7,10,2,6,51.91583333333333,0.5,0.089195906432749,0.833333333333333,0.166666666666667,1.916666666666667
S00327,武汉社区0327店,湖北,武汉,新一线,标准店,社区店,社区,主品牌,加盟,FALSE,非新店,2026-04-19,11,768.7,801.0,32.3,27,6,540.7,228.0,9,2,6,69.88181818181819,0.545454545454545,0.040324594257179,0.818181818181818,0.181818181818182,2.454545454545455
S00328,南通购物中心0328店,江苏,南通,二线,快取店,快取店,购物中心,主品牌,加盟,FALSE,非新店,2026-04-07,8,1175.44,1206.0,30.56,21,4,1023.4399999999999,152.0,6,2,4,146.93,0.5,0.025339966832504,0.75,0.25,2.625
S00328,南通购物中心0328店,江苏,南通,二线,快取店,快取店,购物中心,主品牌,加盟,FALSE,非新店,2026-05-18,8,435.91999999999996,456.0,20.080000000000002,14,5,313.2,122.72,5,3,5,54.489999999999995,0.625,0.044035087719298,0.625,0.375,1.75
S00330,南京购物中心0330店,江苏,南京,新一线,标准店,商场店,购物中心,主品牌,加盟,FALSE,非新店,2026-03-01,19,2407.43,2454.0,46.57000000000001,38,8,821.31,1586.12,13,6,8,126.70684210526315,0.421052631578947,0.018977180114099,0.684210526315789,0.315789473684211,2.0
S00330,南京购物中心0330店,江苏,南京,新一线,标准店,商场店,购物中心,主品牌,加盟,FALSE,非新店,2026-03-18,13,747.41,758.0,10.59,25,3,579.41,168.0,10,3,3,57.49307692307692,0.230769230769231,0.013970976253298,0.769230769230769,0.230769230769231,1.923076923076923
S00330,南京购物中心0330店,江苏,南京,新一线,标准店,商场店,购物中心,主品牌,加盟,FALSE,非新店,2026-04-01,9,761.0,761.0,0.0,23,3,503.0,258.0,7,2,3,84.55555555555556,0.333333333333333,0.0,0.777777777777778,0.222222222222222,2.555555555555556
S00330,南京购物中心0330店,江苏,南京,新一线,标准店,商场店,购物中心,主品牌,加盟,FALSE,非新店,2026-04-05,23,2486.17,2850.0,363.83,50,7,1904.25,581.9200000000001,14,9,7,108.09434782608696,0.304347826086957,0.127659649122807,0.608695652173913,0.391304347826087,2.173913043478261
S00330,南京购物中心0330店,江苏,南京,新一线,标准店,商场店,购物中心,主品牌,加盟,FALSE,非新店,2026-04-12,15,1051.75,1096.0,44.25,38,11,823.75,228.0,12,3,11,70.11666666666666,0.733333333333333,0.040374087591241,0.8,0.2,2.533333333333333
S00330,南京购物中心0330店,江苏,南京,新一线,标准店,商场店,购物中心,主品牌,加盟,FALSE,非新店,2026-04-30,16,1473.37,1542.0,68.63,39,10,1030.84,442.53,10,6,10,92.085625,0.625,0.044507133592737,0.625,0.375,2.4375
S00331,烟台写字楼0331店,山东,烟台,三线,标准店,写字楼店,写字楼,主品牌,加盟,FALSE,非新店,2026-05-07,7,1234.4199999999998,1642.0,407.58,13,4,1154.4199999999998,80.0,6,1,4,176.34571428571425,0.571428571428571,0.248221680876979,0.857142857142857,0.142857142857143,1.857142857142857
S00331,烟台写字楼0331店,山东,烟台,三线,标准店,写字楼店,写字楼,主品牌,加盟,FALSE,非新店,2026-05-18,7,541.8599999999999,580.0,38.14,17,5,449.85999999999996,92.0,6,1,5,77.40857142857142,0.714285714285714,0.065758620689655,0.857142857142857,0.142857142857143,2.428571428571428
S00332,沈阳社区0332店,辽宁,沈阳,新一线,标准店,社区店,社区,主品牌,加盟,FALSE,非新店,2026-04-06,8,1034.37,1164.0,129.63,18,4,890.37,144.0,6,2,4,129.29625,0.5,0.111365979381443,0.75,0.25,2.25
S00333,上海社区0333店,上海,上海,一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-04-03,11,878.0,878.0,0.0,32,8,632.0,246.0,7,4,8,79.81818181818181,0.727272727272727,0.0,0.636363636363636,0.363636363636364,2.909090909090909
S00333,上海社区0333店,上海,上海,一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-04-14,13,986.66,1028.0,41.339999999999996,33,7,730.66,256.0,10,3,7,75.89692307692307,0.538461538461538,0.040214007782101,0.769230769230769,0.230769230769231,2.538461538461538
S00333,上海社区0333店,上海,上海,一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-04-29,14,909.67,1028.0,118.33,33,8,781.67,128.0,11,3,8,64.97642857142857,0.571428571428571,0.115107003891051,0.785714285714286,0.214285714285714,2.357142857142857
S00333,上海社区0333店,上海,上海,一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-05-01,13,841.23,888.0,46.77,30,8,336.72,504.51,7,6,8,64.71000000000001,0.615384615384615,0.052668918918919,0.538461538461539,0.461538461538462,2.307692307692307
S00333,上海社区0333店,上海,上海,一线,标准店,社区店,社区,主品牌,直营,FALSE,非新店,2026-05-04,9,514.04,574.0,59.96,22,5,250.46,263.58,5,4,5,57.11555555555555,0.555555555555556,0.104459930313589,0.555555555555556,0.444444444444444,2.444444444444444
S00334,武汉CBD0334店,湖北,武汉,新一线,外卖店,外卖卫星店,CBD,子品牌-便利,直营,FALSE,非新店,2026-04-04,13,746.5699999999999,798.0,51.43000000000001,27,10,72.0,674.5699999999999,1,12,10,57.428461538461534,0.769230769230769,0.064448621553885,0.076923076923077,0.923076923076923,2.076923076923077
S00334,武汉CBD0334店,湖北,武汉,新一线,外卖店,外卖卫星店,CBD,子品牌-便利,直营,FALSE,非新店,2026-05-20,15,1024.47,1128.0,103.53,36,11,198.81,825.6600000000001,3,12,11,68.298,0.733333333333333,0.091781914893617,0.2,0.8,2.4
