门店ID,门店名称,省份,城市,城市层级,门店类型,商圈,加盟商ID,加盟商名称,加盟商类型,合作状态,信用等级,签约日期,月份,月营收,堂食营收,外卖营收,订单数,毛利,店面贡献利润,单店净利润,毛利率,店面贡献利润率,堂食占比,外卖占比,人工占比,房租占比,客单价,同侪门店数,城市同店型_营收_P25,城市同店型_营收_中位数,城市同店型_营收_P75,城市同店型_利润率_P25,城市同店型_利润率_中位数,城市同店型_利润率_P75,城市同店型_堂食占比_中位数,营收_对中位数比,利润率_对中位数差,堂食占比_对中位数差,总投资额,累计店面贡献利润,累计回本率,预计完整回本月数,已开业月数,招商承诺回本月数,回本偏离度,回本风险等级,标杆门店标志,本店位置标签,可改进项,总部本月支持
S00269,深圳写字楼0269店,广东,深圳,一线,写字楼店,写字楼,F0112,加盟商0112,个体投资人,正常合作,C,2022-06-19,2026-03,50852.38,35608.91999999999,15243.46,620,26619.959999999995,7609.7499999999945,5256.219999999994,0.523475204110407,0.149643930136603,0.700240972005637,0.299759027994363,0.180113103850793,0.152161216446507,82.01996774193547,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,0.883947704729047,0.030159640916495,0.011102335242012,1268729,22628.63999999996,0.017835676491985,224.26959817293522,47,22.0,202.26959817293522,严重,FALSE,中下 P25-P50,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00237,深圳社区0237店,广东,深圳,一线,社区店,社区,F0094,加盟商0094,投资公司,正常合作,C,2021-11-29,2026-04,29586.82999999999,21273.179999999993,8313.65,373,15265.57999999999,6057.139999999992,4529.949999999993,0.515958620778231,0.204724196542853,0.719008423680401,0.280991576319599,0.132089176163854,0.150440922532086,79.32126005361928,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,0.864337875172032,0.0,-0.001059123212794,1244998,23642.660000000007,0.018990118859629,210.63585907846235,53,18.0,192.63585907846235,严重,FALSE,中下 P25-P50,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00274,北京CBD0274店,北京,北京,一线,写字楼店,CBD,F0114,加盟商0114,区域代理,正常合作,B,2021-02-14,2026-03,60548.130000000005,40267.359999999986,20280.769999999997,675,31841.370000000006,4599.280000000006,2028.4800000000032,0.525885275069602,0.075960727441128,0.66504712862313,0.33495287137687,0.228302343936964,0.191810217755693,89.70093333333334,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,1.052485263012979,-0.04352356177898,-0.024091508140495,1030851,19185.940000000046,0.018611748933648,214.91800766602992,63,22.0,192.91800766602992,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00199,上海社区0199店,上海,上海,一线,社区店,社区,F0084,加盟商0084,餐饮集团子公司,正常合作,B,2024-10-18,2026-04,37633.80999999998,23337.059999999994,14296.75,395,19014.24999999998,8694.17999999998,7066.1999999999825,0.505243821978162,0.231020457402532,0.620108886131912,0.379891113868088,0.136393843727223,0.096518263763355,95.27546835443033,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,1.099419145952032,0.026296260859679,-0.099958660761283,1223240,25191.31999999997,0.02059393087211,194.23198149203796,19,18.0,176.23198149203796,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00753,宁波交通枢纽0753店,浙江,宁波,新一线,交通店,交通枢纽,F0072,加盟商0072,个体投资人,正常合作,B,2024-02-13,2026-05,23446.099999999995,17656.89,5789.21,276,13254.029999999993,-329.9500000000071,-1260.8500000000022,0.565297853374335,-0.014072702922874,0.753084308264488,0.246915691735513,0.183425388444134,0.358557286712929,84.9496376811594,6,21977.510000000002,22568.630000000005,23446.099999999995,-0.030232630365844,-0.014072702922874,0.005571007190069,0.69929699553773,1.038880073801555,0.0,0.053787312726758,1189278,2428.9399999999914,0.002042365199726,1958.5135902904217,27,30.0,1928.5135902904217,严重,FALSE,中位 ±10%,"亏损中, 建议联系督导专项支持",提供品牌活动 + 私域内容 + 督导巡店
S00773,广州CBD0773店,广东,广州,一线,写字楼店,CBD,F0081,加盟商0081,区域代理,正常合作,C,2021-08-24,2026-03,63480.78,43551.51000000001,19929.270000000004,700,34667.8,6205.680000000002,3039.4199999999983,0.546114902809953,0.097756832855551,0.686058205333961,0.313941794666039,0.204824042804767,0.214342356851948,90.68682857142856,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,1.103462409732044,-0.021727456364557,-0.003080431429663,1072750,17906.71000000002,0.016692342111396,239.63084229319597,56,22.0,217.63084229319597,严重,FALSE,中上 P50-P75,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00744,广州社区0744店,广东,广州,一线,社区店,社区,F0067,加盟商0067,个体投资人,正常合作,B,2021-06-07,2026-04,40514.47999999999,25427.51,15086.969999999998,381,20603.809999999987,6902.519999999987,5050.329999999987,0.508554225550963,0.170371679458801,0.627615361223938,0.372384638776062,0.161971472915363,0.142777594578531,106.337217847769,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,1.183573892738755,-0.034352517084053,-0.092452185669257,1034401,24127.969999999987,0.02332554782913,171.48579014314103,59,18.0,153.48579014314103,严重,FALSE,中上 P50-P75,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00502,广州社区0502店,广东,广州,一线,社区店,社区,F0086,加盟商0086,投资公司,续约预警,A,2021-10-23,2026-04,34230.62999999999,22903.18,11327.449999999999,393,18935.50999999999,9502.88999999999,7932.349999999988,0.55317445223766,0.277613646024043,0.669084384365698,0.330915615634302,0.135205808365198,0.102741901040092,87.10083969465646,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,1.0,0.07288944948119,-0.050983162527497,720826,27019.239999999972,0.037483720065591,106.712994147874,54,18.0,88.712994147874,严重,FALSE,中位 ±10%,"同侪标杆, 持续优秀!",加强督导 + 专项营销补贴
S00514,北京写字楼0514店,北京,北京,一线,写字楼店,写字楼,F0091,加盟商0091,个体投资人,正常合作,A,2021-06-15,2026-03,51465.310000000005,33079.86000000001,18385.45,607,28874.890000000007,7808.3800000000065,5773.790000000008,0.56105539828673,0.15172122736655,0.642760337011474,0.357239662988526,0.188956988697824,0.185425289384247,84.78634266886327,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,0.894602035296458,0.032236938146442,-0.04637829975215,895658,19904.430000000033,0.022223248159454,179.99169029206033,59,22.0,157.99169029206033,严重,FALSE,中下 P25-P50,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S01112,上海社区1112店,上海,上海,一线,社区店,社区,F0098,加盟商0098,个体投资人,正常合作,A,2024-10-28,2026-04,33029.42999999999,23864.53,9164.9,387,16844.709999999992,6676.609999999992,5245.459999999992,0.509990938384344,0.202141241916678,0.72252321641639,0.27747678358361,0.151906345341109,0.12971341013151,85.34736434108525,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,0.964908621313718,-0.002582954626175,0.002455669523195,1193163,23243.230000000007,0.019480347613863,205.33514490025692,18,18.0,187.33514490025692,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S01138,广州写字楼1138店,广东,广州,一线,写字楼店,写字楼,F0112,加盟商0112,个体投资人,正常合作,C,2026-01-04,2026-03,21267.54,13395.779999999995,7871.760000000001,279,11164.29,2418.5100000000016,1497.25,0.524945057115209,0.113718370812985,0.629869745160935,0.370130254839065,0.196392248468793,0.184622669100422,76.22774193548388,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,0.369685610943543,-0.005765918407123,-0.059268891602689,1142622,14760.869999999977,0.012918419214753,232.22655575179547,4,22.0,210.22655575179547,严重,FALSE,尾部 Bottom 25%,"营收低于同侪 30%+, 建议会员拉新+私域引流",提供品牌活动 + 私域内容 + 督导巡店
S01129,北京社区1129店,北京,北京,一线,社区店,社区,F0106,加盟商0106,区域代理,正常合作,A,2026-01-30,2026-04,6571.519999999999,6178.829999999999,392.68999999999994,43,3956.4799999999987,1649.4599999999987,1349.239999999998,0.602064666926373,0.251001290416829,0.940243657479548,0.059756342520452,0.170805232275029,0.148807277463966,152.82604651162788,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,0.191977769617445,0.046277093873975,0.220176110586353,724342,4777.759999999998,0.006596000231935,303.21405847091535,3,18.0,285.21405847091535,严重,FALSE,尾部 Bottom 25%,"营收低于同侪 30%+, 建议会员拉新+私域引流",提供品牌活动 + 私域内容 + 督导巡店
S01107,广州社区1107店,广东,广州,一线,社区店,社区,F0095,加盟商0095,区域代理,正常合作,A,2023-10-22,2026-04,36342.16,26168.809999999998,10173.35,399,18529.750000000004,6768.820000000003,4988.480000000003,0.509869253781283,0.186252550756477,0.720067546893195,0.279932453106805,0.142494557285533,0.14709499930659,91.08310776942356,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,1.06168539696757,-0.018471645786377,0.0,1231932,24967.28000000001,0.020266767970959,197.36743449827125,30,18.0,179.36743449827125,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00373,深圳CBD0373店,广东,深圳,一线,写字楼店,CBD,F0021,加盟商0021,餐饮集团子公司,正常合作,B,2024-07-31,2026-03,64025.98999999999,44748.69999999998,19277.290000000005,692,35033.16999999999,10190.129999999988,7034.429999999993,0.547171078494842,0.159156148932644,0.698914612644021,0.301085387355979,0.190879672458013,0.154853833576021,92.52310693641617,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,1.112939589130438,0.039671859712536,0.009775975880397,1355659,27549.02999999997,0.020321504154068,196.8358232576612,21,22.0,174.8358232576612,严重,FALSE,中上 P50-P75,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00645,广州CBD0645店,广东,广州,一线,写字楼店,CBD,F0019,加盟商0019,区域代理,纠纷处理,A,2022-03-15,2026-03,50955.12999999997,37481.78,13473.35,663,27841.82999999997,6134.829999999968,3953.919999999969,0.546398959241199,0.120396709811161,0.735584032461501,0.264415967538499,0.222384085763298,0.159013037548918,76.85539969834083,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,0.885733769150435,9.12420591052E-4,0.046445395697877,876777,15630.939999999979,0.017827725864159,224.36961564691597,50,22.0,202.36961564691597,严重,FALSE,中下 P25-P50,"运营正常, 继续保持",专项处理
S00647,郑州交通枢纽0647店,河南,郑州,新一线,交通店,交通枢纽,F0020,加盟商0020,餐饮集团子公司,纠纷处理,A,2024-12-01,2026-05,23025.210000000006,15988.509999999998,7036.699999999999,280,12113.160000000005,-62.00999999999476,-1261.1399999999921,0.526082498270374,-0.002693135046325,0.694391495235005,0.305608504764994,0.166318135643497,0.328911223828143,82.23289285714289,6,21977.510000000002,22568.630000000005,23446.099999999995,-0.030232630365844,-0.014072702922874,0.005571007190069,0.69929699553773,1.020230736203305,0.011379567876549,-0.004905500302724,1620135,-907.2799999999861,-5.60002715823E-4,999.0,17,30.0,969.0,严重,FALSE,中位 ±10%,"亏损中, 建议联系督导专项支持",专项处理
S00683,广州写字楼0683店,广东,广州,一线,写字楼店,写字楼,F0036,加盟商0036,个体投资人,续约预警,C,2022-01-29,2026-03,62961.24999999999,43692.02000000001,19269.230000000003,604,31823.28999999999,4880.1099999999915,1846.8299999999945,0.50544247453791,0.077509738132581,0.69395096190117,0.306049038098831,0.193176437888384,0.202980086958248,104.24048013245032,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,1.094431616069331,-0.041974551087527,0.004812325137545,816275,18799.289999999968,0.023030584055618,173.6820911853589,51,22.0,151.6820911853589,严重,FALSE,中位 ±10%,"运营正常, 继续保持",加强督导 + 专项营销补贴
S00640,上海CBD0640店,上海,上海,一线,写字楼店,CBD,F0016,加盟商0016,个体投资人,正常合作,C,2023-03-29,2026-03,66618.53999999998,45827.94999999999,20790.589999999997,676,34135.47999999998,5726.519999999979,2917.2699999999822,0.512402103078212,0.085959854418905,0.687915856456776,0.312084143543224,0.18762209438994,0.214509954736324,98.54813609467452,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,1.158004906071263,-0.033524434801204,-0.001222780306848,967029,20419.249999999956,0.021115447416779,189.43477355926433,37,22.0,167.43477355926433,严重,FALSE,中上 P50-P75,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00125,北京社区0125店,北京,北京,一线,社区店,社区,F0055,加盟商0055,个体投资人,正常合作,B,2025-04-27,2026-04,37457.149999999994,28813.379999999997,8643.77,400,21834.499999999996,9317.289999999997,7399.8499999999985,0.582919415919257,0.248745299629043,0.76923578008471,0.23076421991529,0.177590927232851,0.1189503205663,93.64287499999999,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,1.094258271028024,0.044021103086189,0.049168233191515,796861,26803.279999999984,0.033636079567202,118.919923233276,12,18.0,100.919923233276,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00149,上海社区0149店,上海,上海,一线,社区店,社区,F0066,加盟商0066,区域代理,正常合作,A,2025-05-20,2026-04,35901.71999999998,24695.439999999995,11206.280000000002,392,17937.37999999998,6154.619999999979,4551.519999999982,0.499624530523885,0.171429669664851,0.687862308546777,0.312137691453223,0.167457993656014,0.126066661987225,91.58602040816321,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,1.048818558115933,-0.033294526878002,-0.032205238346418,1199593,23646.479999999967,0.019712085682394,202.92119588200893,12,18.0,184.92119588200893,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00192,广州社区0192店,广东,广州,一线,社区店,社区,F0081,加盟商0081,区域代理,正常合作,C,2024-05-01,2026-04,33788.380000000005,24376.729999999992,9411.650000000001,403,18309.230000000003,8155.100000000002,6794.610000000004,0.541879486379637,0.241358123709986,0.72145305575467,0.278546944245329,0.155674820751986,0.103463380014076,83.84213399503723,12,29586.82999999999,34230.62999999999,36342.16,0.186252550756477,0.204724196542853,0.248745299629043,0.720067546893195,0.987080284528798,0.036633927167132,0.001385508861475,1135518,21843.120000000003,0.019236260455581,207.94062386692008,24,18.0,189.94062386692008,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00172,北京写字楼0172店,北京,北京,一线,写字楼店,写字楼,F0073,加盟商0073,个体投资人,正常合作,B,2023-11-21,2026-03,59181.14999999998,43015.22,16165.93,631,33052.38999999998,9108.899999999981,6874.489999999976,0.558495230322493,0.153915562641145,0.726839880603875,0.273160119396125,0.2025104277291,0.164781691467638,93.78946117274165,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,1.028723566246563,0.034431273421036,0.037701243840251,1269055,24892.279999999944,0.019614815748726,203.92748273762032,29,22.0,181.92748273762032,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00180,北京CBD0180店,北京,北京,一线,写字楼店,CBD,F0076,加盟商0076,投资公司,正常合作,B,2024-09-02,2026-03,57528.71999999998,40780.15999999999,16748.56,670,31848.979999999978,9285.869999999977,6809.879999999976,0.553618783800509,0.161412769135138,0.708866110700881,0.291133889299119,0.196413200224166,0.163041173174025,85.86376119402982,14,51465.310000000005,57528.71999999998,62961.24999999999,0.085959854418905,0.119484289220108,0.153915562641145,0.689138636763624,1.0,0.041928479915029,0.019727473937257,1076884,24659.92999999997,0.022899337347384,174.67754369132456,20,22.0,152.67754369132456,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00961,兰州交通枢纽0961店,甘肃,兰州,三线,交通店,交通枢纽,F0024,加盟商0024,区域代理,正常合作,B,2022-01-30,2026-05,12306.709999999997,8856.749999999996,3449.9599999999996,145,6795.479999999998,693.3699999999976,194.5599999999995,0.552176820612495,0.056340809200834,0.719668376032262,0.280331623967738,0.182166476661919,0.29222676084835,84.8738620689655,1,12306.709999999997,12306.709999999997,12306.709999999997,0.056340809200834,0.056340809200834,0.056340809200834,0.719668376032262,1.0,0.0,0.0,1040865,989.9399999999928,9.51074346817E-4,4205.770046669526,51,30.0,4175.770046669526,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00948,珠海社区0948店,广东,珠海,二线,社区店,社区,F0021,加盟商0021,餐饮集团子公司,正常合作,B,2022-09-12,2026-03,18836.39,15138.29,3698.1000000000004,234,11031.599999999999,5904.859999999999,5059.220000000001,0.585653620465493,0.31348151105387,0.803672572079894,0.196327427920106,0.132918250259206,0.118204178189133,80.49739316239317,30,18656.649999999998,20941.44000000001,23701.270000000004,0.201254818113577,0.242761468581209,0.266489631228301,0.690144559473563,0.899479214418874,0.070720042472661,0.113528012606331,867083,15728.519999999995,0.018139578333331,220.51229231993864,44,18.0,202.51229231993864,严重,FALSE,中下 P25-P50,"同侪标杆, 持续优秀!",提供品牌活动 + 私域内容 + 督导巡店
S00976,海口社区0976店,海南,海口,二线,社区店,社区,F0032,加盟商0032,区域代理,续约预警,C,2021-08-30,2026-03,23414.589999999993,13926.399999999998,9488.189999999999,230,12729.219999999992,5120.869999999992,3964.0999999999913,0.543644795830292,0.218704235265277,0.594774454731003,0.405225545268997,0.178823972574365,0.104733416216129,101.80256521739128,30,18656.649999999998,20941.44000000001,23701.270000000004,0.201254818113577,0.242761468581209,0.266489631228301,0.690144559473563,1.118098373368784,-0.024057233315932,-0.09537010474256,1341547,17236.579999999994,0.012848286344049,311.32556458415775,56,18.0,293.32556458415775,严重,FALSE,中上 P50-P75,"运营正常, 继续保持",加强督导 + 专项营销补贴
S00839,泉州社区0839店,福建,泉州,二线,社区店,社区,F0111,加盟商0111,个体投资人,正常合作,C,2022-05-23,2026-03,18656.649999999998,12805.989999999998,5850.66,228,10537.979999999998,5254.379999999997,4312.419999999998,0.56483773882235,0.281635770623343,0.686403507596487,0.313596492403513,0.170805584067879,0.08821251403655,81.82741228070175,30,18656.649999999998,20941.44000000001,23701.270000000004,0.201254818113577,0.242761468581209,0.266489631228301,0.690144559473563,0.890896232541792,0.038874302042135,-0.003741051877076,1511202,19584.39,0.012959478613713,308.65439260553944,47,18.0,290.65439260553944,严重,FALSE,中下 P25-P50,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
S00794,烟台CBD0794店,山东,烟台,三线,写字楼店,CBD,F0091,加盟商0091,个体投资人,正常合作,A,2025-02-14,2026-03,28584.26000000001,19225.040000000005,9359.219999999998,290,14889.76000000001,3515.0200000000086,2330.3200000000106,0.520907660369728,0.122970473960145,0.672574346860825,0.327425653139175,0.21353010363046,0.147967447819184,98.56641379310348,8,25903.679999999997,26342.980000000007,26526.909999999996,0.121900054355211,0.138248668993109,0.173975381676637,0.68432838915691,1.08508073118531,-0.015278195032964,-0.011754042296085,614242,10523.280000000004,0.017132140101133,233.47929542880158,15,22.0,211.47929542880158,严重,FALSE,中位 ±10%,"运营正常, 继续保持",提供品牌活动 + 私域内容 + 督导巡店
