投资明细ID,门店ID,加盟商ID,投资项,投资金额,投资日期,投资类型,回收性质
INV000082,S00021,F0012,开业营销,38923,2025-02-13,一次性,不可回收
INV000083,S00021,F0012,初始营运资金,135192,2025-02-13,周转金,可回收
INV000084,S00021,F0012,加盟费,250000,2025-02-13,一次性,不可回收
INV000085,S00022,F0013,装修工程,482259,2025-01-06,一次性,不可回收
INV000086,S00022,F0013,设备采购,300000,2025-01-06,一次性,可回收
INV000087,S00022,F0013,首批原料,40375,2025-01-06,一次性,不可回收
INV000088,S00022,F0013,人员培训,22436,2025-01-06,一次性,不可回收
INV000089,S00022,F0013,开业营销,31971,2025-01-06,一次性,不可回收
INV000090,S00022,F0013,初始营运资金,104808,2025-01-06,周转金,可回收
INV000091,S00022,F0013,加盟费,80000,2025-01-06,一次性,不可回收
INV000092,S00028,F0014,装修工程,488390,2021-04-20,一次性,不可回收
INV000093,S00028,F0014,设备采购,450000,2021-04-20,一次性,可回收
INV000094,S00028,F0014,首批原料,77548,2021-04-20,一次性,不可回收
INV000095,S00028,F0014,人员培训,26967,2021-04-20,一次性,不可回收
INV000096,S00028,F0014,开业营销,46408,2021-04-20,一次性,不可回收
INV000097,S00028,F0014,初始营运资金,137165,2021-04-20,周转金,可回收
INV000098,S00028,F0014,加盟费,250000,2021-04-20,一次性,不可回收
INV000099,S00029,F0015,装修工程,477626,2021-11-23,一次性,不可回收
INV000100,S00029,F0015,设备采购,300000,2021-11-23,一次性,可回收
INV000101,S00029,F0015,首批原料,58929,2021-11-23,一次性,不可回收
INV000102,S00029,F0015,人员培训,28509,2021-11-23,一次性,不可回收
INV000103,S00029,F0015,开业营销,55421,2021-11-23,一次性,不可回收
INV000104,S00029,F0015,初始营运资金,112458,2021-11-23,周转金,可回收
INV000105,S00029,F0015,加盟费,350000,2021-11-23,一次性,不可回收
INV000106,S00032,F0016,装修工程,770534,2021-07-06,一次性,不可回收
INV000107,S00032,F0016,设备采购,450000,2021-07-06,一次性,可回收
INV000108,S00032,F0016,首批原料,77486,2021-07-06,一次性,不可回收
INV000109,S00032,F0016,人员培训,31662,2021-07-06,一次性,不可回收
INV000110,S00032,F0016,开业营销,77894,2021-07-06,一次性,不可回收
INV000111,S00032,F0016,初始营运资金,160495,2021-07-06,周转金,可回收
INV000112,S00032,F0016,加盟费,250000,2021-07-06,一次性,不可回收
INV000113,S00033,F0017,装修工程,806837,2025-05-27,一次性,不可回收
INV000114,S00033,F0017,设备采购,300000,2025-05-27,一次性,可回收
INV000115,S00033,F0017,首批原料,58217,2025-05-27,一次性,不可回收
INV000116,S00033,F0017,人员培训,29191,2025-05-27,一次性,不可回收
INV000117,S00033,F0017,开业营销,65774,2025-05-27,一次性,不可回收
INV000118,S00033,F0017,初始营运资金,160717,2025-05-27,周转金,可回收
INV000119,S00033,F0017,加盟费,150000,2025-05-27,一次性,不可回收
INV000120,S00034,F0018,装修工程,476698,2021-05-21,一次性,不可回收
INV000121,S00034,F0018,设备采购,300000,2021-05-21,一次性,可回收
INV000122,S00034,F0018,首批原料,54110,2021-05-21,一次性,不可回收
INV000123,S00034,F0018,人员培训,17062,2021-05-21,一次性,不可回收
INV000124,S00034,F0018,开业营销,48305,2021-05-21,一次性,不可回收
INV000125,S00034,F0018,初始营运资金,118102,2021-05-21,周转金,可回收
INV000126,S00034,F0018,加盟费,150000,2021-05-21,一次性,不可回收
INV000127,S00038,F0019,装修工程,313441,2020-11-27,一次性,不可回收
INV000128,S00038,F0019,设备采购,150000,2020-11-27,一次性,可回收
INV000129,S00038,F0019,首批原料,36169,2020-11-27,一次性,不可回收
INV000130,S00038,F0019,人员培训,16359,2020-11-27,一次性,不可回收
INV000131,S00038,F0019,开业营销,32552,2020-11-27,一次性,不可回收
INV000132,S00038,F0019,初始营运资金,68919,2020-11-27,周转金,可回收
INV000133,S00038,F0019,加盟费,250000,2020-11-27,一次性,不可回收
INV000134,S00039,F0020,装修工程,528162,2025-01-30,一次性,不可回收
INV000135,S00039,F0020,设备采购,300000,2025-01-30,一次性,可回收
INV000136,S00039,F0020,首批原料,66712,2025-01-30,一次性,不可回收
INV000137,S00039,F0020,人员培训,26112,2025-01-30,一次性,不可回收
INV000138,S00039,F0020,开业营销,56189,2025-01-30,一次性,不可回收
INV000139,S00039,F0020,初始营运资金,132335,2025-01-30,周转金,可回收
INV000140,S00039,F0020,加盟费,250000,2025-01-30,一次性,不可回收
INV000141,S00040,F0021,装修工程,486551,2022-12-27,一次性,不可回收
INV000142,S00040,F0021,设备采购,150000,2022-12-27,一次性,可回收
INV000143,S00040,F0021,首批原料,47930,2022-12-27,一次性,不可回收
INV000144,S00040,F0021,人员培训,18736,2022-12-27,一次性,不可回收
INV000145,S00040,F0021,开业营销,29467,2022-12-27,一次性,不可回收
INV000146,S00040,F0021,初始营运资金,93194,2022-12-27,周转金,可回收
INV000147,S00040,F0021,加盟费,150000,2022-12-27,一次性,不可回收
INV000148,S00043,F0022,装修工程,492159,2021-05-30,一次性,不可回收
INV000149,S00043,F0022,设备采购,150000,2021-05-30,一次性,可回收
INV000150,S00043,F0022,首批原料,45482,2021-05-30,一次性,不可回收
INV000151,S00043,F0022,人员培训,18154,2021-05-30,一次性,不可回收
INV000152,S00043,F0022,开业营销,34676,2021-05-30,一次性,不可回收
INV000153,S00043,F0022,初始营运资金,114970,2021-05-30,周转金,可回收
INV000154,S00043,F0022,加盟费,250000,2021-05-30,一次性,不可回收
INV000155,S00047,F0023,装修工程,794795,2025-04-04,一次性,不可回收
INV000156,S00047,F0023,设备采购,150000,2025-04-04,一次性,可回收
INV000157,S00047,F0023,首批原料,64264,2025-04-04,一次性,不可回收
INV000158,S00047,F0023,人员培训,23955,2025-04-04,一次性,不可回收
INV000159,S00047,F0023,开业营销,61953,2025-04-04,一次性,不可回收
INV000160,S00047,F0023,初始营运资金,131383,2025-04-04,周转金,可回收
INV000161,S00047,F0023,加盟费,250000,2025-04-04,一次性,不可回收
INV000162,S00049,F0024,装修工程,489399,2024-07-18,一次性,不可回收
INV000163,S00049,F0024,设备采购,150000,2024-07-18,一次性,可回收
INV000164,S00049,F0024,首批原料,41692,2024-07-18,一次性,不可回收
INV000165,S00049,F0024,人员培训,19285,2024-07-18,一次性,不可回收
INV000166,S00049,F0024,开业营销,39011,2024-07-18,一次性,不可回收
INV000167,S00049,F0024,初始营运资金,88770,2024-07-18,周转金,可回收
INV000168,S00049,F0024,加盟费,150000,2024-07-18,一次性,不可回收
INV000169,S00051,F0025,装修工程,307479,2023-09-21,一次性,不可回收
INV000170,S00051,F0025,设备采购,200000,2023-09-21,一次性,可回收
INV000171,S00051,F0025,首批原料,27623,2023-09-21,一次性,不可回收
INV000172,S00051,F0025,人员培训,11785,2023-09-21,一次性,不可回收
INV000173,S00051,F0025,开业营销,27276,2023-09-21,一次性,不可回收
INV000174,S00051,F0025,初始营运资金,54597,2023-09-21,周转金,可回收
INV000175,S00051,F0025,加盟费,80000,2023-09-21,一次性,不可回收
INV000176,S00055,F0026,装修工程,504083,2021-04-09,一次性,不可回收
INV000177,S00055,F0026,设备采购,450000,2021-04-09,一次性,可回收
INV000178,S00055,F0026,首批原料,50250,2021-04-09,一次性,不可回收
INV000179,S00055,F0026,人员培训,25987,2021-04-09,一次性,不可回收
INV000180,S00055,F0026,开业营销,40792,2021-04-09,一次性,不可回收
INV000181,S00055,F0026,初始营运资金,122705,2021-04-09,周转金,可回收
INV000182,S00055,F0026,加盟费,150000,2021-04-09,一次性,不可回收
INV000183,S00057,F0027,装修工程,320176,2023-03-21,一次性,不可回收
INV000184,S00057,F0027,设备采购,200000,2023-03-21,一次性,可回收
INV000185,S00057,F0027,首批原料,36780,2023-03-21,一次性,不可回收
INV000186,S00057,F0027,人员培训,14223,2023-03-21,一次性,不可回收
INV000187,S00057,F0027,开业营销,24697,2023-03-21,一次性,不可回收
INV000188,S00057,F0027,初始营运资金,63795,2023-03-21,周转金,可回收
INV000189,S00057,F0027,加盟费,80000,2023-03-21,一次性,不可回收
INV000190,S00060,F0028,装修工程,487323,2024-05-21,一次性,不可回收
INV000191,S00060,F0028,设备采购,300000,2024-05-21,一次性,可回收
INV000192,S00060,F0028,首批原料,49474,2024-05-21,一次性,不可回收
INV000193,S00060,F0028,人员培训,21289,2024-05-21,一次性,不可回收
INV000194,S00060,F0028,开业营销,33314,2024-05-21,一次性,不可回收
INV000195,S00060,F0028,初始营运资金,107096,2024-05-21,周转金,可回收
INV000196,S00060,F0028,加盟费,80000,2024-05-21,一次性,不可回收
INV000197,S00061,F0029,装修工程,517719,2022-10-17,一次性,不可回收
INV000198,S00061,F0029,设备采购,200000,2022-10-17,一次性,可回收
INV000199,S00061,F0029,首批原料,40064,2022-10-17,一次性,不可回收
INV000200,S00061,F0029,人员培训,14219,2022-10-17,一次性,不可回收
