订单ID,商品序号,商品ID,数量,单价,行金额,是否主商品
O2026050500887704,1,P0006,1,28.0,28.0,1
O2026050500887705,1,P0006,1,28.0,28.0,1
O2026050500887705,2,P0002,1,18.0,18.0,0
O2026050500887706,1,P0011,1,30.0,30.0,1
O2026050500887707,1,P0031,1,24.0,24.0,1
O2026050500887707,2,P0006,1,28.0,28.0,0
O2026050500887707,3,P0056,1,24.0,24.0,0
O2026050500887708,1,P0009,1,32.0,32.0,1
O2026050500887708,2,P0033,1,22.0,22.0,0
O2026050500887709,1,P0006,2,28.0,56.0,1
O2026050500887709,2,P0026,1,15.0,15.0,0
O2026050500887710,1,P0033,1,22.0,22.0,1
O2026050500887710,2,P0036,2,30.0,60.0,0
O2026050500887711,1,P0055,2,26.0,52.0,1
O2026050500887711,2,P0008,1,30.0,30.0,0
O2026050500887712,1,P0004,1,26.0,26.0,1
O2026050500887712,2,P0004,2,26.0,52.0,0
O2026050500887713,1,P0042,1,22.0,22.0,1
O2026050500887713,2,P0005,2,26.0,52.0,0
O2026050500887714,1,P0009,1,32.0,32.0,1
O2026050500887714,2,P0002,1,18.0,18.0,0
O2026050500887715,1,P0031,1,24.0,24.0,1
O2026050500887715,2,P0020,1,26.0,26.0,0
O2026050500887716,1,P0010,1,28.0,28.0,1
O2026050500887716,2,P0017,2,38.0,76.0,0
O2026050500887716,3,P0009,1,32.0,32.0,0
O2026050600887717,1,P0004,1,26.0,26.0,1
O2026050600887717,2,P0011,1,30.0,30.0,0
O2026050600887718,1,P0019,1,30.0,30.0,1
O2026050600887718,2,P0014,2,26.0,52.0,0
O2026050600887719,1,P0044,1,15.0,15.0,1
O2026050600887720,1,P0051,1,12.0,12.0,1
O2026050600887721,1,P0020,1,26.0,26.0,1
O2026050600887721,2,P0004,1,26.0,26.0,0
O2026050600887722,1,P0016,1,34.0,34.0,1
O2026050600887722,2,P0007,1,30.0,30.0,0
O2026050600887723,1,P0024,1,28.0,28.0,1
O2026050600887723,2,P0013,1,26.0,26.0,0
O2026050600887724,1,P0040,2,10.0,20.0,1
O2026050600887725,1,P0015,1,32.0,32.0,1
O2026050600887726,1,P0008,1,30.0,30.0,1
O2026050600887726,2,P0008,1,30.0,30.0,0
O2026050600887727,1,P0012,1,32.0,32.0,1
O2026050600887727,2,P0016,1,34.0,34.0,0
O2026050600887728,1,P0014,1,26.0,26.0,1
O2026050600887728,2,P0046,1,15.0,15.0,0
O2026050600887729,1,P0017,1,38.0,38.0,1
O2026050600887729,2,P0011,1,30.0,30.0,0
O2026050600887729,3,P0004,2,26.0,52.0,0
O2026050600887729,4,P0029,1,22.0,22.0,0
O2026050600887730,1,P0042,1,22.0,22.0,1
O2026050600887730,2,P0005,2,26.0,52.0,0
O2026050600887730,3,P0013,1,26.0,26.0,0
O2026050600887730,4,P0002,1,18.0,18.0,0
O2026050600887731,1,P0057,1,28.0,28.0,1
O2026050600887732,1,P0014,2,26.0,52.0,1
O2026050600887732,2,P0004,1,26.0,26.0,0
O2026050600887732,3,P0031,1,24.0,24.0,0
O2026050600887733,1,P0015,1,32.0,32.0,1
O2026050600887733,2,P0011,1,30.0,30.0,0
O2026050600887734,1,P0015,2,32.0,64.0,1
O2026050600887734,2,P0011,1,30.0,30.0,0
O2026050600887734,3,P0010,1,28.0,28.0,0
O2026050600887735,1,P0047,1,10.0,10.0,1
O2026050600887736,1,P0045,1,12.0,12.0,1
O2026050600887737,1,P0033,2,22.0,44.0,1
O2026050600887737,2,P0008,1,30.0,30.0,0
O2026050600887737,3,P0013,1,26.0,26.0,0
O2026050700887738,1,P0006,1,28.0,28.0,1
O2026050700887739,1,P0004,1,26.0,26.0,1
O2026050700887739,2,P0011,1,30.0,30.0,0
O2026050700887739,3,P0016,1,34.0,34.0,0
O2026050700887740,1,P0008,2,30.0,60.0,1
O2026050700887740,2,P0001,2,18.0,36.0,0
O2026050700887741,1,P0073,1,288.0,288.0,1
O2026050700887741,2,P0016,1,34.0,34.0,0
O2026050700887741,3,P0023,2,30.0,60.0,0
O2026050700887741,4,P0011,1,30.0,30.0,0
O2026050700887742,1,P0037,1,28.0,28.0,1
O2026050700887742,2,P0008,1,30.0,30.0,0
O2026050700887743,1,P0062,1,18.0,18.0,1
O2026050700887743,2,P0005,2,26.0,52.0,0
O2026050700887744,1,P0008,2,30.0,60.0,1
O2026050700887744,2,P0010,1,28.0,28.0,0
O2026050700887745,1,P0012,1,32.0,32.0,1
O2026050700887745,2,P0024,1,28.0,28.0,0
O2026050700887746,1,P0030,1,26.0,26.0,1
O2026050700887747,1,P0034,1,22.0,22.0,1
O2026050700887747,2,P0010,1,28.0,28.0,0
O2026050700887747,3,P0001,1,18.0,18.0,0
O2026050700887748,1,P0008,1,30.0,30.0,1
O2026050700887748,2,P0004,2,26.0,52.0,0
O2026050700887749,1,P0040,1,10.0,10.0,1
O2026050700887749,2,P0021,1,26.0,26.0,0
O2026050700887749,3,P0014,2,26.0,52.0,0
O2026050700887749,4,P0004,1,26.0,26.0,0
O2026050700887749,5,P0019,1,30.0,30.0,0
O2026050700887750,1,P0005,1,26.0,26.0,1
O2026050700887750,2,P0043,1,24.0,24.0,0
O2026050700887750,3,P0031,1,24.0,24.0,0
O2026050700887751,1,P0006,1,28.0,28.0,1
O2026050700887752,1,P0012,1,32.0,32.0,1
O2026050700887752,2,P0044,2,15.0,30.0,0
O2026050700887752,3,P0001,1,18.0,18.0,0
O2026050700887752,4,P0018,2,30.0,60.0,0
O2026050700887752,5,P0021,1,26.0,26.0,0
O2026050700887752,6,P0014,2,26.0,52.0,0
O2026050700887753,1,P0025,1,32.0,32.0,1
O2026050800887754,1,P0010,2,28.0,56.0,1
O2026050800887754,2,P0006,1,28.0,28.0,0
O2026050800887754,3,P0015,1,32.0,32.0,0
O2026050800887755,1,P0019,1,30.0,30.0,1
O2026050800887755,2,P0010,1,28.0,28.0,0
O2026050800887756,1,P0073,1,288.0,288.0,1
O2026050800887756,2,P0015,1,32.0,32.0,0
O2026050800887757,1,P0003,1,22.0,22.0,1
O2026050800887757,2,P0017,1,38.0,38.0,0
O2026050800887757,3,P0026,1,15.0,15.0,0
