投诉ID,会员ID,订单ID,门店ID,投诉类型,投诉时间,状态,处理人ID,处理时长_小时
CP000023,,O2026041500757759,S00676,卫生,2026-04-16 16:00:00,已处理,E000233,4
CP000024,,O2026041500698643,S00629,口味,2026-04-16 03:00:00,已处理,E000438,1
CP000025,M0036066,O2026030901068012,S00952,出餐慢,2026-03-09 13:00:00,已处理,E000453,11
CP000026,,O2026051200504893,S00458,态度,2026-05-13 08:00:00,已处理,E000498,29
CP000027,M0002857,O2026022700080095,S00072,出餐慢,2026-02-28 11:00:00,已处理,E000450,2
CP000028,M0015690,O2026042901255824,S01120,态度,2026-04-30 10:00:00,已处理,E000555,59
CP000029,M0072469,O2026032600536968,S00488,口味,2026-03-26 06:00:00,处理中,E000192,
CP000030,M0079644,O2026041000009650,S00008,卫生,2026-04-11 03:00:00,已处理,E000113,25
CP000031,M0002804,O2026031300623639,S00567,态度,2026-03-14 00:00:00,已处理,E000484,7
CP000032,,O2026030900166713,S00148,出餐慢,2026-03-09 14:00:00,已处理,E000099,47
CP000033,M0035355,O2026051500260629,S00234,其他,2026-05-16 22:00:00,已处理,E000059,47
CP000034,M0036828,O2026050200930162,S00827,卫生,2026-05-03 16:00:00,已处理,E000488,36
CP000035,,O2026040600148725,S00136,态度,2026-04-06 11:00:00,已处理,E000099,62
CP000036,,O2026030600049617,S00048,口味,2026-03-06 03:00:00,已处理,E000348,3
CP000037,M0034806,O2026050300216108,S00194,口味,2026-05-04 10:00:00,已处理,E000059,44
CP000038,M0048768,O2026051400849887,S00758,出餐慢,2026-05-15 01:00:00,已处理,E000474,36
CP000039,,O2026032100150512,S00137,口味,2026-03-22 07:00:00,处理中,E000450,
CP000040,M0048104,O2026052000135694,S00123,态度,2026-05-21 03:00:00,已处理,E000315,6
CP000041,,O2026042600854256,S00762,其他,2026-04-27 15:00:00,已处理,E000453,64
CP000042,M0024309,O2026050600366040,S00325,态度,2026-05-07 09:00:00,已处理,E000474,37
CP000043,,O2026031500967396,S00861,出餐慢,2026-03-16 02:00:00,已处理,E000474,35
CP000044,M0035863,O2026042400700735,S00631,态度,2026-04-24 12:00:00,待处理,E000017,
CP000045,,O2026022000736584,S00656,卫生,2026-02-21 20:00:00,已处理,E000484,53
CP000046,M0077248,O2026042100852811,S00761,态度,2026-04-22 01:00:00,已处理,E000253,45
CP000047,,O2026042600897734,S00800,口味,2026-04-27 21:00:00,已处理,E000099,8
CP000048,M0033118,O2026040900990091,S00882,态度,2026-04-10 12:00:00,已处理,E000353,64
CP000049,M0000698,O2026041900904267,S00805,口味,2026-04-20 06:00:00,已处理,E000066,56
CP000050,M0057940,O2026032000810731,S00724,态度,2026-03-21 08:00:00,已处理,E000348,12
CP000051,M0060277,O2026031700608091,S00554,口味,2026-03-18 18:00:00,已处理,E000353,71
CP000052,,O2026031801077458,S00959,卫生,2026-03-19 11:00:00,已处理,E000066,16
CP000053,M0000072,O2026050100635162,S00576,卫生,2026-05-02 18:00:00,已处理,E000348,34
CP000054,M0028867,O2026032300445332,S00401,卫生,2026-03-23 06:00:00,已处理,E000153,37
CP000055,M0068267,O2026040900624337,S00567,出餐慢,2026-04-09 13:00:00,已处理,E000192,67
CP000056,M0001968,O2026030200005099,S00005,态度,2026-03-02 12:00:00,处理中,E000588,
CP000057,M0020593,O2026030300198518,S00180,口味,2026-03-03 21:00:00,待处理,E000059,
CP000058,,O2026030300180208,S00163,出餐慢,2026-03-03 08:00:00,处理中,E000332,
CP000059,,O2026022700349982,S00310,出餐慢,2026-02-27 19:00:00,处理中,E000488,
CP000060,,O2026042100712826,S00640,出餐慢,2026-04-22 22:00:00,待处理,E000214,
CP000061,,O2026031500211153,S00189,出餐慢,2026-03-15 22:00:00,已处理,E000474,70
CP000062,M0023461,O2026032200964169,S00858,卫生,2026-03-22 21:00:00,待处理,E000334,
CP000063,M0016389,O2026022700806757,S00721,口味,2026-02-27 13:00:00,处理中,E000332,
CP000064,,O2026042401010700,S00900,出餐慢,2026-04-25 21:00:00,已处理,E000214,49
CP000065,M0000991,O2026051700237346,S00214,口味,2026-05-18 05:00:00,已处理,E000498,20
CP000066,M0048655,O2026051900489575,S00442,口味,2026-05-19 23:00:00,已处理,E000353,43
CP000067,,O2026051700334965,S00294,态度,2026-05-18 23:00:00,已处理,E000059,49
CP000068,,O2026051700086109,S00077,口味,2026-05-18 05:00:00,已处理,E000192,20
CP000069,,O2026041700640354,S00581,态度,2026-04-17 02:00:00,处理中,E000047,
CP000070,,O2026051400040372,S00039,出餐慢,2026-05-14 22:00:00,已处理,E000453,8
CP000071,,O2026030900393669,S00351,其他,2026-03-09 09:00:00,已处理,E000450,44
CP000072,,O2026050201107495,S00984,态度,2026-05-03 14:00:00,已处理,E000099,54
CP000073,M0047239,O2026030800878242,S00783,口味,2026-03-09 23:00:00,已处理,E000488,10
CP000074,,O2026050100921795,S00820,出餐慢,2026-05-02 13:00:00,已处理,E000348,19
CP000075,M0060747,O2026041000673279,S00604,卫生,2026-04-10 05:00:00,已处理,E000571,26
CP000076,M0022453,O2026040500809660,S00723,态度,2026-04-06 06:00:00,已处理,E000450,34
CP000077,,O2026031101088546,S00969,口味,2026-03-12 06:00:00,处理中,E000233,
CP000078,M0026582,O2026031000388595,S00346,其他,2026-03-10 15:00:00,处理中,E000348,
CP000079,,O2026031601194921,S01065,卫生,2026-03-16 06:00:00,已处理,E000192,29
CP000080,,O2026031000889065,S00793,态度,2026-03-11 13:00:00,待处理,E000253,
CP000081,,O2026051001284801,S01178,口味,2026-05-11 16:00:00,处理中,E000450,
CP000082,M0047537,O2026030200347904,S00308,卫生,2026-03-03 09:00:00,已处理,E000488,51
CP000083,M0059152,O2026051200440287,S00395,态度,2026-05-13 08:00:00,已处理,E000332,36
CP000084,,O2026040201205573,S01077,态度,2026-04-03 02:00:00,已处理,E000214,67
CP000085,,O2026042400041230,S00040,卫生,2026-04-25 17:00:00,已处理,E000253,12
CP000086,M0069806,O2026041600723070,S00646,态度,2026-04-16 17:00:00,待处理,E000017,
CP000087,M0028681,O2026032500772053,S00690,出餐慢,2026-03-26 20:00:00,已处理,E000555,2
CP000088,,O2026050400746794,S00667,口味,2026-05-05 21:00:00,已处理,E000332,61
CP000089,M0049068,O2026052001286481,S01181,出餐慢,2026-05-21 12:00:00,处理中,E000233,
CP000090,M0046685,O2026041800106240,S00098,口味,2026-04-18 18:00:00,待处理,E000348,
CP000091,M0077439,O2026050200902495,S00803,态度,2026-05-02 11:00:00,已处理,E000522,22
CP000092,M0006929,O2026042600197869,S00179,态度,2026-04-27 12:00:00,已处理,E000332,29
CP000093,,O2026022800126925,S00116,其他,2026-02-28 10:00:00,已处理,E000488,46
CP000094,M0049843,O2026051600340244,S00300,卫生,2026-05-16 01:00:00,已处理,E000315,45
CP000095,M0039417,O2026051900552591,S00502,态度,2026-05-19 10:00:00,处理中,E000066,
CP000096,M0003287,O2026052000257101,S00231,口味,2026-05-21 13:00:00,已处理,E000214,70
CP000097,,O2026041300538179,S00489,出餐慢,2026-04-13 08:00:00,已处理,E000017,53
CP000098,,O2026051300990853,S00882,卫生,2026-05-13 03:00:00,待处理,E000453,
CP000099,,O2026040900077656,S00070,态度,2026-04-10 20:00:00,已处理,E000334,1
CP000100,M0010467,O2026050700312721,S00275,口味,2026-05-07 11:00:00,已处理,E000332,19
CP000101,,O2026030500346428,S00307,卫生,2026-03-06 10:00:00,处理中,E000571,
CP000102,,O2026042300578195,S00523,口味,2026-04-24 02:00:00,已处理,E000438,24
CP000103,M0001591,O2026041401272524,S01151,态度,2026-04-15 07:00:00,已处理,E000522,16
CP000104,,O2026030700522353,S00475,态度,2026-03-08 17:00:00,已处理,E000066,26
CP000105,M0009921,O2026050300025886,S00025,口味,2026-05-03 02:00:00,已处理,E000498,21
CP000106,M0006359,O2026030300425298,S00379,态度,2026-03-03 11:00:00,已处理,E000571,54
CP000107,,O2026031200586219,S00532,口味,2026-03-12 19:00:00,处理中,E000571,
CP000108,,O2026022500678393,S00611,口味,2026-02-26 01:00:00,待处理,E000438,
CP000109,M0033833,O2026031000150063,S00137,态度,2026-03-11 00:00:00,已处理,E000153,55
CP000110,,O2026032101081221,S00963,其他,2026-03-22 06:00:00,已处理,E000543,26
CP000111,M0045281,O2026050900820649,S00732,出餐慢,2026-05-10 01:00:00,已处理,E000334,62
CP000112,M0045769,O2026051700337400,S00297,卫生,2026-05-18 06:00:00,已处理,E000484,40
CP000113,M0067024,O2026030600119149,S00110,出餐慢,2026-03-06 13:00:00,已处理,E000474,49
CP000114,,O2026050900161297,S00144,态度,2026-05-09 02:00:00,已处理,E000474,7
CP000115,,O2026030201107883,S00985,出餐慢,2026-03-03 09:00:00,待处理,E000066,
CP000116,,O2026030900623538,S00567,其他,2026-03-09 10:00:00,已处理,E000253,6
CP000117,M0012054,O2026032400802274,S00718,出餐慢,2026-03-24 03:00:00,已处理,E000543,8
CP000118,,O2026051500038754,S00037,态度,2026-05-15 02:00:00,已处理,E000555,56
CP000119,M0009268,O2026032400098881,S00092,态度,2026-03-24 10:00:00,已处理,E000348,59
CP000120,M0046971,O2026030800734620,S00654,出餐慢,2026-03-09 19:00:00,处理中,E000153,
CP000121,M0057730,O2026051601169298,S01041,态度,2026-05-16 15:00:00,处理中,E000192,
CP000122,M0015879,O2026051400351978,S00311,卫生,2026-05-15 02:00:00,已处理,E000588,2
CP000123,M0051724,O2026032600800673,S00717,态度,2026-03-27 07:00:00,处理中,E000017,
CP000124,,O2026051801225920,S01095,卫生,2026-05-19 02:00:00,已处理,E000453,39
CP000125,M0047551,O2026031501245619,S01112,出餐慢,2026-03-15 20:00:00,已处理,E000543,25
CP000126,M0026112,O2026031200369461,S00329,出餐慢,2026-03-12 08:00:00,处理中,E000348,
CP000127,M0034463,O2026051800962455,S00856,出餐慢,2026-05-19 06:00:00,已处理,E000348,56
CP000128,,O2026043000795608,S00712,态度,2026-05-01 17:00:00,已处理,E000543,36
CP000129,M0028646,O2026042200217297,S00195,口味,2026-04-23 21:00:00,已处理,E000453,69
CP000130,M0034006,O2026040701094129,S00973,出餐慢,2026-04-07 07:00:00,处理中,E000047,
CP000131,M0064886,O2026050700014572,S00013,态度,2026-05-08 11:00:00,已处理,E000059,27
CP000132,M0051082,O2026033001142728,S01017,卫生,2026-03-30 22:00:00,已处理,E000588,50
CP000133,,O2026050400053446,S00051,态度,2026-05-05 01:00:00,已处理,E000253,35
CP000134,M0069927,O2026040700023435,S00022,出餐慢,2026-04-08 16:00:00,已处理,E000113,27
CP000135,,O2026040300813584,S00726,出餐慢,2026-04-03 05:00:00,已处理,E000522,24
CP000136,M0028086,O2026030200955378,S00850,口味,2026-03-03 10:00:00,处理中,E000555,
CP000137,M0053076,O2026042500379924,S00338,态度,2026-04-25 15:00:00,处理中,E000438,
CP000138,M0062524,O2026031200190513,S00172,口味,2026-03-12 02:00:00,已处理,E000453,36
CP000139,M0073090,O2026040901017440,S00906,口味,2026-04-10 08:00:00,已处理,E000214,29
CP000140,,O2026042001228817,S01097,其他,2026-04-20 06:00:00,已处理,E000498,36
CP000141,,O2026022801224112,S01094,出餐慢,2026-02-28 14:00:00,已处理,E000453,14
CP000142,,O2026041900463829,S00416,态度,2026-04-19 15:00:00,已处理,E000059,37
CP000143,,O2026032200124842,S00115,卫生,2026-03-23 01:00:00,已处理,E000214,32
CP000144,,O2026050800925671,S00824,口味,2026-05-09 10:00:00,已处理,E000543,57
CP000145,,O2026032400807216,S00721,卫生,2026-03-25 20:00:00,已处理,E000099,44
CP000146,,O2026030501014625,S00904,出餐慢,2026-03-05 11:00:00,已处理,E000438,11
CP000147,M0026045,O2026040500492047,S00445,出餐慢,2026-04-05 20:00:00,已处理,E000571,70
CP000148,M0001567,O2026031800043088,S00042,出餐慢,2026-03-18 09:00:00,处理中,E000047,
CP000149,M0058183,O2026052000173790,S00155,其他,2026-05-21 00:00:00,待处理,E000498,
CP000150,M0020699,O2026042000617538,S00562,出餐慢,2026-04-20 03:00:00,已处理,E000488,24
CP000151,M0010546,O2026031900995103,S00887,口味,2026-03-19 07:00:00,处理中,E000153,
CP000152,,O2026051501294274,S01200,态度,2026-05-15 21:00:00,已处理,E000450,13
CP000153,M0015248,O2026032200470813,S00423,态度,2026-03-23 23:00:00,处理中,E000353,
CP000154,,O2026030800156754,S00141,出餐慢,2026-03-09 03:00:00,已处理,E000348,62
CP000155,M0021201,O2026031001209031,S01080,出餐慢,2026-03-11 02:00:00,处理中,E000348,
CP000156,,O2026040100784404,S00702,态度,2026-04-02 20:00:00,处理中,E000438,
CP000157,,O2026051701034467,S00921,态度,2026-05-17 05:00:00,已处理,E000017,23
CP000158,M0065645,O2026042800354779,S00314,态度,2026-04-28 11:00:00,处理中,E000353,
CP000159,M0033937,O2026051301091904,S00971,态度,2026-05-13 01:00:00,已处理,E000214,1
CP000160,M0078109,O2026031700292005,S00258,态度,2026-03-17 12:00:00,已处理,E000334,37
CP000161,M0054211,O2026051600568566,S00514,其他,2026-05-17 09:00:00,已处理,E000353,25
CP000162,M0062932,O2026040500005517,S00005,出餐慢,2026-04-06 16:00:00,已处理,E000588,52
CP000163,,O2026032100812200,S00725,口味,2026-03-21 04:00:00,已处理,E000353,26
CP000164,M0011572,O2026041000497821,S00451,态度,2026-04-11 06:00:00,处理中,E000214,
CP000165,,O2026022701127805,S01004,出餐慢,2026-02-27 22:00:00,已处理,E000474,24
CP000166,M0061972,O2026051600995789,S00887,口味,2026-05-16 21:00:00,已处理,E000192,12
CP000167,M0077061,O2026043000806313,S00720,口味,2026-04-30 10:00:00,已处理,E000334,31
CP000168,,O2026032400108447,S00100,态度,2026-03-25 18:00:00,已处理,E000453,6
CP000169,,O2026040701101373,S00979,卫生,2026-04-07 04:00:00,已处理,E000214,25
CP000170,M0061239,O2026051000466920,S00419,卫生,2026-05-10 13:00:00,已处理,E000488,51
CP000171,,O2026033000048933,S00047,卫生,2026-03-30 22:00:00,已处理,E000059,47
CP000172,,O2026041700042374,S00041,口味,2026-04-17 07:00:00,已处理,E000017,53
CP000173,M0026195,O2026031301058074,S00943,口味,2026-03-13 14:00:00,处理中,E000315,
CP000174,,O2026031000245348,S00221,态度,2026-03-11 01:00:00,处理中,E000017,
CP000175,M0032490,O2026041700876670,S00781,卫生,2026-04-17 16:00:00,已处理,E000484,6
CP000176,M0051536,O2026032100035390,S00034,口味,2026-03-21 08:00:00,已处理,E000332,66
CP000177,M0058493,O2026050300490177,S00443,态度,2026-05-04 02:00:00,已处理,E000571,19
CP000178,M0009157,O2026031500627567,S00570,态度,2026-03-15 06:00:00,已处理,E000059,14
CP000179,M0000446,O2026032701041616,S00928,其他,2026-03-27 15:00:00,已处理,E000315,21
CP000180,,O2026022800074088,S00068,态度,2026-03-01 09:00:00,处理中,E000348,
CP000181,,O2026021900594573,S00540,其他,2026-02-19 21:00:00,待处理,E000543,
CP000182,M0023743,O2026030900544382,S00496,口味,2026-03-10 10:00:00,已处理,E000017,38
CP000183,,O2026040300974157,S00868,出餐慢,2026-04-04 13:00:00,已处理,E000253,26
CP000184,,O2026021901152588,S01025,态度,2026-02-20 12:00:00,处理中,E000099,
CP000185,M0029016,O2026040801196167,S01066,卫生,2026-04-08 18:00:00,处理中,E000543,
CP000186,M0041301,O2026032901135856,S01010,口味,2026-03-30 08:00:00,已处理,E000453,19
CP000187,M0034320,O2026042700311240,S00274,出餐慢,2026-04-28 13:00:00,待处理,E000233,
CP000188,,O2026041901200567,S01071,出餐慢,2026-04-20 20:00:00,已处理,E000192,69
CP000189,M0010238,O2026031700164483,S00147,态度,2026-03-17 22:00:00,处理中,E000315,
CP000190,,O2026051701071119,S00953,态度,2026-05-18 14:00:00,已处理,E000047,48
CP000191,M0035001,O2026031600417503,S00372,出餐慢,2026-03-17 16:00:00,已处理,E000438,41
CP000192,,O2026031000127106,S00116,出餐慢,2026-03-11 09:00:00,处理中,E000214,
CP000193,M0031022,O2026040100095693,S00089,态度,2026-04-01 15:00:00,已处理,E000059,60
CP000194,M0077591,O2026042201084581,S00965,其他,2026-04-23 13:00:00,已处理,E000348,35
CP000195,M0078714,O2026043000624839,S00567,卫生,2026-05-01 13:00:00,已处理,E000588,57
CP000196,M0017942,O2026022101147162,S01021,卫生,2026-02-22 19:00:00,处理中,E000315,
CP000197,M0077135,O2026033000472262,S00424,口味,2026-03-31 01:00:00,已处理,E000113,16
CP000198,M0013151,O2026042401165467,S01038,卫生,2026-04-25 14:00:00,处理中,E000233,
CP000199,M0052304,O2026032800150861,S00137,口味,2026-03-28 06:00:00,已处理,E000332,52
CP000200,M0009268,O2026042800219637,S00197,态度,2026-04-28 11:00:00,处理中,E000066,
