会员ID,会员等级,注册日期,注册渠道,注册门店ID,城市,注册天数,首单日期,末单日期,总订单数,总消费金额,近30天订单,近7天订单,距末单天数,生命周期阶段
M0052345,金卡,2025-08-12,门店扫码,S00814,南京,281,2026-02-24,2026-05-20,39,4758.5199999999995,18,6,0,活跃
M0052356,银卡,2025-03-20,App,S00746,东莞,426,2026-03-29,2026-04-13,3,194.0,0,0,37,沉睡
M0052370,普卡,2024-11-08,门店扫码,S00209,佛山,558,2026-02-22,2026-05-20,8,446.06,3,3,0,活跃
M0052373,银卡,2025-03-26,App,S00746,东莞,420,,,0,0.0,0,0,420,注册未消费
M0052378,银卡,2024-08-14,App,S00872,成都,644,2026-03-12,2026-05-16,6,376.86,2,1,4,活跃
M0052386,银卡,2025-07-02,小程序,S00826,广州,322,2026-02-20,2026-05-18,25,4391.039999999999,9,3,2,活跃
M0052470,银卡,2026-03-04,活动拉新,S00027,南京,77,,,0,0.0,0,0,77,注册未消费
M0052487,银卡,2024-11-07,活动拉新,S00826,广州,559,2026-03-11,2026-05-03,4,413.92,1,0,17,活跃
M0052510,银卡,2024-05-20,小程序,S00768,洛阳,730,2026-02-20,2026-05-17,30,2456.57,6,1,3,活跃
M0052603,普卡,2025-08-16,小程序,S01109,深圳,277,2026-04-03,2026-04-18,5,455.92,0,0,32,沉睡
M0052643,普卡,2026-02-19,小程序,S01023,天津,90,2026-02-25,2026-05-04,3,202.0,1,0,16,活跃
M0052698,银卡,2024-09-09,小程序,S00919,苏州,618,2026-03-21,2026-05-10,14,733.68,4,0,10,活跃
M0052756,银卡,2026-04-11,小程序,S00695,济南,39,2026-04-11,2026-05-20,19,3556.8799999999997,11,1,0,活跃
M0052800,银卡,2024-10-13,App,S01043,呼和浩特,584,2026-02-19,2026-05-16,9,692.75,5,2,4,活跃
M0052818,普卡,2026-03-12,小程序,S00185,武汉,69,2026-04-02,2026-04-25,5,1229.1100000000001,2,0,25,活跃
M0052831,普卡,2026-04-28,小程序,S00815,济南,22,2026-04-30,2026-05-13,5,1225.7800000000002,5,1,7,新客-已首单
M0052834,金卡,2026-05-18,门店扫码,S00550,成都,2,2026-05-20,2026-05-20,1,92.0,1,1,0,新客-已首单
M0052867,普卡,2026-01-30,App,S00274,北京,110,2026-04-08,2026-05-16,4,1534.1299999999999,3,1,4,活跃
M0052921,银卡,2024-09-01,小程序,S00640,上海,626,2026-02-24,2026-05-10,6,356.34000000000003,1,0,10,活跃
M0053003,普卡,2025-02-10,App,S00522,嘉兴,464,2026-05-01,2026-05-12,3,230.0,3,0,8,新客-已首单
M0053012,普卡,2024-03-01,小程序,S00054,泉州,810,2026-02-27,2026-02-27,1,52.0,0,0,82,流失
M0053018,银卡,2025-02-28,App,S01195,昆明,446,,,0,0.0,0,0,446,注册未消费
M0053027,银卡,2024-12-11,门店扫码,S00567,珠海,525,2026-03-17,2026-05-09,6,487.0,2,0,11,活跃
M0053038,普卡,2025-07-17,小程序,S00272,上海,307,2026-02-22,2026-05-20,42,2836.5899999999992,16,3,0,活跃
M0053118,金卡,2026-01-28,门店扫码,S00448,杭州,112,2026-05-01,2026-05-11,2,178.0,2,0,9,新客-已首单
M0053179,普卡,2025-11-27,小程序,S00303,重庆,174,2026-04-02,2026-05-05,3,176.0,2,0,15,活跃
M0053205,金卡,2024-04-25,App,S00681,嘉兴,755,,,0,0.0,0,0,755,注册未消费
M0053244,普卡,2026-03-21,App,S00078,海口,60,2026-03-23,2026-05-17,5,272.3,4,1,3,活跃
M0053264,普卡,2025-09-07,App,S00869,郑州,255,2026-02-25,2026-04-29,8,1123.5400000000002,3,0,21,活跃
M0053281,金卡,2024-12-23,App,S00268,苏州,513,2026-03-04,2026-03-04,1,120.0,0,0,77,流失
M0053300,普卡,2024-08-09,小程序,S01028,天津,649,,,0,0.0,0,0,649,注册未消费
M0053332,普卡,2024-04-21,App,S00364,珠海,759,2026-02-25,2026-05-03,14,1549.4099999999999,5,0,17,活跃
M0053411,普卡,2026-01-25,企微邀请,S00478,珠海,115,2026-03-13,2026-05-15,5,442.0,3,1,5,活跃
M0053415,普卡,2024-11-13,小程序,S00658,武汉,553,2026-03-02,2026-04-15,7,433.68,0,0,35,沉睡
M0053477,金卡,2025-03-24,企微邀请,S00896,西安,422,2026-04-27,2026-04-27,1,104.0,1,0,23,新客-已首单
M0053511,银卡,2024-06-08,活动拉新,S01062,南京,711,2026-05-15,2026-05-15,1,26.0,1,1,5,新客-已首单
M0053670,银卡,2024-09-24,活动拉新,S00024,无锡,603,2026-04-20,2026-04-20,1,26.0,1,0,30,新客-已首单
M0053726,银卡,2026-02-27,门店扫码,S00929,常州,82,2026-03-13,2026-05-17,7,562.69,2,1,3,活跃
M0053746,普卡,2026-04-06,小程序,S00341,成都,44,2026-04-06,2026-05-20,7,567.55,3,2,0,活跃
M0053835,黑卡,2025-01-11,小程序,S00791,杭州,494,2026-02-19,2026-05-19,5,354.0,2,1,1,活跃
M0053842,银卡,2024-09-01,App,S00225,沈阳,626,2026-03-05,2026-04-24,6,744.97,1,0,26,活跃
M0053851,普卡,2024-04-28,活动拉新,S00712,沈阳,752,2026-02-22,2026-05-19,34,2119.31,13,6,1,活跃
M0053875,普卡,2026-04-06,门店扫码,S00271,郑州,44,2026-04-07,2026-05-20,26,2984.6099999999997,14,5,0,活跃
M0053889,普卡,2026-04-16,门店扫码,S01109,深圳,34,2026-05-09,2026-05-15,2,52.0,2,1,5,新客-已首单
M0053906,普卡,2025-05-16,企微邀请,S00057,珠海,369,2026-02-25,2026-03-10,2,148.0,0,0,71,流失
M0053915,银卡,2024-07-05,App,S00756,沈阳,684,2026-02-20,2026-05-20,53,4255.54,16,4,0,活跃
M0053951,银卡,2026-04-28,活动拉新,S00400,杭州,22,,,0,0.0,0,0,22,注册未消费
M0053979,普卡,2026-04-26,小程序,S00688,北京,24,2026-05-07,2026-05-14,2,336.0,2,1,6,新客-已首单
M0054005,普卡,2025-06-27,App,S00803,广州,327,2026-03-09,2026-03-14,2,189.43,0,0,67,流失
M0054056,银卡,2024-07-12,App,S00416,宁波,677,2026-03-26,2026-05-02,4,172.0,1,0,18,活跃
M0054079,普卡,2024-10-07,小程序,S01124,苏州,590,2026-04-09,2026-05-11,3,157.59,1,0,9,活跃
M0054086,普卡,2026-02-26,App,S00605,常州,83,2026-03-24,2026-04-15,2,193.06,0,0,35,沉睡
M0054163,普卡,2025-11-19,小程序,S00589,佛山,182,2026-02-19,2026-05-19,51,7303.450000000001,18,6,1,活跃
M0054219,黑卡,2026-05-13,App,S00145,郑州,7,,,0,0.0,0,0,7,新客-未首单
M0054307,普卡,2026-01-07,小程序,S00781,南昌,133,2026-02-21,2026-04-15,4,214.0,0,0,35,沉睡
M0054329,银卡,2025-10-13,小程序,S00951,南宁,219,2026-02-21,2026-05-03,4,409.89,1,0,17,活跃
M0054354,银卡,2026-04-09,App,S00288,南昌,41,2026-04-19,2026-05-18,2,156.0,1,1,2,一般活跃
M0054367,银卡,2024-04-26,小程序,S00295,东莞,754,2026-04-03,2026-04-03,1,18.0,0,0,47,沉睡
M0054384,普卡,2025-06-01,App,S00644,厦门,353,2026-02-21,2026-05-17,13,1969.29,5,1,3,活跃
M0054436,普卡,2026-04-22,小程序,S00289,泉州,28,2026-04-22,2026-05-16,19,1423.77,19,4,4,新客-已首单
M0054450,银卡,2024-08-08,小程序,S01055,郑州,650,,,0,0.0,0,0,650,注册未消费
M0054530,银卡,2024-07-23,门店扫码,S00621,昆明,666,2026-03-07,2026-04-13,5,242.43,0,0,37,沉睡
M0054539,普卡,2026-05-17,企微邀请,S00948,珠海,3,,,0,0.0,0,0,3,新客-未首单
M0054540,普卡,2025-07-30,活动拉新,S00807,北京,294,,,0,0.0,0,0,294,注册未消费
M0054547,普卡,2024-10-31,门店扫码,S00081,嘉兴,566,2026-02-20,2026-05-19,43,4364.5599999999995,13,3,1,活跃
M0054563,银卡,2025-07-09,App,S00009,武汉,315,2026-03-20,2026-03-20,1,68.2,0,0,61,流失
M0054636,普卡,2025-01-09,App,S00790,常州,496,2026-02-23,2026-05-19,41,3472.01,16,4,1,活跃
M0054642,银卡,2024-03-20,App,S00910,长春,791,2026-02-21,2026-05-20,52,5680.49,15,5,0,活跃
M0054689,普卡,2025-09-27,App,S00202,武汉,235,2026-03-03,2026-05-19,13,721.3199999999999,6,2,1,活跃
M0054716,金卡,2026-01-10,门店扫码,S00641,上海,130,2026-03-30,2026-05-01,3,186.0,1,0,19,活跃
M0054725,银卡,2024-12-23,App,S00578,南京,513,2026-03-28,2026-04-22,3,307.48,1,0,28,活跃
M0054732,普卡,2026-05-02,App,S00589,佛山,18,2026-05-03,2026-05-19,7,377.82,7,3,1,新客-已首单
M0054767,银卡,2025-01-31,App,S00802,合肥,474,2026-02-20,2026-05-15,17,1310.84,3,1,5,活跃
M0054815,银卡,2026-02-23,门店扫码,S00702,东莞,86,2026-03-07,2026-05-12,4,292.0,2,0,8,活跃
M0054827,普卡,2024-12-25,企微邀请,S00878,三亚,511,2026-03-08,2026-05-17,14,682.98,6,1,3,活跃
M0054839,银卡,2024-04-21,企微邀请,S01083,西安,759,2026-05-19,2026-05-19,1,94.0,1,1,1,新客-已首单
M0054903,银卡,2026-05-03,小程序,S00437,南宁,17,,,0,0.0,0,0,17,注册未消费
M0054921,银卡,2026-04-26,App,S00546,上海,24,2026-05-11,2026-05-11,1,42.0,1,0,9,新客-已首单
M0054929,普卡,2024-04-13,活动拉新,S00193,三亚,767,2026-02-22,2026-05-17,24,1514.48,12,3,3,活跃
M0054947,普卡,2025-10-31,小程序,S00865,佛山,201,2026-02-20,2026-05-17,41,2826.5399999999995,14,1,3,活跃
M0054967,黑卡,2024-10-21,小程序,S00650,海口,576,2026-02-23,2026-05-10,6,461.14,1,0,10,活跃
M0054968,普卡,2025-08-08,App,S00436,珠海,285,2026-02-21,2026-05-16,13,1018.77,5,1,4,活跃
M0054977,普卡,2024-06-23,App,S00495,大连,696,2026-04-19,2026-05-16,3,328.8,2,1,4,活跃
M0055028,普卡,2024-09-04,App,S00014,南宁,623,2026-02-27,2026-05-15,5,283.08,1,1,5,活跃
M0055032,普卡,2026-04-06,小程序,S00651,哈尔滨,44,2026-04-26,2026-04-26,1,36.0,1,0,24,新客-已首单
M0055133,普卡,2024-05-19,小程序,S01184,深圳,731,2026-02-26,2026-05-18,6,387.68,3,1,2,活跃
M0055198,普卡,2026-03-10,企微邀请,S00944,烟台,71,2026-03-11,2026-05-20,35,1884.55,13,2,0,活跃
M0055319,金卡,2025-08-12,企微邀请,S00303,重庆,281,2026-02-22,2026-03-12,3,212.0,0,0,69,流失
M0055354,银卡,2024-11-04,App,S00087,广州,562,2026-02-21,2026-04-20,7,394.29,1,0,30,活跃
M0055385,普卡,2025-01-08,App,S00810,天津,497,2026-03-14,2026-05-14,2,1338.0,1,1,6,一般活跃
M0055409,普卡,2025-03-08,小程序,S00473,成都,438,2026-03-17,2026-05-17,5,442.0,2,1,3,活跃
M0055448,普卡,2024-10-23,小程序,S00779,福州,574,2026-02-19,2026-05-12,14,1209.37,4,0,8,活跃
M0055515,普卡,2026-03-29,App,S00667,珠海,52,2026-03-29,2026-03-29,1,30.0,0,0,52,沉睡
M0055525,银卡,2025-10-19,活动拉新,S00424,宁波,213,2026-02-20,2026-05-12,3,194.0,2,0,8,活跃
M0055547,普卡,2026-04-22,小程序,S00534,长沙,28,2026-04-25,2026-05-10,3,178.56,3,0,10,新客-已首单
M0055584,银卡,2025-01-10,小程序,S00973,上海,495,2026-02-22,2026-05-06,4,2866.0,1,0,14,活跃
M0055622,银卡,2026-05-02,App,S00528,贵阳,18,2026-05-20,2026-05-20,1,26.0,1,1,0,新客-已首单
M0055637,普卡,2026-03-08,App,S00579,杭州,73,2026-04-06,2026-05-19,4,230.0,3,2,1,活跃
M0055692,金卡,2025-09-20,小程序,S00670,苏州,242,2026-03-03,2026-05-18,16,1001.99,5,2,2,活跃
M0055694,普卡,2026-04-03,App,S00022,宁波,47,2026-04-07,2026-05-05,2,192.0,1,0,15,一般活跃
M0055696,黑卡,2025-05-02,门店扫码,S01119,重庆,383,2026-03-01,2026-04-30,6,384.98,1,0,20,活跃
M0055735,普卡,2026-01-29,小程序,S00544,烟台,111,2026-02-20,2026-05-10,10,983.4,5,0,10,活跃
M0055774,银卡,2025-01-09,门店扫码,S00999,大连,496,2026-02-19,2026-04-27,6,328.91999999999996,2,0,23,活跃
M0055780,普卡,2026-03-28,活动拉新,S00367,天津,53,2026-03-28,2026-04-11,2,101.21000000000001,0,0,39,沉睡
M0055831,普卡,2025-12-13,企微邀请,S00964,深圳,158,2026-04-28,2026-04-28,1,110.0,1,0,22,新客-已首单
M0055837,金卡,2025-06-03,小程序,S01072,南通,351,2026-02-24,2026-03-13,2,66.65,0,0,68,流失
M0055852,普卡,2025-05-30,App,S01111,石家庄,355,2026-03-11,2026-03-11,1,336.0,0,0,70,流失
M0055856,普卡,2026-04-29,小程序,S00524,宜昌,21,,,0,0.0,0,0,21,注册未消费
M0055906,普卡,2025-07-28,App,S00846,上海,296,2026-03-05,2026-05-20,9,2039.6,4,2,0,活跃
M0055914,银卡,2026-03-29,小程序,S00730,石家庄,52,2026-04-12,2026-05-03,5,1673.6,2,0,17,活跃
M0055963,普卡,2024-12-06,门店扫码,S00081,嘉兴,530,2026-03-06,2026-04-10,2,1436.89,0,0,40,沉睡
M0055998,普卡,2025-06-07,小程序,S00754,无锡,347,2026-03-05,2026-05-17,5,378.0,1,1,3,活跃
M0056007,银卡,2025-03-16,小程序,S01109,深圳,430,2026-02-20,2026-05-19,21,1646.27,11,1,1,活跃
M0056134,银卡,2024-09-20,小程序,S00137,上海,607,2026-03-21,2026-04-10,2,182.0,0,0,40,沉睡
M0056175,金卡,2025-02-12,小程序,S00182,南通,462,2026-02-26,2026-02-26,1,108.0,0,0,83,流失
M0056183,金卡,2025-04-04,App,S00243,福州,411,2026-02-21,2026-05-20,42,2872.43,22,3,0,活跃
M0056187,普卡,2024-05-01,小程序,S00191,乌鲁木齐,749,2026-03-07,2026-05-16,3,225.45,1,1,4,活跃
M0056189,普卡,2025-08-29,企微邀请,S01118,北京,264,,,0,0.0,0,0,264,注册未消费
M0056252,普卡,2025-09-20,门店扫码,S00524,宜昌,242,,,0,0.0,0,0,242,注册未消费
M0056257,金卡,2024-04-07,App,S00055,广州,773,2026-02-19,2026-05-12,17,1196.47,6,0,8,活跃
M0056282,银卡,2024-12-16,门店扫码,S00985,宁波,520,2026-04-09,2026-04-09,1,12.0,0,0,41,沉睡
M0056292,金卡,2024-08-18,小程序,S00719,海口,640,2026-02-20,2026-05-20,44,3103.1100000000006,11,2,0,活跃
M0056318,普卡,2024-12-26,App,S00551,洛阳,510,2026-03-27,2026-05-11,2,98.85,1,0,9,一般活跃
M0056338,普卡,2024-04-25,App,S00088,烟台,755,2026-02-25,2026-05-16,5,301.02,2,1,4,活跃
M0056352,普卡,2026-03-06,小程序,S00779,福州,75,,,0,0.0,0,0,75,注册未消费
M0056391,普卡,2026-03-03,门店扫码,S00829,长沙,78,2026-03-04,2026-05-19,36,2473.63,13,5,1,活跃
M0056439,普卡,2025-05-09,企微邀请,S00643,佛山,376,2026-02-21,2026-04-22,5,253.25,2,0,28,活跃
M0056479,银卡,2026-04-23,企微邀请,S01078,沈阳,27,2026-05-03,2026-05-07,2,120.0,2,0,13,新客-已首单
M0056522,银卡,2024-12-04,企微邀请,S00069,深圳,532,,,0,0.0,0,0,532,注册未消费
M0056526,普卡,2026-04-10,App,S00377,广州,40,2026-04-11,2026-05-14,4,265.0,3,1,6,活跃
M0056554,普卡,2025-08-25,小程序,S00462,唐山,268,2026-03-28,2026-05-02,3,156.0,2,0,18,活跃
M0056581,普卡,2025-07-06,小程序,S00160,成都,318,,,0,0.0,0,0,318,注册未消费
M0056595,金卡,2025-12-13,小程序,S00362,唐山,158,2026-03-04,2026-04-20,5,1282.28,1,0,30,活跃
M0056677,银卡,2024-08-08,小程序,S00907,常州,650,2026-02-27,2026-05-19,6,609.0,2,2,1,活跃
M0056704,普卡,2026-03-31,小程序,S01095,福州,50,2026-04-16,2026-04-20,2,127.8,1,0,30,一般活跃
M0056721,普卡,2026-01-15,门店扫码,S00679,济南,125,2026-02-25,2026-04-19,6,382.0,0,0,31,沉睡
M0056770,普卡,2026-01-16,小程序,S01011,贵阳,124,2026-03-04,2026-05-19,4,320.0,3,1,1,活跃
M0056817,银卡,2026-05-19,小程序,S01119,重庆,1,,,0,0.0,0,0,1,新客-未首单
M0056963,普卡,2025-05-23,小程序,S00528,贵阳,362,2026-02-22,2026-04-03,5,336.09000000000003,0,0,47,沉睡
M0057094,银卡,2025-02-22,App,S00158,三亚,452,2026-02-21,2026-05-03,4,3230.0,2,0,17,活跃
M0057102,普卡,2025-05-29,App,S00307,深圳,356,2026-02-21,2026-05-19,20,2401.6800000000003,6,2,1,活跃
M0057141,普卡,2026-01-20,门店扫码,S00701,苏州,120,2026-02-20,2026-05-17,11,598.51,4,1,3,活跃
M0057142,普卡,2025-06-25,小程序,S00740,宜昌,329,2026-03-20,2026-03-20,1,94.0,0,0,61,流失
M0057200,普卡,2026-04-24,小程序,S00743,合肥,26,2026-05-03,2026-05-19,3,189.57,3,2,1,新客-已首单
M0057220,银卡,2026-04-08,App,S00716,珠海,42,2026-05-10,2026-05-17,2,1434.0,2,1,3,新客-已首单
M0057243,普卡,2025-02-14,小程序,S00503,天津,460,2026-03-08,2026-03-08,1,1468.0,0,0,73,流失
M0057308,普卡,2026-04-05,企微邀请,S00569,贵阳,45,2026-04-23,2026-04-23,1,146.0,1,0,27,新客-已首单
M0057314,普卡,2026-03-26,App,S01026,泉州,55,2026-03-31,2026-05-05,3,73.93,1,0,15,活跃
M0057316,银卡,2024-06-06,小程序,S00324,长春,713,2026-03-10,2026-03-10,1,68.0,0,0,71,流失
M0057340,普卡,2024-12-24,App,S01005,深圳,512,2026-04-09,2026-04-19,2,60.0,0,0,31,沉睡
M0057363,普卡,2025-08-23,门店扫码,S00511,宁波,270,2026-04-07,2026-04-07,1,61.04,0,0,43,沉睡
M0057440,普卡,2026-04-07,活动拉新,S00711,哈尔滨,43,2026-04-08,2026-05-19,37,2672.89,27,3,1,活跃
M0057492,普卡,2024-03-31,企微邀请,S00065,武汉,780,2026-02-20,2026-05-04,12,2249.38,3,0,16,活跃
M0057559,金卡,2025-03-31,活动拉新,S00757,海口,415,2026-02-28,2026-05-08,7,3143.65,2,0,12,活跃
M0057570,普卡,2026-04-20,App,S00788,南京,30,2026-05-07,2026-05-16,2,190.0,2,1,4,新客-已首单
