加盟商ID,加盟商名称,加盟商类型,签约省份,合作状态,信用等级,入网日期,月份,经营门店数,月总营收,月总堂食营收,月总外卖营收,月总订单数,月总毛利,月总店面贡献利润,月总单店净利润,平均贡献利润率,平均堂食占比,亏损门店数,盈利门店数,门均营收,门均贡献利润,亏损率,经营健康等级,续约风险
F0014,加盟商0014,个体投资人,重庆,正常合作,C,2024-03-21,2026-02,4,34650.15,24003.31,10646.84,428,17944.0,10148.98,8599.2,0.275761231574925,0.678504276379626,0,4,8662.5375,2537.245,0.0,标杆,低
F0125,加盟商0125,区域代理,江苏,正常合作,B,2022-03-25,2026-02,4,21837.839999999997,14557.79,7280.05,313,11609.789999999999,5569.969999999999,4737.719999999998,0.248450650771951,0.556909641139445,0,4,5459.459999999999,1392.4924999999998,0.0,标杆,低
F0046,加盟商0046,个体投资人,广东,正常合作,B,2021-10-25,2026-03,4,108634.03,63973.649999999994,44660.38,1226,57820.96000000002,30389.420000000013,25120.020000000015,0.271763959144194,0.539014769540254,0,4,27158.5075,7597.355000000003,0.0,标杆,低
F0030,加盟商0030,区域代理,重庆,正常合作,A,2025-03-06,2026-03,4,101949.46999999999,50730.53999999999,51218.92999999999,1111,47757.42,19654.02999999999,14799.809999999998,0.196100926020352,0.435698868455553,0,4,25487.367499999997,4913.507499999998,0.0,健康,低
F0040,加盟商0040,区域代理,重庆,正常合作,C,2023-10-20,2026-03,4,130259.07,75502.98,54756.09,1337,70258.51,38624.490000000005,32532.08000000001,0.278066318135088,0.540815916477572,0,4,32564.7675,9656.122500000001,0.0,标杆,低
F0009,加盟商0009,个体投资人,陕西,正常合作,C,2023-07-20,2026-05,4,99079.68,58073.19,41006.490000000005,1003,50835.74999999999,17805.269999999997,13504.089999999993,0.185889565799621,0.551190596536486,0,4,24769.92,4451.317499999999,0.0,健康,低
F0005,加盟商0005,个体投资人,浙江,正常合作,C,2021-06-09,2026-05,4,90739.26000000002,64198.75,26540.510000000002,1051,48928.62000000003,13100.730000000034,8893.700000000033,0.147386025509818,0.704722883741164,0,4,22684.815000000006,3275.1825000000085,0.0,健康,低
F0105,加盟商0105,个体投资人,陕西,正常合作,B,2025-06-10,2026-05,4,50444.72999999999,29618.979999999996,20825.75,612,26066.179999999986,6753.199999999988,4403.3099999999895,0.148648811970411,0.5609764378009,0,4,12611.182499999997,1688.299999999997,0.0,健康,低
F0127,加盟商0127,区域代理,湖北,续约预警,B,2024-02-10,2026-05,4,65597.06999999999,43485.93,22111.140000000007,715,34419.76999999999,12366.879999999997,9349.029999999993,0.182754156716127,0.571896276692241,0,4,16399.267499999998,3091.7199999999993,0.0,健康,高
F0077,加盟商0077,个体投资人,重庆,关注名单,A,2023-03-24,2026-05,4,81623.23000000001,43396.25,38226.979999999996,942,40424.06,9819.690000000004,5938.980000000005,0.162042717568314,0.516810366955805,1,3,20405.807500000003,2454.922500000001,0.25,健康,中
F0066,加盟商0066,区域代理,广东,正常合作,A,2025-06-14,2026-04,4,113866.93999999997,78290.41999999998,35576.520000000004,1283,59891.19999999997,21357.159999999967,16135.639999999967,0.196308549589504,0.679527486844459,0,4,28466.734999999993,5339.289999999992,0.0,健康,低
F0034,加盟商0034,餐饮集团子公司,重庆,正常合作,B,2025-05-19,2026-05,4,71433.2,33925.27999999999,37507.92,817,34230.23999999999,13258.589999999993,10034.14999999999,0.189755017697743,0.507774906046009,0,4,17858.3,3314.647499999998,0.0,健康,低
F0019,加盟商0019,区域代理,陕西,纠纷处理,A,2024-06-16,2026-02,4,54350.259999999995,32113.440000000002,22236.82,606,27334.890000000003,6757.580000000003,4381.200000000005,0.132044693717971,0.52958584847272,1,3,13587.564999999999,1689.3950000000007,0.25,健康,高
F0125,加盟商0125,区域代理,江苏,正常合作,B,2022-03-25,2026-05,4,58409.24,31740.090000000004,26669.149999999998,751,28946.800000000003,13526.650000000001,10909.830000000002,0.239730579445298,0.512289602830214,0,4,14602.31,3381.6625000000004,0.0,标杆,低
F0044,加盟商0044,区域代理,浙江,正常合作,D,2022-10-16,2026-04,4,117775.29000000001,59851.53,57923.75999999999,1371,59146.57999999999,24132.239999999983,18756.539999999994,0.216804393259978,0.54538279558524,0,4,29443.822500000002,6033.059999999996,0.0,标杆,低
F0042,加盟商0042,投资公司,浙江,正常合作,C,2022-05-24,2026-03,4,137995.47000000003,82599.29999999999,55396.16999999999,1483,71758.99000000002,19091.770000000033,12800.270000000026,0.189780667864568,0.537504084799781,0,4,34498.86750000001,4772.942500000008,0.0,健康,低
F0115,加盟商0115,个体投资人,四川,续约预警,C,2024-03-10,2026-04,4,86403.81,61045.09,25358.72,937,45702.57000000001,17729.800000000007,13781.11,0.226923332971622,0.690217135074841,0,4,21600.9525,4432.450000000002,0.0,标杆,高
F0106,加盟商0106,区域代理,北京,正常合作,A,2023-04-15,2026-03,3,72741.04000000001,43906.3,28834.739999999998,824,37063.85000000001,11284.950000000012,7733.130000000016,0.1633717719326,0.563560880566874,0,3,24247.013333333336,3761.6500000000037,0.0,健康,低
F0016,加盟商0016,个体投资人,四川,正常合作,C,2023-04-20,2026-03,4,137378.78999999995,87557.10999999999,49821.67999999999,1572,72079.38999999996,18050.99999999995,11888.839999999955,0.138879879532342,0.569684373252628,0,4,34344.69749999999,4512.749999999987,0.0,健康,低
F0005,加盟商0005,个体投资人,浙江,正常合作,C,2021-06-09,2026-04,4,136333.91,97781.50000000001,38552.41,1544,71768.08,19697.139999999996,13442.189999999991,0.145978307540451,0.716904584838008,0,4,34083.4775,4924.284999999999,0.0,健康,低
F0006,加盟商0006,个体投资人,北京,正常合作,B,2024-12-18,2026-05,4,62337.77999999999,24236.04,38101.740000000005,726,27906.869999999995,14682.789999999994,11979.009999999995,0.234592259227751,0.358200219906439,0,4,15584.444999999998,3670.6974999999984,0.0,标杆,低
F0076,加盟商0076,投资公司,湖北,正常合作,B,2023-04-04,2026-02,4,52295.95,32978.22,19317.73,546,27398.78,5655.280000000002,3360.0299999999997,0.119896634287277,0.615890512703323,1,3,13073.9875,1413.8200000000004,0.25,关注,低
F0032,加盟商0032,区域代理,广东,续约预警,C,2022-03-30,2026-03,4,118634.62000000002,78458.95000000001,40175.67,1308,62853.260000000024,27874.20000000002,22246.580000000024,0.25249420532038,0.634110270013779,0,4,29658.655000000006,6968.550000000005,0.0,标杆,高
F0067,加盟商0067,个体投资人,江苏,正常合作,B,2023-06-16,2026-02,4,37785.020000000004,18692.46,19092.559999999998,436,17769.39,5880.580000000003,4231.000000000003,0.158682118669608,0.405811225399216,0,4,9446.255000000001,1470.1450000000007,0.0,健康,低
F0065,加盟商0065,个体投资人,山东,正常合作,B,2022-03-15,2026-05,4,90346.71,63682.25,26664.460000000003,950,47671.47,18395.780000000002,14463.66000000001,0.201429734090244,0.703517427774284,0,4,22586.6775,4598.945000000001,0.0,标杆,低
F0041,加盟商0041,餐饮集团子公司,山东,正常合作,B,2022-09-28,2026-05,4,76807.87,40731.46000000001,36076.41,820,38648.59000000001,17055.050000000007,13384.730000000003,0.23639177950504,0.559009655776965,0,4,19201.9675,4263.762500000002,0.0,标杆,低
F0095,加盟商0095,区域代理,上海,正常合作,A,2021-05-05,2026-03,4,174225.37999999995,122812.80999999997,51412.57,1933,97130.88999999993,42219.789999999935,34512.839999999924,0.245335061472806,0.697448500132878,0,4,43556.34499999999,10554.947499999984,0.0,标杆,低
F0109,加盟商0109,区域代理,四川,纠纷处理,C,2021-03-18,2026-04,4,87755.15000000002,62193.21,25561.940000000002,987,48721.23000000002,14496.740000000013,10414.86000000001,0.19162638254549,0.715191454350317,0,4,21938.787500000006,3624.185000000003,0.0,健康,高
F0077,加盟商0077,个体投资人,重庆,关注名单,A,2023-03-24,2026-04,4,122953.89000000001,69028.95999999998,53924.93000000001,1336,60644.76000000001,15691.000000000011,10287.10000000001,0.150775213674804,0.525906494929182,1,3,30738.472500000003,3922.7500000000027,0.25,健康,中
F0140,加盟商0140,个体投资人,江苏,续约预警,A,2024-02-05,2026-02,3,18210.55,10341.279999999999,7869.27,258,9376.669999999998,3227.009999999999,2386.459999999999,0.211073621773547,0.484409052829132,0,3,6070.183333333333,1075.6699999999996,0.0,标杆,高
F0049,加盟商0049,个体投资人,重庆,正常合作,B,2022-04-22,2026-03,4,132133.59000000003,81420.5,50713.09,1541,70560.19000000002,38273.37000000001,31964.04000000001,0.286973008036377,0.609252689179258,0,4,33033.39750000001,9568.342500000002,0.0,标杆,低
F0137,加盟商0137,餐饮集团子公司,江苏,正常合作,A,2025-07-29,2026-04,4,70085.54000000001,39958.23,30127.31000000001,812,35871.080000000016,18186.33000000001,14869.150000000016,0.256858323517379,0.5435355387131,0,4,17521.385000000002,4546.582500000002,0.0,标杆,低
F0003,加盟商0003,个体投资人,四川,正常合作,B,2021-08-09,2026-02,4,37056.6,26798.03,10258.57,440,20419.019999999997,7949.980000000001,6309.27,0.216340183968171,0.720488124657697,0,4,9264.15,1987.4950000000003,0.0,标杆,低
F0059,加盟商0059,个体投资人,四川,续约预警,A,2023-02-24,2026-04,4,130929.05999999997,78634.28,52294.78,1413,67906.23999999998,15057.84999999998,9503.96999999998,0.138314165970647,0.547245347554066,1,3,32732.264999999992,3764.462499999995,0.25,健康,高
F0010,加盟商0010,投资公司,广东,正常合作,B,2025-05-21,2026-03,4,128333.31999999999,83836.20999999999,44497.11,1565,67283.93,34238.48999999999,28497.82999999999,0.268188955682114,0.652191058502542,0,4,32083.329999999998,8559.622499999998,0.0,标杆,低
F0015,加盟商0015,个体投资人,浙江,续约预警,B,2024-02-11,2026-04,4,136226.02000000002,93753.51,42472.51000000001,1501,71758.99000000002,19702.930000000015,13681.62000000002,0.161391103462754,0.690181670538283,0,4,34056.505000000005,4925.732500000004,0.0,健康,高
F0072,加盟商0072,个体投资人,山东,正常合作,B,2022-11-27,2026-05,4,92542.47999999998,59593.57000000001,32948.909999999996,1047,49676.759999999995,9926.90999999999,5963.129999999996,0.12349650127351,0.605314410740574,2,2,23135.619999999995,2481.7274999999977,0.5,健康,低
F0050,加盟商0050,个体投资人,山东,正常合作,A,2024-12-01,2026-02,4,45739.60999999999,28020.079999999994,17719.53,510,23827.829999999994,9827.769999999997,7587.9699999999975,0.223375542910757,0.602362608730762,0,4,11434.902499999998,2456.942499999999,0.0,标杆,低
F0073,加盟商0073,个体投资人,陕西,正常合作,B,2023-12-02,2026-05,4,108081.65000000001,64463.66999999999,43617.98,1149,54618.51000000001,18007.510000000013,13070.140000000001,0.179947917511609,0.537123994713941,0,4,27020.412500000002,4501.877500000003,0.0,健康,低
F0046,加盟商0046,个体投资人,广东,正常合作,B,2021-10-25,2026-05,4,75212.96000000002,37213.94,37999.020000000004,806,36710.570000000014,19203.140000000014,15672.900000000009,0.23598210203803,0.455265469248012,0,4,18803.240000000005,4800.7850000000035,0.0,标杆,低
F0014,加盟商0014,个体投资人,重庆,正常合作,C,2024-03-21,2026-03,4,109014.98000000001,70220.29000000002,38794.69,1279,56739.14000000001,28972.28000000001,24324.570000000007,0.26532390000656,0.658747654422607,0,4,27253.745000000003,7243.070000000002,0.0,标杆,低
F0029,加盟商0029,个体投资人,江苏,正常合作,C,2023-11-21,2026-05,4,87336.20999999998,57445.14,29891.070000000003,1065,45402.779999999984,12618.26999999999,8595.739999999989,0.15069508341096,0.640049865741779,0,4,21834.052499999994,3154.5674999999974,0.0,健康,低
F0047,加盟商0047,区域代理,浙江,纠纷处理,B,2025-04-27,2026-05,4,89333.47,59411.42,29922.050000000003,900,47683.56999999999,19331.759999999995,15127.529999999992,0.244470447284734,0.650661085838532,0,4,22333.3675,4832.939999999999,0.0,标杆,高
F0117,加盟商0117,个体投资人,北京,正常合作,C,2023-12-17,2026-03,3,120916.06999999998,73173.57000000002,47742.5,1291,62412.51999999997,6074.95999999997,805.7699999999713,0.089209344308584,0.537407891938125,1,2,40305.35666666666,2024.9866666666567,0.333333333333333,关注,中
F0059,加盟商0059,个体投资人,四川,续约预警,A,2023-02-24,2026-02,4,41274.31,23942.71,17331.600000000002,455,21222.02,5552.800000000002,3701.4400000000005,0.165879078896089,0.567274259838891,1,3,10318.5775,1388.2000000000005,0.25,健康,高
F0119,加盟商0119,个体投资人,江苏,正常合作,A,2023-04-04,2026-03,3,82944.44000000002,55845.73,27098.710000000003,979,43304.26000000001,22878.240000000013,18882.000000000015,0.276723545767357,0.689823164105658,0,3,27648.14666666667,7626.0800000000045,0.0,标杆,低
F0033,加盟商0033,个体投资人,陕西,正常合作,B,2024-05-20,2026-03,4,114666.32000000002,79312.08,35354.24,1255,60066.13000000001,14699.410000000014,9252.720000000012,0.159995840534514,0.680465428799175,0,4,28666.580000000005,3674.8525000000036,0.0,健康,低
F0118,加盟商0118,个体投资人,山东,正常合作,B,2022-05-17,2026-02,3,28609.54,10910.59,17698.95,275,13821.02,7022.29,5759.960000000002,0.24860022523605,0.424323972092494,0,3,9536.513333333334,2340.7633333333333,0.0,标杆,低
F0111,加盟商0111,个体投资人,上海,正常合作,C,2024-08-05,2026-04,4,101492.46999999999,51525.23999999999,49967.23,1029,51312.57999999999,17863.62999999999,13660.689999999988,0.228099558104775,0.508275437123379,1,3,25373.117499999997,4465.9074999999975,0.25,健康,低
F0119,加盟商0119,个体投资人,江苏,正常合作,A,2023-04-04,2026-04,3,79959.37999999999,44733.51999999999,35225.86,924,39076.65999999999,20311.55999999999,16795.28,0.242711047681215,0.576610598428888,0,3,26653.126666666663,6770.519999999997,0.0,标杆,低
F0120,加盟商0120,餐饮集团子公司,北京,正常合作,B,2024-12-12,2026-03,4,102123.73,64821.69000000001,37302.04,1207,52732.64,22147.83999999999,17484.969999999994,0.211608851863565,0.632799705666631,1,3,25530.9325,5536.959999999997,0.25,健康,低
F0008,加盟商0008,区域代理,广东,关注名单,B,2022-04-08,2026-03,4,86844.67,23411.820000000003,63432.850000000006,983,36773.090000000004,19523.40000000001,15724.160000000003,0.2246251165087,0.259060275734539,0,4,21711.1675,4880.850000000002,0.0,标杆,中
F0079,加盟商0079,投资公司,浙江,正常合作,B,2024-02-01,2026-03,4,134817.83,81817.51,53000.31999999999,1400,71317.60999999999,30610.78999999998,24318.719999999987,0.197365801583594,0.568338860074684,1,3,33704.4575,7652.697499999995,0.25,健康,低
F0141,加盟商0141,个体投资人,广东,续约预警,A,2022-07-06,2026-04,3,108341.66999999998,69695.45999999999,38646.21,1126,57041.14999999999,32859.19999999998,28072.90999999999,0.300363754731418,0.649998239663912,0,3,36113.88999999999,10953.06666666666,0.0,标杆,高
F0108,加盟商0108,个体投资人,四川,正常合作,B,2023-03-27,2026-03,3,110606.87,72412.16,38194.71000000001,1297,60408.31,17764.28,12967.3,0.182838411074178,0.664865448531535,0,3,36868.956666666665,5921.426666666666,0.0,健康,低
F0035,加盟商0035,区域代理,上海,正常合作,D,2023-03-24,2026-03,4,97161.87,63790.88,33370.990000000005,1128,51306.600000000006,28964.590000000007,24365.950000000008,0.300156857763221,0.671826788013913,0,4,24290.4675,7241.147500000002,0.0,标杆,低
F0030,加盟商0030,区域代理,重庆,正常合作,A,2025-03-06,2026-05,4,59622.54999999999,26184.269999999993,33438.28,715,28632.499999999993,13112.829999999994,10381.749999999996,0.217892938919754,0.38184218451084,0,4,14905.637499999997,3278.2074999999986,0.0,标杆,低
F0110,加盟商0110,投资公司,北京,关注名单,B,2022-09-27,2026-03,3,120836.90999999999,69418.86,51418.05000000001,1328,61363.44999999998,35223.179999999986,29373.399999999983,0.293234727731227,0.57278862241956,0,3,40278.969999999994,11741.059999999996,0.0,标杆,中
F0009,加盟商0009,个体投资人,陕西,正常合作,C,2023-07-20,2026-02,4,49390.01,29084.710000000003,20305.3,521,25425.98,9000.899999999998,6567.690000000003,0.186259822897921,0.528728300450204,0,4,12347.5025,2250.2249999999995,0.0,健康,低
F0036,加盟商0036,个体投资人,北京,续约预警,C,2023-03-06,2026-04,4,156346.65999999997,104821.65999999999,51525.0,1660,85434.36,26887.019999999997,19622.50999999999,0.197725191911732,0.667495349511591,0,4,39086.66499999999,6721.754999999999,0.0,健康,高
F0004,加盟商0004,个体投资人,四川,正常合作,A,2021-10-21,2026-02,4,40125.46,18690.59,21434.87,470,19175.559999999994,8525.269999999995,6777.759999999999,0.2243073483787,0.501359717410228,0,4,10031.365,2131.3174999999987,0.0,标杆,低
F0081,加盟商0081,区域代理,四川,正常合作,C,2024-12-03,2026-04,4,146187.64,97338.33,48849.31,1636,78788.17000000001,23855.350000000017,17562.92000000001,0.190630457671789,0.575948731179918,0,4,36546.91,5963.837500000004,0.0,健康,低
F0104,加盟商0104,个体投资人,北京,正常合作,A,2021-05-22,2026-04,4,116549.57999999999,74430.59999999999,42118.98,1347,59205.71000000001,21962.909999999996,17161.91,0.196279918438938,0.567607741995048,0,4,29137.394999999997,5490.727499999999,0.0,健康,低
F0002,加盟商0002,区域代理,四川,正常合作,B,2025-03-19,2026-04,5,185418.03,115716.39000000001,69701.64,2089,100034.93999999999,36173.219999999994,27386.97000000001,0.198119319533206,0.55330436751345,0,5,37083.606,7234.643999999998,0.0,健康,低
F0103,加盟商0103,区域代理,四川,正常合作,D,2024-10-29,2026-03,3,120527.03,86349.29,34177.73999999999,1291,67066.89000000001,25733.9,20197.040000000008,0.226346124110252,0.718562949878882,0,3,40175.676666666666,8577.966666666667,0.0,标杆,低
F0118,加盟商0118,个体投资人,山东,正常合作,B,2022-05-17,2026-03,3,72396.12000000002,34706.19,37689.93000000001,876,32988.38000000002,16890.650000000016,13840.950000000019,0.230473328492216,0.515718049813532,0,3,24132.040000000008,5630.216666666672,0.0,标杆,低
F0098,加盟商0098,个体投资人,四川,正常合作,A,2023-08-21,2026-03,4,155470.42000000004,80220.12000000001,75250.30000000002,1716,72417.36000000004,27783.97000000005,20637.90000000005,0.180354006448802,0.493619847638295,0,4,38867.60500000001,6945.992500000012,0.0,健康,低
F0092,加盟商0092,区域代理,重庆,正常合作,D,2023-10-20,2026-03,4,157293.50999999995,107775.26,49518.25,1690,87171.39999999994,26522.93999999994,19388.589999999946,0.197057348496403,0.67334123826716,0,4,39323.37749999999,6630.734999999985,0.0,健康,低
F0102,加盟商0102,个体投资人,陕西,关注名单,A,2023-07-04,2026-05,4,86427.47,50951.12999999999,35476.34,925,45637.67999999999,21497.379999999997,17448.629999999994,0.253582471567583,0.547278294339558,0,4,21606.8675,5374.344999999999,0.0,标杆,中
F0074,加盟商0074,个体投资人,重庆,正常合作,D,2022-01-20,2026-04,4,97859.25,64060.350000000006,33798.90000000001,1091,50804.07,23041.959999999995,18599.719999999998,0.243265670650075,0.640992485254258,0,4,24464.8125,5760.489999999999,0.0,标杆,低
F0103,加盟商0103,区域代理,四川,正常合作,D,2024-10-29,2026-05,4,79540.17000000001,52345.37000000001,27194.800000000003,859,43815.66000000002,16557.53000000002,12711.450000000023,0.189764562034536,0.699777502785175,0,4,19885.042500000003,4139.382500000005,0.0,健康,低
F0043,加盟商0043,个体投资人,山东,续约预警,B,2025-05-11,2026-02,4,47140.03999999999,21569.439999999995,25570.600000000002,473,21230.72,6966.560000000001,4846.049999999998,0.161054031647411,0.41772570366948,0,4,11785.009999999998,1741.6400000000003,0.0,健康,高
F0105,加盟商0105,个体投资人,陕西,正常合作,B,2025-06-10,2026-02,3,27402.3,14137.349999999999,13264.949999999999,295,13761.89,2454.7099999999987,1210.179999999998,0.147051886363052,0.410209785509171,0,3,9134.1,818.2366666666662,0.0,健康,低
F0011,加盟商0011,餐饮集团子公司,上海,正常合作,B,2021-08-24,2026-05,4,72638.32999999999,48889.53999999999,23748.79,799,40096.219999999994,20971.109999999993,17425.499999999993,0.295503927887655,0.675236643962883,0,4,18159.582499999997,5242.777499999998,0.0,标杆,低
F0086,加盟商0086,投资公司,重庆,续约预警,A,2022-08-03,2026-02,4,47733.31,32842.240000000005,14891.07,512,25090.829999999998,6883.069999999998,4883.0499999999965,0.157091187794619,0.650469586836147,1,3,11933.3275,1720.7674999999995,0.25,健康,高
F0107,加盟商0107,个体投资人,上海,正常合作,B,2021-09-21,2026-05,4,68423.27,42476.93,25946.34,761,34314.32,11685.940000000002,8608.470000000003,0.200013285388762,0.531789331625337,0,4,17105.8175,2921.4850000000006,0.0,标杆,低
F0056,加盟商0056,个体投资人,陕西,正常合作,B,2025-06-18,2026-03,4,144470.13999999998,85197.81999999999,59272.32000000001,1630,74966.15,17191.929999999986,10313.129999999997,0.138158075378979,0.577450307915799,0,4,36117.534999999996,4297.982499999996,0.0,健康,低
F0069,加盟商0069,个体投资人,江苏,正常合作,A,2021-11-28,2026-03,4,144000.84000000003,92715.76000000001,51285.08,1535,76495.99000000003,16407.560000000027,10056.720000000027,0.152613725433809,0.6499047968522,0,4,36000.21000000001,4101.890000000007,0.0,健康,低
F0134,加盟商0134,个体投资人,四川,正常合作,D,2024-10-02,2026-02,3,16328.130000000001,5797.040000000001,10531.09,218,7462.02,3667.800000000001,2956.850000000002,0.223119621048841,0.328829318008779,0,3,5442.71,1222.6000000000004,0.0,标杆,低
F0032,加盟商0032,区域代理,广东,续约预警,C,2022-03-30,2026-05,4,75815.73999999999,49564.02,26251.72,851,41514.619999999995,17180.19,13855.259999999997,0.259164671145651,0.656724302059935,0,4,18953.934999999998,4295.0475,0.0,标杆,高
F0130,加盟商0130,个体投资人,四川,续约预警,B,2024-02-05,2026-02,3,22428.670000000002,11710.12,10718.55,277,11450.230000000003,5321.440000000002,4223.500000000005,0.242552944667002,0.497587809998422,0,3,7476.223333333334,1773.8133333333342,0.0,标杆,高
F0123,加盟商0123,区域代理,山东,正常合作,A,2024-01-22,2026-03,3,89200.50000000003,45925.66,43274.84,970,41204.47000000003,18136.30000000003,14001.800000000028,0.203491522154097,0.468546788993138,0,3,29733.50000000001,6045.4333333333425,0.0,标杆,低
F0009,加盟商0009,个体投资人,陕西,正常合作,C,2023-07-20,2026-03,4,130564.40000000002,76978.48999999999,53585.91,1552,69563.80000000002,27442.480000000014,21711.500000000015,0.211785082172084,0.547366268777252,0,4,32641.100000000006,6860.6200000000035,0.0,标杆,低
F0052,加盟商0052,区域代理,浙江,正常合作,B,2022-05-11,2026-03,4,131408.70999999996,70695.46,60713.25,1428,63814.68999999997,33620.71999999997,27261.29999999997,0.247930639974615,0.494868082792986,0,4,32852.17749999999,8405.179999999993,0.0,标杆,低
