同期群月份,同期群人数,留存月份序号,留存月份,留存人数,留存率,是否完整观察期,数据快照日期
2025-05-01,2215,M9,2026-02-01,273,0.1233,1,2026-06-24
2025-05-01,2215,M10,2026-03-01,244,0.1102,1,2026-06-24
2025-05-01,2215,M11,2026-04-01,244,0.1102,1,2026-06-24
2025-05-01,2215,M12,2026-05-01,244,0.1102,1,2026-06-24
2025-05-01,2215,M13,2026-06-01,,,0,2026-06-24
2025-06-01,2288,M0,2025-06-01,2288,1,1,2026-06-24
2025-06-01,2288,M1,2025-07-01,1201,0.5249,1,2026-06-24
2025-06-01,2288,M2,2025-08-01,1003,0.4384,1,2026-06-24
2025-06-01,2288,M3,2025-09-01,844,0.3689,1,2026-06-24
2025-06-01,2288,M4,2025-10-01,625,0.2732,1,2026-06-24
2025-06-01,2288,M5,2025-11-01,525,0.2295,1,2026-06-24
2025-06-01,2288,M6,2025-12-01,445,0.1945,1,2026-06-24
2025-06-01,2288,M7,2026-01-01,383,0.1674,1,2026-06-24
2025-06-01,2288,M8,2026-02-01,336,0.1469,1,2026-06-24
2025-06-01,2288,M9,2026-03-01,252,0.1101,1,2026-06-24
2025-06-01,2288,M10,2026-04-01,252,0.1101,1,2026-06-24
2025-06-01,2288,M11,2026-05-01,252,0.1101,1,2026-06-24
2025-06-01,2288,M12,2026-06-01,,,0,2026-06-24
2025-07-01,2361,M0,2025-07-01,2361,1,1,2026-06-24
2025-07-01,2361,M1,2025-08-01,1258,0.5328,1,2026-06-24
2025-07-01,2361,M2,2025-09-01,1054,0.4464,1,2026-06-24
2025-07-01,2361,M3,2025-10-01,795,0.3367,1,2026-06-24
2025-07-01,2361,M4,2025-11-01,664,0.2812,1,2026-06-24
2025-07-01,2361,M5,2025-12-01,560,0.2372,1,2026-06-24
2025-07-01,2361,M6,2026-01-01,478,0.2025,1,2026-06-24
2025-07-01,2361,M7,2026-02-01,414,0.1753,1,2026-06-24
2025-07-01,2361,M8,2026-03-01,271,0.1148,1,2026-06-24
2025-07-01,2361,M9,2026-04-01,260,0.1101,1,2026-06-24
2025-07-01,2361,M10,2026-05-01,260,0.1101,1,2026-06-24
2025-07-01,2361,M11,2026-06-01,,,0,2026-06-24
2025-08-01,2434,M0,2025-08-01,2434,1,1,2026-06-24
2025-08-01,2434,M1,2025-09-01,1316,0.5407,1,2026-06-24
2025-08-01,2434,M2,2025-10-01,1008,0.4141,1,2026-06-24
2025-08-01,2434,M3,2025-11-01,839,0.3447,1,2026-06-24
2025-08-01,2434,M4,2025-12-01,704,0.2892,1,2026-06-24
2025-08-01,2434,M5,2026-01-01,597,0.2453,1,2026-06-24
2025-08-01,2434,M6,2026-02-01,513,0.2108,1,2026-06-24
2025-08-01,2434,M7,2026-03-01,349,0.1434,1,2026-06-24
2025-08-01,2434,M8,2026-04-01,299,0.1228,1,2026-06-24
2025-08-01,2434,M9,2026-05-01,268,0.1101,1,2026-06-24
2025-08-01,2434,M10,2026-06-01,,,0,2026-06-24
2025-09-01,2507,M0,2025-09-01,2507,1,1,2026-06-24
2025-09-01,2507,M1,2025-10-01,1276,0.509,1,2026-06-24
2025-09-01,2507,M2,2025-11-01,1059,0.4224,1,2026-06-24
2025-09-01,2507,M3,2025-12-01,885,0.353,1,2026-06-24
2025-09-01,2507,M4,2026-01-01,745,0.2972,1,2026-06-24
2025-09-01,2507,M5,2026-02-01,635,0.2533,1,2026-06-24
2025-09-01,2507,M6,2026-03-01,448,0.1787,1,2026-06-24
2025-09-01,2507,M7,2026-04-01,380,0.1516,1,2026-06-24
2025-09-01,2507,M8,2026-05-01,328,0.1308,1,2026-06-24
2025-09-01,2507,M9,2026-06-01,,,0,2026-06-24
2025-10-01,2580,M0,2025-10-01,2580,1,1,2026-06-24
2025-10-01,2580,M1,2025-11-01,1333,0.5167,1,2026-06-24
2025-10-01,2580,M2,2025-12-01,1110,0.4302,1,2026-06-24
2025-10-01,2580,M3,2026-01-01,931,0.3609,1,2026-06-24
2025-10-01,2580,M4,2026-02-01,788,0.3054,1,2026-06-24
2025-10-01,2580,M5,2026-03-01,571,0.2213,1,2026-06-24
2025-10-01,2580,M6,2026-04-01,481,0.1864,1,2026-06-24
2025-10-01,2580,M7,2026-05-01,412,0.1597,1,2026-06-24
2025-10-01,2580,M8,2026-06-01,,,0,2026-06-24
2025-11-01,1893,M0,2025-11-01,1893,1,1,2026-06-24
2025-11-01,1893,M1,2025-12-01,993,0.5246,1,2026-06-24
2025-11-01,1893,M2,2026-01-01,830,0.4385,1,2026-06-24
2025-11-01,1893,M3,2026-02-01,698,0.3687,1,2026-06-24
2025-11-01,1893,M4,2026-03-01,517,0.2731,1,2026-06-24
2025-11-01,1893,M5,2026-04-01,434,0.2293,1,2026-06-24
2025-11-01,1893,M6,2026-05-01,368,0.1944,1,2026-06-24
2025-11-01,1893,M7,2026-06-01,,,0,2026-06-24
2025-12-01,1966,M0,2025-12-01,1966,1,1,2026-06-24
2025-12-01,1966,M1,2026-01-01,1047,0.5326,1,2026-06-24
2025-12-01,1966,M2,2026-02-01,877,0.4461,1,2026-06-24
2025-12-01,1966,M3,2026-03-01,662,0.3367,1,2026-06-24
2025-12-01,1966,M4,2026-04-01,553,0.2813,1,2026-06-24
2025-12-01,1966,M5,2026-05-01,466,0.237,1,2026-06-24
2025-12-01,1966,M6,2026-06-01,,,0,2026-06-24
2026-01-01,2039,M0,2026-01-01,2039,1,1,2026-06-24
2026-01-01,2039,M1,2026-02-01,1103,0.541,1,2026-06-24
2026-01-01,2039,M2,2026-03-01,845,0.4144,1,2026-06-24
2026-01-01,2039,M3,2026-04-01,703,0.3448,1,2026-06-24
2026-01-01,2039,M4,2026-05-01,590,0.2894,1,2026-06-24
2026-01-01,2039,M5,2026-06-01,,,0,2026-06-24
2026-02-01,2112,M0,2026-02-01,2112,1,1,2026-06-24
2026-02-01,2112,M1,2026-03-01,1075,0.509,1,2026-06-24
2026-02-01,2112,M2,2026-04-01,892,0.4223,1,2026-06-24
2026-02-01,2112,M3,2026-05-01,745,0.3527,1,2026-06-24
2026-02-01,2112,M4,2026-06-01,,,0,2026-06-24
2026-03-01,2185,M0,2026-03-01,2185,1,1,2026-06-24
2026-03-01,2185,M1,2026-04-01,1129,0.5167,1,2026-06-24
2026-03-01,2185,M2,2026-05-01,940,0.4302,1,2026-06-24
2026-03-01,2185,M3,2026-06-01,,,0,2026-06-24
2026-04-01,2258,M0,2026-04-01,2258,1,1,2026-06-24
2026-04-01,2258,M1,2026-05-01,1185,0.5248,1,2026-06-24
2026-04-01,2258,M2,2026-06-01,,,0,2026-06-24
2026-05-01,2331,M0,2026-05-01,2331,1,1,2026-06-24
2026-05-01,2331,M1,2026-06-01,,,0,2026-06-24
2026-06-01,2404,M0,2026-06-01,2404,1,0,2026-06-24
