会员ID,会员等级,城市,近30天堂食,近30天外卖,前60天堂食,前60天外卖,迁移类型
M0000767,金卡,烟台,1,0,0,0,其他
M0034482,普卡,中山,13,5,26,17,混合渠道
M0018316,普卡,长沙,2,2,5,3,混合渠道
M0068115,普卡,上海,1,0,1,2,外卖→堂食回流
M0010504,普卡,沈阳,0,1,2,2,堂食→外卖迁移
M0042977,银卡,广州,2,2,2,2,混合渠道
M0046307,银卡,西安,4,2,5,2,混合渠道
M0062368,金卡,上海,2,0,1,0,纯堂食
M0068797,普卡,昆明,0,5,1,2,纯外卖
M0066814,金卡,北京,1,0,4,0,纯堂食
M0060557,普卡,无锡,4,2,5,4,混合渠道
M0014915,金卡,北京,2,0,2,2,外卖→堂食回流
M0036676,普卡,合肥,0,3,0,0,其他
M0024912,银卡,南京,0,0,1,0,其他
M0069547,普卡,青岛,0,2,1,0,其他
M0003499,黑卡,福州,5,2,0,0,混合渠道
M0060511,普卡,石家庄,2,1,0,0,混合渠道
M0023437,金卡,大连,1,0,1,0,纯堂食
M0021700,普卡,哈尔滨,2,3,13,3,混合渠道
M0028116,银卡,成都,1,0,1,1,纯堂食
M0079392,银卡,天津,13,5,8,5,混合渠道
M0060406,普卡,无锡,1,0,3,0,纯堂食
M0042972,银卡,泉州,13,1,7,13,混合渠道
M0030417,银卡,南昌,9,3,9,4,混合渠道
M0029286,银卡,苏州,1,0,1,1,纯堂食
M0011180,银卡,大连,3,1,0,0,混合渠道
M0023278,普卡,重庆,2,2,5,1,混合渠道
M0007594,金卡,深圳,5,3,9,0,混合渠道
M0057583,普卡,佛山,4,2,5,0,混合渠道
M0049221,金卡,济南,2,1,5,4,混合渠道
M0066987,普卡,宁波,0,4,6,4,堂食→外卖迁移
M0016645,普卡,南宁,11,6,13,10,混合渠道
M0018194,银卡,青岛,0,1,4,3,堂食→外卖迁移
M0015674,普卡,重庆,4,2,6,8,混合渠道
M0013700,普卡,唐山,10,7,22,10,混合渠道
M0061832,银卡,上海,5,0,6,1,纯堂食
M0067063,普卡,上海,2,4,14,4,混合渠道
M0014018,普卡,南通,5,3,7,3,混合渠道
M0058130,银卡,南京,7,0,7,3,外卖→堂食回流
M0007654,金卡,青岛,6,2,10,5,混合渠道
M0008864,金卡,苏州,5,5,9,5,混合渠道
M0042263,普卡,广州,13,10,22,14,混合渠道
M0010082,银卡,嘉兴,4,5,1,3,混合渠道
M0053915,银卡,沈阳,11,5,21,16,混合渠道
M0002524,金卡,广州,3,0,0,0,其他
M0028170,普卡,长沙,8,5,24,10,混合渠道
M0066183,普卡,石家庄,0,1,1,0,其他
M0044489,银卡,南宁,15,6,21,11,混合渠道
M0053038,普卡,上海,11,5,17,9,混合渠道
M0017547,普卡,西安,7,3,9,5,混合渠道
M0074232,银卡,宁波,1,0,2,1,纯堂食
M0048294,普卡,中山,5,7,15,11,混合渠道
M0012702,普卡,济南,5,2,5,4,混合渠道
M0038593,普卡,沈阳,1,3,4,4,混合渠道
M0049367,金卡,郑州,3,1,8,7,混合渠道
M0072741,普卡,杭州,0,2,8,5,堂食→外卖迁移
M0025280,银卡,苏州,0,0,5,3,其他
M0037398,银卡,东莞,4,3,2,2,混合渠道
M0008164,黑卡,深圳,1,0,1,1,纯堂食
M0011619,普卡,佛山,0,0,0,1,其他
M0066407,普卡,成都,3,2,13,2,混合渠道
M0002338,普卡,南宁,3,3,0,0,混合渠道
M0044560,普卡,青岛,2,3,8,4,混合渠道
M0059094,普卡,无锡,0,0,1,1,其他
M0019805,银卡,南昌,3,1,0,3,混合渠道
M0023705,普卡,青岛,3,4,6,4,混合渠道
M0015059,银卡,乌鲁木齐,0,0,2,1,其他
M0013130,普卡,上海,5,1,5,4,混合渠道
M0066266,普卡,西安,1,2,3,2,混合渠道
M0038262,银卡,天津,3,4,7,2,混合渠道
M0052831,普卡,济南,5,0,0,0,其他
M0017154,普卡,广州,0,0,1,0,其他
M0007114,普卡,海口,3,1,2,3,混合渠道
M0046025,银卡,东莞,0,0,1,0,其他
M0067201,普卡,温州,1,0,1,0,纯堂食
