会员ID,会员等级,注册渠道,城市,最近消费日期,距今天数,消费次数,消费金额,R分,F分,M分,RFM总分,RFM标签
M0063890,普卡,企微邀请,天津,2026-05-19,1,25,1673.4800000000002,5,4,4,13,重要价值客户
M0050952,银卡,小程序,合肥,2026-05-18,2,41,2423.86,5,4,4,13,重要价值客户
M0001287,银卡,小程序,长沙,2026-05-17,3,50,3282.34,5,5,5,15,重要价值客户
M0056296,普卡,小程序,上海,2026-04-28,22,6,314.61,3,2,2,7,中间客群
M0066464,银卡,企微邀请,郑州,2026-04-15,35,5,347.63,2,2,2,6,一般挽留客户
M0060627,黑卡,App,南昌,2026-05-14,6,23,3404.63,5,3,5,13,中间客群
M0005942,银卡,门店扫码,泉州,2026-05-20,0,55,6299.1,5,5,5,15,重要价值客户
M0071443,普卡,活动拉新,贵阳,2026-05-18,2,46,3151.0800000000004,5,4,5,14,重要价值客户
M0078285,普卡,门店扫码,重庆,2026-05-19,1,15,1317.49,5,3,4,12,中间客群
M0048744,普卡,小程序,苏州,2026-05-16,4,46,2825.42,5,4,4,13,重要价值客户
M0060244,银卡,App,北京,2026-05-05,15,5,202.0,3,2,2,7,中间客群
M0021583,普卡,App,大连,2026-05-20,0,25,3160.95,5,4,5,14,重要价值客户
M0054856,普卡,App,厦门,2026-04-29,21,9,796.6700000000001,3,2,3,8,中间客群
M0076794,银卡,App,南昌,2026-05-20,0,42,4328.66,5,4,5,14,重要价值客户
M0068417,银卡,App,沈阳,2026-05-20,0,28,5362.47,5,4,5,14,重要价值客户
M0004654,普卡,企微邀请,中山,2026-05-19,1,46,3905.4700000000003,5,4,5,14,重要价值客户
M0032597,银卡,门店扫码,长沙,2026-05-16,4,31,2012.49,5,4,4,13,重要价值客户
M0028540,金卡,小程序,成都,2026-05-20,0,29,4964.4400000000005,5,4,5,14,重要价值客户
M0020932,金卡,门店扫码,中山,2026-05-19,1,25,1996.9499999999998,5,4,4,13,重要价值客户
M0018140,金卡,小程序,武汉,2026-05-20,0,23,2871.91,5,3,4,12,中间客群
M0054255,银卡,App,无锡,2026-05-16,4,20,2190.96,5,3,4,12,中间客群
M0064146,普卡,活动拉新,成都,2026-05-08,12,3,203.55,4,1,2,7,一般发展客户
M0034063,普卡,App,南昌,2026-05-18,2,18,1101.69,5,3,3,11,中间客群
M0031482,普卡,小程序,西安,2026-05-20,0,12,836.85,5,3,3,11,中间客群
M0054958,普卡,小程序,成都,2026-05-15,5,34,2005.5500000000002,5,4,4,13,重要价值客户
M0037360,银卡,门店扫码,烟台,2026-05-20,0,27,1567.1399999999996,5,4,4,13,重要价值客户
M0066134,普卡,活动拉新,烟台,2026-04-30,20,4,382.0,3,2,2,7,中间客群
M0026231,普卡,小程序,海口,2026-04-30,20,6,543.0,3,2,3,8,中间客群
M0052222,普卡,小程序,杭州,2026-05-16,4,58,5451.4800000000005,5,5,5,15,重要价值客户
M0016552,普卡,小程序,苏州,2026-05-20,0,51,8304.34,5,5,5,15,重要价值客户
M0041274,普卡,小程序,沈阳,2026-05-20,0,32,3287.8900000000003,5,4,5,14,重要价值客户
M0037502,银卡,小程序,常州,2026-05-20,0,12,790.0699999999999,5,3,3,11,中间客群
M0000505,普卡,企微邀请,武汉,2026-05-06,14,18,1642.99,4,3,4,11,中间客群
M0068528,普卡,小程序,北京,2026-05-17,3,57,7285.139999999999,5,5,5,15,重要价值客户
M0016435,普卡,App,苏州,2026-05-16,4,10,509.8,5,2,3,10,一般发展客户
M0013553,普卡,App,宁波,2026-05-09,11,10,888.86,4,2,3,9,一般发展客户
M0007017,黑卡,App,广州,2026-05-11,9,12,1128.73,4,3,3,10,中间客群
M0063358,银卡,门店扫码,嘉兴,2026-05-17,3,22,1409.0,5,3,4,12,中间客群
M0014228,普卡,门店扫码,三亚,2026-05-20,0,24,4157.47,5,3,5,13,中间客群
M0034319,普卡,企微邀请,乌鲁木齐,2026-05-20,0,43,4268.039999999999,5,4,5,14,重要价值客户
M0061227,金卡,门店扫码,佛山,2026-05-17,3,6,645.75,5,2,3,10,一般发展客户
M0040283,普卡,企微邀请,西安,2026-05-20,0,43,2617.84,5,4,4,13,重要价值客户
M0006121,普卡,App,中山,2026-05-17,3,46,4289.110000000001,5,4,5,14,重要价值客户
M0050047,普卡,企微邀请,西安,2026-05-11,9,15,782.9300000000001,4,3,3,10,中间客群
M0056129,普卡,门店扫码,广州,2026-04-28,22,6,369.21000000000004,3,2,2,7,中间客群
M0025595,黑卡,小程序,南昌,2026-05-19,1,6,1750.48,5,2,4,11,重要发展客户
M0012728,普卡,活动拉新,苏州,2026-05-10,10,24,1806.01,4,3,4,11,中间客群
M0032696,黑卡,App,哈尔滨,2026-05-20,0,65,6979.19,5,5,5,15,重要价值客户
M0006782,银卡,小程序,兰州,2026-05-16,4,15,1135.91,5,3,3,11,中间客群
M0026100,普卡,App,青岛,2026-05-18,2,10,807.24,5,2,3,10,一般发展客户
M0075222,银卡,App,南京,2026-04-29,21,1,1388.0,3,1,4,8,中间客群
M0043030,普卡,小程序,绵阳,2026-05-20,0,21,1612.4699999999998,5,3,4,12,中间客群
M0003571,普卡,App,杭州,2026-05-18,2,35,3032.4700000000003,5,4,5,14,重要价值客户
M0032337,银卡,活动拉新,西安,2026-05-16,4,16,1146.55,5,3,3,11,中间客群
M0065485,普卡,企微邀请,海口,2026-05-19,1,42,4692.4800000000005,5,4,5,14,重要价值客户
M0057233,普卡,小程序,石家庄,2026-05-16,4,3,1390.17,5,1,4,10,重要发展客户
M0077890,金卡,小程序,沈阳,2026-05-12,8,10,713.19,4,2,3,9,一般发展客户
M0061412,普卡,门店扫码,广州,2026-05-05,15,6,387.09,3,2,2,7,中间客群
M0016553,普卡,App,沈阳,2026-05-20,0,42,2507.5499999999997,5,4,4,13,重要价值客户
M0075782,金卡,小程序,北京,2026-05-12,8,16,1098.9199999999998,4,3,3,10,中间客群
M0071623,普卡,小程序,沈阳,2026-05-09,11,1,104.63,4,1,2,7,一般发展客户
M0068959,黑卡,企微邀请,佛山,2026-05-15,5,31,3179.2599999999998,5,4,5,14,重要价值客户
M0054597,金卡,活动拉新,上海,2026-05-14,6,3,194.0,5,1,2,8,一般发展客户
M0050028,普卡,App,成都,2026-02-26,83,1,86.0,1,1,1,3,一般挽留客户
M0014000,普卡,门店扫码,北京,2026-04-18,32,10,702.55,2,2,3,7,一般挽留客户
M0022515,普卡,小程序,北京,2026-05-19,1,52,3709.08,5,5,5,15,重要价值客户
M0056349,金卡,小程序,北京,2026-05-20,0,38,3163.85,5,4,5,14,重要价值客户
M0042960,银卡,门店扫码,东莞,2026-04-28,22,3,141.07,3,1,2,6,中间客群
M0076776,银卡,门店扫码,海口,2026-05-17,3,38,2882.65,5,4,4,13,重要价值客户
M0028513,普卡,小程序,宁波,2026-05-19,1,67,6463.87,5,5,5,15,重要价值客户
M0009811,普卡,App,南昌,2026-05-20,0,54,4473.51,5,5,5,15,重要价值客户
M0032566,普卡,小程序,广州,2026-05-17,3,25,4632.89,5,4,5,14,重要价值客户
M0006841,银卡,企微邀请,呼和浩特,2026-05-20,0,53,4899.0,5,5,5,15,重要价值客户
M0050853,银卡,门店扫码,长春,2026-05-19,1,12,886.52,5,3,3,11,中间客群
M0031035,黑卡,小程序,青岛,2026-05-20,0,48,5908.12,5,4,5,14,重要价值客户
M0018973,普卡,App,青岛,2026-05-19,1,6,230.9,5,2,2,9,一般发展客户
M0001412,银卡,企微邀请,重庆,2026-05-17,3,23,2325.81,5,3,4,12,中间客群
M0018566,普卡,小程序,南通,2026-05-12,8,12,2366.33,4,3,4,11,中间客群
M0029941,普卡,App,乌鲁木齐,2026-05-10,10,11,639.99,4,2,3,9,一般发展客户
M0004941,银卡,小程序,昆明,2026-05-18,2,12,887.25,5,3,3,11,中间客群
M0049752,普卡,门店扫码,长沙,2026-05-20,0,26,2302.53,5,4,4,13,重要价值客户
M0062571,银卡,门店扫码,广州,2026-05-20,0,56,7711.55,5,5,5,15,重要价值客户
M0062227,普卡,小程序,海口,2026-05-20,0,33,2095.0,5,4,4,13,重要价值客户
M0025598,银卡,企微邀请,上海,2026-04-28,22,4,208.48000000000002,3,2,2,7,中间客群
M0054017,银卡,小程序,上海,2026-05-15,5,7,1735.77,5,2,4,11,重要发展客户
M0061421,银卡,小程序,宁波,2026-05-20,0,20,1330.15,5,3,4,12,中间客群
M0048464,普卡,App,长沙,2026-05-02,18,2,78.0,3,1,1,5,中间客群
M0053567,金卡,企微邀请,南昌,2026-05-19,1,47,4627.16,5,4,5,14,重要价值客户
M0004193,金卡,App,上海,2026-05-08,12,1,56.0,4,1,1,6,一般发展客户
M0054214,普卡,小程序,南京,2026-05-16,4,3,304.0,5,1,2,8,一般发展客户
M0059061,银卡,App,重庆,2026-05-15,5,1,100.0,5,1,2,8,一般发展客户
M0066347,普卡,App,杭州,2026-05-17,3,7,1776.7,5,2,4,11,重要发展客户
M0064848,普卡,门店扫码,上海,2026-05-16,4,16,2925.66,5,3,4,12,中间客群
M0042826,普卡,小程序,成都,2026-05-20,0,12,1878.96,5,3,4,12,中间客群
M0028239,银卡,门店扫码,中山,2026-05-07,13,10,575.97,4,2,3,9,一般发展客户
M0018193,银卡,门店扫码,合肥,2026-05-18,2,37,6145.830000000002,5,4,5,14,重要价值客户
M0055571,普卡,小程序,青岛,2026-05-18,2,9,751.0,5,2,3,10,一般发展客户
M0068894,银卡,小程序,深圳,2026-04-22,28,4,246.5,3,2,2,7,中间客群
M0021440,银卡,小程序,重庆,2026-04-28,22,6,428.94,3,2,3,8,中间客群
M0019749,黑卡,App,长沙,2026-05-15,5,16,988.69,5,3,3,11,中间客群
M0072660,金卡,企微邀请,济南,2026-05-20,0,47,7210.289999999999,5,4,5,14,重要价值客户
M0048489,普卡,小程序,重庆,2026-05-17,3,18,1730.14,5,3,4,12,中间客群
M0027969,普卡,小程序,武汉,2026-05-19,1,7,389.0,5,2,2,9,一般发展客户
M0014708,普卡,App,嘉兴,2026-05-19,1,51,4950.179999999999,5,5,5,15,重要价值客户
M0063861,银卡,企微邀请,广州,2026-05-18,2,68,7099.0599999999995,5,5,5,15,重要价值客户
M0062555,普卡,App,唐山,2026-05-17,3,50,2729.46,5,5,4,14,重要价值客户
M0033795,普卡,小程序,西安,2026-05-12,8,6,387.56,4,2,2,8,一般发展客户
M0021578,银卡,小程序,福州,2026-05-15,5,24,1709.41,5,3,4,12,中间客群
M0043801,银卡,门店扫码,杭州,2026-05-19,1,37,2403.67,5,4,4,13,重要价值客户
M0049855,普卡,小程序,昆明,2026-05-17,3,58,4282.25,5,5,5,15,重要价值客户
M0066927,金卡,App,杭州,2026-05-19,1,38,2519.08,5,4,4,13,重要价值客户
M0030494,银卡,小程序,北京,2026-05-03,17,6,423.28,3,2,3,8,中间客群
M0021777,金卡,小程序,深圳,2026-05-20,0,15,2502.76,5,3,4,12,中间客群
M0021201,金卡,小程序,西安,2026-05-20,0,30,1554.74,5,4,4,13,重要价值客户
M0036780,黑卡,小程序,上海,2026-05-17,3,19,1203.9899999999998,5,3,4,12,中间客群
M0066666,银卡,门店扫码,天津,2026-05-18,2,41,3156.9100000000003,5,4,5,14,重要价值客户
M0075724,银卡,App,佛山,2026-05-20,0,22,1372.2799999999997,5,3,4,12,中间客群
M0028711,金卡,小程序,洛阳,2026-05-18,2,19,1228.59,5,3,4,12,中间客群
M0051336,银卡,小程序,泉州,2026-05-10,10,3,275.0,4,1,2,7,一般发展客户
M0006649,金卡,门店扫码,嘉兴,2026-04-22,28,2,33.8,3,1,1,5,中间客群
M0042227,普卡,活动拉新,深圳,2026-05-19,1,7,401.03000000000003,5,2,3,10,一般发展客户
M0022782,普卡,活动拉新,厦门,2026-05-20,0,41,7318.660000000001,5,4,5,14,重要价值客户
M0043416,普卡,小程序,大连,2026-05-20,0,62,6371.760000000001,5,5,5,15,重要价值客户
M0026681,普卡,App,石家庄,2026-05-20,0,40,4263.56,5,4,5,14,重要价值客户
M0029913,普卡,小程序,嘉兴,2026-05-08,12,3,192.73000000000002,4,1,2,7,一般发展客户
M0069709,银卡,小程序,北京,2026-05-10,10,10,1479.46,4,2,4,10,重要发展客户
M0070174,普卡,企微邀请,绵阳,2026-05-18,2,5,354.75,5,2,2,9,一般发展客户
M0011197,普卡,门店扫码,苏州,2026-05-18,2,15,875.36,5,3,3,11,中间客群
M0003467,普卡,门店扫码,南通,2026-05-15,5,8,802.0,5,2,3,10,一般发展客户
M0049954,普卡,门店扫码,常州,2026-05-20,0,4,496.0,5,2,3,10,一般发展客户
M0045631,普卡,App,沈阳,2026-05-20,0,35,2203.06,5,4,4,13,重要价值客户
M0071662,普卡,企微邀请,东莞,2026-05-19,1,58,5678.5599999999995,5,5,5,15,重要价值客户
M0008467,银卡,小程序,上海,2026-05-20,0,17,1038.44,5,3,3,11,中间客群
M0019284,普卡,小程序,北京,2026-05-20,0,54,5761.360000000001,5,5,5,15,重要价值客户
M0023671,银卡,小程序,厦门,2026-05-19,1,39,4918.65,5,4,5,14,重要价值客户
M0031923,普卡,App,福州,2026-05-12,8,10,834.84,4,2,3,9,一般发展客户
M0021215,银卡,小程序,成都,2026-05-14,6,39,8708.71,5,4,5,14,重要价值客户
M0043615,普卡,App,杭州,2026-05-18,2,51,6001.03,5,5,5,15,重要价值客户
M0024760,银卡,企微邀请,乌鲁木齐,2026-05-19,1,47,4577.839999999999,5,4,5,14,重要价值客户
M0053361,金卡,企微邀请,上海,2026-05-20,0,43,4086.490000000001,5,4,5,14,重要价值客户
M0021367,银卡,活动拉新,嘉兴,2026-05-20,0,37,2437.42,5,4,4,13,重要价值客户
M0059068,银卡,小程序,武汉,2026-05-16,4,19,1331.57,5,3,4,12,中间客群
M0012069,普卡,活动拉新,南京,2026-05-20,0,5,412.0,5,2,3,10,一般发展客户
M0040718,银卡,小程序,海口,2026-05-20,0,31,4715.57,5,4,5,14,重要价值客户
M0047190,黑卡,小程序,武汉,2026-05-20,0,38,2252.8199999999993,5,4,4,13,重要价值客户
M0014367,银卡,App,三亚,2026-05-20,0,20,1317.99,5,3,4,12,中间客群
M0049593,金卡,门店扫码,无锡,2026-05-20,0,4,430.0,5,2,3,10,一般发展客户
M0001738,普卡,活动拉新,北京,2026-05-12,8,12,1067.42,4,3,3,10,中间客群
M0001140,银卡,App,宁波,2026-05-20,0,21,1391.1599999999999,5,3,4,12,中间客群
M0026163,银卡,企微邀请,青岛,2026-05-20,0,22,1258.1,5,3,4,12,中间客群
M0039276,银卡,门店扫码,北京,2026-05-15,5,36,2237.05,5,4,4,13,重要价值客户
M0063107,普卡,App,杭州,2026-05-20,0,58,3659.7200000000003,5,5,5,15,重要价值客户
