事件ID,事件时间,事件日期,事件类型,会员ID,员工ID,门店ID,来源渠道,标签,状态
PE000000019,2025-10-28 09:07:00,2025-10-28,加友,M0065958,E000399,S00345,员工分享,甜品控,已完成
PE000000020,2026-04-06 14:47:00,2026-04-06,流失,M0056977,E000074,S00532,小程序,宝妈,已完成
PE000000021,2025-11-12 09:39:00,2025-11-12,加友,M0044847,E000273,S00872,员工分享,宝妈,已完成
PE000000022,2025-09-28 12:22:00,2025-09-28,入群,M0001199,E000167,S01073,广告投放,外卖客,已完成
PE000000023,2026-01-05 19:30:00,2026-01-05,流失,M0055679,E000318,S00191,活动二维码,周末客,已完成
PE000000024,2025-09-24 18:20:00,2025-09-24,入群,M0043789,E000201,S00151,小程序,VIP,已完成
PE000000025,2025-12-02 18:01:00,2025-12-02,加友,M0076649,E000055,S00837,门店扫码,咖啡爱好者,已完成
PE000000026,2026-03-19 09:54:00,2026-03-19,入群,M0039642,E000592,S00763,活动二维码,新客,已完成
PE000000027,2025-08-27 15:35:00,2025-08-27,加友,M0070432,E000292,S00424,广告投放,甜品控,已完成
PE000000028,2026-03-17 12:04:00,2026-03-17,入群,M0059665,E000555,S01075,活动二维码,外卖客,已完成
PE000000029,2025-11-30 13:06:00,2025-11-30,流失,M0022013,E000139,S00220,广告投放,新客,已完成
PE000000030,2026-03-14 20:25:00,2026-03-14,标签变更,M0025686,E000275,S00354,活动二维码,外卖客,已完成
PE000000031,2026-01-22 20:39:00,2026-01-22,退群,M0043406,E000035,S00720,广告投放,外卖客,已完成
PE000000032,2026-04-29 18:26:00,2026-04-29,加友,M0005482,E000272,S00137,活动二维码,咖啡爱好者,已完成
PE000000033,2025-11-09 11:08:00,2025-11-09,入群,M0079710,E000565,S00023,广告投放,VIP,已完成
PE000000034,2025-10-17 21:51:00,2025-10-17,加友,M0008801,E000131,S01057,广告投放,宝妈,已完成
PE000000035,2025-08-29 12:04:00,2025-08-29,加友,M0048248,E000460,S00114,员工分享,新客,已完成
PE000000036,2026-02-28 22:59:00,2026-02-28,加友,M0030620,E000013,S00429,小程序,学生,已完成
PE000000037,2026-05-12 13:26:00,2026-05-12,流失,M0029057,E000237,S00504,小程序,周末客,已完成
PE000000038,2025-10-22 08:04:00,2025-10-22,加友,M0010413,E000443,S00569,活动二维码,宝妈,已完成
PE000000039,2026-02-08 13:21:00,2026-02-08,入群,M0056622,E000363,S00640,老客推荐,咖啡爱好者,已完成
PE000000040,2025-09-01 20:45:00,2025-09-01,加友,M0050472,E000101,S00656,员工分享,周末客,已完成
PE000000041,2025-11-11 16:00:00,2025-11-11,标签变更,M0053221,E000261,S00221,小程序,宝妈,已完成
PE000000042,2025-11-06 16:06:00,2025-11-06,标签变更,M0000554,E000069,S00400,活动二维码,周末客,已完成
PE000000043,2026-04-16 14:06:00,2026-04-16,加友,M0023030,E000361,S00527,门店扫码,宝妈,已完成
PE000000044,2026-05-04 20:04:00,2026-05-04,入群,M0007456,E000285,S00553,门店扫码,周末客,已完成
PE000000045,2026-03-03 10:54:00,2026-03-03,加友,M0024753,E000176,S00865,小程序,周末客,已完成
PE000000046,2025-10-28 20:15:00,2025-10-28,标签变更,M0018911,E000076,S00227,广告投放,新客,已完成
PE000000047,2026-03-21 14:53:00,2026-03-21,加友,M0064295,E000123,S00005,老客推荐,宝妈,已完成
PE000000048,2025-11-23 21:53:00,2025-11-23,退群,M0064336,E000110,S00837,小程序,周末客,已完成
PE000000049,2026-01-23 20:57:00,2026-01-23,加友,M0061844,E000239,S00207,小程序,宝妈,已完成
PE000000050,2025-11-03 13:40:00,2025-11-03,加友,M0033952,E000151,S00705,广告投放,咖啡爱好者,已完成
PE000000051,2026-02-05 18:41:00,2026-02-05,入群,M0041173,E000089,S00369,员工分享,新客,已完成
PE000000052,2026-01-31 16:32:00,2026-01-31,加友,M0056343,E000012,S00403,老客推荐,宝妈,已完成
PE000000053,2025-12-16 17:58:00,2025-12-16,加友,M0003674,E000083,S01023,门店扫码,新客,已完成
PE000000054,2026-04-20 13:11:00,2026-04-20,加友,M0017022,E000313,S00307,小程序,VIP,已完成
PE000000055,2026-02-25 18:17:00,2026-02-25,入群,M0042250,E000080,S01028,活动二维码,咖啡爱好者,已完成
PE000000056,2025-11-28 20:49:00,2025-11-28,流失,M0010010,E000454,S00979,门店扫码,宝妈,已完成
PE000000057,2025-09-25 19:37:00,2025-09-25,加友,M0030291,E000055,S00878,员工分享,甜品控,已完成
PE000000058,2026-05-10 19:52:00,2026-05-10,流失,M0011974,E000384,S00087,小程序,周末客,已完成
PE000000059,2026-03-18 13:56:00,2026-03-18,加友,M0067714,E000264,S00185,小程序,VIP,已完成
PE000000060,2026-02-04 15:06:00,2026-02-04,入群,M0002879,E000152,S00498,门店扫码,周末客,已完成
PE000000061,2026-04-08 09:38:00,2026-04-08,加友,M0074630,E000475,S00489,老客推荐,新客,已完成
PE000000062,2025-09-10 13:04:00,2025-09-10,入群,M0016741,E000040,S00900,老客推荐,新客,已完成
PE000000063,2026-04-01 21:31:00,2026-04-01,加友,M0065439,E000228,S00771,活动二维码,外卖客,已完成
PE000000064,2026-05-05 13:47:00,2026-05-05,标签变更,M0048209,E000455,S00172,门店扫码,咖啡爱好者,已完成
PE000000065,2025-10-12 17:09:00,2025-10-12,加友,M0021398,E000448,S00959,广告投放,咖啡爱好者,已完成
PE000000066,2025-11-01 17:07:00,2025-11-01,标签变更,M0034706,E000492,S00814,小程序,VIP,已完成
PE000000067,2025-11-12 14:53:00,2025-11-12,入群,M0048012,E000540,S00988,小程序,周末客,已完成
PE000000068,2026-04-12 20:38:00,2026-04-12,加友,M0014363,E000016,S00079,小程序,甜品控,已完成
PE000000069,2026-01-27 22:26:00,2026-01-27,入群,M0074880,E000096,S00082,老客推荐,宝妈,已完成
PE000000070,2026-02-28 17:34:00,2026-02-28,标签变更,M0079868,E000122,S00032,门店扫码,周末客,已完成
PE000000071,2025-10-21 22:12:00,2025-10-21,加友,M0031822,E000103,S00211,活动二维码,学生,已完成
PE000000072,2026-01-08 12:22:00,2026-01-08,加友,M0026506,E000081,S00296,员工分享,学生,已完成
PE000000073,2026-05-11 15:39:00,2026-05-11,加友,M0044910,E000344,S00805,活动二维码,周末客,已完成
PE000000074,2026-05-10 22:36:00,2026-05-10,标签变更,M0028132,E000133,S00449,活动二维码,周末客,已完成
PE000000075,2025-10-11 14:14:00,2025-10-11,加友,M0017588,E000436,S00616,员工分享,外卖客,已完成
PE000000076,2025-12-17 18:06:00,2025-12-17,加友,M0017432,E000394,S00541,小程序,新客,已完成
PE000000077,2026-02-24 22:00:00,2026-02-24,加友,M0026202,E000328,S00874,小程序,VIP,已完成
PE000000078,2025-11-26 08:00:00,2025-11-26,标签变更,M0078859,E000432,S01095,广告投放,学生,已完成
PE000000079,2025-11-22 19:45:00,2025-11-22,加友,M0013111,E000506,S00405,广告投放,VIP,已完成
PE000000080,2025-09-14 20:57:00,2025-09-14,标签变更,M0022499,E000247,S00785,广告投放,新客,已完成
PE000000081,2026-01-05 08:34:00,2026-01-05,入群,M0033351,E000499,S00558,活动二维码,甜品控,已完成
PE000000082,2026-01-17 21:27:00,2026-01-17,标签变更,M0049062,E000457,S00987,广告投放,新客,已完成
PE000000083,2025-09-27 16:03:00,2025-09-27,加友,M0002507,E000241,S00513,活动二维码,周末客,已完成
PE000000084,2026-02-08 11:52:00,2026-02-08,加友,M0071350,E000232,S00339,老客推荐,咖啡爱好者,已完成
PE000000085,2025-08-26 11:03:00,2025-08-26,标签变更,M0041536,E000266,S00618,老客推荐,外卖客,已完成
PE000000086,2026-02-10 21:58:00,2026-02-10,加友,M0079220,E000389,S00590,老客推荐,外卖客,已完成
PE000000087,2025-12-22 10:08:00,2025-12-22,标签变更,M0020232,E000052,S00533,老客推荐,学生,已完成
PE000000088,2026-02-15 08:54:00,2026-02-15,加友,M0051884,E000237,S00399,广告投放,周末客,已完成
PE000000089,2026-01-29 18:20:00,2026-01-29,入群,M0035094,E000584,S00063,门店扫码,VIP,已完成
PE000000090,2025-11-02 11:56:00,2025-11-02,加友,M0034500,E000386,S00299,小程序,周末客,已完成
PE000000091,2025-09-24 18:28:00,2025-09-24,加友,M0037649,E000212,S00693,广告投放,甜品控,已完成
PE000000092,2025-12-25 20:49:00,2025-12-25,加友,M0031076,E000001,S01002,活动二维码,外卖客,已完成
PE000000093,2026-04-30 16:49:00,2026-04-30,加友,M0009405,E000482,S00090,门店扫码,周末客,已完成
PE000000094,2025-11-10 08:35:00,2025-11-10,加友,M0060746,E000106,S00394,活动二维码,周末客,已完成
PE000000095,2025-11-26 12:23:00,2025-11-26,标签变更,M0036674,E000532,S00704,老客推荐,外卖客,已完成
PE000000096,2026-03-23 14:58:00,2026-03-23,加友,M0023620,E000492,S00268,广告投放,咖啡爱好者,已完成
PE000000097,2026-03-02 17:46:00,2026-03-02,加友,M0032593,E000500,S00900,门店扫码,学生,已完成
PE000000098,2026-04-29 11:08:00,2026-04-29,加友,M0068743,E000191,S00131,活动二维码,咖啡爱好者,已完成
PE000000099,2026-04-01 16:32:00,2026-04-01,标签变更,M0020213,E000485,S00408,广告投放,周末客,已完成
PE000000100,2026-04-30 09:37:00,2026-04-30,流失,M0001517,E000152,S00747,小程序,周末客,已完成
PE000000101,2026-03-07 21:16:00,2026-03-07,加友,M0063557,E000396,S00974,广告投放,学生,已完成
PE000000102,2025-10-05 18:48:00,2025-10-05,加友,M0072034,E000139,S00761,老客推荐,新客,已完成
PE000000103,2025-12-31 10:24:00,2025-12-31,退群,M0025121,E000413,S01037,广告投放,新客,已完成
PE000000104,2026-04-25 12:31:00,2026-04-25,流失,M0041208,E000274,S00145,广告投放,周末客,已完成
PE000000105,2025-11-21 21:43:00,2025-11-21,加友,M0045350,E000508,S00202,老客推荐,VIP,已完成
PE000000106,2025-12-13 19:03:00,2025-12-13,流失,M0039563,E000260,S00261,老客推荐,宝妈,已完成
PE000000107,2026-03-28 19:38:00,2026-03-28,标签变更,M0053369,E000013,S00152,活动二维码,VIP,已完成
PE000000108,2026-03-12 11:27:00,2026-03-12,标签变更,M0038042,E000424,S00003,小程序,学生,已完成
PE000000109,2025-12-27 20:25:00,2025-12-27,加友,M0063980,E000588,S00625,门店扫码,甜品控,已完成
PE000000110,2026-05-03 20:55:00,2026-05-03,入群,M0079937,E000541,S00575,门店扫码,甜品控,已完成
PE000000111,2025-10-27 13:12:00,2025-10-27,标签变更,M0022606,E000350,S00018,小程序,外卖客,已完成
PE000000112,2026-03-18 22:54:00,2026-03-18,加友,M0022951,E000314,S00322,广告投放,宝妈,已完成
PE000000113,2026-04-12 21:10:00,2026-04-12,加友,M0060061,E000324,S00727,活动二维码,学生,已完成
PE000000114,2026-02-08 18:49:00,2026-02-08,加友,M0028115,E000328,S00244,活动二维码,外卖客,已完成
PE000000115,2026-03-30 17:11:00,2026-03-30,标签变更,M0061490,E000510,S01065,员工分享,宝妈,已完成
PE000000116,2025-12-09 12:08:00,2025-12-09,加友,M0025398,E000571,S00596,活动二维码,周末客,已完成
PE000000117,2025-09-01 21:16:00,2025-09-01,加友,M0074696,E000031,S00452,门店扫码,甜品控,已完成
PE000000118,2026-03-31 10:25:00,2026-03-31,加友,M0043297,E000198,S00413,员工分享,宝妈,已完成
PE000000119,2026-03-04 14:19:00,2026-03-04,加友,M0002866,E000319,S00831,员工分享,外卖客,已完成
PE000000120,2026-03-14 14:29:00,2026-03-14,加友,M0018646,E000047,S00014,广告投放,宝妈,已完成
PE000000121,2026-04-12 09:42:00,2026-04-12,加友,M0073040,E000263,S00950,广告投放,咖啡爱好者,已完成
PE000000122,2026-02-24 15:44:00,2026-02-24,入群,M0033779,E000008,S00692,员工分享,新客,已完成
PE000000123,2026-01-16 22:43:00,2026-01-16,标签变更,M0075363,E000462,S00383,老客推荐,宝妈,已完成
PE000000124,2025-10-19 15:01:00,2025-10-19,标签变更,M0042966,E000258,S00652,老客推荐,周末客,已完成
PE000000125,2026-03-28 12:29:00,2026-03-28,加友,M0078229,E000103,S00396,活动二维码,VIP,已完成
PE000000126,2026-01-02 09:20:00,2026-01-02,入群,M0021217,E000089,S01181,员工分享,外卖客,已完成
PE000000127,2025-12-02 22:28:00,2025-12-02,加友,M0020128,E000019,S00112,活动二维码,甜品控,已完成
PE000000128,2025-12-29 12:01:00,2025-12-29,加友,M0072245,E000473,S00080,广告投放,新客,已完成
PE000000129,2025-11-17 15:13:00,2025-11-17,入群,M0067806,E000148,S01054,员工分享,外卖客,已完成
PE000000130,2025-12-04 13:11:00,2025-12-04,加友,M0065624,E000045,S00001,员工分享,外卖客,已完成
PE000000131,2026-03-29 10:43:00,2026-03-29,加友,M0020323,E000173,S01006,老客推荐,咖啡爱好者,已完成
PE000000132,2026-03-14 13:41:00,2026-03-14,标签变更,M0033619,E000351,S00096,老客推荐,学生,已完成
PE000000133,2025-09-17 22:50:00,2025-09-17,入群,M0057112,E000441,S00724,广告投放,外卖客,已完成
PE000000134,2025-10-27 22:41:00,2025-10-27,流失,M0050419,E000343,S00531,老客推荐,VIP,已完成
PE000000135,2025-10-17 08:08:00,2025-10-17,流失,M0013940,E000073,S00311,活动二维码,学生,已完成
PE000000136,2025-09-17 22:19:00,2025-09-17,加友,M0067262,E000561,S00662,活动二维码,VIP,已完成
PE000000137,2026-02-26 19:57:00,2026-02-26,标签变更,M0073624,E000542,S00167,小程序,周末客,已完成
PE000000138,2025-10-09 18:50:00,2025-10-09,流失,M0047771,E000489,S00167,员工分享,VIP,已完成
PE000000139,2025-09-05 15:48:00,2025-09-05,加友,M0072844,E000518,S00020,员工分享,甜品控,已完成
PE000000140,2026-04-22 20:40:00,2026-04-22,加友,M0049258,E000322,S00962,门店扫码,外卖客,已完成
PE000000141,2025-12-28 19:55:00,2025-12-28,标签变更,M0038506,E000494,S00701,小程序,周末客,已完成
PE000000142,2025-10-12 13:07:00,2025-10-12,入群,M0026600,E000273,S00675,广告投放,甜品控,已完成
PE000000143,2025-12-01 17:51:00,2025-12-01,入群,M0070603,E000274,S00086,老客推荐,外卖客,已完成
PE000000144,2026-04-08 14:27:00,2026-04-08,标签变更,M0007008,E000074,S00496,老客推荐,周末客,已完成
PE000000145,2025-09-06 22:28:00,2025-09-06,入群,M0076422,E000083,S00267,门店扫码,外卖客,已完成
PE000000146,2025-12-12 12:09:00,2025-12-12,加友,M0035819,E000458,S01130,员工分享,甜品控,已完成
PE000000147,2026-01-30 09:09:00,2026-01-30,加友,M0070454,E000038,S01144,活动二维码,宝妈,已完成
PE000000148,2026-03-25 12:40:00,2026-03-25,标签变更,M0042078,E000156,S00846,活动二维码,咖啡爱好者,已完成
PE000000149,2026-03-24 13:35:00,2026-03-24,标签变更,M0043220,E000459,S00934,小程序,咖啡爱好者,已完成
PE000000150,2026-02-06 12:42:00,2026-02-06,加友,M0070637,E000231,S00953,员工分享,学生,已完成
PE000000151,2025-12-11 12:39:00,2025-12-11,流失,M0069777,E000523,S00097,广告投放,宝妈,已完成
PE000000152,2025-08-26 15:31:00,2025-08-26,退群,M0005884,E000502,S00120,老客推荐,新客,已完成
PE000000153,2025-11-11 17:44:00,2025-11-11,入群,M0008666,E000055,S00522,活动二维码,学生,已完成
PE000000154,2026-02-20 10:59:00,2026-02-20,加友,M0008750,E000126,S00759,老客推荐,学生,已完成
PE000000155,2026-03-30 13:28:00,2026-03-30,加友,M0013140,E000217,S00470,老客推荐,学生,已完成
PE000000156,2026-02-12 09:16:00,2026-02-12,流失,M0015912,E000263,S00180,活动二维码,宝妈,已完成
PE000000157,2026-04-27 10:18:00,2026-04-27,加友,M0036379,E000425,S00642,活动二维码,新客,已完成
PE000000158,2026-04-25 12:25:00,2026-04-25,流失,M0073479,E000060,S00173,员工分享,VIP,已完成
PE000000159,2026-03-01 22:58:00,2026-03-01,加友,M0058980,E000352,S00429,老客推荐,新客,已完成
PE000000160,2025-10-24 12:16:00,2025-10-24,加友,M0005953,E000074,S00870,广告投放,外卖客,已完成
PE000000161,2025-12-11 10:37:00,2025-12-11,加友,M0053160,E000489,S00040,活动二维码,VIP,已完成
PE000000162,2025-09-15 12:43:00,2025-09-15,入群,M0041221,E000301,S00601,员工分享,甜品控,已完成
PE000000163,2026-05-11 13:57:00,2026-05-11,加友,M0011451,E000161,S00798,门店扫码,学生,已完成
PE000000164,2025-10-08 12:54:00,2025-10-08,流失,M0046609,E000246,S00078,小程序,甜品控,已完成
PE000000165,2025-10-06 12:53:00,2025-10-06,入群,M0073726,E000254,S00883,门店扫码,外卖客,已完成
PE000000166,2025-10-17 21:52:00,2025-10-17,流失,M0038642,E000579,S00068,广告投放,学生,已完成
PE000000167,2026-01-31 13:25:00,2026-01-31,加友,M0036024,E000434,S00188,老客推荐,外卖客,已完成
PE000000168,2025-11-18 12:02:00,2025-11-18,加友,M0073056,E000135,S01103,员工分享,新客,已完成
PE000000169,2025-08-31 09:59:00,2025-08-31,加友,M0012985,E000187,S00121,员工分享,甜品控,已完成
PE000000170,2025-11-10 09:47:00,2025-11-10,退群,M0001983,E000243,S00101,门店扫码,VIP,已完成
PE000000171,2025-11-24 11:37:00,2025-11-24,加友,M0035634,E000418,S00225,老客推荐,咖啡爱好者,已完成
PE000000172,2026-03-15 17:09:00,2026-03-15,流失,M0063698,E000545,S00342,门店扫码,甜品控,已完成
PE000000173,2025-10-31 08:45:00,2025-10-31,加友,M0026482,E000410,S00705,员工分享,外卖客,已完成
PE000000174,2026-03-04 15:55:00,2026-03-04,加友,M0010081,E000534,S00477,员工分享,甜品控,已完成
PE000000175,2025-10-03 20:57:00,2025-10-03,流失,M0012951,E000520,S00663,员工分享,VIP,已完成
PE000000176,2026-01-24 16:40:00,2026-01-24,入群,M0053070,E000459,S00365,小程序,周末客,已完成
PE000000177,2025-11-23 17:57:00,2025-11-23,标签变更,M0011942,E000362,S00279,老客推荐,外卖客,已完成
PE000000178,2025-11-11 12:17:00,2025-11-11,加友,M0013468,E000563,S00461,老客推荐,宝妈,已完成
PE000000179,2025-10-18 22:51:00,2025-10-18,标签变更,M0047800,E000571,S00091,小程序,周末客,已完成
PE000000180,2026-05-01 09:57:00,2026-05-01,流失,M0071922,E000113,S00092,广告投放,学生,已完成
PE000000181,2025-10-20 13:04:00,2025-10-20,流失,M0014194,E000289,S00131,广告投放,咖啡爱好者,已完成
PE000000182,2026-04-02 20:48:00,2026-04-02,加友,M0021009,E000299,S01065,小程序,周末客,已完成
PE000000183,2026-04-06 16:10:00,2026-04-06,标签变更,M0040932,E000061,S00480,小程序,学生,已完成
PE000000184,2025-10-27 14:41:00,2025-10-27,标签变更,M0042036,E000340,S00720,门店扫码,周末客,已完成
PE000000185,2025-12-14 11:05:00,2025-12-14,加友,M0057809,E000130,S00840,门店扫码,周末客,已完成
PE000000186,2025-12-05 08:20:00,2025-12-05,加友,M0009288,E000010,S00447,门店扫码,宝妈,已完成
PE000000187,2026-01-13 11:15:00,2026-01-13,加友,M0003353,E000110,S01179,门店扫码,咖啡爱好者,已完成
PE000000188,2026-04-15 18:02:00,2026-04-15,流失,M0046188,E000543,S00480,老客推荐,宝妈,已完成
PE000000189,2026-05-18 08:50:00,2026-05-18,加友,M0037570,E000574,S00977,广告投放,VIP,已完成
PE000000190,2026-02-18 18:12:00,2026-02-18,退群,M0019942,E000038,S00589,门店扫码,咖啡爱好者,已完成
PE000000191,2025-11-09 08:38:00,2025-11-09,标签变更,M0046217,E000343,S01045,门店扫码,宝妈,已完成
PE000000192,2026-03-01 19:13:00,2026-03-01,加友,M0071379,E000233,S01156,广告投放,学生,已完成
PE000000193,2026-02-16 08:39:00,2026-02-16,退群,M0053410,E000268,S00328,活动二维码,外卖客,已完成
PE000000194,2025-10-08 22:55:00,2025-10-08,流失,M0069492,E000514,S00450,员工分享,宝妈,已完成
PE000000195,2025-11-16 22:00:00,2025-11-16,入群,M0023937,E000020,S00541,小程序,外卖客,已完成
PE000000196,2025-10-26 16:03:00,2025-10-26,入群,M0060631,E000598,S00266,广告投放,学生,已完成
PE000000197,2025-08-31 10:59:00,2025-08-31,加友,M0010399,E000375,S00606,活动二维码,外卖客,已完成
PE000000198,2025-12-14 14:01:00,2025-12-14,加友,M0000588,E000330,S00596,门店扫码,宝妈,已完成
PE000000199,2026-01-29 22:06:00,2026-01-29,入群,M0054640,E000586,S00080,活动二维码,咖啡爱好者,已完成
PE000000200,2026-03-01 09:18:00,2026-03-01,加友,M0043533,E000430,S00552,门店扫码,咖啡爱好者,已完成
