活动ID,活动名称,活动类型,业务日期,触达渠道,触达人次,查看人次,触达人数,打开率,触达后关联下单人数,触达后关联订单数,触达后关联GMV,归因窗口天数,归因规则,数据快照日期
CMP0014,拉新活动-0403,拉新活动,2026-04-13,朋友圈,10,4,10,0.4,1,1,37.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0045,新品上市-0305,新品上市,2026-03-20,社群,26,17,26,0.653846,3,4,158,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0030,复购唤醒-0402,复购唤醒,2026-02-21,企微1V1,17,8,17,0.470588,2,4,164.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0038,拉新活动-0320,拉新活动,2026-03-06,企微1V1,22,15,22,0.681818,1,1,42.9,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0021,私域专享-0324,私域专享,2026-04-23,企微1V1,13,7,13,0.538462,1,2,89.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0016,私域专享-0402,私域专享,2026-04-16,短信,5,4,5,0.8,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,2026-04-21,企微1V1,16,9,16,0.5625,1,1,48,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0015,新品上市-0316,新品上市,2026-04-06,社群,26,15,26,0.576923,2,3,93,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0047,新品上市-0403,新品上市,2026-04-15,企微1V1,15,8,15,0.533333,1,3,98.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0038,拉新活动-0320,拉新活动,2026-05-02,社群,24,15,24,0.625,3,3,103.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0038,拉新活动-0320,拉新活动,2026-02-20,企微1V1,26,13,26,0.5,3,4,144.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0037,拉新活动-0428,拉新活动,2026-02-24,企微1V1,34,22,34,0.647059,5,7,264.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0033,节日活动-0320,节日活动,2026-04-05,朋友圈,10,4,10,0.4,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0046,会员日-0316,会员日,2026-04-28,企微1V1,18,11,18,0.611111,1,2,82.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0003,新品上市-0425,新品上市,2026-02-20,社群,23,12,23,0.521739,2,4,171.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,2026-04-22,小程序消息,20,12,20,0.6,2,2,89.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0034,会员日-0429,会员日,2026-03-05,视频号,7,3,7,0.428571,1,2,92.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0041,拉新活动-0317,拉新活动,2026-04-10,小程序消息,12,4,12,0.333333,1,3,144,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0003,新品上市-0425,新品上市,2026-05-07,小程序消息,10,7,10,0.7,1,1,31,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0006,复购唤醒-0427,复购唤醒,2026-03-30,小程序消息,21,11,21,0.52381,3,4,130.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0001,拉新活动-0322,拉新活动,2026-04-12,社群,23,14,23,0.608696,3,5,172,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0030,复购唤醒-0402,复购唤醒,2026-05-18,小程序消息,12,9,12,0.75,1,1,36.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0043,复购唤醒-0426,复购唤醒,2026-03-25,社群,16,8,16,0.5,1,2,75.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0037,拉新活动-0428,拉新活动,2026-04-09,企微1V1,19,9,19,0.473684,1,3,118.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0020,拉新活动-0404,拉新活动,2026-03-05,企微1V1,20,14,20,0.7,2,2,82.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0020,拉新活动-0404,拉新活动,2026-05-16,朋友圈,9,5,9,0.555556,1,2,85.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0046,会员日-0316,会员日,2026-04-03,社群,17,8,16,0.470588,2,4,178.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,2026-03-21,小程序消息,13,7,13,0.538462,1,1,46.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0045,新品上市-0305,新品上市,2026-04-09,小程序消息,19,13,19,0.684211,2,3,144,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0048,私域专享-0406,私域专享,2026-03-24,小程序消息,10,7,10,0.7,1,3,93,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0019,新品上市-0503,新品上市,2026-03-08,视频号,4,1,4,0.25,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0018,私域专享-0429,私域专享,2026-05-05,社群,19,7,19,0.368421,1,2,68.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0009,复购唤醒-0303,复购唤醒,2026-04-23,社群,30,13,30,0.433333,2,4,144.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0007,复购唤醒-0407,复购唤醒,2026-04-22,朋友圈,5,4,5,0.8,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0017,私域专享-0224,私域专享,2026-04-18,朋友圈,7,2,7,0.285714,1,2,79,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0020,拉新活动-0404,拉新活动,2026-03-30,企微1V1,20,13,20,0.65,2,4,164.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0009,复购唤醒-0303,复购唤醒,2026-05-04,短信,4,4,4,1,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0035,复购唤醒-0302,复购唤醒,2026-05-10,视频号,9,7,9,0.777778,1,2,89.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0006,复购唤醒-0427,复购唤醒,2026-03-23,社群,23,13,23,0.565217,3,5,231.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0032,节日活动-0327,节日活动,2026-05-13,视频号,2,2,2,1,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0016,私域专享-0402,私域专享,2026-03-05,小程序消息,13,6,13,0.461538,1,2,62,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0004,拉新活动-0413,拉新活动,2026-05-16,小程序消息,16,10,16,0.625,1,3,98.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0002,新品上市-0307,新品上市,2026-04-01,朋友圈,8,6,8,0.75,1,1,34.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0015,新品上市-0316,新品上市,2026-03-26,企微1V1,18,10,18,0.555556,2,3,108.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0033,节日活动-0320,节日活动,2026-04-09,企微1V1,19,9,19,0.473684,2,4,151.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0007,复购唤醒-0407,复购唤醒,2026-04-10,企微1V1,17,12,17,0.705882,2,2,79,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0039,会员日-0422,会员日,2026-04-15,企微1V1,23,6,23,0.26087,3,4,164.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0025,拉新活动-0418,拉新活动,2026-03-18,企微1V1,26,12,26,0.461538,3,5,214.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0028,节日活动-0226,节日活动,2026-04-24,视频号,8,6,8,0.75,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0040,私域专享-0415,私域专享,2026-04-01,企微1V1,17,11,17,0.647059,1,2,92.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0014,拉新活动-0403,拉新活动,2026-03-04,小程序消息,12,5,12,0.416667,1,3,144,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0048,私域专享-0406,私域专享,2026-03-21,企微1V1,20,12,20,0.6,2,2,62,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0031,会员日-0225,会员日,2026-03-12,企微1V1,27,19,27,0.703704,2,3,98.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0016,私域专享-0402,私域专享,2026-03-10,企微1V1,12,4,12,0.333333,1,3,103.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0016,私域专享-0402,私域专享,2026-05-08,企微1V1,25,12,25,0.48,3,3,108.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0008,新品上市-0308,新品上市,2026-05-10,小程序消息,11,7,11,0.636364,1,2,75.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0044,会员日-0423,会员日,2026-05-04,企微1V1,19,8,19,0.421053,3,5,197.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0023,拉新活动-0313,拉新活动,2026-04-21,视频号,1,1,1,1,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0042,会员日-0409,会员日,2026-04-13,企微1V1,26,8,26,0.307692,1,2,85.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0027,会员日-0305,会员日,2026-02-23,企微1V1,30,16,30,0.533333,2,4,178.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0024,节日活动-0223,节日活动,2026-04-08,企微1V1,19,11,19,0.578947,1,1,46.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0008,新品上市-0308,新品上市,2026-03-26,小程序消息,16,6,16,0.375,1,2,96,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0036,复购唤醒-0309,复购唤醒,2026-02-21,朋友圈,6,4,6,0.666667,1,3,93,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0048,私域专享-0406,私域专享,2026-05-03,社群,22,9,22,0.409091,2,2,65.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,2026-04-08,企微1V1,23,13,23,0.565217,3,4,137.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0009,复购唤醒-0303,复购唤醒,2026-04-01,企微1V1,20,10,20,0.5,3,5,180.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0044,会员日-0423,会员日,2026-03-10,企微1V1,20,11,20,0.55,1,1,37.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0012,节日活动-0416,节日活动,2026-05-03,企微1V1,25,12,25,0.48,1,2,79,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0016,私域专享-0402,私域专享,2026-03-22,社群,28,16,28,0.571429,2,4,164.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0009,复购唤醒-0303,复购唤醒,2026-05-10,视频号,4,2,4,0.5,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0032,节日活动-0327,节日活动,2026-04-07,社群,27,13,27,0.481481,2,3,133.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0025,拉新活动-0418,拉新活动,2026-05-01,社群,20,12,20,0.6,2,4,185.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0035,复购唤醒-0302,复购唤醒,2026-05-05,社群,25,17,25,0.68,3,3,144,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,2026-04-19,企微1V1,18,13,18,0.722222,2,3,93,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0036,复购唤醒-0309,复购唤醒,2026-04-19,社群,24,13,24,0.541667,3,5,163.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0022,节日活动-0219,节日活动,2026-04-14,社群,21,16,21,0.761905,1,1,34.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0022,节日活动-0219,节日活动,2026-03-06,企微1V1,17,9,17,0.529412,1,2,72.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0050,新品上市-0226,新品上市,2026-05-17,企微1V1,27,15,27,0.555556,2,4,151.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0035,复购唤醒-0302,复购唤醒,2026-04-22,短信,9,5,9,0.555556,1,1,39.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0048,私域专享-0406,私域专享,2026-02-25,社群,21,10,21,0.47619,2,3,123.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0003,新品上市-0425,新品上市,2026-05-10,朋友圈,8,3,8,0.375,1,3,128.7,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0027,会员日-0305,会员日,2026-05-20,社群,29,12,29,0.413793,3,3,133.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0031,会员日-0225,会员日,2026-02-24,小程序消息,19,9,19,0.473684,2,3,138.9,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0002,新品上市-0307,新品上市,2026-03-18,社群,23,12,23,0.521739,3,5,240,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0005,新品上市-0424,新品上市,2026-05-03,企微1V1,24,8,24,0.333333,1,1,31,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0016,私域专享-0402,私域专享,2026-04-18,视频号,5,2,5,0.4,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0018,私域专享-0429,私域专享,2026-02-26,视频号,3,1,3,0.333333,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0010,复购唤醒-0403,复购唤醒,2026-04-27,小程序消息,13,9,13,0.692308,1,1,36.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0021,私域专享-0324,私域专享,2026-04-11,企微1V1,32,21,32,0.65625,3,4,151.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0026,拉新活动-0313,拉新活动,2026-02-25,社群,22,14,22,0.636364,2,4,158,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0014,拉新活动-0403,拉新活动,2026-05-01,视频号,6,3,6,0.5,1,1,41.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0033,节日活动-0320,节日活动,2026-05-14,社群,22,8,22,0.363636,3,4,171.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0025,拉新活动-0418,拉新活动,2026-04-18,社群,23,7,23,0.304348,3,5,223,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0027,会员日-0305,会员日,2026-04-16,企微1V1,17,12,17,0.705882,1,1,46.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0015,新品上市-0316,新品上市,2026-03-22,小程序消息,10,6,10,0.6,1,2,96,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0023,拉新活动-0313,拉新活动,2026-05-11,企微1V1,26,9,26,0.346154,2,4,124,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0033,节日活动-0320,节日活动,2026-03-20,视频号,3,3,3,1,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0008,新品上市-0308,新品上市,2026-04-11,社群,21,15,21,0.714286,2,3,103.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0009,复购唤醒-0303,复购唤醒,2026-03-31,企微1V1,19,10,19,0.526316,2,4,144.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0044,会员日-0423,会员日,2026-05-15,企微1V1,31,17,31,0.548387,3,3,113.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0032,节日活动-0327,节日活动,2026-03-16,短信,6,3,6,0.5,1,2,79,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0042,会员日-0409,会员日,2026-02-25,朋友圈,14,8,14,0.571429,2,4,164.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0003,新品上市-0425,新品上市,2026-04-16,视频号,5,3,5,0.6,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0045,新品上市-0305,新品上市,2026-03-22,社群,15,6,15,0.4,1,2,89.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0041,拉新活动-0317,拉新活动,2026-04-22,朋友圈,12,8,12,0.666667,1,3,138.9,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0014,拉新活动-0403,拉新活动,2026-05-07,社群,17,7,17,0.411765,1,1,48,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0004,拉新活动-0413,拉新活动,2026-04-21,小程序消息,12,3,12,0.25,1,2,62,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0009,复购唤醒-0303,复购唤醒,2026-03-14,短信,2,0,2,0,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0043,复购唤醒-0426,复购唤醒,2026-03-21,小程序消息,19,10,19,0.526316,2,2,68.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0034,会员日-0429,会员日,2026-03-24,企微1V1,17,11,17,0.647059,2,3,108.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0047,新品上市-0403,新品上市,2026-05-16,朋友圈,7,3,7,0.428571,1,3,113.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0017,私域专享-0224,私域专享,2026-05-16,社群,26,14,26,0.538462,1,1,39.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0034,会员日-0429,会员日,2026-03-29,小程序消息,13,9,13,0.692308,1,2,82.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0048,私域专享-0406,私域专享,2026-03-20,短信,7,3,7,0.428571,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0017,私域专享-0224,私域专享,2026-02-20,小程序消息,10,6,10,0.6,1,1,44.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0050,新品上市-0226,新品上市,2026-05-05,视频号,1,1,1,1,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0002,新品上市-0307,新品上市,2026-03-26,社群,13,7,13,0.538462,1,3,144,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0045,新品上市-0305,新品上市,2026-05-16,企微1V1,17,9,17,0.529412,2,2,62,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0002,新品上市-0307,新品上市,2026-03-04,朋友圈,9,4,9,0.444444,1,2,65.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0015,新品上市-0316,新品上市,2026-02-19,企微1V1,28,15,28,0.535714,4,6,206.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0019,新品上市-0503,新品上市,2026-03-01,企微1V1,22,11,22,0.5,1,1,36.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0005,新品上市-0424,新品上市,2026-04-20,社群,28,20,28,0.714286,2,3,113.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0050,新品上市-0226,新品上市,2026-04-10,朋友圈,8,6,8,0.75,1,3,118.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0016,私域专享-0402,私域专享,2026-03-28,朋友圈,7,3,7,0.428571,1,1,41.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0034,会员日-0429,会员日,2026-04-16,小程序消息,16,10,16,0.625,1,2,85.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0037,拉新活动-0428,拉新活动,2026-04-15,朋友圈,6,5,6,0.833333,1,3,133.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0011,私域专享-0326,私域专享,2026-03-05,小程序消息,11,4,11,0.363636,1,1,46.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0009,复购唤醒-0303,复购唤醒,2026-05-09,企微1V1,29,17,29,0.586207,4,5,240,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0020,拉新活动-0404,拉新活动,2026-05-03,企微1V1,19,10,19,0.526316,3,5,155,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0006,复购唤醒-0427,复购唤醒,2026-04-27,小程序消息,9,4,9,0.444444,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0035,复购唤醒-0302,复购唤醒,2026-03-29,企微1V1,20,11,20,0.55,1,2,68.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0043,复购唤醒-0426,复购唤醒,2026-02-26,企微1V1,13,9,13,0.692308,1,3,108.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0011,私域专享-0326,私域专享,2026-02-21,企微1V1,20,9,20,0.45,2,2,75.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0012,节日活动-0416,节日活动,2026-03-02,企微1V1,25,10,25,0.4,2,3,118.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0018,私域专享-0429,私域专享,2026-05-01,小程序消息,14,10,14,0.714286,1,3,123.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0020,拉新活动-0404,拉新活动,2026-03-17,社群,19,10,19,0.526316,2,2,85.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0002,新品上市-0307,新品上市,2026-04-06,朋友圈,9,4,9,0.444444,1,2,89.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0049,拉新活动-0418,拉新活动,2026-03-29,社群,21,10,21,0.47619,3,5,231.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0002,新品上市-0307,新品上市,2026-02-27,朋友圈,6,4,6,0.666667,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0019,新品上市-0503,新品上市,2026-05-20,企微1V1,27,10,27,0.37037,2,3,93,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0036,复购唤醒-0309,复购唤醒,2026-03-25,视频号,3,2,3,0.666667,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0050,新品上市-0226,新品上市,2026-04-12,企微1V1,18,11,18,0.611111,1,1,34.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0004,拉新活动-0413,拉新活动,2026-03-06,企微1V1,22,12,22,0.545455,2,3,108.3,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0011,私域专享-0326,私域专享,2026-03-23,小程序消息,18,9,18,0.5,2,4,151.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0034,会员日-0429,会员日,2026-04-26,社群,24,10,24,0.416667,3,3,118.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0019,新品上市-0503,新品上市,2026-02-26,企微1V1,28,15,28,0.535714,3,4,164.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0011,私域专享-0326,私域专享,2026-05-02,社群,23,11,23,0.478261,3,5,214.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0025,拉新活动-0418,拉新活动,2026-03-11,企微1V1,16,9,16,0.5625,1,1,44.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0012,节日活动-0416,节日活动,2026-05-09,小程序消息,14,8,14,0.571429,1,2,92.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0046,会员日-0316,会员日,2026-05-03,社群,12,7,12,0.583333,1,3,144,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0040,私域专享-0415,私域专享,2026-02-26,企微1V1,20,12,20,0.6,2,2,62,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0015,新品上市-0316,新品上市,2026-04-12,社群,24,17,24,0.708333,2,3,98.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0041,拉新活动-0317,拉新活动,2026-02-25,小程序消息,15,6,15,0.4,1,3,103.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0049,拉新活动-0418,拉新活动,2026-03-02,朋友圈,10,4,10,0.4,1,1,36.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0010,复购唤醒-0403,复购唤醒,2026-04-17,小程序消息,12,8,12,0.666667,1,2,75.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0013,复购唤醒-0428,复购唤醒,2026-03-02,社群,13,5,13,0.384615,2,4,158,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0045,新品上市-0305,新品上市,2026-04-14,企微1V1,20,11,20,0.55,1,1,41.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0010,复购唤醒-0403,复购唤醒,2026-03-23,社群,14,10,14,0.714286,1,2,85.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0047,新品上市-0403,新品上市,2026-05-16,企微1V1,24,11,24,0.458333,2,4,178.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0026,拉新活动-0313,拉新活动,2026-05-16,企微1V1,28,16,28,0.571429,2,2,92.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,2026-03-23,社群,17,11,17,0.647059,2,3,144,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0022,节日活动-0219,节日活动,2026-03-20,企微1V1,17,10,17,0.588235,2,4,124,7,下单前最近一次有效触达；每订单唯一,2026-06-24
