门店ID,门店名称,城市,城市层级,店型,商圈,新店标签,是否90天内新店,开业日期,业务日期,订单数,销售额,会员订单数,开业天数,爬坡阶段,门店成长类型,平均客单价,会员订单占比
S00023,济南社区0023店,济南,二线,标准店,社区,非新店,FALSE,2023-11-30,2026-05-06,9,770.0899999999999,6,888,Comp老店,Comp老店,85.56555555555555,0.666666666666667
S00024,无锡交通枢纽0024店,无锡,二线,外卖店,交通枢纽,非新店,FALSE,2023-03-03,2026-04-15,6,230.0,2,1139,Comp老店,Comp老店,38.333333333333336,0.333333333333333
S00024,无锡交通枢纽0024店,无锡,二线,外卖店,交通枢纽,非新店,FALSE,2023-03-03,2026-04-18,7,425.99,5,1142,Comp老店,Comp老店,60.855714285714285,0.714285714285714
S00024,无锡交通枢纽0024店,无锡,二线,外卖店,交通枢纽,非新店,FALSE,2023-03-03,2026-04-25,8,815.03,5,1149,Comp老店,Comp老店,101.87875,0.625
S00024,无锡交通枢纽0024店,无锡,二线,外卖店,交通枢纽,非新店,FALSE,2023-03-03,2026-05-05,6,234.0,3,1159,Comp老店,Comp老店,39.0,0.5
S00024,无锡交通枢纽0024店,无锡,二线,外卖店,交通枢纽,非新店,FALSE,2023-03-03,2026-05-11,6,364.21,3,1165,Comp老店,Comp老店,60.70166666666666,0.5
S00025,无锡购物中心0025店,无锡,二线,外卖店,购物中心,非新店,FALSE,2021-06-02,2026-03-23,7,659.69,4,1755,Comp老店,Comp老店,94.24142857142859,0.571428571428571
S00025,无锡购物中心0025店,无锡,二线,外卖店,购物中心,非新店,FALSE,2021-06-02,2026-03-28,8,424.4,4,1760,Comp老店,Comp老店,53.05,0.5
S00025,无锡购物中心0025店,无锡,二线,外卖店,购物中心,非新店,FALSE,2021-06-02,2026-05-20,10,654.9200000000001,6,1813,Comp老店,Comp老店,65.492,0.6
S00027,南京交通枢纽0027店,南京,新一线,快取店,交通枢纽,非新店,FALSE,2021-10-26,2026-03-28,11,792.5,5,1614,Comp老店,Comp老店,72.04545454545455,0.454545454545454
S00027,南京交通枢纽0027店,南京,新一线,快取店,交通枢纽,非新店,FALSE,2021-10-26,2026-05-01,8,1869.5,6,1648,Comp老店,Comp老店,233.6875,0.75
S00027,南京交通枢纽0027店,南京,新一线,快取店,交通枢纽,非新店,FALSE,2021-10-26,2026-05-08,11,733.71,6,1655,Comp老店,Comp老店,66.7009090909091,0.545454545454546
S00028,东莞社区0028店,东莞,新一线,校园店,社区,非新店,FALSE,2021-06-17,2026-03-19,6,1673.43,4,1736,Comp老店,Comp老店,278.90500000000003,0.666666666666667
S00029,宁波购物中心0029店,宁波,新一线,标准店,购物中心,非新店,FALSE,2022-02-04,2026-04-15,15,763.81,10,1531,Comp老店,Comp老店,50.92066666666666,0.666666666666667
S00029,宁波购物中心0029店,宁波,新一线,标准店,购物中心,非新店,FALSE,2022-02-04,2026-04-17,12,2268.29,4,1533,Comp老店,Comp老店,189.02416666666667,0.333333333333333
S00030,北京CBD0030店,北京,一线,标准店,CBD,非新店,FALSE,2024-10-30,2026-03-31,15,1049.44,12,517,Comp老店,Comp老店,69.96266666666666,0.8
S00030,北京CBD0030店,北京,一线,标准店,CBD,非新店,FALSE,2024-10-30,2026-04-20,22,1542.17,13,537,Comp老店,Comp老店,70.09863636363637,0.590909090909091
S00030,北京CBD0030店,北京,一线,标准店,CBD,非新店,FALSE,2024-10-30,2026-05-17,21,3229.2300000000005,15,564,Comp老店,Comp老店,153.77285714285716,0.714285714285714
S00030,北京CBD0030店,北京,一线,标准店,CBD,非新店,FALSE,2024-10-30,2026-05-19,18,1174.75,13,566,Comp老店,Comp老店,65.26388888888889,0.722222222222222
S00031,武汉写字楼0031店,武汉,新一线,标准店,写字楼,非新店,FALSE,2023-11-29,2026-03-31,16,1291.01,10,853,Comp老店,Comp老店,80.688125,0.625
S00031,武汉写字楼0031店,武汉,新一线,标准店,写字楼,非新店,FALSE,2023-11-29,2026-04-13,18,1101.81,10,866,Comp老店,Comp老店,61.211666666666666,0.555555555555556
S00031,武汉写字楼0031店,武汉,新一线,标准店,写字楼,非新店,FALSE,2023-11-29,2026-04-23,15,1763.81,11,876,Comp老店,Comp老店,117.58733333333333,0.733333333333333
S00032,长沙校园0032店,长沙,新一线,外卖店,校园,非新店,FALSE,2021-08-10,2026-03-25,8,604.0,2,1688,Comp老店,Comp老店,75.5,0.25
S00032,长沙校园0032店,长沙,新一线,外卖店,校园,非新店,FALSE,2021-08-10,2026-03-28,6,418.0,2,1691,Comp老店,Comp老店,69.66666666666667,0.333333333333333
S00032,长沙校园0032店,长沙,新一线,外卖店,校园,非新店,FALSE,2021-08-10,2026-05-12,7,791.61,6,1736,Comp老店,Comp老店,113.08714285714287,0.857142857142857
S00034,贵阳交通枢纽0034店,贵阳,二线,标准店,交通枢纽,非新店,FALSE,2021-08-12,2026-05-08,8,432.27,5,1730,Comp老店,Comp老店,54.03375,0.625
S00035,哈尔滨社区0035店,哈尔滨,二线,旗舰店,社区,非新店,FALSE,2025-07-18,2026-04-02,14,1056.69,7,258,Comp老店,次新店,75.47785714285715,0.5
S00035,哈尔滨社区0035店,哈尔滨,二线,旗舰店,社区,非新店,FALSE,2025-07-18,2026-05-13,11,1094.83,6,299,Comp老店,次新店,99.52999999999999,0.545454545454546
S00036,兰州交通枢纽0036店,兰州,三线,快取店,交通枢纽,非新店,FALSE,2023-07-16,2026-03-31,7,480.0,3,989,Comp老店,Comp老店,68.57142857142857,0.428571428571429
S00036,兰州交通枢纽0036店,兰州,三线,快取店,交通枢纽,非新店,FALSE,2023-07-16,2026-04-21,5,389.56,3,1010,Comp老店,Comp老店,77.912,0.6
S00036,兰州交通枢纽0036店,兰州,三线,快取店,交通枢纽,非新店,FALSE,2023-07-16,2026-04-27,5,217.81,2,1016,Comp老店,Comp老店,43.562,0.4
S00037,广州社区0037店,广州,一线,外卖店,社区,非新店,FALSE,2022-05-16,2026-03-18,11,827.64,6,1402,Comp老店,Comp老店,75.24,0.545454545454546
S00037,广州社区0037店,广州,一线,外卖店,社区,非新店,FALSE,2022-05-16,2026-05-20,13,841.49,9,1465,Comp老店,Comp老店,64.73,0.692307692307692
S00038,广州交通枢纽0038店,广州,一线,外卖店,交通枢纽,非新店,FALSE,2021-02-22,2026-03-26,7,318.1,5,1858,Comp老店,Comp老店,45.44285714285714,0.714285714285714
S00038,广州交通枢纽0038店,广州,一线,外卖店,交通枢纽,非新店,FALSE,2021-02-22,2026-04-21,9,718.63,3,1884,Comp老店,Comp老店,79.84777777777778,0.333333333333333
S00038,广州交通枢纽0038店,广州,一线,外卖店,交通枢纽,非新店,FALSE,2021-02-22,2026-04-28,11,669.07,8,1891,Comp老店,Comp老店,60.82454545454546,0.727272727272727
S00039,天津社区0039店,天津,新一线,外卖店,社区,非新店,FALSE,2025-04-23,2026-04-04,7,633.85,2,346,Comp老店,次新店,90.55,0.285714285714286
S00039,天津社区0039店,天津,新一线,外卖店,社区,非新店,FALSE,2025-04-23,2026-04-30,7,393.04,3,372,Comp老店,Comp老店,56.14857142857143,0.428571428571429
S00040,天津购物中心0040店,天津,新一线,快取店,购物中心,非新店,FALSE,2023-01-31,2026-02-28,10,582.51,5,1124,Comp老店,Comp老店,58.251,0.5
S00040,天津购物中心0040店,天津,新一线,快取店,购物中心,非新店,FALSE,2023-01-31,2026-03-03,10,2179.87,6,1127,Comp老店,Comp老店,217.987,0.6
S00040,天津购物中心0040店,天津,新一线,快取店,购物中心,非新店,FALSE,2023-01-31,2026-03-05,13,916.9,7,1129,Comp老店,Comp老店,70.53076923076922,0.538461538461539
S00040,天津购物中心0040店,天津,新一线,快取店,购物中心,非新店,FALSE,2023-01-31,2026-03-11,12,1786.4599999999998,8,1135,Comp老店,Comp老店,148.87166666666664,0.666666666666667
S00040,天津购物中心0040店,天津,新一线,快取店,购物中心,非新店,FALSE,2023-01-31,2026-04-02,11,836.26,6,1157,Comp老店,Comp老店,76.02363636363636,0.545454545454546
S00040,天津购物中心0040店,天津,新一线,快取店,购物中心,非新店,FALSE,2023-01-31,2026-04-04,13,1152.35,8,1159,Comp老店,Comp老店,88.64230769230768,0.615384615384615
S00040,天津购物中心0040店,天津,新一线,快取店,购物中心,非新店,FALSE,2023-01-31,2026-05-12,12,1975.45,7,1197,Comp老店,Comp老店,164.62083333333334,0.583333333333333
S00041,北京街边店0041店,北京,一线,标准店,街边店,非新店,FALSE,2022-03-12,2026-04-04,15,799.56,11,1484,Comp老店,Comp老店,53.303999999999995,0.733333333333333
S00041,北京街边店0041店,北京,一线,标准店,街边店,非新店,FALSE,2022-03-12,2026-04-10,10,934.0,4,1490,Comp老店,Comp老店,93.4,0.4
S00041,北京街边店0041店,北京,一线,标准店,街边店,非新店,FALSE,2022-03-12,2026-05-17,11,667.61,6,1527,Comp老店,Comp老店,60.691818181818185,0.545454545454546
S00042,嘉兴交通枢纽0042店,嘉兴,二线,快取店,交通枢纽,非新店,FALSE,2023-05-05,2026-04-15,9,486.22,6,1076,Comp老店,Comp老店,54.02444444444445,0.666666666666667
S00042,嘉兴交通枢纽0042店,嘉兴,二线,快取店,交通枢纽,非新店,FALSE,2023-05-05,2026-04-25,9,571.6800000000001,7,1086,Comp老店,Comp老店,63.52000000000001,0.777777777777778
S00043,宁波购物中心0043店,宁波,新一线,标准店,购物中心,非新店,FALSE,2021-07-01,2026-03-23,12,1139.0,6,1726,Comp老店,Comp老店,94.91666666666667,0.5
S00043,宁波购物中心0043店,宁波,新一线,标准店,购物中心,非新店,FALSE,2021-07-01,2026-04-15,14,2185.06,8,1749,Comp老店,Comp老店,156.07571428571427,0.571428571428571
S00043,宁波购物中心0043店,宁波,新一线,标准店,购物中心,非新店,FALSE,2021-07-01,2026-05-06,14,994.96,11,1770,Comp老店,Comp老店,71.06857142857143,0.785714285714286
S00043,宁波购物中心0043店,宁波,新一线,标准店,购物中心,非新店,FALSE,2021-07-01,2026-05-10,15,1915.0200000000002,9,1774,Comp老店,Comp老店,127.66800000000002,0.6
S00043,宁波购物中心0043店,宁波,新一线,标准店,购物中心,非新店,FALSE,2021-07-01,2026-05-12,14,981.47,9,1776,Comp老店,Comp老店,70.105,0.642857142857143
S00043,宁波购物中心0043店,宁波,新一线,标准店,购物中心,非新店,FALSE,2021-07-01,2026-05-20,17,2344.0,11,1784,Comp老店,Comp老店,137.88235294117646,0.647058823529412
S00044,佛山购物中心0044店,佛山,新一线,标准店,购物中心,非新店,FALSE,2021-06-13,2026-03-22,14,1053.3400000000001,8,1743,Comp老店,Comp老店,75.23857142857143,0.571428571428571
S00045,北京交通枢纽0045店,北京,一线,外卖店,交通枢纽,非新店,FALSE,2025-07-16,2026-04-14,9,641.1700000000001,7,272,Comp老店,次新店,71.24111111111112,0.777777777777778
S00046,南京交通枢纽0046店,南京,新一线,标准店,交通枢纽,非新店,FALSE,2023-10-18,2026-04-03,13,1370.9799999999998,4,898,Comp老店,Comp老店,105.45999999999998,0.307692307692308
S00046,南京交通枢纽0046店,南京,新一线,标准店,交通枢纽,非新店,FALSE,2023-10-18,2026-04-24,11,436.86,6,919,Comp老店,Comp老店,39.71454545454546,0.545454545454546
S00046,南京交通枢纽0046店,南京,新一线,标准店,交通枢纽,非新店,FALSE,2023-10-18,2026-04-30,12,796.11,7,925,Comp老店,Comp老店,66.3425,0.583333333333333
S00047,杭州社区0047店,杭州,新一线,标准店,社区,非新店,FALSE,2025-06-27,2026-04-12,11,803.0799999999999,8,289,Comp老店,次新店,73.00727272727272,0.727272727272727
S00047,杭州社区0047店,杭州,新一线,标准店,社区,非新店,FALSE,2025-06-27,2026-04-13,9,537.14,5,290,Comp老店,次新店,59.68222222222222,0.555555555555556
S00047,杭州社区0047店,杭州,新一线,标准店,社区,非新店,FALSE,2025-06-27,2026-04-15,8,527.79,6,292,Comp老店,次新店,65.97375,0.75
S00047,杭州社区0047店,杭州,新一线,标准店,社区,非新店,FALSE,2025-06-27,2026-04-18,10,622.51,8,295,Comp老店,次新店,62.251,0.8
S00047,杭州社区0047店,杭州,新一线,标准店,社区,非新店,FALSE,2025-06-27,2026-04-21,11,3207.9300000000003,5,298,Comp老店,次新店,291.63000000000005,0.454545454545454
S00047,杭州社区0047店,杭州,新一线,标准店,社区,非新店,FALSE,2025-06-27,2026-04-25,9,2363.44,4,302,Comp老店,次新店,262.6044444444444,0.444444444444444
S00048,长春购物中心0048店,长春,二线,校园店,购物中心,非新店,FALSE,2021-09-05,2026-03-25,7,345.29999999999995,5,1662,Comp老店,Comp老店,49.32857142857142,0.714285714285714
S00048,长春购物中心0048店,长春,二线,校园店,购物中心,非新店,FALSE,2021-09-05,2026-04-28,10,776.43,6,1696,Comp老店,Comp老店,77.643,0.6
S00049,昆明购物中心0049店,昆明,二线,标准店,购物中心,非新店,FALSE,2024-09-30,2026-05-04,13,1737.5000000000002,8,581,Comp老店,Comp老店,133.65384615384616,0.615384615384615
S00049,昆明购物中心0049店,昆明,二线,标准店,购物中心,非新店,FALSE,2024-09-30,2026-05-15,11,619.2099999999999,9,592,Comp老店,Comp老店,56.29181818181817,0.818181818181818
S00050,温州交通枢纽0050店,温州,二线,标准店,交通枢纽,非新店,FALSE,2021-09-28,2026-03-01,12,842.27,8,1615,Comp老店,Comp老店,70.18916666666667,0.666666666666667
S00050,温州交通枢纽0050店,温州,二线,标准店,交通枢纽,非新店,FALSE,2021-09-28,2026-03-15,10,2088.44,5,1629,Comp老店,Comp老店,208.844,0.5
S00050,温州交通枢纽0050店,温州,二线,标准店,交通枢纽,非新店,FALSE,2021-09-28,2026-04-09,7,590.0,4,1654,Comp老店,Comp老店,84.28571428571429,0.571428571428571
S00051,上海写字楼0051店,上海,一线,快取店,写字楼,非新店,FALSE,2023-10-23,2026-04-03,16,626.76,8,893,Comp老店,Comp老店,39.1725,0.5
S00051,上海写字楼0051店,上海,一线,快取店,写字楼,非新店,FALSE,2023-10-23,2026-04-15,18,1533.6,9,905,Comp老店,Comp老店,85.19999999999999,0.5
S00051,上海写字楼0051店,上海,一线,快取店,写字楼,非新店,FALSE,2023-10-23,2026-05-02,21,1310.8799999999999,14,922,Comp老店,Comp老店,62.42285714285714,0.666666666666667
S00051,上海写字楼0051店,上海,一线,快取店,写字楼,非新店,FALSE,2023-10-23,2026-05-14,16,884.8000000000001,11,934,Comp老店,Comp老店,55.300000000000004,0.6875
S00053,武汉校园0053店,武汉,新一线,快取店,校园,非新店,FALSE,2021-06-30,2026-03-20,14,836.4399999999999,8,1724,Comp老店,Comp老店,59.74571428571428,0.571428571428571
S00053,武汉校园0053店,武汉,新一线,快取店,校园,非新店,FALSE,2021-06-30,2026-03-28,10,661.6,7,1732,Comp老店,Comp老店,66.16,0.7
S00053,武汉校园0053店,武汉,新一线,快取店,校园,非新店,FALSE,2021-06-30,2026-04-10,9,754.5899999999999,5,1745,Comp老店,Comp老店,83.84333333333332,0.555555555555556
S00053,武汉校园0053店,武汉,新一线,快取店,校园,非新店,FALSE,2021-06-30,2026-05-05,10,1885.98,6,1770,Comp老店,Comp老店,188.598,0.6
S00053,武汉校园0053店,武汉,新一线,快取店,校园,非新店,FALSE,2021-06-30,2026-05-18,8,1930.25,7,1783,Comp老店,Comp老店,241.28125,0.875
S00053,武汉校园0053店,武汉,新一线,快取店,校园,非新店,FALSE,2021-06-30,2026-05-19,8,502.09000000000003,6,1784,Comp老店,Comp老店,62.761250000000004,0.75
S00054,泉州交通枢纽0054店,泉州,二线,外卖店,交通枢纽,非新店,FALSE,2024-09-13,2026-04-24,6,682.12,4,588,Comp老店,Comp老店,113.68666666666667,0.666666666666667
S00054,泉州交通枢纽0054店,泉州,二线,外卖店,交通枢纽,非新店,FALSE,2024-09-13,2026-05-04,6,302.31,3,598,Comp老店,Comp老店,50.385,0.5
S00054,泉州交通枢纽0054店,泉州,二线,外卖店,交通枢纽,非新店,FALSE,2024-09-13,2026-05-17,8,559.65,5,611,Comp老店,Comp老店,69.95625,0.625
S00056,昆明写字楼0056店,昆明,二线,标准店,写字楼,非新店,FALSE,2021-08-22,2026-05-09,15,942.84,6,1721,Comp老店,Comp老店,62.856,0.4
S00057,珠海购物中心0057店,珠海,二线,标准店,购物中心,非新店,FALSE,2023-06-13,2026-04-02,12,801.54,6,1024,Comp老店,Comp老店,66.795,0.5
S00057,珠海购物中心0057店,珠海,二线,标准店,购物中心,非新店,FALSE,2023-06-13,2026-04-26,16,1628.06,8,1048,Comp老店,Comp老店,101.75375,0.5
S00057,珠海购物中心0057店,珠海,二线,标准店,购物中心,非新店,FALSE,2023-06-13,2026-05-11,9,596.47,5,1063,Comp老店,Comp老店,66.27444444444444,0.555555555555556
S00058,深圳购物中心0058店,深圳,一线,旗舰店,购物中心,非新店,FALSE,2023-01-25,2026-03-23,39,2511.38,27,1153,Comp老店,Comp老店,64.39435897435898,0.692307692307692
S00058,深圳购物中心0058店,深圳,一线,旗舰店,购物中心,非新店,FALSE,2023-01-25,2026-04-07,33,1917.1699999999998,19,1168,Comp老店,Comp老店,58.096060606060604,0.575757575757576
S00058,深圳购物中心0058店,深圳,一线,旗舰店,购物中心,非新店,FALSE,2023-01-25,2026-04-29,40,2496.58,26,1190,Comp老店,Comp老店,62.4145,0.65
S00058,深圳购物中心0058店,深圳,一线,旗舰店,购物中心,非新店,FALSE,2023-01-25,2026-05-17,41,2969.83,26,1208,Comp老店,Comp老店,72.43487804878049,0.634146341463415
S00059,长沙写字楼0059店,长沙,新一线,快取店,写字楼,非新店,FALSE,2021-06-08,2026-03-19,7,606.35,4,1745,Comp老店,Comp老店,86.62142857142858,0.571428571428571
S00059,长沙写字楼0059店,长沙,新一线,快取店,写字楼,非新店,FALSE,2021-06-08,2026-04-03,9,865.01,5,1760,Comp老店,Comp老店,96.11222222222221,0.555555555555556
S00059,长沙写字楼0059店,长沙,新一线,快取店,写字楼,非新店,FALSE,2021-06-08,2026-05-02,10,839.1700000000001,9,1789,Comp老店,Comp老店,83.917,0.9
S00060,成都CBD0060店,成都,新一线,标准店,CBD,非新店,FALSE,2024-08-17,2026-02-26,12,665.6,3,558,Comp老店,Comp老店,55.46666666666667,0.25
S00060,成都CBD0060店,成都,新一线,标准店,CBD,非新店,FALSE,2024-08-17,2026-03-09,18,915.9300000000001,7,569,Comp老店,Comp老店,50.885000000000005,0.388888888888889
S00060,成都CBD0060店,成都,新一线,标准店,CBD,非新店,FALSE,2024-08-17,2026-03-14,16,1154.8200000000002,6,574,Comp老店,Comp老店,72.17625000000001,0.375
