门店ID,加盟商ID,门店类型,签约日期,合同期年数,到期日,分成模型,续约状态,总投资额,可回收投资,不可回收投资,投资起始日,经营月数,累计营收,累计店面贡献利润,月均店面贡献利润,平均贡献利润率,累计回本率,预计完整回本月数,已开业月数,剩余回本月数,回本状态,预计完整回本日期,招商承诺回本月数,回本偏离度,回本风险等级,标杆门店标志,数据快照日期
S00856,F0121,商场店,2023-06-11,5,2028-06-09,固定加盟费+流水分成,未到期,1647380,353949,1293431,2023-06-11,4,148657.62999999998,3514.809999999985,878.7024999999962,0.025057426086294,0.002134,1875,36,1839,测算中,2179-09-11,24.0,1851,严重,FALSE,2026-06-24
S00916,F0003,快取店,2025-05-21,3,2028-05-20,固定加盟费+流水分成,未到期,895472,389549,505923,2025-05-21,4,82144.35999999999,24157.33999999999,6039.334999999997,0.309880153209001,0.026977,149,13,136,测算中,2037-10-21,15.0,134,严重,FALSE,2026-06-24
S00941,F0017,学校店,2021-03-08,8,2029-03-06,固定加盟费+流水分成,未到期,1305875,334807,971068,2021-03-08,4,92013.10999999997,18529.999999999978,4632.4999999999945,0.209012583941859,0.01419,282,63,219,测算中,2044-09-08,20.0,262,严重,FALSE,2026-06-24
S01068,F0076,交通店,2021-03-23,5,2026-03-22,流水分成,已续约,1154724,394376,760348,2021-03-23,4,107078.76000000002,-281.17999999997664,-70.29499999999416,-0.013804657999486,-0.000244,,63,,当前不可测算,,30.0,,严重,FALSE,2026-06-24
S01107,F0095,社区店,2023-10-22,8,2031-10-20,固定加盟费+流水分成,未到期,1231932,545949,685983,2023-10-22,4,107650.6,24967.28000000001,6241.820000000002,0.233365790673531,0.020267,198,32,166,测算中,2040-04-22,18.0,180,严重,FALSE,2026-06-24
S01125,F0104,外卖卫星店,2026-01-14,3,2029-01-13,固定加盟费+流水分成,未到期,1195875,425204,770671,2026-01-14,2,27304.529999999995,5326.049999999996,2663.024999999998,0.194057288460916,0.004454,450,5,445,测算中,2063-07-14,12.0,438,严重,FALSE,2026-06-24
S00060,F0028,写字楼店,2024-05-21,5,2029-05-20,固定加盟费+流水分成,未到期,1078496,407096,671400,2024-05-21,4,141244.07,20913.07000000002,5228.267500000005,0.142711823867743,0.019391,207,25,182,测算中,2041-08-21,22.0,185,严重,FALSE,2026-06-24
S00158,F0067,外卖卫星店,2024-07-17,5,2029-07-16,固定加盟费+流水分成,未到期,1591642,600077,991565,2024-07-17,4,36402.31,7414.199999999995,1853.5499999999988,0.203953832287673,0.004658,859,23,836,测算中,2096-02-17,12.0,847,严重,FALSE,2026-06-24
S00288,F0120,快取店,2023-10-29,8,2031-10-27,流水分成,未到期,1835880,608406,1227474,2023-10-29,4,83895.66,24607.140000000007,6151.785000000002,0.286557096167123,0.013403,299,31,268,测算中,2048-09-29,15.0,284,严重,FALSE,2026-06-24
S00343,F0008,外卖卫星店,2022-01-17,3,2025-01-16,流水分成,已续约,1452622,411488,1041134,2022-01-17,4,62715.909999999996,12454.649999999998,3113.6624999999995,0.198550373270014,0.008574,467,53,414,测算中,2060-12-17,12.0,455,严重,FALSE,2026-06-24
S00391,F0030,快取店,2023-08-11,8,2031-08-09,固定加盟费+流水分成,未到期,1761327,606516,1154811,2023-08-11,4,89021.76,26659.92,6664.98,0.298745199575376,0.015136,265,34,231,测算中,2045-09-11,15.0,250,严重,FALSE,2026-06-24
S00392,F0031,外卖卫星店,2024-09-05,5,2029-09-04,纯固定加盟费,未到期,1114190,557764,556426,2024-09-05,4,47126.5,10287.740000000002,2571.9350000000004,0.211634455972936,0.009233,434,21,413,测算中,2060-11-05,12.0,422,严重,FALSE,2026-06-24
S00416,F0043,商场店,2025-01-20,3,2028-01-20,纯固定加盟费,未到期,1776611,469566,1307045,2025-01-20,4,110843.88999999998,3897.60999999999,974.4024999999975,0.036010126765676,0.002194,1824,17,1807,测算中,2177-01-20,24.0,1800,严重,FALSE,2026-06-24
S00422,F0044,快取店,2024-10-18,3,2027-10-18,流水分成,未到期,1093555,409958,683597,2024-10-18,4,74780.31000000001,22492.55,5623.1375,0.295654620041973,0.020568,195,20,175,测算中,2041-01-18,15.0,180,严重,FALSE,2026-06-24
S00500,F0084,快取店,2024-07-07,8,2032-07-05,固定加盟费+流水分成,未到期,1508231,424484,1083747,2024-07-07,4,81064.09000000001,28033.510000000002,7008.3775000000005,0.337271687229152,0.018587,216,23,193,测算中,2042-07-07,15.0,201,严重,FALSE,2026-06-24
S00677,F0032,快取店,2021-01-28,8,2029-01-26,纯固定加盟费,未到期,1025979,289138,736841,2021-01-28,4,30985.060000000005,8558.280000000002,2139.5700000000006,0.288319816015712,0.008342,480,64,416,测算中,2061-01-28,15.0,465,严重,FALSE,2026-06-24
S00743,F0066,快取店,2025-03-07,8,2033-03-05,固定加盟费+流水分成,未到期,1129703,392388,737315,2025-03-07,4,64560.2,19593.989999999994,4898.497499999999,0.298244363415441,0.017344,231,15,216,测算中,2044-06-07,15.0,216,严重,FALSE,2026-06-24
S00832,F0109,交通店,2023-06-07,8,2031-06-05,固定加盟费+流水分成,未到期,1377526,559768,817758,2023-06-07,4,112549.8,-227.8200000000047,-56.95500000000118,-0.007994358102002,-0.000165,,36,,当前不可测算,,30.0,,严重,FALSE,2026-06-24
S00854,F0119,快取店,2021-02-13,5,2026-02-12,固定加盟费+流水分成,已续约,1021981,246304,775677,2021-02-13,4,96584.96000000002,27416.010000000013,6854.002500000003,0.294246880524333,0.026826,150,64,86,测算中,2033-08-13,15.0,135,严重,FALSE,2026-06-24
S00857,F0122,快取店,2023-08-08,3,2026-08-07,流水分成,未到期,1460493,579285,881208,2023-08-08,4,118565.08999999998,33528.959999999985,8382.239999999996,0.282924700486965,0.022957,175,34,141,测算中,2038-03-08,15.0,160,严重,FALSE,2026-06-24
S01019,F0047,写字楼店,2024-07-01,8,2032-06-29,流水分成,未到期,1117637,237755,879882,2024-07-01,4,141197.59,17948.059999999994,4487.0149999999985,0.122040697566357,0.016059,250,23,227,测算中,2045-05-01,22.0,228,严重,FALSE,2026-06-24
S01039,F0055,商场店,2024-03-13,8,2032-03-11,固定加盟费+流水分成,未到期,1398418,293923,1104495,2024-03-13,4,105544.27000000005,5974.790000000035,1493.6975000000089,0.05168229060171,0.004273,937,27,910,测算中,2102-04-13,24.0,913,严重,FALSE,2026-06-24
S01065,F0073,快取店,2022-11-16,8,2030-11-14,流水分成,未到期,895604,231130,664474,2022-11-16,4,93061.89,29200.75999999999,7300.189999999998,0.306495525304059,0.032605,123,43,80,测算中,2033-02-16,15.0,108,严重,FALSE,2026-06-24
S01071,F0078,快取店,2023-11-22,8,2031-11-20,固定加盟费+流水分成,未到期,1077660,557221,520439,2023-11-22,4,92186.81999999999,25759.199999999993,6439.799999999998,0.283545653867613,0.023903,168,31,137,测算中,2037-11-22,15.0,153,严重,FALSE,2026-06-24
S01147,F0118,快取店,2026-01-16,8,2034-01-14,流水分成,未到期,1358708,559109,799599,2026-01-16,2,48797.40999999999,16058.619999999988,8029.309999999994,0.332050300330849,0.011819,170,5,165,测算中,2040-03-16,15.0,155,严重,FALSE,2026-06-24
S00005,F0003,写字楼店,2023-02-15,8,2031-02-13,纯固定加盟费,未到期,1331797,429829,901968,2023-02-15,4,102535.87999999999,15174.099999999991,3793.524999999998,0.152334942461762,0.011394,352,40,312,测算中,2052-06-15,22.0,330,严重,FALSE,2026-06-24
S00008,F0004,学校店,2024-11-04,3,2027-11-04,流水分成,未到期,1094237,390621,703616,2024-11-04,4,110533.91999999997,23676.739999999976,5919.184999999994,0.205563074848477,0.021638,185,19,166,测算中,2040-04-04,20.0,165,严重,FALSE,2026-06-24
S00423,F0045,学校店,2020-12-07,3,2023-12-07,流水分成,已续约,1051099,382928,668171,2020-12-07,4,137273.62,29407.840000000004,7351.960000000001,0.1996702147196,0.027978,143,66,77,测算中,2032-11-07,20.0,123,严重,FALSE,2026-06-24
S00464,F0063,快取店,2022-09-07,5,2027-09-06,流水分成,未到期,1700835,612367,1088468,2022-09-07,4,106877.42,29066.0,7266.5,0.281233021033475,0.017089,235,45,190,测算中,2042-04-07,15.0,220,严重,FALSE,2026-06-24
S00476,F0069,快取店,2022-12-16,5,2027-12-15,固定加盟费+流水分成,未到期,1516988,594174,922814,2022-12-16,4,67823.85999999999,23061.649999999987,5765.412499999997,0.340922765767556,0.015202,264,42,222,测算中,2044-12-16,15.0,249,严重,FALSE,2026-06-24
S00497,F0083,外卖卫星店,2023-08-28,8,2031-08-26,固定加盟费+流水分成,未到期,888919,389529,499390,2023-08-28,4,118831.48999999999,25516.139999999992,6379.034999999998,0.214559035231869,0.028705,140,33,107,测算中,2035-04-28,12.0,128,严重,FALSE,2026-06-24
S00535,F0103,写字楼店,2024-07-23,3,2027-07-23,纯固定加盟费,未到期,1173640,401993,771647,2024-07-23,4,132003.21000000002,22333.840000000004,5583.460000000001,0.163944748806669,0.01903,211,23,188,测算中,2042-02-23,22.0,189,严重,FALSE,2026-06-24
S00623,F0007,社区店,2023-09-05,8,2031-09-03,纯固定加盟费,未到期,1362505,325248,1037257,2023-09-05,4,70536.05999999998,16184.46999999998,4046.117499999995,0.236188211822831,0.011878,337,33,304,测算中,2051-10-05,18.0,319,严重,FALSE,2026-06-24
S00639,F0015,社区店,2023-10-09,5,2028-10-07,纯固定加盟费,未到期,1180686,391890,788796,2023-10-09,4,89112.09,21023.42999999999,5255.857499999997,0.240749916768653,0.017806,225,32,193,测算中,2042-07-09,18.0,207,严重,FALSE,2026-06-24
S00773,F0081,写字楼店,2021-08-24,5,2026-08-23,固定加盟费+流水分成,未到期,1072750,242571,830179,2021-08-24,4,171717.60000000003,17906.71000000002,4476.677500000005,0.097282252390726,0.016692,240,58,182,测算中,2041-08-24,22.0,218,严重,FALSE,2026-06-24
S00942,F0018,学校店,2024-02-24,8,2032-02-22,固定加盟费+流水分成,未到期,2056172,664117,1392055,2024-02-24,4,86722.65,19537.319999999992,4884.329999999998,0.229491012116674,0.009502,421,28,393,测算中,2059-03-24,20.0,401,严重,FALSE,2026-06-24
S01009,F0043,快取店,2024-06-30,8,2032-06-28,固定加盟费+流水分成,未到期,1099864,237363,862501,2024-06-30,4,73910.97,23818.190000000002,5954.547500000001,0.316328044104816,0.021656,185,23,162,测算中,2039-11-30,15.0,170,严重,FALSE,2026-06-24
S01063,F0072,快取店,2021-02-04,5,2026-02-03,流水分成,已退出,959244,229218,730026,2021-02-04,4,126940.8,40841.68,10210.42,0.319018791306415,0.042577,94,64,30,测算中,2028-12-04,15.0,79,严重,FALSE,2026-06-24
S00016,F0008,外卖卫星店,2021-03-31,5,2026-03-30,固定加盟费+流水分成,已退出,904690,277906,626784,2021-03-31,4,45018.15,10276.580000000002,2569.1450000000004,0.225264285466385,0.011359,353,62,291,测算中,2050-08-31,12.0,341,严重,FALSE,2026-06-24
S00043,F0022,商场店,2021-05-30,8,2029-05-28,流水分成,未到期,1105441,264970,840471,2021-05-30,4,117822.51000000002,7419.160000000023,1854.7900000000056,0.065090146160928,0.006711,596,60,536,测算中,2071-01-30,24.0,572,严重,FALSE,2026-06-24
S00274,F0114,写字楼店,2021-02-14,3,2024-02-14,流水分成,已续约,1030851,250777,780074,2021-02-14,4,179640.65000000002,19185.940000000046,4796.4850000000115,0.106309398074528,0.018612,215,64,151,测算中,2039-01-14,22.0,193,严重,FALSE,2026-06-24
S00364,F0016,写字楼店,2021-02-21,3,2024-02-21,流水分成,已退出,1302585,560364,742221,2021-02-21,4,103376.18999999997,19803.979999999967,4950.994999999992,0.187779174959706,0.015204,264,64,200,测算中,2043-02-21,22.0,242,严重,FALSE,2026-06-24
S00448,F0056,社区店,2025-02-28,8,2033-02-26,固定加盟费+流水分成,未到期,1862767,609111,1253656,2025-02-28,4,81400.43000000001,21109.010000000006,5277.252500000001,0.256193933040766,0.011332,353,15,338,测算中,2054-07-28,18.0,335,严重,FALSE,2026-06-24
S00491,F0079,快取店,2024-10-01,3,2027-10-01,固定加盟费+流水分成,未到期,1108374,244612,863762,2024-10-01,4,147666.91999999998,47077.07,11769.2675,0.312376444066228,0.042474,95,20,75,测算中,2032-09-01,15.0,80,严重,FALSE,2026-06-24
S00521,F0095,快取店,2024-03-19,3,2027-03-19,纯固定加盟费,未到期,1129697,412208,717489,2024-03-19,4,135111.75999999995,43979.84999999994,10994.962499999985,0.330705961490637,0.038931,103,27,76,测算中,2032-10-19,15.0,88,严重,FALSE,2026-06-24
S00571,F0121,商场店,2021-09-27,3,2024-09-26,流水分成,已续约,1788686,448398,1340288,2021-09-27,4,156081.6,-2938.959999999981,-734.7399999999952,-0.018472555680485,-0.001643,,56,,当前不可测算,,24.0,,严重,FALSE,2026-06-24
S00741,F0065,学校店,2022-08-04,3,2025-08-03,固定加盟费+流水分成,已续约,885401,382001,503400,2022-08-04,4,72014.19000000002,16707.920000000013,4176.980000000003,0.234069682565089,0.01887,212,46,166,测算中,2040-04-04,20.0,192,严重,FALSE,2026-06-24
S00807,F0098,快取店,2022-05-31,3,2025-05-30,固定加盟费+流水分成,已续约,1749363,451849,1297514,2022-05-31,4,137656.02000000002,36216.87000000001,9054.217500000002,0.262389082581947,0.020703,194,48,146,测算中,2038-07-31,15.0,179,严重,FALSE,2026-06-24
S00824,F0104,写字楼店,2023-08-15,8,2031-08-13,固定加盟费+流水分成,未到期,933493,270111,663382,2023-08-15,4,128270.59000000004,16367.63000000003,4091.9075000000075,0.127430707411787,0.017534,229,34,195,测算中,2042-09-15,22.0,207,严重,FALSE,2026-06-24
S00862,F0124,快取店,2020-12-27,8,2028-12-25,固定加盟费+流水分成,未到期,1152141,298299,853842,2020-12-27,4,49308.100000000006,14465.180000000004,3616.295000000001,0.300918833154594,0.012555,319,65,254,测算中,2047-07-27,15.0,304,严重,FALSE,2026-06-24
S00886,F0134,外卖卫星店,2023-02-14,8,2031-02-12,固定加盟费+流水分成,未到期,1187807,421438,766369,2023-02-14,4,46532.590000000004,9790.580000000005,2447.6450000000013,0.206328105577319,0.008243,486,40,446,测算中,2063-08-14,12.0,474,严重,FALSE,2026-06-24
S00976,F0032,社区店,2021-08-30,8,2029-08-28,流水分成,未到期,1341547,585401,756146,2021-08-30,4,63654.479999999996,17236.579999999994,4309.144999999999,0.276518257630748,0.012848,312,57,255,测算中,2047-08-30,18.0,294,严重,FALSE,2026-06-24
S01043,F0057,商场店,2024-04-19,3,2027-04-19,固定加盟费+流水分成,未到期,737330,219402,517928,2024-04-19,4,54628.48000000001,2078.9800000000114,519.7450000000028,0.046947443652526,0.00282,1419,26,1393,测算中,2142-07-19,24.0,1395,严重,FALSE,2026-06-24
S01138,F0112,写字楼店,2026-01-04,5,2031-01-03,流水分成,未到期,1142622,302888,839734,2026-01-04,3,111298.09999999998,14760.869999999977,4920.289999999993,0.129534263715948,0.012918,233,5,228,测算中,2045-06-04,22.0,211,严重,FALSE,2026-06-24
S01152,F0121,写字楼店,2026-02-13,8,2034-02-11,固定加盟费+流水分成,未到期,1459381,571297,888084,2026-02-13,2,40281.619999999995,6598.139999999998,3299.069999999999,0.154342003757604,0.004521,443,4,439,测算中,2063-01-13,22.0,421,严重,FALSE,2026-06-24
S01176,F0131,快取店,2025-12-31,3,2028-12-30,流水分成,未到期,1181164,391661,789503,2025-12-31,3,85010.42000000001,28640.270000000004,9546.756666666668,0.336056220934876,0.024247,124,5,119,测算中,2036-04-30,15.0,109,严重,FALSE,2026-06-24
S00011,F0006,快取店,2021-09-09,5,2026-09-08,固定加盟费+流水分成,未到期,1033973,554671,479302,2021-09-09,4,67141.86,20940.979999999996,5235.244999999999,0.309834910850351,0.020253,198,57,141,测算中,2038-03-09,15.0,183,严重,FALSE,2026-06-24
S00047,F0023,社区店,2025-04-04,5,2030-04-03,纯固定加盟费,未到期,1476350,281383,1194967,2025-04-04,4,84707.64,21082.00999999999,5270.502499999998,0.255454825754054,0.01428,281,14,267,测算中,2048-09-04,18.0,263,严重,FALSE,2026-06-24
S00057,F0027,商场店,2023-03-21,8,2031-03-19,固定加盟费+流水分成,未到期,739671,263795,475876,2023-03-21,4,96421.98999999999,7667.339999999984,1916.834999999996,0.08054464835783,0.010366,386,39,347,测算中,2055-05-21,24.0,362,严重,FALSE,2026-06-24
S00061,F0029,商场店,2022-10-17,5,2027-10-16,固定加盟费+流水分成,未到期,963831,274305,689526,2022-10-17,4,91956.97,7399.369999999996,1849.842499999999,0.068553155671268,0.007677,522,44,478,测算中,2066-04-17,24.0,498,严重,FALSE,2026-06-24
S00092,F0041,写字楼店,2023-12-03,3,2026-12-02,固定加盟费+流水分成,未到期,1114554,253913,860641,2023-12-03,4,97455.86000000004,13587.610000000032,3396.902500000008,0.127476100811205,0.012191,329,30,299,测算中,2051-05-03,22.0,307,严重,FALSE,2026-06-24
S00204,F0087,快取店,2021-08-05,5,2026-08-04,流水分成,未到期,1641836,319901,1321935,2021-08-05,4,89733.81999999999,26522.399999999994,6630.5999999999985,0.306429825916285,0.016154,248,58,190,测算中,2042-04-05,15.0,233,严重,FALSE,2026-06-24
S00219,F0090,外卖卫星店,2023-06-17,5,2028-06-15,固定加盟费+流水分成,未到期,1103645,265693,837952,2023-06-17,4,93445.06,16853.09,4213.2725,0.183487696330391,0.01527,262,36,226,测算中,2045-04-17,12.0,250,严重,FALSE,2026-06-24
S00389,F0029,快取店,2021-09-13,3,2024-09-12,纯固定加盟费,已续约,1026836,282402,744434,2021-09-13,4,72029.93000000002,23185.660000000018,5796.4150000000045,0.325488490804031,0.02258,178,57,121,测算中,2036-07-13,15.0,163,严重,FALSE,2026-06-24
S00493,F0081,外卖卫星店,2022-06-06,5,2027-06-05,固定加盟费+流水分成,未到期,1215526,557766,657760,2022-06-06,4,35567.409999999996,8796.46,2199.115,0.248635759027434,0.007237,553,48,505,测算中,2068-07-06,12.0,541,严重,FALSE,2026-06-24
S00606,F0138,社区店,2021-01-08,5,2026-01-07,固定加盟费+流水分成,已退出,1087166,409499,677667,2021-01-08,4,53201.399999999994,13206.779999999999,3301.6949999999997,0.25613760689067,0.012148,330,65,265,测算中,2048-07-08,18.0,312,严重,FALSE,2026-06-24
S00663,F0026,交通店,2021-12-27,5,2026-12-26,固定加盟费+流水分成,未到期,1291647,328445,963202,2021-12-27,4,81403.17,-4266.389999999999,-1066.5974999999999,-0.05149643771569,-0.003303,,53,,当前不可测算,,30.0,,严重,FALSE,2026-06-24
S00672,F0030,外卖卫星店,2022-12-30,5,2027-12-29,流水分成,未到期,876682,221832,654850,2022-12-30,4,57758.22,12496.680000000002,3124.1700000000005,0.215136733115863,0.014255,281,41,240,测算中,2046-05-30,12.0,269,严重,FALSE,2026-06-24
S00693,F0043,外卖卫星店,2025-05-10,5,2030-05-09,流水分成,未到期,1286243,304160,982083,2025-05-10,4,87806.51000000001,19235.180000000015,4808.795000000004,0.211342928304233,0.014955,268,13,255,测算中,2047-09-10,12.0,256,严重,FALSE,2026-06-24
S00713,F0052,快取店,2024-08-25,5,2029-08-24,固定加盟费+流水分成,未到期,1165385,389453,775932,2024-08-25,4,126343.39000000001,40254.060000000005,10063.515000000001,0.325085683249807,0.034541,116,21,95,测算中,2034-04-25,15.0,101,严重,FALSE,2026-06-24
S00771,F0080,外卖卫星店,2023-03-20,8,2031-03-18,固定加盟费+流水分成,未到期,1527644,447750,1079894,2023-03-20,4,103715.29,24052.789999999997,6013.197499999999,0.242601693833918,0.015745,255,39,216,测算中,2044-06-20,12.0,243,严重,FALSE,2026-06-24
S00788,F0087,写字楼店,2025-06-24,3,2028-06-23,纯固定加盟费,未到期,1480504,558976,921528,2025-06-24,4,144828.90000000008,20099.43000000008,5024.85750000002,0.137599921073262,0.013576,295,12,283,测算中,2050-01-24,22.0,273,严重,FALSE,2026-06-24
S00866,F0126,商场店,2022-12-17,3,2025-12-16,流水分成,已续约,656546,209217,447329,2022-12-17,4,117732.52000000002,5335.980000000011,1333.9950000000028,0.055870519923977,0.008127,493,42,451,测算中,2064-01-17,24.0,469,严重,FALSE,2026-06-24
S00868,F0127,外卖卫星店,2023-02-05,8,2031-02-03,纯固定加盟费,未到期,1573779,608109,965670,2023-02-05,4,23067.18,5740.249999999996,1435.062499999999,0.247269144584983,0.003647,1097,40,1057,测算中,2114-07-05,12.0,1085,严重,FALSE,2026-06-24
S00939,F0015,夜市店,2022-09-19,5,2027-09-18,固定加盟费+流水分成,未到期,1229866,257908,971958,2022-09-19,4,77310.90000000001,20581.33000000001,5145.332500000002,0.252903316152281,0.016735,240,45,195,测算中,2042-09-19,18.0,222,严重,FALSE,2026-06-24
S00980,F0034,外卖卫星店,2021-03-25,3,2024-03-24,固定加盟费+流水分成,已续约,1660119,616717,1043402,2021-03-25,4,115913.29999999999,21349.43,5337.3575,0.175497806905746,0.01286,312,62,250,测算中,2047-03-25,12.0,300,严重,FALSE,2026-06-24
S00989,F0039,快取店,2022-05-31,3,2025-05-30,流水分成,已退出,1704071,619691,1084380,2022-05-31,4,83791.77999999998,28104.24999999998,7026.062499999995,0.326006579289266,0.016492,243,48,195,测算中,2042-08-31,15.0,228,严重,FALSE,2026-06-24
S01055,F0064,写字楼店,2023-12-20,3,2026-12-19,纯固定加盟费,未到期,1308477,578241,730236,2023-12-20,4,129718.28999999998,20979.89999999998,5244.974999999995,0.153979884681973,0.016034,250,30,220,测算中,2044-10-20,22.0,228,严重,FALSE,2026-06-24
S01112,F0098,社区店,2024-10-28,8,2032-10-26,固定加盟费+流水分成,未到期,1193163,311137,882026,2024-10-28,4,111547.44,23243.230000000007,5810.807500000002,0.211264887109831,0.01948,206,19,187,测算中,2041-12-28,18.0,188,严重,FALSE,2026-06-24
S01134,F0108,学校店,2026-02-02,3,2029-02-01,纯固定加盟费,未到期,928212,225634,702578,2026-02-02,2,18603.59,3473.5399999999995,1736.7699999999998,0.199162417293066,0.003742,535,4,531,测算中,2070-09-02,20.0,515,严重,FALSE,2026-06-24
S01151,F0120,快取店,2026-01-06,3,2029-01-05,固定加盟费+流水分成,未到期,1303516,567760,735756,2026-01-06,4,77335.54000000001,22698.940000000013,5674.735000000003,0.299918610695168,0.017414,230,5,225,测算中,2045-03-06,15.0,215,严重,FALSE,2026-06-24
S01180,F0134,社区店,2025-12-17,5,2030-12-16,流水分成,未到期,956165,398241,557924,2025-12-17,3,53474.15,12714.05,4238.016666666666,0.241041155020732,0.013297,226,6,220,测算中,2044-10-17,18.0,208,严重,FALSE,2026-06-24
