门店ID,年月,目标指标,目标值,实际值,达成率,目标缺口
S00340,2026-05-01,销售额,139267,22299.81,0.160122713923614,116967.19
S00340,2026-05-01,新增会员,564,0.0,0.0,0.0
S00340,2026-05-01,会员订单数,980,204.0,0.208163265306122,776.0
S00348,2026-02-01,销售额,61705,13736.130000000001,0.22260967506685,47968.869999999995
S00348,2026-02-01,新增会员,256,0.0,0.0,0.0
S00348,2026-02-01,会员订单数,1255,63.0,0.050199203187251,1192.0
S00350,2026-05-01,销售额,159239,14930.480000000001,0.093761452910405,144308.52
S00350,2026-05-01,新增会员,751,0.0,0.0,0.0
S00350,2026-05-01,会员订单数,1025,90.0,0.08780487804878,935.0
S00353,2026-02-01,销售额,156121,13438.38,0.086076696920978,142682.62
S00353,2026-02-01,新增会员,309,0.0,0.0,0.0
S00353,2026-02-01,会员订单数,830,63.0,0.075903614457831,767.0
S00380,2026-04-01,销售额,113723,35552.41,0.312622864328236,78170.59
S00380,2026-04-01,新增会员,186,0.0,0.0,0.0
S00380,2026-04-01,会员订单数,252,241.0,0.956349206349206,11.0
S00382,2026-02-01,销售额,89224,9062.12,0.101565946382139,80161.88
S00382,2026-02-01,新增会员,229,0.0,0.0,0.0
S00382,2026-02-01,会员订单数,1377,40.0,0.029048656499637,1337.0
S00384,2026-03-01,销售额,194228,32341.34,0.166512243342875,161886.66
S00384,2026-03-01,新增会员,337,0.0,0.0,0.0
S00384,2026-03-01,会员订单数,387,194.0,0.501291989664083,193.0
S00386,2026-03-01,销售额,118565,14267.07,0.120331210728292,104297.93
S00386,2026-03-01,新增会员,566,0.0,0.0,0.0
S00386,2026-03-01,会员订单数,1124,104.0,0.092526690391459,1020.0
S00393,2026-04-01,销售额,86988,27491.63,0.316039338759369,59496.369999999995
S00393,2026-04-01,新增会员,295,0.0,0.0,0.0
S00393,2026-04-01,会员订单数,593,215.0,0.36256323777403,378.0
S00402,2026-04-01,销售额,173144,30478.95,0.176032377674075,142665.05
S00402,2026-04-01,新增会员,531,0.0,0.0,0.0
S00402,2026-04-01,会员订单数,753,188.0,0.249667994687915,565.0
S00408,2026-04-01,销售额,128165,11951.599999999999,0.093251667772013,116213.4
S00408,2026-04-01,新增会员,271,0.0,0.0,0.0
S00408,2026-04-01,会员订单数,241,96.0,0.398340248962656,145.0
S00415,2026-05-01,销售额,184516,27874.37,0.151067495501745,156641.63
S00415,2026-05-01,新增会员,336,0.0,0.0,0.0
S00415,2026-05-01,会员订单数,1060,199.0,0.187735849056604,861.0
S00416,2026-02-01,销售额,79485,15562.12,0.195786878027301,63922.88
S00416,2026-02-01,新增会员,380,0.0,0.0,0.0
S00416,2026-02-01,会员订单数,449,73.0,0.162583518930958,376.0
S00425,2026-03-01,销售额,50924,20941.44,0.411229282852879,29982.56
S00425,2026-03-01,新增会员,237,0.0,0.0,0.0
S00425,2026-03-01,会员订单数,1213,116.0,0.09563066776587,1097.0
S00425,2026-05-01,销售额,72011,15407.890000000003,0.213965783005374,56603.11
S00425,2026-05-01,新增会员,648,0.0,0.0,0.0
S00425,2026-05-01,会员订单数,1424,91.0,0.063904494382022,1333.0
S00429,2026-02-01,销售额,105589,7793.769999999999,0.073812328935779,97795.23
S00429,2026-02-01,新增会员,649,0.0,0.0,0.0
S00429,2026-02-01,会员订单数,223,53.0,0.237668161434978,170.0
S00430,2026-03-01,销售额,67027,33620.8,0.501600847419697,33406.2
S00430,2026-03-01,新增会员,237,0.0,0.0,0.0
S00430,2026-03-01,会员订单数,1198,234.0,0.195325542570952,964.0
S00434,2026-05-01,销售额,84415,10368.73,0.122830421133685,74046.27
S00434,2026-05-01,新增会员,262,0.0,0.0,0.0
S00434,2026-05-01,会员订单数,500,85.0,0.17,415.0
S00441,2026-03-01,销售额,63533,15958.949999999997,0.251191506776006,47574.05
S00441,2026-03-01,新增会员,668,0.0,0.0,0.0
S00441,2026-03-01,会员订单数,221,96.0,0.434389140271493,125.0
S00449,2026-02-01,销售额,120185,12367.25,0.102901776428007,107817.75
S00449,2026-02-01,新增会员,169,0.0,0.0,0.0
S00449,2026-02-01,会员订单数,1033,85.0,0.082284607938045,948.0
S00454,2026-03-01,销售额,86368,30734.61,0.355856451463505,55633.39
S00454,2026-03-01,新增会员,292,0.0,0.0,0.0
S00454,2026-03-01,会员订单数,977,180.0,0.184237461617196,797.0
S00455,2026-05-01,销售额,194671,35928.35,0.184559333439495,158742.65
S00455,2026-05-01,新增会员,112,0.0,0.0,0.0
S00455,2026-05-01,会员订单数,1182,178.0,0.150592216582064,1004.0
S00466,2026-04-01,销售额,137495,41496.45,0.301803338303211,95998.55
S00466,2026-04-01,新增会员,680,0.0,0.0,0.0
S00466,2026-04-01,会员订单数,256,290.0,1.1328125,-34.0
S00468,2026-05-01,销售额,126977,24160.55,0.190275010434961,102816.45
S00468,2026-05-01,新增会员,389,0.0,0.0,0.0
S00468,2026-05-01,会员订单数,1261,160.0,0.126883425852498,1101.0
S00477,2026-03-01,销售额,156404,26566.57,0.16985863532902,129837.43
S00477,2026-03-01,新增会员,477,0.0,0.0,0.0
S00477,2026-03-01,会员订单数,553,164.0,0.296564195298373,389.0
S00490,2026-05-01,销售额,50242,28567.38,0.568595597309024,21674.62
S00490,2026-05-01,新增会员,621,0.0,0.0,0.0
S00490,2026-05-01,会员订单数,1221,179.0,0.146601146601147,1042.0
S00492,2026-03-01,销售额,157048,20100.94,0.127992333554073,136947.06
S00492,2026-03-01,新增会员,203,0.0,0.0,0.0
S00492,2026-03-01,会员订单数,952,101.0,0.10609243697479,851.0
S00513,2026-04-01,销售额,77195,22905.36,0.29672077207073,54289.64
S00513,2026-04-01,新增会员,657,0.0,0.0,0.0
S00513,2026-04-01,会员订单数,1461,139.0,0.095140314852841,1322.0
S00516,2026-02-01,销售额,199505,7475.3,0.037469236359991,192029.7
S00516,2026-02-01,新增会员,338,0.0,0.0,0.0
S00516,2026-02-01,会员订单数,398,41.0,0.103015075376884,357.0
S00519,2026-02-01,销售额,117756,12281.09,0.104292689969089,105474.91
S00519,2026-02-01,新增会员,136,0.0,0.0,0.0
S00519,2026-02-01,会员订单数,1106,56.0,0.050632911392405,1050.0
S00532,2026-03-01,销售额,188737,35952.97,0.190492431266789,152784.03
S00532,2026-03-01,新增会员,751,0.0,0.0,0.0
