业务日期,总销售,会员销售,到店销售,私域贡献销售,会员销售占比,到店订单占比,私域贡献收入占比,活跃会员数,新增会员数
2026-03-13,1121439.740000,603741.490000,686637.120000,369060.950000,0.538363,0.612282,0.329096,5817.000000,682.000000
2026-05-09,1385148.390000,928364.390000,854589.370000,525116.410000,0.670227,0.616966,0.379105,8362.000000,355.000000
2026-03-23,1154800.830000,629840.790000,698719.940000,352482.660000,0.545411,0.605057,0.305232,6090.000000,551.000000
2026-04-05,1726029.780000,1044942.020000,1051827.060000,438139.850000,0.605402,0.609391,0.253843,9149.000000,594.000000
2026-04-10,1169622.000000,698557.390000,715760.200000,421489.680000,0.597251,0.611959,0.360364,6572.000000,382.000000
2026-04-19,1382808.190000,845993.950000,834067.050000,444483.030000,0.611794,0.603169,0.321435,7701.000000,392.000000
2026-03-15,1341487.940000,737110.040000,844697.400000,362773.490000,0.549472,0.629672,0.270426,6723.000000,802.000000
2026-04-12,1392515.350000,863575.550000,848472.920000,426169.960000,0.620155,0.609310,0.306043,7583.000000,440.000000
2026-02-22,1329692.920000,654083.920000,823830.860000,351006.870000,0.491906,0.619565,0.263976,5937.000000,2813.000000
2026-03-05,1472374.280000,745071.270000,909508.700000,354676.620000,0.506034,0.617716,0.240888,7002.000000,1211.000000
2026-03-24,1177679.500000,666179.190000,726517.780000,365135.140000,0.565671,0.616906,0.310046,6174.000000,536.000000
2026-05-04,1226418.540000,761364.040000,750547.520000,459705.240000,0.620803,0.611983,0.374836,7200.000000,357.000000
2026-03-29,1322691.100000,755471.360000,819989.100000,457722.730000,0.571162,0.619940,0.346054,7077.000000,570.000000
2026-03-04,1104524.690000,597010.680000,670836.280000,379815.150000,0.540514,0.607353,0.343872,5574.000000,1038.000000
2026-03-09,1116909.570000,592841.590000,678981.490000,359539.350000,0.530787,0.607911,0.321906,5627.000000,780.000000
2026-03-11,1135991.320000,605154.670000,700500.530000,383182.760000,0.532711,0.616643,0.337311,5677.000000,750.000000
2026-03-31,1203848.290000,715909.700000,748683.000000,408004.810000,0.594684,0.621908,0.338917,6360.000000,476.000000
2026-04-25,1355828.530000,878107.800000,823396.100000,436381.030000,0.647654,0.607301,0.321856,7875.000000,391.000000
2026-03-17,1149049.050000,637327.770000,706599.720000,383794.140000,0.554657,0.614943,0.334010,5916.000000,594.000000
2026-05-16,1460051.630000,987471.670000,872227.070000,336624.900000,0.676327,0.597395,0.230557,8588.000000,360.000000
2026-02-23,1143141.430000,593700.010000,712568.300000,340985.570000,0.519358,0.623342,0.298288,5262.000000,2106.000000
2026-02-24,1120612.730000,547589.950000,674228.950000,334786.750000,0.488652,0.601661,0.298753,5272.000000,1922.000000
2026-04-22,1196729.270000,742957.200000,756453.610000,426615.880000,0.620823,0.632101,0.356485,6892.000000,333.000000
2026-03-25,1177412.810000,666799.250000,711724.000000,369799.840000,0.566326,0.604481,0.314078,6076.000000,488.000000
2026-05-15,1190545.980000,781528.830000,741400.650000,390494.590000,0.656446,0.622740,0.327996,7561.000000,307.000000
2026-04-21,1178316.930000,725255.090000,728649.240000,398706.100000,0.615501,0.618381,0.338369,7000.000000,351.000000
2026-04-23,1193360.130000,731167.250000,721350.200000,449389.200000,0.612696,0.604470,0.376575,7001.000000,304.000000
2026-03-21,1335259.490000,764434.520000,837860.700000,386545.030000,0.572499,0.627489,0.289491,6871.000000,684.000000
2026-03-28,1339844.110000,759862.130000,847369.230000,413826.600000,0.567127,0.632439,0.308862,7008.000000,552.000000
2026-04-01,1180078.550000,689895.420000,722898.840000,447231.830000,0.584618,0.612585,0.378985,6300.000000,429.000000
2026-04-26,1456011.140000,906023.590000,889094.490000,441364.180000,0.622264,0.610637,0.303132,7981.000000,393.000000
2026-05-08,1265150.370000,845871.430000,771068.230000,441360.830000,0.668594,0.609468,0.348860,7501.000000,321.000000
2026-03-01,1293162.110000,653406.310000,812791.310000,343246.020000,0.505278,0.628530,0.265432,6223.000000,1452.000000
2026-05-01,1214014.200000,751708.140000,751674.290000,440516.340000,0.619192,0.619164,0.362859,7106.000000,299.000000
2026-05-20,1657263.540000,1133439.550000,1048619.900000,77596.100000,0.683922,0.632742,0.046822,9876.000000,388.000000
2026-03-07,1336727.450000,711058.050000,825574.390000,363332.280000,0.531939,0.617609,0.271807,6383.000000,1019.000000
2026-03-06,1144530.640000,596913.360000,697562.330000,325031.090000,0.521536,0.609475,0.283986,5472.000000,841.000000
2026-05-17,1426803.480000,958542.380000,886830.210000,270231.180000,0.671811,0.621550,0.189396,8659.000000,329.000000
2026-03-12,1125006.060000,614469.600000,689560.770000,348032.480000,0.546192,0.612940,0.309361,5752.000000,737.000000
2026-04-09,1151083.970000,687821.430000,712947.520000,438795.750000,0.597542,0.619371,0.381202,6545.000000,375.000000
2026-05-10,1446470.190000,954179.970000,878984.350000,443925.060000,0.659661,0.607675,0.306902,8462.000000,366.000000
2026-05-18,1230874.740000,824387.170000,734065.840000,185126.800000,0.669757,0.596377,0.150403,7743.000000,290.000000
2026-04-24,1218570.930000,784630.440000,736243.790000,473249.120000,0.643894,0.604186,0.388364,6903.000000,342.000000
2026-03-14,1321508.460000,728166.240000,819438.240000,406426.550000,0.551011,0.620078,0.307547,6647.000000,757.000000
2026-02-27,1132509.380000,576285.030000,712801.600000,359077.420000,0.508857,0.629400,0.317064,5438.000000,1435.000000
2026-03-30,1203794.610000,687093.760000,749238.330000,399231.730000,0.570773,0.622397,0.331644,6269.000000,433.000000
2026-04-13,1177008.530000,719429.380000,734586.440000,433362.630000,0.611235,0.624113,0.368190,6686.000000,383.000000
2026-03-03,1154237.820000,561532.260000,694754.670000,330451.680000,0.486496,0.601916,0.286294,5444.000000,1031.000000
2026-04-08,1200504.600000,730358.740000,723344.280000,412949.260000,0.608376,0.602534,0.343980,6513.000000,437.000000
2026-05-06,1235076.040000,826411.850000,761687.200000,488050.870000,0.669118,0.616713,0.395159,7421.000000,301.000000
2026-05-07,1223239.900000,814906.120000,737771.280000,489625.770000,0.666187,0.603129,0.400270,7379.000000,306.000000
2026-02-28,1317153.710000,671230.210000,806854.050000,370921.010000,0.509607,0.612574,0.281608,6060.000000,1459.000000
2026-04-02,1229758.990000,721080.260000,742016.700000,392212.970000,0.586359,0.603384,0.318935,6475.000000,473.000000
2026-03-10,1149260.680000,625130.790000,712240.770000,353040.250000,0.543942,0.619738,0.307189,5721.000000,795.000000
2026-05-02,1366620.810000,872230.360000,835262.960000,485045.520000,0.638239,0.611189,0.354923,8231.000000,399.000000
2026-05-03,1391763.260000,895860.030000,854078.100000,465840.370000,0.643687,0.613666,0.334712,8177.000000,393.000000
2026-05-13,1224886.550000,827055.230000,753281.250000,497390.410000,0.675210,0.614980,0.406071,7495.000000,313.000000
2026-04-11,1382762.340000,834157.270000,858254.060000,417584.090000,0.603254,0.620681,0.301993,7530.000000,447.000000
2026-04-18,1408357.680000,865450.300000,879904.740000,455453.830000,0.614510,0.624774,0.323394,7633.000000,400.000000
2026-05-12,1205364.110000,812603.290000,751020.900000,460198.250000,0.674156,0.623066,0.381792,7439.000000,312.000000
2026-03-20,1517877.190000,836950.640000,926708.760000,387804.390000,0.551395,0.610529,0.255491,7704.000000,748.000000
2026-04-15,1183359.280000,719985.110000,716698.870000,410729.180000,0.608425,0.605648,0.347087,6769.000000,344.000000
2026-04-20,1563657.400000,962373.030000,966957.600000,485641.010000,0.615463,0.618395,0.310580,8533.000000,445.000000
2026-04-27,1174574.230000,737159.090000,722179.170000,422390.920000,0.627597,0.614843,0.359612,7084.000000,341.000000
2026-05-19,1216597.950000,815070.670000,731671.420000,131398.310000,0.669959,0.601408,0.108005,7714.000000,306.000000
2026-02-26,1123591.350000,582828.290000,685373.370000,358802.030000,0.518719,0.609985,0.319335,5371.000000,1604.000000
