门店ID,门店名称,城市,城市层级,店型,门店类型,平均评分,负评数,投诉数,未回复负评数,平均处理时长
S00055,广州写字楼0055店,广州,一线,外卖店,外卖卫星店,4.100000,2.000000,1.000000,1.000000,1.200000
S00079,贵阳街边店0079店,贵阳,二线,标准店,社区店,4.411765,1.000000,0.000000,0.000000,0.000000
S00159,大连写字楼0159店,大连,二线,外卖店,外卖卫星店,4.066667,3.000000,0.000000,1.000000,0.000000
S00189,重庆写字楼0189店,重庆,新一线,校园店,学校店,4.414286,5.000000,1.000000,2.000000,2.000000
S00190,重庆社区0190店,重庆,新一线,标准店,社区店,4.550000,1.000000,0.000000,0.000000,0.000000
S00211,哈尔滨社区0211店,哈尔滨,二线,快取店,快取店,3.777778,3.000000,0.000000,0.000000,0.000000
S00219,重庆CBD0219店,重庆,新一线,外卖店,外卖卫星店,4.304348,1.000000,1.000000,0.000000,1.739130
S00225,沈阳CBD0225店,沈阳,新一线,校园店,学校店,4.461538,3.000000,1.000000,1.000000,0.000000
S00275,济南CBD0275店,济南,二线,标准店,写字楼店,4.000000,2.000000,2.000000,0.000000,6.176471
S00309,佛山购物中心0309店,佛山,新一线,外卖店,外卖卫星店,4.333333,0.000000,0.000000,0.000000,0.000000
S00323,兰州购物中心0323店,兰州,三线,外卖店,外卖卫星店,5.000000,0.000000,0.000000,0.000000,0.000000
S00348,北京社区0348店,北京,一线,标准店,社区店,4.529412,1.000000,1.000000,0.000000,1.470588
S00362,唐山写字楼0362店,唐山,三线,快取店,快取店,4.550000,1.000000,0.000000,0.000000,0.000000
S00391,石家庄购物中心0391店,石家庄,二线,快取店,快取店,4.208333,1.000000,0.000000,0.000000,0.000000
S00400,杭州购物中心0400店,杭州,新一线,快取店,快取店,4.738095,1.000000,2.000000,0.000000,1.571429
S00405,常州写字楼0405店,常州,二线,标准店,写字楼店,4.235294,1.000000,1.000000,0.000000,4.117647
S00417,杭州购物中心0417店,杭州,新一线,外卖店,外卖卫星店,4.333333,2.000000,0.000000,0.000000,0.000000
S00432,郑州社区0432店,郑州,新一线,外卖店,外卖卫星店,3.192308,6.000000,0.000000,2.000000,0.000000
S00449,北京CBD0449店,北京,一线,快取店,快取店,4.500000,1.000000,6.000000,1.000000,5.750000
S00470,郑州购物中心0470店,郑州,新一线,外卖店,外卖卫星店,4.183333,4.000000,0.000000,2.000000,0.000000
S00529,苏州写字楼0529店,苏州,新一线,外卖店,外卖卫星店,4.350000,0.000000,1.000000,0.000000,0.800000
S00548,东莞交通枢纽0548店,东莞,新一线,外卖店,外卖卫星店,4.909091,0.000000,0.000000,0.000000,0.000000
S00564,东莞CBD0564店,东莞,新一线,外卖店,外卖卫星店,4.363636,0.000000,0.000000,0.000000,0.000000
S00602,武汉社区0602店,武汉,新一线,标准店,社区店,4.454545,1.000000,0.000000,1.000000,0.000000
S00620,重庆写字楼0620店,重庆,新一线,标准店,写字楼店,4.277778,3.000000,0.000000,1.000000,0.000000
S00624,珠海交通枢纽0624店,珠海,二线,快取店,快取店,4.294118,2.000000,0.000000,1.000000,0.000000
S00681,嘉兴社区0681店,嘉兴,二线,快取店,快取店,4.500000,1.000000,1.000000,0.000000,1.769231
S00772,石家庄写字楼0772店,石家庄,二线,标准店,写字楼店,3.944444,5.000000,0.000000,1.000000,0.000000
S00777,成都购物中心0777店,成都,新一线,标准店,商场店,4.633333,0.000000,2.000000,0.000000,2.700000
S00811,东莞购物中心0811店,东莞,新一线,标准店,商场店,4.515152,0.000000,1.000000,0.000000,0.454545
S00822,贵阳写字楼0822店,贵阳,二线,标准店,写字楼店,4.479167,1.000000,2.000000,0.000000,2.375000
S00889,嘉兴购物中心0889店,嘉兴,二线,校园店,学校店,4.312500,1.000000,2.000000,0.000000,4.312500
S00899,大连交通枢纽0899店,大连,二线,快取店,快取店,4.239130,3.000000,0.000000,1.000000,0.000000
S00904,无锡CBD0904店,无锡,二线,标准店,写字楼店,4.194444,3.000000,1.000000,2.000000,0.611111
S00965,佛山交通枢纽0965店,佛山,新一线,标准店,交通店,3.444444,10.000000,1.000000,2.000000,1.611111
S00969,常州写字楼0969店,常州,二线,快取店,快取店,4.250000,2.000000,0.000000,0.000000,0.000000
S00974,长春购物中心0974店,长春,二线,快取店,快取店,4.444444,1.000000,1.000000,0.000000,3.388889
S00984,泉州写字楼0984店,泉州,二线,标准店,写字楼店,4.357143,0.000000,1.000000,0.000000,0.000000
S01043,呼和浩特购物中心1043店,呼和浩特,三线,标准店,商场店,4.452381,1.000000,0.000000,1.000000,0.000000
S01114,天津街边店1114店,天津,新一线,快取店,快取店,4.175000,2.000000,0.000000,2.000000,0.000000
S01126,嘉兴购物中心1126店,嘉兴,二线,快取店,快取店,4.125000,0.000000,0.000000,0.000000,0.000000
S01157,沈阳购物中心1157店,沈阳,新一线,标准店,商场店,4.766667,1.000000,1.000000,0.000000,2.333333
S00003,上海CBD0003店,上海,一线,标准店,写字楼店,4.320513,2.000000,2.000000,0.000000,0.615385
S00022,宁波购物中心0022店,宁波,新一线,标准店,商场店,4.419355,1.000000,2.000000,0.000000,1.032258
S00049,昆明购物中心0049店,昆明,二线,标准店,商场店,4.363636,2.000000,0.000000,0.000000,0.000000
S00056,昆明写字楼0056店,昆明,二线,标准店,写字楼店,4.400000,2.000000,0.000000,0.000000,0.000000
S00058,深圳购物中心0058店,深圳,一线,旗舰店,旗舰店,4.237288,11.000000,7.000000,4.000000,2.881356
S00142,宁波CBD0142店,宁波,新一线,快取店,快取店,4.260000,2.000000,1.000000,0.000000,0.000000
S00166,西安社区0166店,西安,新一线,外卖店,外卖卫星店,4.058824,3.000000,0.000000,1.000000,0.000000
S00228,乌鲁木齐社区0228店,乌鲁木齐,三线,标准店,社区店,4.766667,0.000000,1.000000,0.000000,3.600000
S00259,北京街边店0259店,北京,一线,标准店,社区店,4.428571,0.000000,1.000000,0.000000,0.035714
S00368,上海CBD0368店,上海,一线,快取店,快取店,4.351190,2.000000,0.000000,1.000000,0.000000
S00396,乌鲁木齐街边店0396店,乌鲁木齐,三线,快取店,快取店,4.000000,1.000000,0.000000,1.000000,0.000000
S00406,沈阳社区0406店,沈阳,新一线,快取店,快取店,4.529412,0.000000,1.000000,0.000000,0.235294
S00437,南宁写字楼0437店,南宁,二线,标准店,写字楼店,4.411765,1.000000,0.000000,1.000000,0.000000
S00484,长春社区0484店,长春,二线,快取店,快取店,4.500000,0.000000,1.000000,0.000000,0.000000
S00506,贵阳社区0506店,贵阳,二线,校园店,学校店,4.681818,0.000000,0.000000,0.000000,0.000000
S00544,烟台写字楼0544店,烟台,三线,快取店,快取店,3.266667,7.000000,0.000000,2.000000,0.000000
S00572,太原街边店0572店,太原,二线,外卖店,外卖卫星店,4.076923,2.000000,0.000000,0.000000,0.000000
S00588,海口交通枢纽0588店,海口,二线,旗舰店,旗舰店,4.243243,4.000000,3.000000,1.000000,0.567568
S00616,深圳写字楼0616店,深圳,一线,快取店,快取店,4.352381,4.000000,1.000000,0.000000,1.057143
S00669,温州写字楼0669店,温州,二线,标准店,写字楼店,4.325758,2.000000,0.000000,1.000000,0.000000
S00677,绵阳社区0677店,绵阳,三线,快取店,快取店,4.375000,0.000000,0.000000,0.000000,0.000000
S00751,贵阳社区0751店,贵阳,二线,快取店,快取店,4.800000,0.000000,0.000000,0.000000,0.000000
S00758,太原CBD0758店,太原,二线,标准店,写字楼店,4.188889,4.000000,2.000000,0.000000,3.400000
S00769,上海CBD0769店,上海,一线,快取店,快取店,4.632353,0.000000,1.000000,0.000000,0.176471
S00798,东莞购物中心0798店,东莞,新一线,快取店,快取店,4.500000,0.000000,0.000000,0.000000,0.000000
S00810,天津购物中心0810店,天津,新一线,标准店,商场店,4.603448,2.000000,1.000000,0.000000,1.034483
S00829,长沙购物中心0829店,长沙,新一线,标准店,商场店,4.282609,2.000000,1.000000,0.000000,0.869565
S00833,海口购物中心0833店,海口,二线,标准店,商场店,3.803922,4.000000,0.000000,2.000000,0.000000
S00839,泉州社区0839店,泉州,二线,标准店,社区店,4.800000,0.000000,0.000000,0.000000,0.000000
S00898,中山购物中心0898店,中山,二线,外卖店,外卖卫星店,4.307692,0.000000,0.000000,0.000000,0.000000
S00947,长沙写字楼0947店,长沙,新一线,校园店,学校店,4.640000,0.000000,0.000000,0.000000,0.000000
S00966,厦门写字楼0966店,厦门,二线,外卖店,外卖卫星店,4.235294,1.000000,1.000000,0.000000,1.882353
S00997,青岛社区0997店,青岛,新一线,标准店,社区店,4.342105,2.000000,1.000000,1.000000,0.000000
S01029,长沙写字楼1029店,长沙,新一线,标准店,写字楼店,4.480000,2.000000,1.000000,0.000000,2.720000
S01036,南京社区1036店,南京,新一线,外卖店,外卖卫星店,4.250000,1.000000,0.000000,0.000000,0.000000
S01073,合肥写字楼1073店,合肥,二线,外卖店,外卖卫星店,4.866667,0.000000,1.000000,0.000000,1.800000
S01088,天津写字楼1088店,天津,新一线,外卖店,外卖卫星店,4.045455,2.000000,1.000000,1.000000,2.818182
S01097,杭州购物中心1097店,杭州,新一线,旗舰店,旗舰店,3.073643,25.000000,1.000000,4.000000,0.000000
S01105,烟台社区1105店,烟台,三线,快取店,快取店,4.111111,0.000000,0.000000,0.000000,0.000000
S01190,哈尔滨社区1190店,哈尔滨,二线,标准店,社区店,0.000000,0.000000,0.000000,0.000000,0.000000
S00060,成都CBD0060店,成都,新一线,标准店,写字楼店,4.540000,1.000000,2.000000,0.000000,2.320000
S00063,苏州交通枢纽0063店,苏州,新一线,外卖店,外卖卫星店,4.526316,1.000000,0.000000,0.000000,0.000000
S00134,太原购物中心0134店,太原,二线,快取店,快取店,4.416667,0.000000,1.000000,0.000000,0.000000
S00163,泉州交通枢纽0163店,泉州,二线,标准店,交通店,4.190476,2.000000,0.000000,0.000000,0.000000
S00192,广州社区0192店,广州,一线,标准店,社区店,4.548387,2.000000,2.000000,0.000000,1.903226
S00213,无锡CBD0213店,无锡,二线,快取店,快取店,4.214286,4.000000,0.000000,2.000000,0.000000
S00236,北京购物中心0236店,北京,一线,标准店,商场店,4.516129,2.000000,0.000000,1.000000,0.000000
S00243,福州购物中心0243店,福州,二线,标准店,商场店,4.440000,3.000000,0.000000,1.000000,0.000000
S00258,宜昌购物中心0258店,宜昌,三线,外卖店,外卖卫星店,4.058824,3.000000,0.000000,1.000000,0.000000
S00276,宜昌CBD0276店,宜昌,三线,标准店,写字楼店,2.764706,12.000000,0.000000,4.000000,0.000000
S00290,苏州社区0290店,苏州,新一线,快取店,快取店,4.454545,1.000000,0.000000,0.000000,0.000000
S00299,泉州CBD0299店,泉州,二线,标准店,写字楼店,4.143939,4.000000,0.000000,2.000000,0.000000
S00337,温州购物中心0337店,温州,二线,标准店,商场店,4.200000,3.000000,1.000000,0.000000,2.200000
S00356,南宁写字楼0356店,南宁,二线,快取店,快取店,3.769231,3.000000,0.000000,2.000000,0.000000
S00392,泉州校园0392店,泉州,二线,外卖店,外卖卫星店,3.500000,4.000000,0.000000,2.000000,0.000000
S00398,长春CBD0398店,长春,二线,外卖店,外卖卫星店,4.315789,1.000000,2.000000,0.000000,1.684211
S00431,天津购物中心0431店,天津,新一线,快取店,快取店,4.339286,1.000000,0.000000,0.000000,0.000000
S00467,宁波购物中心0467店,宁波,新一线,外卖店,外卖卫星店,4.750000,0.000000,0.000000,0.000000,0.000000
S00476,宁波社区0476店,宁波,新一线,快取店,快取店,4.444444,1.000000,0.000000,0.000000,0.000000
S00483,福州写字楼0483店,福州,二线,标准店,写字楼店,4.312500,2.000000,1.000000,0.000000,0.291667
S00523,深圳购物中心0523店,深圳,一线,外卖店,外卖卫星店,4.113636,4.000000,0.000000,1.000000,0.000000
S00534,长沙社区0534店,长沙,新一线,标准店,社区店,4.277778,2.000000,1.000000,1.000000,1.944444
S00550,成都购物中心0550店,成都,新一线,外卖店,外卖卫星店,4.454545,2.000000,1.000000,1.000000,2.500000
S00555,昆明校园0555店,昆明,二线,标准店,学校店,4.375000,1.000000,1.000000,0.000000,0.000000
S00574,南京写字楼0574店,南京,新一线,快取店,快取店,4.743590,0.000000,0.000000,0.000000,0.000000
S00596,贵阳社区0596店,贵阳,二线,标准店,社区店,4.388889,1.000000,0.000000,1.000000,0.000000
S00609,南宁校园0609店,南宁,二线,快取店,快取店,4.437500,1.000000,1.000000,0.000000,0.000000
S00625,青岛街边店0625店,青岛,新一线,外卖店,外卖卫星店,4.375000,0.000000,0.000000,0.000000,0.000000
S00633,杭州购物中心0633店,杭州,新一线,标准店,商场店,4.202899,1.000000,1.000000,1.000000,2.478261
S00748,重庆写字楼0748店,重庆,新一线,标准店,写字楼店,4.211712,1.000000,1.000000,0.000000,1.108108
S00750,洛阳CBD0750店,洛阳,三线,标准店,写字楼店,4.400000,1.000000,0.000000,1.000000,0.000000
S00759,郑州街边店0759店,郑州,新一线,标准店,社区店,4.617647,1.000000,0.000000,0.000000,0.000000
S00786,洛阳校园0786店,洛阳,三线,标准店,学校店,4.125000,0.000000,0.000000,0.000000,0.000000
S00990,沈阳街边店0990店,沈阳,新一线,标准店,夜市店,4.625000,1.000000,1.000000,0.000000,2.083333
S00996,上海校园0996店,上海,一线,快取店,快取店,4.523810,1.000000,0.000000,1.000000,0.000000
S00998,南昌社区0998店,南昌,二线,外卖店,外卖卫星店,4.375000,0.000000,0.000000,0.000000,0.000000
S01002,呼和浩特街边店1002店,呼和浩特,三线,外卖店,外卖卫星店,4.500000,0.000000,0.000000,0.000000,0.000000
S01052,东莞购物中心1052店,东莞,新一线,外卖店,外卖卫星店,4.275000,0.000000,1.000000,0.000000,0.800000
S01147,厦门购物中心1147店,厦门,二线,快取店,快取店,4.285714,2.000000,0.000000,1.000000,0.000000
S01155,上海社区1155店,上海,一线,校园店,学校店,4.312500,0.000000,1.000000,0.000000,0.000000
S00006,杭州写字楼0006店,杭州,新一线,快取店,快取店,4.608696,1.000000,0.000000,0.000000,0.000000
S00067,武汉CBD0067店,武汉,新一线,快取店,快取店,4.259259,3.000000,0.000000,1.000000,0.000000
S00087,广州写字楼0087店,广州,一线,外卖店,外卖卫星店,4.550000,0.000000,0.000000,0.000000,0.000000
S00094,郑州社区0094店,郑州,新一线,校园店,学校店,4.428571,0.000000,2.000000,0.000000,0.142857
S00104,太原购物中心0104店,太原,二线,快取店,快取店,4.333333,0.000000,1.000000,0.000000,0.000000
S00177,中山社区0177店,中山,二线,快取店,快取店,4.454545,0.000000,0.000000,0.000000,0.000000
S00210,青岛购物中心0210店,青岛,新一线,标准店,商场店,4.500000,0.000000,2.000000,0.000000,0.000000
S00224,苏州社区0224店,苏州,新一线,校园店,学校店,4.428571,1.000000,0.000000,0.000000,0.000000
S00241,重庆写字楼0241店,重庆,新一线,快取店,快取店,4.296296,2.000000,3.000000,0.000000,2.074074
S00271,郑州社区0271店,郑州,新一线,外卖店,外卖卫星店,4.178571,1.000000,0.000000,0.000000,0.000000
S00328,南通购物中心0328店,南通,二线,快取店,快取店,4.684211,1.000000,0.000000,1.000000,0.000000
S00333,上海社区0333店,上海,一线,标准店,社区店,4.411765,2.000000,3.000000,0.000000,4.411765
S00375,苏州校园0375店,苏州,新一线,外卖店,外卖卫星店,4.238095,2.000000,1.000000,1.000000,0.904762
S00385,大连写字楼0385店,大连,二线,标准店,写字楼店,4.555556,1.000000,2.000000,0.000000,2.666667
S00408,洛阳社区0408店,洛阳,三线,标准店,社区店,4.062500,1.000000,0.000000,0.000000,0.000000
S00428,郑州购物中心0428店,郑州,新一线,快取店,快取店,4.333333,1.000000,1.000000,0.000000,0.250000
S00442,西安写字楼0442店,西安,新一线,标准店,写字楼店,3.020202,19.000000,2.000000,2.000000,0.000000
S00459,贵阳购物中心0459店,贵阳,二线,快取店,快取店,4.625000,0.000000,0.000000,0.000000,0.000000
S00473,成都购物中心0473店,成都,新一线,标准店,商场店,4.560000,0.000000,0.000000,0.000000,0.000000
S00509,三亚CBD0509店,三亚,二线,快取店,快取店,4.250000,3.000000,1.000000,1.000000,0.000000
S00513,大连街边店0513店,大连,二线,标准店,社区店,4.250000,1.000000,0.000000,0.000000,0.000000
S00516,重庆社区0516店,重庆,新一线,快取店,快取店,3.066667,7.000000,0.000000,3.000000,0.000000
S00519,珠海写字楼0519店,珠海,二线,标准店,写字楼店,3.473684,6.000000,0.000000,3.000000,0.000000
S00522,嘉兴写字楼0522店,嘉兴,二线,标准店,写字楼店,4.181818,0.000000,1.000000,0.000000,0.727273
S00536,北京街边店0536店,北京,一线,校园店,学校店,4.452381,1.000000,0.000000,1.000000,0.000000
S00570,无锡购物中心0570店,无锡,二线,标准店,商场店,4.062500,2.000000,0.000000,1.000000,0.000000
S00617,西安购物中心0617店,西安,新一线,快取店,快取店,4.400000,2.000000,1.000000,1.000000,0.240000
S00661,佛山社区0661店,佛山,新一线,快取店,快取店,4.533333,0.000000,0.000000,0.000000,0.000000
S00710,长春CBD0710店,长春,二线,快取店,快取店,4.309524,2.000000,1.000000,0.000000,0.000000
S00723,上海购物中心0723店,上海,一线,外卖店,外卖卫星店,4.583333,1.000000,1.000000,0.000000,1.416667
S00736,广州写字楼0736店,广州,一线,快取店,快取店,4.250000,4.000000,3.000000,0.000000,4.642857
S00757,海口交通枢纽0757店,海口,二线,快取店,快取店,3.750000,3.000000,0.000000,1.000000,0.000000
S00791,杭州CBD0791店,杭州,新一线,标准店,写字楼店,4.352941,2.000000,2.000000,1.000000,0.323529
S00808,温州购物中心0808店,温州,二线,标准店,商场店,4.260870,2.000000,1.000000,0.000000,0.478261
S00831,广州购物中心0831店,广州,一线,标准店,商场店,4.078431,6.000000,0.000000,2.000000,0.000000
S00859,佛山写字楼0859店,佛山,新一线,标准店,写字楼店,4.483333,1.000000,1.000000,0.000000,1.033333
S00877,杭州CBD0877店,杭州,新一线,标准店,写字楼店,4.522989,2.000000,0.000000,1.000000,0.000000
S00932,昆明CBD0932店,昆明,二线,快取店,快取店,4.217391,2.000000,0.000000,0.000000,0.000000
S00945,杭州写字楼0945店,杭州,新一线,快取店,快取店,4.062500,1.000000,1.000000,0.000000,0.000000
S00989,长春写字楼0989店,长春,二线,快取店,快取店,4.456522,1.000000,0.000000,0.000000,0.000000
S01003,重庆社区1003店,重庆,新一线,标准店,社区店,4.369565,2.000000,0.000000,1.000000,0.000000
