活动ID,活动名称,活动类型,活动渠道,券发放数,券核销数,券核销率,总折扣,触达人数,查看人数,转化人数,拉动销售,总体转化率,券ROI,预算
CMP0038,拉新活动-0320,拉新活动,小程序,23651.000000,5889.000000,0.248996,135609.640000,6230.000000,3573.000000,2258.000000,491896.740000,0.362440,3.627299,30000.000000
CMP0023,拉新活动-0313,拉新活动,App,23856.000000,5907.000000,0.247611,133767.540000,6246.000000,3529.000000,2281.000000,435812.270000,0.365194,3.257982,30000.000000
CMP0006,复购唤醒-0427,复购唤醒,门店,23599.000000,5778.000000,0.244841,127540.460000,6112.000000,3564.000000,2235.000000,438989.250000,0.365674,3.441961,10000.000000
CMP0021,私域专享-0324,私域专享,App,23725.000000,5818.000000,0.245227,131639.280000,6318.000000,3577.000000,2270.000000,474534.950000,0.359291,3.604813,10000.000000
CMP0008,新品上市-0308,新品上市,小程序,23630.000000,6016.000000,0.254592,132565.190000,6326.000000,3723.000000,2305.000000,492062.560000,0.364369,3.711853,30000.000000
CMP0013,复购唤醒-0428,复购唤醒,外卖平台,23781.000000,6078.000000,0.255582,136939.530000,6396.000000,3610.000000,2308.000000,482650.710000,0.360851,3.524554,30000.000000
CMP0005,新品上市-0424,新品上市,外卖平台,23502.000000,5875.000000,0.249979,127499.560000,6088.000000,3427.000000,2193.000000,423709.880000,0.360217,3.323226,30000.000000
CMP0002,新品上市-0307,新品上市,小程序,23686.000000,5933.000000,0.250486,130054.260000,6170.000000,3581.000000,2257.000000,454521.940000,0.365802,3.494864,80000.000000
CMP0014,拉新活动-0403,拉新活动,企微,23484.000000,5895.000000,0.251022,126898.280000,6108.000000,3528.000000,2256.000000,458765.970000,0.369352,3.615226,30000.000000
CMP0004,拉新活动-0413,拉新活动,外卖平台,23497.000000,5829.000000,0.248074,132768.020000,6167.000000,3495.000000,2216.000000,449315.520000,0.359332,3.384215,5000.000000
CMP0016,私域专享-0402,私域专享,外卖平台,23677.000000,5962.000000,0.251806,137927.230000,6194.000000,3547.000000,2328.000000,473775.190000,0.375848,3.434965,10000.000000
CMP0031,会员日-0225,会员日,小程序,23825.000000,5893.000000,0.247345,128251.450000,6417.000000,3657.000000,2317.000000,475600.390000,0.361072,3.708343,30000.000000
CMP0048,私域专享-0406,私域专享,全渠道,23653.000000,5940.000000,0.251131,131430.420000,6426.000000,3641.000000,2246.000000,487856.350000,0.349518,3.711898,80000.000000
CMP0022,节日活动-0219,节日活动,App,23763.000000,5853.000000,0.246307,137559.200000,6311.000000,3669.000000,2285.000000,447257.210000,0.362066,3.251380,10000.000000
CMP0043,复购唤醒-0426,复购唤醒,门店,23842.000000,6032.000000,0.252999,133147.010000,6196.000000,3562.000000,2312.000000,486311.010000,0.373144,3.652437,5000.000000
CMP0018,私域专享-0429,私域专享,外卖平台,23804.000000,5985.000000,0.251428,123810.800000,6287.000000,3596.000000,2324.000000,492938.740000,0.369652,3.981387,5000.000000
CMP0036,复购唤醒-0309,复购唤醒,门店,23695.000000,6004.000000,0.253387,137357.740000,6257.000000,3568.000000,2270.000000,467845.960000,0.362794,3.406040,300000.000000
CMP0050,新品上市-0226,新品上市,App,23603.000000,6010.000000,0.254629,129958.220000,6162.000000,3540.000000,2273.000000,465739.110000,0.368874,3.583760,10000.000000
CMP0030,复购唤醒-0402,复购唤醒,门店,23600.000000,5844.000000,0.247627,137072.510000,6296.000000,3600.000000,2319.000000,476039.260000,0.368329,3.472901,5000.000000
CMP0040,私域专享-0415,私域专享,门店,23605.000000,5932.000000,0.251303,128311.910000,6114.000000,3485.000000,2210.000000,455177.140000,0.361465,3.547427,5000.000000
CMP0032,节日活动-0327,节日活动,门店,23900.000000,6015.000000,0.251674,136500.210000,6217.000000,3566.000000,2254.000000,466885.650000,0.362554,3.420402,300000.000000
CMP0003,新品上市-0425,新品上市,企微,23484.000000,5921.000000,0.252129,132478.930000,6227.000000,3555.000000,2273.000000,503830.190000,0.365023,3.803097,30000.000000
CMP0007,复购唤醒-0407,复购唤醒,外卖平台,23827.000000,5985.000000,0.251186,130457.970000,6119.000000,3465.000000,2221.000000,450319.290000,0.362968,3.451834,30000.000000
CMP0001,拉新活动-0322,拉新活动,小程序,23647.000000,5878.000000,0.248573,131106.670000,6261.000000,3571.000000,2293.000000,450742.310000,0.366235,3.437982,30000.000000
CMP0019,新品上市-0503,新品上市,App,23414.000000,5839.000000,0.249381,127735.530000,6175.000000,3536.000000,2234.000000,489319.740000,0.361781,3.830725,30000.000000
CMP0041,拉新活动-0317,拉新活动,企微,23732.000000,5877.000000,0.247640,133821.320000,6266.000000,3608.000000,2307.000000,477538.130000,0.368177,3.568476,10000.000000
