员工导购ID,员工姓名,岗位,门店类型,任务ID,触达后下单,触达后下单金额
E000129,金牌导购0129,金牌导购,快取店,104.000000,19.000000,881.660000
E000487,金牌导购0487,金牌导购,写字楼店,60.000000,13.000000,634.580000
E000347,普通导购0347,普通导购,学校店,6.000000,0.000000,0.000000
E000273,普通导购0273,普通导购,外卖卫星店,16.000000,2.000000,123.580000
E000154,金牌导购0154,金牌导购,旗舰店,14.000000,3.000000,129.710000
E000588,店长0588,店长,旗舰店,3.000000,1.000000,27.910000
E000534,普通导购0534,普通导购,外卖卫星店,19.000000,5.000000,160.760000
E000219,金牌导购0219,金牌导购,快取店,125.000000,21.000000,1063.740000
E000054,普通导购0054,普通导购,社区店,10.000000,1.000000,40.320000
E000457,金牌导购0457,金牌导购,外卖卫星店,57.000000,11.000000,515.090000
E000021,金牌导购0021,金牌导购,学校店,22.000000,2.000000,80.310000
E000228,金牌导购0228,金牌导购,快取店,111.000000,27.000000,1292.610000
E000227,金牌导购0227,金牌导购,写字楼店,63.000000,8.000000,410.910000
E000238,普通导购0238,普通导购,快取店,28.000000,3.000000,129.100000
E000388,普通导购0388,普通导购,学校店,9.000000,2.000000,115.810000
E000223,普通导购0223,普通导购,快取店,41.000000,5.000000,149.130000
E000324,普通导购0324,普通导购,社区店,9.000000,1.000000,44.770000
E000196,普通导购0196,普通导购,旗舰店,5.000000,1.000000,65.440000
E000291,普通导购0291,普通导购,外卖卫星店,19.000000,6.000000,312.790000
E000063,金牌导购0063,金牌导购,外卖卫星店,56.000000,8.000000,549.660000
E000503,普通导购0503,普通导购,写字楼店,13.000000,0.000000,0.000000
E000407,金牌导购0407,金牌导购,社区店,41.000000,9.000000,406.960000
E000001,普通导购0001,普通导购,快取店,22.000000,3.000000,180.660000
E000546,新人导购0546,新人导购,快取店,5.000000,0.000000,0.000000
E000359,普通导购0359,普通导购,快取店,26.000000,6.000000,335.890000
E000512,普通导购0512,普通导购,商场店,6.000000,0.000000,0.000000
E000582,普通导购0582,普通导购,夜市店,1.000000,0.000000,0.000000
E000311,普通导购0311,普通导购,快取店,28.000000,3.000000,226.870000
E000222,普通导购0222,普通导购,写字楼店,17.000000,2.000000,79.640000
E000122,普通导购0122,普通导购,商场店,13.000000,1.000000,62.670000
E000024,普通导购0024,普通导购,学校店,4.000000,0.000000,0.000000
E000123,普通导购0123,普通导购,学校店,7.000000,1.000000,30.010000
E000003,普通导购0003,普通导购,社区店,7.000000,2.000000,101.320000
E000186,普通导购0186,普通导购,社区店,8.000000,2.000000,92.570000
E000298,普通导购0298,普通导购,写字楼店,10.000000,0.000000,0.000000
E000425,普通导购0425,普通导购,商场店,15.000000,3.000000,132.100000
E000505,普通导购0505,普通导购,商场店,11.000000,1.000000,73.790000
E000372,新人导购0372,新人导购,社区店,4.000000,1.000000,34.690000
E000551,普通导购0551,普通导购,写字楼店,18.000000,5.000000,223.090000
E000228,金牌导购0228,金牌导购,学校店,28.000000,1.000000,36.160000
E000503,普通导购0503,普通导购,外卖卫星店,16.000000,3.000000,141.130000
E000404,普通导购0404,普通导购,社区店,10.000000,3.000000,163.470000
E000180,普通导购0180,普通导购,外卖卫星店,10.000000,2.000000,73.420000
E000190,普通导购0190,普通导购,社区店,9.000000,3.000000,136.770000
E000355,普通导购0355,普通导购,外卖卫星店,11.000000,3.000000,109.910000
E000084,普通导购0084,普通导购,快取店,27.000000,5.000000,285.250000
E000246,普通导购0246,普通导购,写字楼店,14.000000,2.000000,78.740000
E000078,普通导购0078,普通导购,商场店,10.000000,2.000000,194.730000
E000467,普通导购0467,普通导购,旗舰店,8.000000,1.000000,50.490000
E000538,普通导购0538,普通导购,商场店,11.000000,2.000000,119.400000
E000335,普通导购0335,普通导购,外卖卫星店,17.000000,2.000000,92.570000
E000124,普通导购0124,普通导购,快取店,26.000000,2.000000,128.750000
E000158,普通导购0158,普通导购,社区店,11.000000,1.000000,81.190000
E000203,普通导购0203,普通导购,快取店,33.000000,4.000000,216.860000
E000196,普通导购0196,普通导购,社区店,15.000000,0.000000,0.000000
E000176,普通导购0176,普通导购,社区店,12.000000,1.000000,26.210000
E000356,普通导购0356,普通导购,快取店,38.000000,14.000000,709.260000
E000572,金牌导购0572,金牌导购,旗舰店,18.000000,3.000000,206.580000
E000486,普通导购0486,普通导购,交通店,5.000000,1.000000,38.650000
E000502,普通导购0502,普通导购,写字楼店,16.000000,4.000000,199.330000
E000428,普通导购0428,普通导购,外卖卫星店,10.000000,1.000000,46.170000
E000133,新人导购0133,新人导购,旗舰店,2.000000,0.000000,0.000000
E000510,新人导购0510,新人导购,快取店,7.000000,0.000000,0.000000
E000307,普通导购0307,普通导购,社区店,14.000000,4.000000,257.940000
E000405,新人导购0405,新人导购,社区店,4.000000,1.000000,44.790000
E000065,普通导购0065,普通导购,交通店,6.000000,0.000000,0.000000
E000206,普通导购0206,普通导购,社区店,8.000000,1.000000,88.770000
E000355,普通导购0355,普通导购,写字楼店,15.000000,5.000000,264.100000
E000169,金牌导购0169,金牌导购,学校店,27.000000,5.000000,202.980000
E000516,普通导购0516,普通导购,社区店,5.000000,1.000000,39.730000
E000568,普通导购0568,普通导购,写字楼店,19.000000,2.000000,110.040000
E000412,普通导购0412,普通导购,交通店,2.000000,0.000000,0.000000
E000286,新人导购0286,新人导购,快取店,5.000000,1.000000,92.080000
E000570,普通导购0570,普通导购,快取店,16.000000,2.000000,85.390000
E000419,普通导购0419,普通导购,写字楼店,17.000000,4.000000,214.870000
